Fecha;NO;NO2;NOX;PM10
03/03/2015;27;60;83;13
02/03/2015;54;56;120;11
01/03/2015;35;50;87;14
28/02/2015;39;63;104;14
27/02/2015;11;71;40;10
26/02/2015;19;78;65;6
25/02/2015;10;63;39;6
24/02/2015;13;68;49;8
23/02/2015;38;80;101;11
22/02/2015;8;62;36;10
21/02/2015;6;35;27;7
20/02/2015;59;84;141;18
19/02/2015;45;93;113;18
18/02/2015;33;75;92;13
17/02/2015;7;41;35;12
16/02/2015;27;83;87;10
15/02/2015;18;62;66;9
14/02/2015;28;71;93;14
13/02/2015;58;109;139;19
12/02/2015;65;93;156;25
11/02/2015;78;107;183;32
10/02/2015;54;94;134;28
09/02/2015;40;76;107;26
08/02/2015;11;67;48;19
07/02/2015;21;70;69;19
06/02/2015;22;62;73;14
05/02/2015;10;53;45;11
04/02/2015;22;75;73;15
03/02/2015;27;99;85;10
02/02/2015;26;79;85;11
01/02/2015;8;62;38;11
31/01/2015;9;60;42;7
30/01/2015;17;95;63;8
29/01/2015;74;94;168;17
28/01/2015;48;78;135;15
27/01/2015;24;85;85;12
26/01/2015;67;87;162;28
25/01/2015;21;76;69;14
24/01/2015;23;59;71;17
23/01/2015;37;63;104;18
22/01/2015;39;86;119;11
21/01/2015;40;80;111;10
20/01/2015;44;74;114;14
19/01/2015;24;81;74;10
18/01/2015;11;48;43;9
17/01/2015;26;60;78;12
16/01/2015;26;72;84;9
15/01/2015;21;81;62;12
14/01/2015;47;83;115;18
13/01/2015;52;95;134;18
12/01/2015;44;84;118;17
11/01/2015;21;43;58;16
10/01/2015;38;58;89;22
09/01/2015;101;75;201;
08/01/2015;73;74;155;
07/01/2015;42;74;101;
06/01/2015;67;67;142;18
05/01/2015;41;56;100;8
04/01/2015;80;68;166;18
03/01/2015;46;82;114;19
02/01/2015;71;87;160;18
01/01/2015;24;53;70;12
