Fecha;NO;NO2;PM10;PM25;BEN
01/01/2015;18;51;28;20;Sense dades
02/01/2015;74;73;41;25;Sense dades
03/01/2015;20;55;22;18;0.5
04/01/2015;28;51;31;25;Sense dades
05/01/2015;56;59;36;27;0.8
06/01/2015;28;43;28;23;Sense dades
07/01/2015;80;63;39;28;1
08/01/2015;39;49;31;22;Sense dades
09/01/2015;27;48;27;16;Sense dades
10/01/2015;70;63;33;24;0.7
11/01/2015;30;44;32;24;Sense dades
12/01/2015;61;68;42;22;Sense dades
13/01/2015;69;71;46;23;Sense dades
14/01/2015;54;70;37;22;0.3
15/01/2015;60;72;45;28;Sense dades
16/01/2015;58;53;40;27;Sense dades
17/01/2015;14;31;15;11;0.2
18/01/2015;15;43;21;16;Sense dades
19/01/2015;29;59;17;13;Sense dades
20/01/2015;13;41;Sense dades;13;Sense dades
21/01/2015;16;39;Sense dades;17;Sense dades
22/01/2015;34;53;34;21;Sense dades
23/01/2015;17;49;25;16;Sense dades
24/01/2015;5;25;16;12;0.2
25/01/2015;6;38;21;Sense dades;Sense dades
26/01/2015;21;55;30;15;0.3
27/01/2015;33;54;28;23;Sense dades
28/01/2015;28;49;27;15;0.3
29/01/2015;29;50;39;33;Sense dades
30/01/2015;6;30;22;Sense dades;Sense dades
31/01/2015;4;23;9;8;0.1
01/02/2015;2;13;8;8;Sense dades
02/02/2015;24;48;20;12;0.3
03/02/2015;23;48;16;11;Sense dades
04/02/2015;10;46;10;8;0.2
05/02/2015;22;52;18;13;Sense dades
06/02/2015;10;47;17;13;Sense dades
07/02/2015;9;40;25;20;0.2
08/02/2015;4;26;25;22;Sense dades
09/02/2015;31;58;38;25;0.3
10/02/2015;67;83;46;27;Sense dades
11/02/2015;62;81;42;27;0.6
12/02/2015;51;73;43;26;Sense dades
13/02/2015;46;74;51;26;Sense dades
14/02/2015;22;51;28;18;0.2
15/02/2015;9;38;16;12;Sense dades
16/02/2015;37;67;39;23;0.4
17/02/2015;28;63;28;16;Sense dades
18/02/2015;16;47;27;16;0.2
19/02/2015;18;53;34;20;Sense dades
20/02/2015;30;60;48;31;Sense dades
21/02/2015;10;52;31;21;0.2
22/02/2015;7;35;15;14;Sense dades
23/02/2015;21;51;27;14;0.1
24/02/2015;5;26;19;15;Sense dades
25/02/2015;13;42;21;12;0.1
26/02/2015;57;73;34;18;Sense dades
27/02/2015;39;56;28;17;Sense dades
28/02/2015;8;46;22;14;0.2
01/03/2015;24;62;32;19;Sense dades
02/03/2015;23;42;32;17;0.1
03/03/2015;6;34;20;8;Sense dades
04/03/2015;35;59;24;13;0.2
05/03/2015;14;43;26;12;Sense dades
06/03/2015;27;59;31;14;Sense dades
07/03/2015;10;44;29;16;0.1
08/03/2015;10;50;32;20;Sense dades
09/03/2015;27;77;42;25;0.2
10/03/2015;27;77;48;27;Sense dades
11/03/2015;66;102;54;32;0.2
12/03/2015;26;54;49;28;Sense dades
13/03/2015;14;50;45;27;Sense dades
14/03/2015;4;35;14;8;0.1
15/03/2015;6;39;16;12;Sense dades
16/03/2015;20;42;22;15;0.4
17/03/2015;15;38;20;12;Sense dades
18/03/2015;3;15;19;9;0
19/03/2015;6;24;24;16;Sense dades
20/03/2015;2;18;27;15;Sense dades
21/03/2015;2;11;48;Sense dades;0
22/03/2015;2;18;17;10;Sense dades
23/03/2015;2;16;27;12;0
24/03/2015;3;23;15;9;Sense dades
25/03/2015;8;41;14;8;0.1
26/03/2015;13;53;22;14;Sense dades
27/03/2015;15;49;20;12;Sense dades
28/03/2015;18;38;23;16;0.1
29/03/2015;3;29;19;12;Sense dades
30/03/2015;5;38;26;18;0
31/03/2015;13;39;23;15;Sense dades
01/04/2015;17;40;30;13;0
02/04/2015;5;35;31;15;Sense dades
03/04/2015;3;29;28;14;Sense dades
04/04/2015;4;27;28;14;0
05/04/2015;2;19;20;10;Sense dades
06/04/2015;2;12;22;10;0
07/04/2015;16;38;26;16;Sense dades
08/04/2015;18;51;26;15;0.1
09/04/2015;14;50;20;12;Sense dades
10/04/2015;15;46;24;11;Sense dades
11/04/2015;5;34;22;11;0
12/04/2015;5;31;21;12;Sense dades
13/04/2015;15;60;26;15;0.1
14/04/2015;23;71;34;19;Sense dades
15/04/2015;20;50;33;17;Sense dades
16/04/2015;7;47;36;15;Sense dades
17/04/2015;14;46;32;16;Sense dades
18/04/2015;9;50;30;17;0
19/04/2015;2;19;16;9;Sense dades
20/04/2015;13;34;14;8;0
21/04/2015;18;46;25;14;Sense dades
22/04/2015;15;55;21;11;0
23/04/2015;14;51;26;14;Sense dades
24/04/2015;23;64;37;22;Sense dades
25/04/2015;4;32;39;18;0
26/04/2015;2;23;35;16;Sense dades
27/04/2015;5;27;21;Sense dades;0
28/04/2015;5;29;19;Sense dades;Sense dades
29/04/2015;16;45;25;13;0
30/04/2015;13;49;30;17;Sense dades
01/05/2015;4;38;37;23;Sense dades
02/05/2015;8;45;32;19;0
03/05/2015;11;57;38;21;Sense dades
04/05/2015;4;23;23;15;0
05/05/2015;17;39;38;20;Sense dades
06/05/2015;18;58;39;20;0
07/05/2015;14;52;32;18;Sense dades
08/05/2015;16;52;46;29;Sense dades
09/05/2015;7;43;35;28;0
10/05/2015;6;39;34;24;Sense dades
11/05/2015;27;71;43;26;0
12/05/2015;20;58;30;15;Sense dades
13/05/2015;14;60;58;35;0
14/05/2015;9;39;28;17;Sense dades
15/05/2015;Sense dades;Sense dades;64;50;Sense dades
16/05/2015;Sense dades;Sense dades;35;35;0
17/05/2015;Sense dades;Sense dades;25;16;Sense dades
18/05/2015;9;66;66;46;0
19/05/2015;10;47;20;Sense dades;Sense dades
20/05/2015;6;25;11;Sense dades;0
21/05/2015;9;37;25;Sense dades;Sense dades
22/05/2015;6;34;21;18;Sense dades
23/05/2015;4;32;20;14;0
24/05/2015;3;26;19;12;Sense dades
25/05/2015;10;44;23;14;0
26/05/2015;6;30;19;10;Sense dades
27/05/2015;4;26;20;10;0
28/05/2015;10;43;29;16;Sense dades
29/05/2015;19;57;24;11;Sense dades
30/05/2015;5;30;19;10;0
31/05/2015;3;22;15;8;Sense dades
01/06/2015;5;38;21;14;0
02/06/2015;13;52;23;11;Sense dades
03/06/2015;26;66;28;16;0.1
04/06/2015;22;65;33;19;Sense dades
05/06/2015;29;83;46;22;Sense dades
06/06/2015;11;43;28;16;0
07/06/2015;4;50;34;19;Sense dades
08/06/2015;6;48;30;18;0
09/06/2015;10;57;28;16;Sense dades
10/06/2015;8;33;23;14;0
11/06/2015;4;28;26;17;Sense dades
12/06/2015;8;38;25;15;Sense dades
13/06/2015;2;12;19;10;0
14/06/2015;3;23;21;13;Sense dades
15/06/2015;5;27;18;12;0
16/06/2015;3;42;18;12;Sense dades
17/06/2015;5;31;19;13;0
18/06/2015;7;38;27;16;Sense dades
19/06/2015;7;31;25;14;Sense dades
20/06/2015;4;33;26;16;0
21/06/2015;4;33;24;15;Sense dades
22/06/2015;10;46;34;24;0
23/06/2015;7;38;66;47;Sense dades
24/06/2015;3;21;Sense dades;20;Sense dades
25/06/2015;5;25;23;14;Sense dades
26/06/2015;12;49;27;16;Sense dades
27/06/2015;2;24;23;14;0
28/06/2015;Sense dades;Sense dades;21;13;Sense dades
29/06/2015;4;54;32;21;0
30/06/2015;12;59;33;18;Sense dades
01/07/2015;7;39;25;15;0
02/07/2015;1;21;24;11;Sense dades
03/07/2015;7;47;32;15;Sense dades
04/07/2015;5;59;36;18;0
05/07/2015;4;57;38;22;Sense dades
06/07/2015;19;83;46;26;0.1
07/07/2015;5;55;45;25;Sense dades
08/07/2015;2;26;31;15;0
09/07/2015;4;35;38;18;Sense dades
10/07/2015;9;45;39;19;Sense dades
11/07/2015;3;24;32;15;0
12/07/2015;4;26;31;16;Sense dades
13/07/2015;5;31;26;14;0
14/07/2015;5;34;31;17;Sense dades
15/07/2015;11;49;38;21;0
16/07/2015;8;42;31;18;Sense dades
17/07/2015;7;28;24;15;Sense dades
18/07/2015;4;23;30;18;0
19/07/2015;2;21;24;14;Sense dades
20/07/2015;7;30;27;16;0
21/07/2015;9;42;33;19;Sense dades
22/07/2015;6;31;25;21;0
23/07/2015;5;32;27;16;Sense dades
24/07/2015;5;29;30;17;Sense dades
25/07/2015;4;19;20;10;0
26/07/2015;3;19;25;16;Sense dades
27/07/2015;6;27;22;11;0
28/07/2015;4;34;24;10;Sense dades
29/07/2015;7;31;27;15;0.1
30/07/2015;4;22;21;9;Sense dades
31/07/2015;4;28;20;10;Sense dades
01/08/2015;2;18;Sense dades;Sense dades;Sense dades
02/08/2015;4;30;Sense dades;Sense dades;Sense dades
03/08/2015;7;44;Sense dades;Sense dades;Sense dades
04/08/2015;3;27;Sense dades;Sense dades;Sense dades
05/08/2015;9;44;Sense dades;Sense dades;Sense dades
06/08/2015;10;34;Sense dades;Sense dades;Sense dades
07/08/2015;10;29;Sense dades;Sense dades;Sense dades
08/08/2015;4;29;Sense dades;Sense dades;Sense dades
09/08/2015;2;20;Sense dades;Sense dades;Sense dades
10/08/2015;4;21;Sense dades;Sense dades;Sense dades
11/08/2015;8;36;Sense dades;Sense dades;Sense dades
12/08/2015;7;35;Sense dades;Sense dades;Sense dades
13/08/2015;6;38;Sense dades;Sense dades;Sense dades
14/08/2015;6;31;Sense dades;Sense dades;Sense dades
15/08/2015;3;28;Sense dades;Sense dades;Sense dades
16/08/2015;4;24;Sense dades;Sense dades;Sense dades
17/08/2015;6;27;Sense dades;Sense dades;Sense dades
18/08/2015;3;30;Sense dades;Sense dades;Sense dades
19/08/2015;8;40;Sense dades;Sense dades;Sense dades
20/08/2015;9;41;Sense dades;Sense dades;Sense dades
21/08/2015;5;36;Sense dades;Sense dades;Sense dades
22/08/2015;5;32;Sense dades;Sense dades;Sense dades
23/08/2015;4;32;Sense dades;Sense dades;Sense dades
24/08/2015;5;28;Sense dades;Sense dades;Sense dades
25/08/2015;9;30;Sense dades;Sense dades;Sense dades
26/08/2015;12;36;Sense dades;Sense dades;Sense dades
27/08/2015;11;37;Sense dades;Sense dades;Sense dades
28/08/2015;14;37;Sense dades;Sense dades;Sense dades
29/08/2015;6;23;Sense dades;Sense dades;Sense dades
30/08/2015;5;23;Sense dades;Sense dades;Sense dades
31/08/2015;12;42;Sense dades;Sense dades;Sense dades
01/09/2015;4;30;Sense dades;Sense dades;Sense dades
02/09/2015;7;34;Sense dades;Sense dades;Sense dades
03/09/2015;3;18;Sense dades;Sense dades;Sense dades
04/09/2015;7;39;Sense dades;Sense dades;Sense dades
05/09/2015;3;23;Sense dades;Sense dades;Sense dades
06/09/2015;3;23;Sense dades;Sense dades;Sense dades
07/09/2015;10;34;Sense dades;Sense dades;Sense dades
08/09/2015;9;39;Sense dades;Sense dades;Sense dades
09/09/2015;12;50;Sense dades;Sense dades;Sense dades
10/09/2015;20;66;Sense dades;Sense dades;Sense dades
11/09/2015;9;39;Sense dades;Sense dades;Sense dades
12/09/2015;6;34;Sense dades;Sense dades;Sense dades
13/09/2015;6;42;Sense dades;Sense dades;Sense dades
14/09/2015;7;37;Sense dades;Sense dades;Sense dades
15/09/2015;11;44;Sense dades;Sense dades;Sense dades
16/09/2015;16;51;Sense dades;Sense dades;Sense dades
17/09/2015;6;33;Sense dades;Sense dades;Sense dades
18/09/2015;5;35;Sense dades;Sense dades;Sense dades
19/09/2015;6;35;Sense dades;Sense dades;Sense dades
20/09/2015;3;21;Sense dades;Sense dades;Sense dades
21/09/2015;16;38;Sense dades;Sense dades;Sense dades
22/09/2015;15;36;Sense dades;Sense dades;Sense dades
23/09/2015;5;27;Sense dades;Sense dades;Sense dades
24/09/2015;6;40;Sense dades;Sense dades;Sense dades
25/09/2015;14;42;Sense dades;Sense dades;Sense dades
26/09/2015;7;39;Sense dades;Sense dades;Sense dades
27/09/2015;6;36;Sense dades;Sense dades;Sense dades
28/09/2015;11;40;Sense dades;Sense dades;Sense dades
29/09/2015;8;35;Sense dades;Sense dades;Sense dades
30/09/2015;5;26;Sense dades;Sense dades;Sense dades
01/10/2015;13;49;Sense dades;Sense dades;Sense dades
02/10/2015;12;47;Sense dades;Sense dades;Sense dades
03/10/2015;14;54;Sense dades;Sense dades;Sense dades
04/10/2015;8;44;Sense dades;Sense dades;Sense dades
05/10/2015;27;63;Sense dades;Sense dades;Sense dades
06/10/2015;34;49;Sense dades;Sense dades;Sense dades
07/10/2015;15;37;Sense dades;Sense dades;Sense dades
08/10/2015;10;44;Sense dades;Sense dades;Sense dades
09/10/2015;15;46;Sense dades;Sense dades;Sense dades
10/10/2015;13;48;Sense dades;Sense dades;Sense dades
11/10/2015;6;41;Sense dades;Sense dades;Sense dades
12/10/2015;6;23;Sense dades;Sense dades;Sense dades
13/10/2015;9;34;Sense dades;Sense dades;Sense dades
14/10/2015;10;45;Sense dades;Sense dades;Sense dades
15/10/2015;9;42;Sense dades;Sense dades;Sense dades
16/10/2015;16;47;Sense dades;Sense dades;Sense dades
17/10/2015;7;38;Sense dades;Sense dades;Sense dades
18/10/2015;15;64;Sense dades;Sense dades;Sense dades
19/10/2015;17;39;Sense dades;Sense dades;Sense dades
20/10/2015;7;41;Sense dades;Sense dades;Sense dades
21/10/2015;7;41;Sense dades;Sense dades;Sense dades
22/10/2015;22;66;Sense dades;Sense dades;Sense dades
23/10/2015;25;69;Sense dades;Sense dades;Sense dades
24/10/2015;41;73;Sense dades;Sense dades;Sense dades
25/10/2015;8;35;Sense dades;Sense dades;Sense dades
26/10/2015;14;51;Sense dades;Sense dades;Sense dades
27/10/2015;17;59;Sense dades;Sense dades;Sense dades
28/10/2015;21;51;Sense dades;Sense dades;Sense dades
29/10/2015;41;68;Sense dades;Sense dades;Sense dades
30/10/2015;30;60;Sense dades;Sense dades;Sense dades
31/10/2015;15;38;Sense dades;Sense dades;Sense dades
01/11/2015;2;19;Sense dades;Sense dades;Sense dades
02/11/2015;3;18;Sense dades;Sense dades;Sense dades
03/11/2015;23;50;Sense dades;Sense dades;Sense dades
04/11/2015;39;68;Sense dades;Sense dades;Sense dades
05/11/2015;48;49;Sense dades;Sense dades;Sense dades
