Fecha;RS;PM25;PM10;XIL;SO2;CO;NO;NO2;PM10;NOX;O3;TOL;BEN;vv;TMP;HR;PRB
26/12/2014;78;10;8;;7;0.5;82;65;22;191;11;;;0.2;10.4;66;1031
27/12/2014;66;8;6;;3;0.3;16;29;19;54;25;;;0.8;11.9;61;1022
28/12/2014;63;6;4;;3;0.4;6;17;21;25;60;;;2.2;12.1;49;1017
29/12/2014;84;5;4;;6;0.4;30;41;14;86;39;;;0.8;8.6;38;1030
30/12/2014;84;;;;7;0.6;71;64;;173;21;;;0.2;6.4;38;1035
31/12/2014;86;;;;5;0.5;58;57;;145;13;;;0.4;9.2;48;1030
01/01/2015;79;12;10;;4;0.4;22;43;15;76;24;;;0.3;9.7;69;1036
02/01/2015;84;;;;6;0.5;84;72;;201;9;;;0.2;9.6;61;1039
03/01/2015;86;;;;5;0.4;73;66;;178;12;;;0.2;11.9;53;1036
04/01/2015;84;;;;4;0.4;40;51;;111;20;;;0.2;12.9;58;1033
07/01/2015;62;22;19;;6;0.6;89;74;37;210;8;;;0.2;11.7;71;1033
08/01/2015;80;26;24;;6;0.4;69;61;36;167;11;;;0.2;10.2;73;1039
09/01/2015;85;20;17;;8;0.5;98;76;36;226;9;;;0.2;10.4;65;1042
10/01/2015;89;12;9;;6;0.5;73;67;27;178;13;;;0.2;13;56;1034
11/01/2015;86;9;7;;7;0.6;58;56;20;144;21;;;0.3;13.5;53;1030
12/01/2015;82;13;11;;5;0.5;56;60;23;145;14;;;0.3;12.4;74;1034
13/01/2015;82;19;16;;4;0.4;60;61;30;153;14;;;0.5;12.6;71;1027
14/01/2015;86;15;12;;4;0.5;38;54;32;112;20;;;0.4;13.7;61;1026
15/01/2015;85;17;12;;5;0.5;68;60;45;164;20;;;0.4;13.6;58;1019
16/01/2015;53;8;4;;5;0.4;23;39;33;74;46;;;1.1;13.4;48;1015
17/01/2015;96;7;5;;5;0.4;21;39;17;71;43;;;0.7;10.4;48;1023
18/01/2015;68;8;6;;6;0.4;16;37;12;62;37;;;0.3;8.4;54;1017
19/01/2015;13;6;5;;6;0.5;40;48;8;108;18;;;0.3;8.4;77;1010
20/01/2015;92;10;6;;4;0.6;53;53;33;133;21;;;0.3;7.5;56;1012
21/01/2015;81;9;6;;5;0.5;25;35;34;72;31;;;0.9;8.7;57;1010
22/01/2015;84;6;4;;4;0.4;21;42;24;73;35;;;0.7;9.5;51;1013
23/01/2015;108;5;2;;5;0.5;20;42;20;72;43;;;1;10.5;39;1020
24/01/2015;106;6;4;;6;0.4;20;37;23;68;44;;;0.6;10.5;41;1024
25/01/2015;104;5;3;;4;0.6;29;42;16;87;59;;;1;13.5;33;1024
26/01/2015;108;12;8;;6;0.6;66;72;36;174;16;;;0.2;9.9;48;1028
27/01/2015;103;16;10;;5;0.3;37;46;61;103;23;;;0.8;12.5;49;1025
28/01/2015;114;16;10;;4;0.4;45;59;48;128;21;;;0.3;11.3;57;1023
29/01/2015;83;18;10;;4;0.2;17;31;63;56;35;;;1.5;13.7;53;1012
30/01/2015;108;14;3;;4;0.2;5;11;87;18;55;;;4;18.2;58;997
31/01/2015;116;4;2;;3;0.2;8;20;13;31;64;;;1.9;13.9;54;997
01/02/2015;117;4;2;;3;;4;16;8;22;73;;;1.6;10.5;38;1012
02/02/2015;80;9;6;;3;;15;24;24;45;50;;;1.4;9.9;54;1012
03/02/2015;;;;;5;;9;22;;35;61;;;;;;
06/02/2015;;;;;3;0.2;20;40;;71;43;;;;;;
07/02/2015;;;;;5;0.5;29;45;;88;17;;;;;;
08/02/2015;;;;;6;0.6;16;33;;57;40;;;;;;
09/02/2015;;;;;6;0.6;32;47;;96;38;;;;;;
10/02/2015;107;;;;4;0.4;36;58;;113;37;;;0.4;10.5;65;1026
11/02/2015;51;15;12;;5;0.4;9;43;22;56;50;;;1.3;11.3;72;1023
12/02/2015;29;20;17;;3;0.5;42;59;25;122;29;;;0.5;10.8;81;1022
13/02/2015;158;14;11;;4;0.5;40;52;28;113;22;;;0.7;12.3;66;1022
14/02/2015;70;8;6;;4;0.3;11;26;16;43;54;;;1.5;14.3;57;1017
15/02/2015;112;4;3;;3;0.2;12;27;9;45;50;;;0.9;16.2;55;1012
16/02/2015;156;10;7;;3;0.2;29;47;23;92;32;;;0.7;14.2;64;1018
17/02/2015;57;8;6;;3;0.3;7;32;13;41;49;;;1.9;12.7;66;1025
18/02/2015;96;10;8;;5;0.5;32;43;20;91;45;;;1;12.4;59;1032
19/02/2015;102;20;18;;7;0.6;32;54;27;102;47;;;0.8;10.9;69;1032
20/02/2015;179;20;19;;5;0.6;27;57;26;98;41;;;0.6;10.7;67;1023
21/02/2015;95;12;10;;3;0.5;10;28;24;43;59;;;1.8;12.3;55;1009
22/02/2015;205;4;2;;5;0.4;8;29;12;41;73;;;1.8;13.1;43;1012
23/02/2015;112;7;4;;5;0.5;12;26;19;43;45;;;1.8;15.4;53;1014
24/02/2015;151;4;2;;5;0.5;11;26;11;42;70;;;2;14;36;1022
25/02/2015;74;5;2;;10;0.5;17;34;16;59;62;;;1.5;14.8;41;1023
26/02/2015;163;4;2;;6;0.3;19;34;12;63;55;;;1.4;18.3;47;1020
27/02/2015;210;6;2;;4;0.1;12;26;24;44;70;;;2.5;15.5;38;1020
28/02/2015;179;10;8;;5;0.2;22;54;18;88;46;;;0.5;12.5;48;1023
01/03/2015;184;7;5;;4;0.2;11;29;11;45;43;;;1;17.9;51;1022
02/03/2015;206;7;5;;4;0.2;13;30;15;49;39;;;1.6;21.1;50;1022
03/03/2015;163;11;8;;3;0.2;16;42;16;66;36;;;1.1;15.9;74;1025
04/03/2015;183;20;16;;4;0.2;16;35;39;59;52;;;1.5;15.2;58;1028
05/03/2015;224;6;4;;3;0.3;31;50;18;97;60;;;1.3;13.2;32;1031
06/03/2015;219;11;8;;4;0.2;36;64;23;118;31;;;0.6;12.3;50;1032
07/03/2015;223;17;14;;3;0.3;25;52;27;90;42;;;0.7;13.1;58;1029
08/03/2015;142;20;17;;3;0.2;13;45;26;65;55;;;0.4;12.5;74;1026
09/03/2015;197;22;19;;4;0.2;36;67;30;122;35;;;0.4;13.5;68;1025
10/03/2015;215;25;22;;5;0.2;39;66;37;126;40;;;0.5;13.3;65;1026
11/03/2015;206;37;33;;5;0.3;45;86;48;154;22;;;0.4;14;70;1024
12/03/2015;216;30;26;;4;0.2;38;63;44;120;54;;;0.8;15.4;63;1021
13/03/2015;186;29;27;;4;0.3;21;56;38;87;66;;;0.6;14.2;74;1023
14/03/2015;164;14;12;;3;0.2;23;50;25;84;48;;;0.8;12.9;54;1022
15/03/2015;168;12;10;;4;0.3;18;40;22;68;63;;;0.7;11.7;47;1019
16/03/2015;225;13;12;;3;0.3;27;48;17;89;48;;;0.6;10.7;64;1021
17/03/2015;195;18;16;;3;0.3;16;38;24;62;62;;;0.8;10.8;65;1022
19/03/2015;15;21;20;;3;0.2;2;13;24;14;109;;;3.6;13.4;82;1017
20/03/2015;46;18;16;;3;0.3;2;14;21;16;100;;;4.1;13.4;81;1012
25/03/2015;215;3;2;;3;0.2;13;27;6;46;70;;;1.5;12.6;47;1006
26/03/2015;244;5;3;;3;0.3;29;45;8;88;55;;;1;12.9;43;1016
27/03/2015;259;3;2;;3;0.2;13;28;7;48;49;;;1.6;20;45;1021
28/03/2015;263;5;3;;3;0.3;20;38;8;67;43;;;0.8;20.1;51;1024
29/03/2015;225;8;7;;3;0.2;11;35;11;52;38;;;0.5;17.8;59;1024
30/03/2015;211;7;5;;5;0.3;25;44;15;81;34;;;1;22.7;41;1023
31/03/2015;262;8;6;;5;0.3;33;60;18;110;30;;;0.4;22.3;44;1024
01/04/2015;263;9;7;;3;0.2;23;43;15;78;48;;;0.5;17.4;59;1027
02/04/2015;264;9;7;;3;0.2;18;43;14;71;42;;;0.6;15.7;65;1026
03/04/2015;259;12;11;;3;0.2;6;21;14;29;65;;;0.8;15.2;74;1020
04/04/2015;186;8;8;;3;0.1;5;20;9;26;73;;;0.7;15.2;75;1015
05/04/2015;250;8;7;;3;0.1;5;17;10;23;66;;;0.8;14.7;73;1014
06/04/2015;145;5;4;;3;0.2;5;18;6;25;87;;;0.6;14.8;73;1021
07/04/2015;203;6;5;;3;0.1;4;18;9;24;97;;;1.7;14;67;1028
08/04/2015;250;5;4;;3;0.2;8;25;8;36;98;;;0.8;14.1;57;1030
09/04/2015;177;6;5;;4;0.2;7;26;8;35;96;;;0.8;14;62;1028
10/04/2015;244;9;8;;3;0.2;13;34;12;54;75;;;0.5;14.6;65;1026
11/04/2015;66;14;13;;3;0.2;8;31;17;43;69;;;0.6;14;75;1026
12/04/2015;209;13;12;;3;0.2;3;16;16;19;101;;;1;15.4;76;1029
13/04/2015;238;10;9;;3;0.1;4;23;13;28;98;;;0.7;15.7;68;1030
14/04/2015;233;12;10;;3;0.2;21;40;16;71;53;;;0.5;16.1;62;1027
15/04/2015;80;14;12;;3;0.2;14;40;20;61;48;;;0.7;15.3;72;1020
16/04/2015;236;11;9;;3;0.2;18;30;16;57;57;;;1;18.8;60;1017
17/04/2015;273;6;5;;5;0.2;15;31;10;52;60;;;1;19.4;59;1018
18/04/2015;264;10;9;;3;0.2;6;30;12;40;69;;;0.7;17.8;70;1015
19/04/2015;248;2;1;;3;0.1;4;15;5;19;90;;;0.9;18.4;50;1016
20/04/2015;270;6;5;;3;0.2;15;28;10;49;;;;0.5;17.2;64;1022
21/04/2015;250;13;11;;4;0.2;16;30;17;53;;;;0.5;17.3;71;1025
22/04/2015;222;16;14;;6;0.2;13;30;20;48;54;;;0.7;17.1;71;1022
23/04/2015;258;21;19;;7;0.3;24;35;29;70;43;;;0.6;17.8;69;1019
24/04/2015;236;30;26;;7;0.2;13;32;37;51;45;;;0.9;17.8;71;1016
25/04/2015;177;26;22;;4;0.3;8;26;36;38;44;;;0.8;20.7;60;1014
26/04/2015;216;10;7;;3;0.2;4;14;24;19;58;;;1.5;20.9;51;1009
27/04/2015;289;3;2;;4;0.3;5;14;11;21;75;;;1.9;20.2;43;1010
28/04/2015;283;7;5;;4;0.3;12;25;14;43;50;;;0.9;18.3;56;1018
29/04/2015;266;14;11;;5;0.3;11;24;21;39;46;;;0.8;18;71;1019
30/04/2015;285;20;18;;5;0.4;11;29;26;45;41;;;0.7;18;72;1020
01/05/2015;195;16;14;;3;0.3;6;24;24;32;45;;;1;24;47;1015
02/05/2015;288;13;10;;8;0.2;10;28;19;43;36;;;0.7;22.8;57;1014
03/05/2015;251;18;15;;6;0.3;6;29;24;38;47;;;0.6;25.4;52;1011
04/05/2015;188;20;18;;4;0.3;5;20;24;27;55;;;1.1;21.3;72;1009
05/05/2015;166;8;5;;3;0.2;8;23;20;34;46;;;1.1;24.5;44;1012
06/05/2015;280;9;7;;3;0.3;10;28;14;42;49;;;0.8;21.6;51;1018
07/05/2015;267;13;11;;4;0.3;7;22;18;32;44;;;0.7;19.9;69;1020
08/05/2015;313;14;10;;6;0.3;14;46;35;66;55;;;1.4;25.9;43;1018
09/05/2015;267;15;11;;5;0.3;7;39;20;49;41;;;0.8;22.2;63;1024
10/05/2015;270;12;9;;7;0.3;5;34;16;42;41;;;0.6;21.4;65;1025
11/05/2015;273;9;7;;4;0.1;24;50;14;85;38;;;0.4;21.4;61;1024
12/05/2015;275;13;11;;4;0.1;22;49;19;83;39;;;0.6;21.3;63;1024
13/05/2015;251;18;15;;4;0.1;27;60;29;102;31;;;0.6;22.5;61;1022
14/05/2015;253;30;15;;5;0.3;55;64;102;148;57;;;1.1;31.6;36;1012
15/05/2015;283;8;4;;6;0.1;15;38;28;60;64;;;1.2;22.4;43;1018
16/05/2015;286;4;2;;5;0.1;10;38;8;53;69;;;0.7;21.4;37;1024
17/05/2015;283;4;3;;4;0.1;8;37;8;49;43;;;0.5;20.4;54;1022
18/05/2015;284;6;5;;4;0.1;21;46;13;78;36;;;0.9;20.8;61;1015
19/05/2015;85;6;4;;4;0.1;7;27;9;37;37;;;1.3;18.5;78;1013
20/05/2015;315;4;3;;3;0.1;17;40;8;66;45;;;0.7;17.6;58;1020
21/05/2015;318;4;4;;4;0.1;17;43;6;68;55;;;0.9;18.3;48;1024
22/05/2015;314;7;6;;5;0.2;17;45;9;71;46;;;0.8;18;56;1022
23/05/2015;314;8;7;;3;0.1;9;35;10;48;48;;;0.7;19;59;1018
24/05/2015;231;7;6;;3;0.1;7;36;9;47;47;;;0.5;19.5;60;1018
25/05/2015;304;9;8;;3;0.1;22;50;14;83;40;;;0.5;21.5;54;1018
26/05/2015;317;8;7;;4;0.2;21;40;11;72;35;;;0.9;21.5;55;1017
27/05/2015;314;10;8;;5;0.2;15;42;12;63;36;;;0.6;20.9;63;1020
28/05/2015;294;13;11;;4;0.1;14;38;15;59;40;;;0.8;21;67;1020
29/05/2015;290;10;8;;3;0.2;18;48;13;75;40;;;0.6;21.2;62;1016
30/05/2015;309;11;10;;6;0.1;8;32;13;43;42;;;0.6;21.3;68;1018
31/05/2015;288;10;9;;4;0.1;6;29;11;38;40;;;0.5;21.4;68;1018
01/06/2015;301;11;10;;4;0.2;12;35;13;53;37;;;0.6;22.2;72;1019
02/06/2015;303;12;10;;7;0.2;12;33;16;50;42;;;0.7;23;65;1021
03/06/2015;313;10;8;;3;0.2;22;52;13;85;39;;;0.5;23.5;59;1023
04/06/2015;317;10;8;;6;0.2;22;58;15;92;34;;;0.4;24.1;50;1022
05/06/2015;311;11;10;;4;0.3;22;54;16;88;38;;;0.4;23.9;52;1021
06/06/2015;318;10;9;;7;0.2;13;49;12;69;37;;;0.4;24;51;1022
07/06/2015;321;8;8;;5;0.3;10;45;10;60;42;;;0.4;24.2;49;1022
08/06/2015;311;9;7;;3;0.2;19;56;16;84;51;;;0.6;25.5;41;1018
09/06/2015;305;15;13;;5;0.3;22;53;20;87;46;;;0.6;24.9;58;1015
10/06/2015;263;16;14;;3;0.3;12;35;20;53;46;;;0.9;24.7;69;1015
11/06/2015;93;21;18;;3;0.3;9;35;24;49;35;;;0.8;23.4;75;1012
12/06/2015;292;15;13;;4;0.2;15;43;21;66;43;;;0.9;24.7;63;1011
13/06/2015;172;14;11;;4;0.2;5;25;17;32;39;;;1.4;22;78;1011
14/06/2015;246;7;6;;6;0.1;5;23;11;31;67;;;0.9;23.2;47;1012
15/06/2015;236;9;7;;3;0.2;17;42;15;68;42;;;0.7;21;58;1016
16/06/2015;233;7;6;;4;0.2;17;47;12;74;38;;;0.5;20.8;68;1020
17/06/2015;305;12;9;;7;0.2;25;54;18;93;30;;;0.4;22.1;64;1021
18/06/2015;318;11;9;;6;0.1;23;52;19;86;34;;;0.5;23.4;64;1020
19/06/2015;317;12;8;;5;0.2;20;48;25;79;43;;;0.8;24.4;60;1017
20/06/2015;317;12;9;;6;0.2;8;30;16;42;37;;;0.8;23.7;71;1019
21/06/2015;311;12;10;;4;0.2;7;31;16;41;40;;;0.6;24.7;66;1019
22/06/2015;269;10;7;;4;0.2;16;46;21;69;36;;;0.6;25.1;64;1016
23/06/2015;221;9;6;;3;0.2;17;54;18;79;47;;;0.8;26.1;54;1013
24/06/2015;304;8;6;;4;0.2;13;38;16;57;45;;;0.8;24.4;66;1019
25/06/2015;314;10;8;;3;0.2;16;47;15;71;44;;;0.5;25.2;65;1022
26/06/2015;312;10;8;;5;0.3;19;55;17;83;49;;;0.8;26.9;56;1020
27/06/2015;311;14;10;;3;0.4;9;42;21;55;55;;;1;26.9;63;1019
28/06/2015;307;12;10;;3;0.3;4;28;17;34;55;;;0.9;26.6;68;1018
29/06/2015;302;11;9;;5;;9;32;17;45;63;;;0.9;26.7;69;1020
30/06/2015;307;10;8;;5;;17;49;18;75;59;;;0.6;27.2;57;1018
01/07/2015;282;12;9;;3;;13;35;18;54;45;;;0.8;26.6;68;1017
02/07/2015;186;9;6;;;;9;37;16;50;121;;;1.1;26.9;68;1017
03/07/2015;271;11;8;;4;;6;26;16;34;116;;;1.5;26.9;71;1021
04/07/2015;303;12;10;;3;;7;33;17;43;100;;;0.5;28;57;1022
05/07/2015;307;15;13;;3;;5;30;20;36;102;;;0.5;27.9;59;1020
06/07/2015;305;17;15;;5;;15;56;24;78;78;;;0.3;28.4;59;1020
07/07/2015;305;17;13;;5;;22;57;30;91;70;;;0.8;29.3;54;1015
08/07/2015;295;17;14;;4;;8;35;26;47;85;;;1;28.5;65;1016
09/07/2015;288;16;10;;6;;11;34;23;50;74;;;0.9;27.6;72;1018
10/07/2015;300;15;9;;5;;14;35;24;56;;;;1.1;27.6;;1017
11/07/2015;195;14;11;;4;;6;22;20;30;;;;1;27;71;1020
12/07/2015;302;11;9;;4;;6;27;15;36;;;;0.5;27.2;69;1020
13/07/2015;300;14;11;;3;;13;36;21;55;;;;0.6;27.5;70;1019
14/07/2015;258;14;11;;4;;13;31;20;50;;;;0.6;27.6;72;1019
15/07/2015;289;13;10;;4;;12;34;19;52;;;;0.7;27.9;68;1018
16/07/2015;278;12;9;;4;;13;43;18;61;;;;0.6;28.2;64;1017
17/07/2015;281;13;10;;4;;16;47;20;70;;;;0.5;28.2;66;1019
18/07/2015;243;16;14;;4;;7;31;19;41;;;;0.5;28.2;70;1018
19/07/2015;191;18;15;;3;;9;26;23;39;;;;0.8;27.9;70;1016
20/07/2015;296;20;17;;4;0.1;15;30;25;53;;;;0.8;28.3;71;1016
21/07/2015;278;22;18;;3;0.1;13;31;28;50;;;;0.7;28.6;70;1015
22/07/2015;274;12;9;;3;0.1;12;40;22;58;;;;1.1;27.9;65;1016
23/07/2015;304;10;8;;4;0.1;18;42;14;70;;;;0.6;27.8;66;1016
24/07/2015;301;17;14;;4;0.1;13;44;23;63;;;;0.8;29.8;66;1010
25/07/2015;275;13;9;;4;0.1;6;22;18;30;;;;1.1;28.7;66;1015
26/07/2015;256;16;11;;5;0.1;4;18;20;24;;;;1.1;28.3;74;1015
27/07/2015;297;18;14;;4;0.1;14;29;22;50;;;;0.7;28.9;73;1013
28/07/2015;300;14;12;;5;0.1;12;26;17;43;;;;0.9;29;71;1014
29/07/2015;259;13;11;;3;0.1;15;30;18;53;;;;0.6;28.9;71;1012
30/07/2015;79;10;7;;3;0.2;11;29;14;46;;;;1.1;27.1;78;1012
31/07/2015;176;7;5;;3;0.1;12;34;10;52;;;;1.1;26.5;75;1011
