Fecha;CO;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
06/07/2015;0.34;7;50;42;66;32;6;64;80;1005.3;24.2;1.52
05/07/2015;0.36;6;46;29;35;20;6;55;98;1008.7;20.3;1.21
04/07/2015;0.31;8;40;36;52;27;9;60;82;1008.8;21.8;1.83
03/07/2015;0.34;8;56;42;88;39;6;93;74;1004.9;25.7;1.5
02/07/2015;0.34;11;52;46;32;27;8;58;96;1008;19.9;1.41
01/07/2015;0.42;10;56;46;52;48;6;71;93;1001.6;21.3;1.72
30/06/2015;0.41;8;78;48;87;43;7;74;70;1000.3;26.2;0.95
29/06/2015;0.38;10;44;40;68;27;7;60;85;1006.8;23.5;1.27
28/06/2015;0.34;8;32;32;44;25;9;53;90;1009.6;20.3;1.52
27/06/2015;0.28;8;37;34;55;36;10;44;81;1009.8;20.9;1.1
26/06/2015;0.4;15;72;70;56;55;14;62;90;1009.8;20.1;1.83
25/06/2015;0.29;14;61;57;90;31;10;47;69;1008.2;22.4;0.79
24/06/2015;0.27;12;42;45;54;29;10;66;79;1007.5;19.1;1.01
23/06/2015;0.32;7;31;31;51;23;8;327;78;1004.8;19.4;0.54
22/06/2015;0.4;14;53;58;46;33;10;68;83;1003.2;20.2;1.42
21/06/2015;0.26;6;39;31;68;23;9;52;77;1007.9;19.3;1.11
20/06/2015;0.27;8;40;32;68;22;9;346;78;1010.8;18.4;0.96
19/06/2015;0.27;15;76;54;43;25;7;319;98;1011.8;16.3;0.21
18/06/2015;0.27;9;57;43;68;26;8;43;83;1013.5;17;1.01
17/06/2015;0.23;8;51;35;83;22;5;302;84;1015;16.5;1.22
16/06/2015;0.26;12;57;39;72;21;6;295;85;1013.5;15.4;1.23
15/06/2015;0.27;11;40;38;69;19;7;279;92;1007.5;15.7;0.64
14/06/2015;0.31;6;43;33;67;18;11;55;87;1001.2;16.2;0.5
13/06/2015;0.29;6;40;27;64;16;7;29;93;998.8;17.4;0.63
12/06/2015;0.34;10;45;46;60;34;9;60;94;999.1;17.4;1.5
11/06/2015;0.29;9;58;46;63;22;7;78;90;998.1;18.9;0.9
10/06/2015;0.31;9;48;39;46;25;6;287;98;1001;16;0.69
09/06/2015;0.27;6;48;33;75;34;9;316;91;1006.6;16.7;0.49
08/06/2015;0.36;13;65;54;61;40;16;57;88;1008.7;19.7;1.82
07/06/2015;0.26;6;33;28;51;22;9;67;89;1011.2;19.1;1.3
06/06/2015;0.27;7;46;31;47;18;7;65;99;1013;16.6;0.31
05/06/2015;0.33;14;59;58;39;38;11;61;95;1008.4;18.1;1.64
04/06/2015;0.31;11;63;44;95;35;8;109;67;1005.8;25;0.75
03/06/2015;0.31;8;36;35;49;29;9;58;94;1010.6;18.1;0.8
02/06/2015;0.31;11;42;43;48;26;12;58;86;1007.7;19.4;1.53
01/06/2015;0.34;13;41;48;37;26;11;65;93;1006.9;18;1.17
31/05/2015;0.24;9;44;36;50;22;13;61;74;1006.7;17.8;1.7
