Fecha;vv;dd;TMP;HR;PRB;RS;LL;NO;NO2;NOX;O3
01/01/2015;1.2;8;12;64;1007;99;0;2;4;6;76
02/01/2015;0.7;295;12.3;58;1009;101;0;3;9;12;62
03/01/2015;0.6;287;14.7;44;1007;104;0;3;10;13;61
04/01/2015;1;28;15.9;50;1003;102;0;3;8;11;63
05/01/2015;0.8;251;13.7;69;1001;99;0;2;6;8;68
06/01/2015;0.6;5;11.7;83;998;90;0;3;6;9;56
07/01/2015;0.9;19;12.4;75;1003;79;0;3;8;11;62
08/01/2015;1;302;12;80;1009;102;0;3;8;12;59
09/01/2015;1.1;286;12.8;69;1013;110;0;3;9;12;59
10/01/2015;0.7;274;15.7;43;1005;116;0;3;11;15;58
11/01/2015;0.8;288;16.3;42;1001;112;0;2;6;9;65
12/01/2015;1.2;257;15;68;1005;104;0;2;6;8;73
13/01/2015;0.8;278;13.9;76;999;104;0;2;9;11;68
14/01/2015;0.8;313;16.2;49;998;106;0;3;9;12;65
15/01/2015;1.3;263;14.3;65;992;109;0;3;10;13;63
16/01/2015;1.9;270;13.7;58;986;80;0;3;6;9;65
17/01/2015;1.1;286;10.6;51;994;116;0;2;5;7;72
18/01/2015;2.1;281;10.4;56;988;97;1.7;2;5;7;74
19/01/2015;4.6;24;10;71;980;32;1.5;2;4;6;67
20/01/2015;1;302;8.9;59;982;117;0;5;7;14;60
21/01/2015;1.2;245;10.7;51;981;110;0;3;6;9;65
22/01/2015;1.6;243;10.9;45;984;112;0;2;4;6;75
23/01/2015;1;254;10.9;46;991;132;0;2;5;7;74
24/01/2015;1;296;11.3;43;995;133;0;2;5;7;74
25/01/2015;1.1;222;13;41;995;133;0;2;5;7;79
26/01/2015;1.1;299;10.9;65;999;129;0;2;7;9;73
27/01/2015;1;287;12;65;997;126;0;3;10;14;66
28/01/2015;1.5;285;12.6;60;994;138;0;2;6;8;72
29/01/2015;2.2;270;16.1;54;984;125;0;2;7;9;67
30/01/2015;5.6;258;20.6;49;970;107;0;3;6;10;69
31/01/2015;;;;;;;0;;;
02/02/2015;;;;;;;0;;;
03/02/2015;4.8;285;13.7;49;974;128;0;3;5;8;77
04/02/2015;2.5;256;8.8;45;973;66;0;2;4;6;79
05/02/2015;1.6;219;7.5;35;980;120;0;3;6;9;73
06/02/2015;3.3;296;8;34;984;135;0;3;5;9;77
07/02/2015;2.2;37;7.1;51;991;87;0;2;5;7;64
08/02/2015;1.7;264;8.9;57;994;160;0;3;5;8;72
09/02/2015;2.7;59;10.6;66;997;73;0.4;2;5;8;78
10/02/2015;2.1;62;11.5;70;997;82;0.2;2;4;6;89
11/02/2015;3;64;13.1;73;993;131;0;2;4;7;91
12/02/2015;2;55;12.7;75;993;54;0;2;6;8;82
13/02/2015;0.7;251;13.1;70;994;167;0;3;10;13;68
14/02/2015;1.8;278;15.3;53;989;119;0;2;5;7;77
15/02/2015;1.8;239;17;56;984;164;0.5;2;4;6;69
16/02/2015;2.9;241;16.4;56;989;161;0;2;4;7;75
17/02/2015;5.9;44;12.2;77;995;68;6.2;2;4;6;78
18/02/2015;7.1;52;12.5;73;1002;90;0.2;2;4;6;84
19/02/2015;5.5;53;12.5;68;1001;135;0;3;4;8;101
20/02/2015;2.5;54;12.4;67;994;177;0;3;6;9;91
21/02/2015;2.3;202;12.6;61;981;67;1;3;5;8;79
22/02/2015;2.9;198;13.2;43;984;161;0.2;2;4;7;89
23/02/2015;2;239;17.1;52;986;138;0.2;2;5;8;70
24/02/2015;3.4;233;14.9;34;993;169;0.2;2;4;6;85
25/02/2015;5.2;188;16.4;36;993;151;1.6;3;5;8;86
26/02/2015;2.5;200;17.6;50;991;175;0;2;7;9;76
27/02/2015;1.8;142;16.9;38;990;171;0;2;5;7;80
28/02/2015;1.3;261;13.2;54;995;195;0;2;4;6;91
01/03/2015;0.7;259;18;53;995;180;0;3;7;10;70
02/03/2015;1.1;273;21.2;50;994;194;0;4;11;16;64
03/03/2015;0.8;238;17.4;67;996;187;0;3;12;16;49
04/03/2015;2.3;351;14.5;77;998;149;0;2;5;7;64
05/03/2015;2.3;182;14.2;22;1002;220;0;2;6;8;93
06/03/2015;1.2;266;12.8;34;1004;217;0;2;7;9;87
07/03/2015;1.2;278;13.6;50;1000;216;0;3;6;9;86
08/03/2015;1.3;139;14.2;60;997;137;0;2;5;8;96
09/03/2015;1.4;260;13.3;77;997;204;0;2;6;9;93
10/03/2015;1.1;239;14.1;77;998;206;0;3;8;11;93
11/03/2015;0.7;280;17;59;996;216;0;2;14;15;95
12/03/2015;0.8;278;18.2;49;992;221;0;2;15;17;103
13/03/2015;1.4;341;15;65;993;211;0;2;5;8;101
14/03/2015;1.6;36;11;75;993;108;8.6;3;6;10;78
15/03/2015;0.9;267;11.1;65;990;161;1.6;4;6;11;82
16/03/2015;0.8;322;10.7;71;991;149;5.6;3;6;9;77
17/03/2015;2;68;11;68;993;210;0;2;5;7;89
18/03/2015;4.9;58;13.3;75;989;45;4.2;2;4;6;98
19/03/2015;9.8;49;14.8;80;984;102;0.3;2;4;6;99
20/03/2015;9.1;43;15;81;980;144;1.5;2;4;6;98
21/03/2015;1.5;241;14.8;83;980;197;0;2;6;8;86
22/03/2015;1;251;13.9;89;982;116;1.5;2;5;7;87
23/03/2015;1.5;86;13.6;;981;45;3.6;2;4;6;88
24/03/2015;1.4;200;14.2;;975;177;5.3;2;6;7;79
