Fecha;TMP;HR;O3
04/08/2015;28.3;58;86
05/08/2015;28.9;57;92
06/08/2015;28.6;58;81
07/08/2015;28.4;54;70
08/08/2015;24.7;67;67
09/08/2015;25.5;;70
10/08/2015;27.4;64;76
11/08/2015;27.3;60;73
12/08/2015;28.6;58;73
13/08/2015;27.3;26;73
14/08/2015;25.1;36;76
18/08/2015;22.6;73;70
19/08/2015;23.8;71;73
20/08/2015;26.4;64;73
21/08/2015;26.7;59;76
22/08/2015;25.3;61;77
23/08/2015;24.9;37;61
24/08/2015;23.9;39;70
25/08/2015;24.3;49;80
26/08/2015;26;63;70
27/08/2015;26.8;58;69
28/08/2015;26.9;56;71
29/08/2015;25.8;60;78
30/08/2015;26.2;61;76
31/08/2015;25.4;69;62
