Fecha;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
04/08/2015;4;27;22;48;12;5;107;90;1014.4;;0.12
03/08/2015;4;37;23;77;20;5;311;76;1011.7;;0.1
02/08/2015;3;35;17;118;15;5;257;65;1009.3;;0.76
01/08/2015;3;15;13;96;16;5;237;75;1013.4;;0.15
31/07/2015;3;23;16;75;12;5;246;88;1009.3;;0.15
30/07/2015;4;24;19;65;14;5;211;83;1013;;0.2
29/07/2015;4;27;22;47;13;5;206;90;1012;;0.12
28/07/2015;4;21;18;79;13;6;71;69;1011.5;;0.19
27/07/2015;3;18;15;55;17;5;118;80;1013.2;;0.27
26/07/2015;3;20;14;88;12;6;137;70;1010.8;;0.3
25/07/2015;3;13;11;83;15;5;200;69;1016.4;;0.59
24/07/2015;5;28;20;66;13;5;151;79;1009.7;;0.51
23/07/2015;5;31;22;68;15;5;76;78;1012.9;;0.03
22/07/2015;4;22;18;46;17;5;124;92;1016.1;;0.21
21/07/2015;5;26;23;46;19;5;225;91;1012.6;;0.24
20/07/2015;4;43;21;85;17;5;233;72;1012.3;;0.17
19/07/2015;4;24;16;74;18;5;206;77;1012.8;;0.3
18/07/2015;4;32;19;53;20;5;252;82;1011.6;;0.14
17/07/2015;5;37;27;68;24;6;331;80;1013.6;;0.19
16/07/2015;5;28;26;60;20;5;47;85;1011.3;;0.34
15/07/2015;4;24;18;59;21;5;308;82;1014.1;;0.35
14/07/2015;4;27;20;69;17;5;219;75;1017.8;;0.3
13/07/2015;5;21;19;64;12;5;238;76;1019.2;;0.36
12/07/2015;3;13;12;60;10;4;116;82;1019.5;;0.16
11/07/2015;2;13;12;83;19;5;206;77;1020;;0.23
10/07/2015;4;33;19;110;21;6;225;66;1012.6;;0.39
09/07/2015;4;32;20;69;13;5;2;70;1017.5;;0.24
08/07/2015;3;20;15;63;11;5;100;80;1019;;0.35
07/07/2015;4;23;20;68;20;8;87;76;1015;;0.54
06/07/2015;4;41;29;74;24;7;54;78;1013.9;;0.42
05/07/2015;2;22;15;51;12;4;79;89;1016.8;;0.31
04/07/2015;2;14;10;71;18;5;40;73;1017.1;;0.31
03/07/2015;3;22;19;107;29;6;31;68;1012.9;;0.19
02/07/2015;3;32;23;56;15;6;76;86;1016.3;;0.52
01/07/2015;4;38;20;72;38;6;81;79;1010.1;;0.2
30/06/2015;4;42;26;104;29;6;19;70;1008.3;;0.14
29/06/2015;4;53;29;75;22;6;45;75;1015.1;;0.23
28/06/2015;3;16;15;56;16;6;107;83;1017.9;;0.25
27/06/2015;4;24;19;80;28;7;258;76;1018.1;;0.29
26/06/2015;4;43;25;87;32;6;159;82;1018.2;;0.13
25/06/2015;4;39;28;105;21;8;257;67;1016.4;;0.46
24/06/2015;4;26;20;71;18;5;238;73;1015.9;;0.59
23/06/2015;5;22;20;60;17;5;184;73;1013.4;;0.45
22/06/2015;5;41;25;61;21;6;304;78;1011.7;;0.1
21/06/2015;3;25;16;91;16;5;264;74;1016.2;;0.53
20/06/2015;3;20;14;82;16;4;238;76;1019;;0.42
19/06/2015;4;36;22;52;14;4;165;88;1019.9;;0.24
18/06/2015;3;33;21;94;19;5;202;77;1021.5;;0.13
17/06/2015;3;34;17;96;17;5;140;80;1022.9;;0.36
16/06/2015;3;36;16;82;11;5;150;79;1021.5;;0.65
15/06/2015;4;33;18;84;14;5;141;85;1015.7;;0.53
14/06/2015;3;23;15;97;14;7;94;78;1009.5;;0.13
13/06/2015;3;30;16;79;15;5;25;87;1007.1;;0.2
12/06/2015;3;43;22;83;19;5;247;88;1007.5;;0.22
11/06/2015;3;34;18;87;25;5;278;83;1006.2;;0.22
10/06/2015;5;41;31;54;25;5;258;92;1009.3;;0.1
09/06/2015;2;22;17;92;26;5;164;85;1015;;0.18
08/06/2015;3;42;20;97;29;5;74;80;1017.1;;0.26
07/06/2015;2;15;11;75;18;5;298;82;1019.4;;0.4
06/06/2015;2;20;12;58;13;5;352;91;1021.2;;0.06
05/06/2015;3;45;21;67;25;5;95;82;1016.5;;0.43
04/06/2015;2;32;19;118;25;5;225;64;1013.6;;0.13
03/06/2015;3;28;21;70;19;5;292;80;1018.7;;0.13
02/06/2015;4;30;22;59;17;5;303;79;1016.2;;0.14
01/06/2015;5;37;25;54;16;5;176;85;1015.3;;0.11
31/05/2015;2;15;12;67;15;6;86;72;1015.1;;0.31
30/05/2015;2;15;13;92;12;6;235;75;1015.8;;0.55
29/05/2015;2;25;16;85;13;5;89;75;1014.5;;0.37
28/05/2015;2;26;15;92;15;5;250;78;1016.3;;0.56
27/05/2015;3;30;18;82;16;5;228;84;1019.8;;0.77
26/05/2015;2;24;16;60;13;5;113;89;1020.4;;0.22
25/05/2015;2;26;16;55;11;5;105;87;1018.9;;0.63
24/05/2015;2;12;11;57;9;5;109;85;1017.8;;0.41
23/05/2015;2;16;12;84;13;5;121;75;1019.9;;0.61
22/05/2015;2;35;17;85;14;5;124;79;1024.4;;0.54
21/05/2015;2;28;15;83;11;5;165;81;1026.2;;0.5
20/05/2015;2;24;13;83;8;5;186;85;1020.2;;0.69
19/05/2015;2;21;13;81;12;6;148;80;1015.7;;0.81
18/05/2015;4;31;20;73;14;6;196;83;1013.7;;0.29
17/05/2015;2;18;13;66;11;5;100;86;1022.8;;0.24
16/05/2015;2;18;14;75;11;5;110;86;1027.8;;0.3
15/05/2015;2;18;11;84;7;5;189;84;1022.3;;1.4
14/05/2015;3;33;22;84;19;7;160;76;1016.1;;0.49
13/05/2015;6;53;37;62;29;7;71;82;1015.6;;0.5
12/05/2015;8;46;38;68;34;10;76;80;1016;;0.77
11/05/2015;11;40;39;78;35;6;36;83;1016.7;;0.59
10/05/2015;24;41;48;102;18;6;253;67;1016.8;;0.35
09/05/2015;4;30;19;75;13;5;261;81;1022.4;;0.18
08/05/2015;5;52;23;94;16;7;135;61;1014.1;;0.43
07/05/2015;5;34;22;98;14;5;232;58;1009.9;;0.54
06/05/2015;4;25;19;96;14;5;111;72;1016.5;;0.22
05/05/2015;2;23;11;88;13;4;356;69;1009;;0.2
04/05/2015;4;31;17;80;15;4;245;61;997.2;;1.27
03/05/2015;1;34;15;74;14;4;245;66;1004.1;;0.81
02/05/2015;2;19;9;54;17;4;254;69;1005.1;;1.08
01/05/2015;1;14;7;71;8;4;264;72;1009;;0.85
30/04/2015;2;17;11;78;10;5;248;60;1012.3;;1.52
29/04/2015;5;48;27;70;17;8;113;79;1016.2;;0.17
28/04/2015;3;25;16;77;13;5;51;69;1017.9;;0.07
27/04/2015;2;29;14;72;8;5;177;86;1009.9;;0.44
26/04/2015;1;19;9;80;7;6;260;76;1002.5;;0.47
25/04/2015;2;30;12;87;12;4;238;61;1006.9;;0.89
24/04/2015;5;60;36;44;23;7;130;81;1009.9;;0.07
23/04/2015;3;45;19;78;13;5;250;81;1015.8;;0.41
22/04/2015;2;38;17;99;13;5;245;62;1014.5;;0.49
21/04/2015;3;35;23;91;13;5;214;65;1017;;0.22
20/04/2015;4;31;20;92;13;6;243;74;1018.1;;0.47
19/04/2015;2;14;12;89;9;6;99;78;1013.3;;0.37
18/04/2015;4;31;22;77;18;6;94;86;1010;;0.16
17/04/2015;3;35;23;75;15;5;71;87;1014.1;;0.05
16/04/2015;5;50;32;63;23;6;278;76;1010.5;;0.12
15/04/2015;2;43;17;101;22;6;252;29;1010.5;;0.57
14/04/2015;4;66;22;103;28;5;80;40;1016.7;;0.49
13/04/2015;3;46;20;107;30;5;264;49;1022;;0.19
12/04/2015;2;30;15;99;19;5;118;63;1021.8;;0.07
11/04/2015;2;21;14;85;13;5;336;79;1022.6;;0.09
10/04/2015;3;47;22;89;15;6;227;68;1017.4;;0.38
09/04/2015;2;43;15;104;15;6;257;38;1017.8;;0.89
08/04/2015;2;32;15;101;13;6;246;39;1019.5;;0.83
07/04/2015;4;41;24;91;15;7;194;66;1020.8;;0.14
06/04/2015;2;22;14;86;11;6;43;70;1017.2;;0.09
05/04/2015;2;14;11;74;8;6;10;79;1013.8;;0.23
04/04/2015;2;13;10;78;8;6;101;85;1016.2;;0.4
03/04/2015;3;34;17;78;13;10;120;77;1019.3;;0.37
02/04/2015;3;30;20;79;15;11;192;68;1025.1;;0.08
01/04/2015;2;32;17;84;25;6;107;75;1030;;0.58
31/03/2015;2;37;17;73;14;6;237;80;1027.5;;0.29
30/03/2015;3;36;25;62;20;9;50;74;1023.8;;0.5
29/03/2015;3;31;20;65;17;11;59;79;1023;;0.24
28/03/2015;4;29;22;64;17;7;316;88;1026.1;;0.08
27/03/2015;4;53;26;72;8;6;162;91;1024.3;;0.42
26/03/2015;3;27;19;65;6;6;208;88;1014.6;;0.93
25/03/2015;2;24;19;76;8;7;151;77;1011.2;;0.88
24/03/2015;;45;;71;11;5;131;90;1008.1;;0.37
23/03/2015;;1;;53;7;5;242;91;1007.8;;0.55
22/03/2015;;0;;72;14;5;112;82;1011.1;;1.27
21/03/2015;8;4;14;52;16;5;142;92;1011.4;;0.06
20/03/2015;6;5;12;62;29;6;108;85;1015.2;;0.49
19/03/2015;8;6;16;75;17;6;213;84;1016.7;;0.37
18/03/2015;7;15;18;67;19;6;255;72;1016.2;;0.48
17/03/2015;13;14;25;86;15;6;248;58;1012.5;;0.98
16/03/2015;24;24;47;60;20;6;246;79;1014.7;;0.57
15/03/2015;19;19;37;64;18;5;260;88;1017.3;;0.49
14/03/2015;17;18;34;86;12;5;234;86;1021.3;;1
13/03/2015;13;26;27;85;24;5;184;77;1023.2;;1.46
12/03/2015;22;49;55;69;34;8;90;83;1019.5;;0.18
11/03/2015;16;42;54;60;32;7;150;90;1023.1;;0.14
10/03/2015;12;84;58;53;24;13;104;71;1022.6;;0.34
09/03/2015;12;65;53;54;22;10;221;66;1022.6;;0.52
08/03/2015;8;50;37;56;21;10;158;75;1023.2;;0.22
07/03/2015;8;48;38;60;20;8;183;68;1024.5;;0.34
06/03/2015;13;58;50;49;19;7;225;71;1028.3;;0.32
05/03/2015;8;57;30;80;12;4;10;73;1034.9;;0.22
04/03/2015;;24;;81;9;5;114;83;1032.2;;0.81
03/03/2015;;41;;52;12;7;166;90;1021.5;;0.13
02/03/2015;12;47;45;47;13;5;81;94;1019.6;;0.18
01/03/2015;7;37;23;54;9;5;253;81;1015.9;;0.59
28/02/2015;9;37;30;61;9;4;246;91;1018.5;;0.5
27/02/2015;8;25;26;93;11;5;158;81;1022.8;;1.02
26/02/2015;7;37;23;73;4;5;171;88;1021.1;;1.02
25/02/2015;6;9;15;86;6;4;200;80;1023.9;;1.99
24/02/2015;7;14;18;86;6;4;219;81;1020.6;;1.88
23/02/2015;8;33;24;80;7;4;227;83;1009.5;;1.05
22/02/2015;6;16;20;86;8;4;191;87;1011.8;;0.44
21/02/2015;7;9;17;87;7;5;188;79;1007.4;;1.96
20/02/2015;7;27;26;72;10;5;252;70;1013.5;;1.94
19/02/2015;13;55;47;56;13;6;247;71;1025.8;;0.97
18/02/2015;12;47;41;55;15;5;259;81;1032.5;;0.19
17/02/2015;10;26;30;77;16;5;103;76;1030.2;;1.71
16/02/2015;11;49;33;74;11;4;199;87;1016.8;;0.66
15/02/2015;10;27;29;67;8;4;222;93;1008.7;;0.37
14/02/2015;9;18;24;70;6;4;249;83;1009.3;;1.43
13/02/2015;11;28;31;78;13;4;246;68;1013.6;;1.73
12/02/2015;12;47;35;70;17;5;243;66;1015.3;;2.47
11/02/2015;13;39;38;64;18;5;231;71;1017.2;;1.41
10/02/2015;13;50;43;69;18;5;242;71;1020;;0.97
09/02/2015;13;50;45;54;23;5;81;73;1025.4;;0.24
08/02/2015;10;30;32;44;18;4;153;85;1026.8;;0.1
07/02/2015;11;29;37;26;17;4;305;93;1019;;0.4
06/02/2015;14;55;52;56;10;4;329;93;1012.1;;0.32
05/02/2015;9;30;31;65;10;4;109;77;1014.7;;1.26
04/02/2015;10;56;37;57;9;4;106;86;1007.3;;0.62
03/02/2015;8;33;31;71;8;4;118;86;998.5;;0.3
02/02/2015;9;21;24;75;4;4;257;79;1002;;1.72
01/02/2015;8;13;19;82;10;5;199;76;1008.1;;1.48
31/01/2015;9;12;20;83;7;4;217;80;994.5;;2.17
30/01/2015;10;44;28;84;6;4;205;86;992.2;;1.78
29/01/2015;10;33;27;67;7;4;249;80;1004.6;;1.57
28/01/2015;9;25;28;58;9;4;244;89;1021.1;;0.76
27/01/2015;9;48;35;61;11;5;155;92;1027.6;;0.16
26/01/2015;13;46;47;22;19;5;219;84;1029.1;;0.35
25/01/2015;8;32;28;53;13;5;161;85;1030;;0.17
24/01/2015;8;29;26;50;9;5;223;89;1027.3;;0.77
23/01/2015;11;45;41;53;11;5;207;85;1023;;0.44
22/01/2015;7;26;26;75;7;5;195;86;1012;;0.37
21/01/2015;6;23;21;77;6;5;242;85;1004.7;;1.33
20/01/2015;7;23;22;57;6;5;253;81;1007;;1.44
19/01/2015;6;19;20;72;10;5;169;74;1010.2;;0.93
18/01/2015;5;13;15;73;6;5;250;64;1006.3;;1.43
17/01/2015;6;28;22;71;8;5;242;73;1016.8;;0.99
16/01/2015;6;35;20;75;6;5;247;83;1008.9;;0.98
15/01/2015;5;53;16;78;8;4;240;58;1006.1;;1.86
14/01/2015;7;30;23;72;12;5;249;65;1018.6;;1.17
13/01/2015;4;25;18;66;12;5;253;58;1017.6;;2.23
12/01/2015;4;29;17;58;8;5;249;62;1024.4;;1.92
11/01/2015;5;32;22;63;20;5;216;90;1030.8;;0.46
10/01/2015;14;46;48;17;23;10;202;89;1031.3;;0.24
09/01/2015;20;41;53;30;20;5;227;81;1037.8;;0.53
08/01/2015;14;43;46;27;20;5;215;80;1034;;0.46
07/01/2015;11;40;36;31;15;5;229;85;1027.8;;0.91
06/01/2015;9;30;33;22;18;5;231;83;1024.5;;0.82
05/01/2015;16;40;46;21;15;6;211;83;1024.3;;0.4
04/01/2015;6;28;27;32;19;6;210;85;1032.2;;0.55
03/01/2015;11;46;41;26;17;8;206;79;1033.7;;0.38
02/01/2015;12;40;40;25;12;7;209;78;1035;;0.54
01/01/2015;3;33;23;34;14;7;220;77;1032.8;;0.79
