Fecha;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
01/10/2015;5;38;23;94;20;6;199;78;1016.6;;0.3
30/09/2015;6;43;34;48;24;6;211;80;1012.8;;0.18
29/09/2015;4;21;23;68;20;5;238;86;1014.4;;0.46
28/09/2015;4;26;21;69;17;5;251;81;1018.4;;0.62
27/09/2015;3;17;15;73;12;5;201;83;1018.6;;0.31
26/09/2015;4;18;19;69;15;5;231;82;1015.8;;0.27
25/09/2015;5;37;28;62;16;5;242;81;1016.7;;0.16
24/09/2015;5;28;25;52;13;5;252;84;1017.2;;0.23
23/09/2015;3;26;20;58;8;5;203;93;1015.3;;0.08
22/09/2015;2;11;11;73;9;5;247;79;1012.9;;0.71
21/09/2015;4;42;24;76;15;6;136;82;1014.7;;0.21
20/09/2015;3;29;18;81;11;6;254;77;1019;;0.18
19/09/2015;3;16;15;78;9;5;180;78;1021.7;;0.19
18/09/2015;3;32;19;71;11;5;217;77;1018.1;;0.51
17/09/2015;2;16;13;67;9;4;246;73;1008.3;;1.16
16/09/2015;2;28;11;73;10;4;234;56;991.7;;1.17
15/09/2015;3;24;15;68;10;5;223;71;998.8;;1.11
14/09/2015;3;23;16;71;14;5;164;78;1008.9;;0.24
13/09/2015;3;17;14;66;18;5;259;81;1003.1;;0.85
12/09/2015;3;21;16;76;14;5;2;84;1008.2;;0.03
11/09/2015;4;31;19;86;16;5;204;79;1009;;0.05
10/09/2015;3;26;20;76;18;5;120;83;1012;;0.33
09/09/2015;4;38;24;73;19;5;239;80;1010.4;;0.27
08/09/2015;4;32;24;77;15;5;245;75;1014.3;;0.64
07/09/2015;4;25;20;54;13;5;208;77;1019.7;;0.44
06/09/2015;3;19;14;80;10;4;245;77;1020.2;;0.45
05/09/2015;3;19;15;73;9;5;197;80;1018.7;;0.29
04/09/2015;4;19;19;58;10;5;170;87;1015.7;;0.1
03/09/2015;4;21;16;62;10;5;228;87;1014.3;;0.33
02/09/2015;4;19;19;71;14;5;206;82;1014.1;;0.24
01/09/2015;3;17;17;69;11;5;201;86;1016.5;;0.24
31/08/2015;4;24;18;69;26;5;252;83;1009.9;;0.23
30/08/2015;4;32;20;80;28;5;213;69;1008.4;;0.22
29/08/2015;3;22;17;75;19;5;88;79;1010.7;;0.17
28/08/2015;5;31;27;57;17;5;70;79;1011.8;;0.29
27/08/2015;3;30;19;66;12;6;253;60;1006.8;;0.95
26/08/2015;5;46;31;64;15;8;133;66;1007.9;;0.09
25/08/2015;3;20;17;70;11;6;250;67;1013.2;;0.83
24/08/2015;3;31;16;71;29;6;189;63;1009.5;;0.4
23/08/2015;3;10;10;69;6;6;235;61;1002.6;;0.73
22/08/2015;4;27;19;68;26;6;69;87;1008;;0.16
21/08/2015;4;26;22;95;25;7;78;78;1014;;0.34
20/08/2015;5;34;29;89;16;8;79;70;1016.6;;0.16
19/08/2015;4;23;20;77;11;6;209;71;1016.1;;0.21
18/08/2015;4;19;18;80;14;6;168;77;1013.4;;0.24
17/08/2015;4;17;17;79;16;5;143;76;1011.9;;0.23
16/08/2015;4;19;18;53;12;7;200;81;1010.7;;0.11
15/08/2015;3;11;12;56;11;5;143;83;1013.2;;0.13
14/08/2015;3;12;11;74;11;5;240;65;1014;;0.66
13/08/2015;4;21;15;74;12;5;286;76;1011.9;;0.36
12/08/2015;5;55;28;75;32;5;91;81;1010.4;;0.27
11/08/2015;6;58;29;96;32;5;62;81;1009;;0.28
10/08/2015;4;22;20;105;16;5;323;71;1012.5;;0.2
09/08/2015;3;19;13;76;12;5;231;73;1019.1;;0.2
08/08/2015;3;14;13;67;11;6;168;83;1019.7;;0.2
07/08/2015;4;27;17;66;13;5;157;90;1015.3;;0.29
06/08/2015;4;24;19;84;21;5;230;76;1011.1;;0.28
05/08/2015;4;24;20;74;18;5;64;79;1010.1;;0.13
