Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;;;7.2;71;;;;;;;;;;;29
02/01/2015;;;7.6;70;;;;;;;;;;;26
03/01/2015;;;10;57;;;;;;;;;;;27
04/01/2015;;;10.3;64;;;;;;;;;;;28
05/01/2015;;;8.7;85;;;;;;;;;;;21
06/01/2015;;;8.8;81;;;;;;;;;;;29
07/01/2015;;;8.8;82;;;;;;;;;;;23
08/01/2015;;;7.4;83;;;;;;;;;;;21
09/01/2015;;;9.1;72;;;;;;;;;;;21
10/01/2015;;;11.4;56;;;;;;;;;;;32
11/01/2015;;;13.4;41;;;;;;;;;;;53
12/01/2015;;;10.6;74;;;;;;;;;;;23
13/01/2015;;;11.4;66;;;;;;;;;;;23
14/01/2015;;;10.1;68;;;0;;;;;;;;22
15/01/2015;0.6;230;12.2;63;994;113;0;23;3;0.1;;;32;;38
16/01/2015;2.9;260;12.1;51;990;65;0;8;3;0.1;;;17;;66
17/01/2015;0.5;302;8.2;54;998;127;0;12;3;0.1;;;13;;57
18/01/2015;0.7;215;6.9;65;992;89;0;13;3;0.1;;;14;;52
19/01/2015;0.6;287;6.8;93;985;0;0;10;3;0.1;;;10;;41
20/01/2015;0.8;220;6.2;68;987;92;0;13;3;0.1;;;14;;46
21/01/2015;1.6;243;6.6;70;986;94;0;18;3;0.1;;;18;;44
22/01/2015;2;299;8.3;60;989;108;0;8;3;0.1;;;9;;62
23/01/2015;0.9;70;7.5;55;996;134;0.9;13;3;0.1;;;15;;53
24/01/2015;0.5;263;7.8;50;999;134;0;12;3;0.1;;;13;;58
25/01/2015;0.9;49;9.9;47;999;134;0;10;3;0.1;;;10;;62
26/01/2015;0.4;99;7.1;66;1002;134;0;18;3;0.2;;;20;;42
27/01/2015;0.6;153;9.5;64;1000;134;0;18;3;0.2;;;20;;39
28/01/2015;0.5;70;9.4;64;998;142;0.1;13;3;0.2;;;17;;44
29/01/2015;3.2;251;12.3;61;988;112;0;13;3;0.1;;;19;;48
30/01/2015;7.1;266;19.1;52;974;85;0;6;3;0.1;7;8;21;18;62
31/01/2015;8;286;14.4;49;973;91;0;4;3;0.1;2;5;12;7;78
01/02/2015;6.1;287;9.7;41;988;150;0;1;3;0.1;2;4;1;6;81
02/02/2015;3.1;254;9.8;53;987;78;0;4;3;0.1;2;7;6;9;69
03/02/2015;5.9;270;12.3;53;978;136;0;2;3;0.1;3;6;4;9;75
04/02/2015;4.7;294;7.5;49;977;66;0;2;3;0.1;2;6;3;8;81
05/02/2015;4.1;300;6.9;36;984;135;0;4;3;0.1;2;6;6;9;75
06/02/2015;3.1;298;6.3;42;987;109;0;6;3;0.1;2;9;6;11;71
07/02/2015;0.4;68;3.8;66;995;70;0;14;3;0.2;2;10;15;13;43
08/02/2015;0.4;302;6.6;59;997;159;0;17;3;0.2;2;9;17;12;50
09/02/2015;0.3;283;5.4;87;1001;5;0;19;3;0.1;4;20;19;26;31
10/02/2015;0.5;54;8.7;88;1001;44;0;15;3;0.1;3;15;16;19;56
11/02/2015;;;9.8;87;;;0;;;;;;;;40
12/02/2015;;;9.4;92;;;;;;;;;;;32
13/02/2015;;;11.3;71;;;;;;;;;;;43
14/02/2015;;;13.4;60;;;;;;;;;;;67
15/02/2015;;;15.1;62;;;;;;;;;;;62
16/02/2015;;;13.8;70;;;;;;;;;;;44
17/02/2015;;;10.6;86;;;;;;;;;;;59
18/02/2015;;;11.3;72;;;;;;;;;;;73
19/02/2015;;;9.1;90;;;;;;;;;;;45
20/02/2015;;;10.9;80;;;;;;;;;;;52
21/02/2015;;;10.6;66;;;;;;;;;;;63
22/02/2015;;;11.5;48;;;;;;;;;;;78
23/02/2015;;;14.5;58;;;;;;;;;;;50
24/02/2015;;;13;39;;;;;;;;;;;83
25/02/2015;;;13.4;46;;;;;;;;;;;77
26/02/2015;;;16.4;52;;;;;;;;;;;53
27/02/2015;;;14.5;45;;;;;;;;;;;69
28/02/2015;;;12.4;53;;;;;;;;;;;52
01/03/2015;;;16.4;57;;;;;;;;;;;46
02/03/2015;;;20.4;51;;;;;;;;;;;48
03/03/2015;;;16.2;74;;;;;;;;;;;41
04/03/2015;;;15.5;61;;;;;;;;;;;56
05/03/2015;;;11.3;37;;;;;;;;;;;68
06/03/2015;;;10.4;53;;;;;;;;;;;45
