Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
01/01/2015;0.18;2.9;18.0;null(null);41.0;20.0;4.0
02/01/2015;0.2;3.6;21.0;null(null);37.0;17.0;2.3
03/01/2015;0.18;2.0;14.0;null(null);31.0;13.0;2.0
04/01/2015;0.12;1.7;14.0;null(null);37.0;15.0;3.7
05/01/2015;0.13;4.2;19.0;null(null);32.0;17.0;2.7
06/01/2015;0.12;2.8;11.0;null(null);50.0;12.0;2.0
07/01/2015;0.14;3.6;22.0;null(null);34.0;17.0;2.7
08/01/2015;0.15;2.2;16.0;null(null);35.0;18.0;2.1
09/01/2015;0.16;3.2;19.0;null(null);29.0;15.0;2.0
10/01/2015;0.11;2.5;13.0;null(null);30.0;11.0;2.0
11/01/2015;0.14;1.0;8.7;null(null);30.0;12.0;2.2
12/01/2015;0.11;2.7;14.0;null(null);35.0;11.0;2.0
13/01/2015;0.1;1.4;8.3;null(null);48.0;9.5;2.0
14/01/2015;0.1;3.0;9.1;null(null);53.0;9.8;2.0
15/01/2015;0.1;3.5;14.0;null(null);53.0;13.0;2.0
16/01/2015;0.13;3.5;16.0;null(null);50.0;18.0;2.2
17/01/2015;0.1;3.3;13.0;null(null);48.0;12.0;2.2
18/01/2015;0.11;3.2;11.0;null(null);49.0;11.0;1.9
19/01/2015;0.11;3.7;13.0;null(null);52.0;20.0;2.1
20/01/2015;0.1;4.9;13.0;null(null);54.0;15.0;2.0
21/01/2015;0.1;5.5;13.0;null(null);58.0;19.0;2.0
22/01/2015;0.12;4.8;15.0;null(null);55.0;14.0;2.0
23/01/2015;0.14;2.2;15.0;null(null);32.0;11.0;3.6
24/01/2015;0.13;1.0;5.1;null(null);33.0;11.0;3.9
25/01/2015;0.11;1.5;15.0;null(null);39.0;19.0;8.1
26/01/2015;0.1;1.6;23.0;null(null);36.0;19.0;10.0
27/01/2015;0.1;1.8;13.0;null(null);34.0;16.0;4.5
28/01/2015;0.12;1.0;9.4;null(null);40.0;10.0;2.2
29/01/2015;0.1;5.5;25.0;null(null);44.0;6.1;2.0
30/01/2015;0.1;1.6;6.9;null(null);45.0;6.0;2.4
31/01/2015;0.1;5.9;15.0;null(null);59.0;21.0;1.2
01/02/2015;0.1;7.0;18.0;null(null);57.0;19.0;1.6
02/02/2015;0.1;7.3;18.0;null(null);53.0;13.0;1.9
03/02/2015;0.1;7.5;19.0;null(null);58.0;14.0;2.0
04/02/2015;0.1;3.9;22.0;null(null);47.0;12.0;3.6
05/02/2015;0.11;3.8;23.0;null(null);43.0;15.0;4.5
06/02/2015;0.1;3.0;19.0;null(null);43.0;12.0;3.3
07/02/2015;0.1;3.3;20.0;null(null);40.0;23.0;2.9
08/02/2015;0.11;3.6;16.0;null(null);43.0;24.0;3.0
09/02/2015;0.1;2.2;10.0;null(null);52.0;18.0;2.3
10/02/2015;0.14;2.2;15.0;null(null);48.0;21.0;3.5
11/02/2015;0.18;2.3;19.0;null(null);45.0;29.0;2.9
12/02/2015;0.18;3.1;17.0;null(null);44.0;22.0;2.3
13/02/2015;0.11;1.7;6.7;null(null);53.0;15.0;2.0
14/02/2015;0.1;2.3;5.9;null(null);52.0;15.0;2.0
15/02/2015;0.14;1.0;1.5;null(null);47.0;16.0;2.2
16/02/2015;0.1;1.3;3.3;null(null);48.0;16.0;1.8
17/02/2015;0.1;2.8;11.0;null(null);53.0;19.0;6.0
18/02/2015;0.11;2.0;19.0;null(null);43.0;16.0;3.8
19/02/2015;0.14;1.9;14.0;null(null);43.0;11.0;2.1
20/02/2015;0.1;1.5;9.5;null(null);46.0;7.5;2.1
21/02/2015;0.1;1.9;7.2;null(null);53.0;15.0;2.0
22/02/2015;0.11;1.7;7.5;null(null);43.0;11.0;2.0
23/02/2015;0.1;1.3;6.2;null(null);50.0;15.0;2.8
24/02/2015;0.11;2.6;13.0;null(null);53.0;27.0;3.1
25/02/2015;0.1;2.7;13.0;null(null);48.0;20.0;2.8
26/02/2015;0.1;1.1;10.0;null(null);45.0;8.1;2.5
27/02/2015;0.1;2.5;14.0;null(null);52.0;21.0;2.7
28/02/2015;0.1;1.3;8.1;null(null);41.0;7.6;2.0
01/03/2015;0.1;1.0;6.3;null(null);46.0;6.4;1.8
02/03/2015;0.11;1.0;12.0;null(null);41.0;12.0;2.4
03/03/2015;0.1;1.5;17.0;null(null);40.0;10.0;2.2
04/03/2015;0.1;3.7;26.0;null(null);47.0;17.0;3.8
05/03/2015;0.1;2.4;19.0;null(null);46.0;15.0;1.8
06/03/2015;0.11;1.6;18.0;null(null);45.0;18.0;1.8
07/03/2015;0.12;1.3;18.0;null(null);49.0;26.0;3.6
08/03/2015;0.1;1.1;13.0;null(null);53.0;23.0;3.3
09/03/2015;0.1;1.7;17.0;null(null);43.0;27.0;3.3
10/03/2015;0.11;1.3;17.0;null(null);46.0;31.0;4.6
