Fecha;NO;NO2;O3;PM10;PM25
30/05/2015;11;32;67;Sense dades;Sense dades
31/05/2015;8;29;68;Sense dades;13
01/06/2015;20;39;62;Sense dades;Sense dades
02/06/2015;27;49;53;27;13
03/06/2015;31;51;41;25;Sense dades
04/06/2015;Sense dades;Sense dades;Sense dades;22;15
05/06/2015;24;50;81;Sense dades;Sense dades
06/06/2015;13;36;80;Sense dades;15
07/06/2015;8;28;93;Sense dades;Sense dades
08/06/2015;28;48;64;Sense dades;17
09/06/2015;31;45;53;Sense dades;Sense dades
10/06/2015;23;36;74;28;15
11/06/2015;27;31;71;26;Sense dades
12/06/2015;24;33;57;25;13
13/06/2015;11;23;65;Sense dades;Sense dades
14/06/2015;9;19;66;Sense dades;10
15/06/2015;26;37;40;18;Sense dades
16/06/2015;25;38;50;Sense dades;9
17/06/2015;22;39;51;29;Sense dades
18/06/2015;23;44;62;32;16
19/06/2015;20;41;64;28;Sense dades
20/06/2015;11;27;61;Sense dades;16
21/06/2015;7;18;86;Sense dades;Sense dades
22/06/2015;19;28;71;Sense dades;13
23/06/2015;22;42;71;29;Sense dades
24/06/2015;7;17;79;Sense dades;15
25/06/2015;22;39;60;31;Sense dades
26/06/2015;25;49;60;Sense dades;20
27/06/2015;11;29;69;Sense dades;Sense dades
28/06/2015;8;23;74;26;16
29/06/2015;27;46;64;29;Sense dades
30/06/2015;25;47;66;30;17
01/07/2015;24;46;53;26;Sense dades
02/07/2015;23;43;60;Sense dades;15
03/07/2015;23;42;67;Sense dades;Sense dades
04/07/2015;12;40;79;Sense dades;20
05/07/2015;8;22;87;29;Sense dades
06/07/2015;23;38;72;Sense dades;19
07/07/2015;28;47;67;42;Sense dades
08/07/2015;17;32;59;34;22
09/07/2015;20;33;57;37;Sense dades
10/07/2015;20;33;59;Sense dades;20
11/07/2015;10;20;59;Sense dades;Sense dades
12/07/2015;7;16;59;Sense dades;20
13/07/2015;24;40;45;40;Sense dades
14/07/2015;23;41;44;38;23
15/07/2015;Sense dades;Sense dades;Sense dades;37;Sense dades
16/07/2015;18;53;67;40;24
17/07/2015;23;50;44;Sense dades;Sense dades
18/07/2015;11;28;54;Sense dades;23
19/07/2015;5;16;84;40;Sense dades
20/07/2015;22;38;52;37;22
21/07/2015;23;39;61;33;Sense dades
22/07/2015;24;38;68;Sense dades;18
23/07/2015;19;30;59;Sense dades;Sense dades
24/07/2015;21;31;58;Sense dades;18
25/07/2015;9;20;57;Sense dades;Sense dades
26/07/2015;6;13;69;Sense dades;14
27/07/2015;25;27;32;25;Sense dades
28/07/2015;25;33;36;32;14
29/07/2015;21;26;43;Sense dades;Sense dades
30/07/2015;19;30;40;26;12
31/07/2015;20;36;49;Sense dades;Sense dades
01/08/2015;8;20;69;Sense dades;Sense dades
02/08/2015;6;14;76;Sense dades;Sense dades
03/08/2015;17;32;64;Sense dades;Sense dades
04/08/2015;15;30;59;Sense dades;Sense dades
05/08/2015;18;35;55;Sense dades;Sense dades
06/08/2015;21;37;51;Sense dades;Sense dades
07/08/2015;20;37;45;Sense dades;Sense dades
08/08/2015;10;20;43;Sense dades;Sense dades
09/08/2015;6;13;50;Sense dades;Sense dades
10/08/2015;20;31;48;Sense dades;Sense dades
11/08/2015;24;36;36;Sense dades;Sense dades
12/08/2015;22;32;33;Sense dades;Sense dades
13/08/2015;24;29;38;Sense dades;Sense dades
14/08/2015;18;20;45;Sense dades;Sense dades
15/08/2015;11;13;45;Sense dades;Sense dades
16/08/2015;12;16;43;Sense dades;Sense dades
17/08/2015;20;22;43;Sense dades;Sense dades
18/08/2015;23;27;37;Sense dades;Sense dades
19/08/2015;23;27;42;Sense dades;Sense dades
20/08/2015;23;28;43;Sense dades;Sense dades
21/08/2015;23;31;51;Sense dades;Sense dades
22/08/2015;14;23;60;Sense dades;Sense dades
23/08/2015;10;17;67;Sense dades;Sense dades
24/08/2015;24;23;51;Sense dades;Sense dades
25/08/2015;33;33;41;Sense dades;Sense dades
26/08/2015;29;34;40;Sense dades;Sense dades
27/08/2015;35;32;43;Sense dades;Sense dades
28/08/2015;35;42;37;Sense dades;Sense dades
29/08/2015;12;20;46;Sense dades;Sense dades
30/08/2015;9;18;55;Sense dades;Sense dades
31/08/2015;25;38;55;Sense dades;Sense dades
01/09/2015;26;38;59;Sense dades;Sense dades
02/09/2015;26;39;41;Sense dades;Sense dades
03/09/2015;22;34;58;Sense dades;Sense dades
04/09/2015;33;40;35;Sense dades;Sense dades
05/09/2015;17;28;52;Sense dades;Sense dades
06/09/2015;11;21;62;Sense dades;Sense dades
07/09/2015;21;32;54;Sense dades;Sense dades
08/09/2015;35;47;39;Sense dades;Sense dades
09/09/2015;32;48;46;Sense dades;Sense dades
10/09/2015;42;48;29;Sense dades;Sense dades
11/09/2015;11;20;47;Sense dades;Sense dades
12/09/2015;12;23;61;Sense dades;Sense dades
13/09/2015;10;17;58;Sense dades;Sense dades
14/09/2015;20;25;50;Sense dades;Sense dades
15/09/2015;34;40;48;Sense dades;Sense dades
16/09/2015;32;40;44;Sense dades;Sense dades
17/09/2015;18;24;58;Sense dades;Sense dades
18/09/2015;28;34;50;Sense dades;Sense dades
19/09/2015;14;24;57;Sense dades;Sense dades
20/09/2015;7;16;71;Sense dades;Sense dades
21/09/2015;29;40;43;Sense dades;Sense dades
22/09/2015;31;33;47;Sense dades;Sense dades
23/09/2015;26;31;50;Sense dades;Sense dades
24/09/2015;20;33;50;Sense dades;Sense dades
25/09/2015;27;40;54;Sense dades;Sense dades
26/09/2015;13;29;57;Sense dades;Sense dades
27/09/2015;8;20;53;Sense dades;Sense dades
28/09/2015;27;38;43;Sense dades;Sense dades
29/09/2015;21;26;53;Sense dades;Sense dades
30/09/2015;16;17;64;Sense dades;Sense dades
01/10/2015;41;50;37;Sense dades;Sense dades
02/10/2015;31;47;36;Sense dades;Sense dades
03/10/2015;15;34;55;Sense dades;Sense dades
04/10/2015;11;28;48;Sense dades;Sense dades
05/10/2015;67;53;26;Sense dades;Sense dades
06/10/2015;22;35;42;Sense dades;Sense dades
07/10/2015;33;35;38;Sense dades;Sense dades
08/10/2015;23;36;38;Sense dades;Sense dades
09/10/2015;33;47;29;Sense dades;Sense dades
10/10/2015;16;31;49;Sense dades;Sense dades
11/10/2015;11;33;45;Sense dades;Sense dades
12/10/2015;8;27;48;Sense dades;Sense dades
13/10/2015;44;47;22;Sense dades;Sense dades
14/10/2015;35;41;24;Sense dades;Sense dades
15/10/2015;26;39;41;Sense dades;Sense dades
16/10/2015;46;50;28;Sense dades;Sense dades
17/10/2015;21;39;36;Sense dades;Sense dades
18/10/2015;14;40;34;Sense dades;Sense dades
19/10/2015;31;41;27;Sense dades;Sense dades
20/10/2015;38;55;19;Sense dades;Sense dades
