Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
08/01/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
09/01/2014;;5;2;42;;;;;1
10/01/2014;;5;3;39;;;;;2
11/01/2014;;5;2;39;;;;;2
12/01/2014;;5;1;41;;;;;1
13/01/2014;;5;1;65;;;;;1
14/01/2014;;5;1;62;;;;;1
15/01/2014;;5;2;52;;;;;1
16/01/2014;;5;1;67;;;;;1
17/01/2014;;5;1;63;;;;;1
18/01/2014;;5;1;64;;;;;1
19/01/2014;;5;1;60;;;;;1
20/01/2014;;5;1;68;;;;;1
21/01/2014;;5;1;67;;;;;1
22/01/2014;;5;1;56;;;;;1
23/01/2014;;5;1;62;;;;;1
24/01/2014;;5;1;58;;;;;1
25/01/2014;;5;1;53;;;;;2
26/01/2014;;5;1;52;;;;;1
27/01/2014;;4;1;73;;;;;1
28/01/2014;;4;1;75;;;;;1
29/01/2014;;4;1;69;;;;;1
30/01/2014;;5;1;67;;;;;2
31/01/2014;;4;1;57;;;;;2
01/02/2014;;4;1;71;;;;;1
02/02/2014;;4;1;64;;;;;1
03/02/2014;;4;1;58;;;;;1
04/02/2014;;5;1;69;;;;;1
05/02/2014;;4;1;74;;;;;2
06/02/2014;;4;1;67;;;;;2
07/02/2014;;5;1;83;;;;;2
08/02/2014;;4;1;85;;;;;1
09/02/2014;;5;1;82;;;;;1
10/02/2014;;5;1;88;;;;;1
11/02/2014;;5;1;74;;;;;2
12/02/2014;;5;2;71;;;;;1
13/02/2014;;4;1;76;;;;;1
14/02/2014;;5;1;63;;;;;1
15/02/2014;;5;1;78;;;;;2
16/02/2014;;5;1;62;;;;;1
17/02/2014;;5;1;61;;;;;1
18/02/2014;;5;1;54;;;;;1
19/02/2014;;5;1;59;;;;;1
20/02/2014;;5;1;53;;;;;1
21/02/2014;;5;1;81;;;;;1
22/02/2014;;5;1;66;;;;;1
23/02/2014;;5;1;71;;;;;1
24/02/2014;;5;1;84;;;;;1
25/02/2014;;5;1;85;;;;;1
26/02/2014;;4;1;81;;;;;1
27/02/2014;;4;1;58;;;;;1
28/02/2014;;5;1;85;;;;;1
01/03/2014;;5;1;76;;;;;1
02/03/2014;;4;1;62;;;;;1
03/03/2014;;4;1;88;;;;;2
04/03/2014;;4;1;78;;;;;1
05/03/2014;;4;1;74;;;;;2
06/03/2014;;5;1;66;;;;;3
07/03/2014;;5;1;73;;;;;2
08/03/2014;;5;2;79;;;;;1
09/03/2014;;5;1;95;;;;;2
