Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
20/10/2015;8:00:00;2;8;0.35;21;52;;;;;;;;
20/10/2015;7:00:00;2;8;0.36;35;55;;;;;;;;
20/10/2015;6:00:00;2;9;0.35;25;59;;;;;;;;
20/10/2015;5:00:00;2;6;0.34;30;65;;;;;;;;
20/10/2015;4:00:00;2;5;0.32;29;67;;;;;;;;
20/10/2015;3:00:00;2;5;0.31;27;66;;;;;;;;
20/10/2015;2:00:00;2;6;0.31;31;64;;;;;;;;
20/10/2015;1:00:00;2;6;0.31;20;70;;;;;;;;
20/10/2015;0:00:00;2;6;0.3;23;72;;;;;;;;
19/10/2015;23:00:00;2;6;0.3;31;73;;;;;;;;
19/10/2015;22:00:00;2;8;0.31;19;69;;;;;;;;
19/10/2015;21:00:00;2;9;0.32;19;63;;;;;;;;
19/10/2015;20:00:00;2;8;0.31;17;66;;;;;;;;
19/10/2015;19:00:00;2;12;0.32;22;60;;;;;;;;
19/10/2015;18:00:00;2;10;0.32;18;57;;;;;;;;
19/10/2015;17:00:00;2;10;0.33;25;57;;;;;;;;
19/10/2015;16:00:00;2;10;0.34;15;53;;;;;;;;
19/10/2015;15:00:00;2;11;0.35;26;49;;;;;;;;
19/10/2015;14:00:00;2;12;0.36;24;44;;;;;;;;
19/10/2015;13:00:00;2;12;0.38;26;44;;;;;;;;
19/10/2015;12:00:00;2;12;0.37;20;47;;;;;;;;
19/10/2015;11:00:00;2;11;0.34;27;49;;;;;;;;
19/10/2015;10:00:00;2;11;0.34;24;49;;;;;;;;
19/10/2015;9:00:00;2;9;0.33;29;52;;;;;;;;
19/10/2015;8:00:00;2;11;0.35;21;50;;;;;;;;
19/10/2015;7:00:00;2;10;0.32;17;51;;;;;;;;
19/10/2015;6:00:00;2;8;0.31;13;48;;;;;;;;
19/10/2015;5:00:00;2;6;0.31;18;52;;;;;;;;
19/10/2015;4:00:00;2;5;0.3;20;59;;;;;;;;
19/10/2015;3:00:00;2;5;0.3;14;43;;;;;;;;
19/10/2015;2:00:00;2;6;0.31;27;47;;;;;;;;
19/10/2015;1:00:00;2;5;0.3;24;53;;;;;;;;
19/10/2015;0:00:00;2;6;0.32;24;56;;;;;;;;
18/10/2015;23:00:00;2;6;0.36;21;50;;;;;;;;
