Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
02/01/2015;14:00:00;1;1.0;15;70;23;85;0.1;16.3;54;1035;0.0
02/01/2015;15:00:00;1;0.3;12;72;13;91;0.1;15.5;49;1035;0.0
02/01/2015;16:00:00;0;0.5;20;59;21;110;0.2;13.7;58;1035;0.0
02/01/2015;17:00:00;1;0.2;5;82;10;109;0.2;13.5;38;1035;0.0
02/01/2015;18:00:00;0;0.3;19;64;11;106;0.1;13.4;49;1035;0.0
02/01/2015;19:00:00;0;0.6;53;29;28;104;0.1;12.7;53;1035;0.0
02/01/2015;20:00:00;1;25.5;83;6;27;105;0.1;11.8;61;1035;0.0
02/01/2015;21:00:00;0;3.2;52;34;25;98;0.1;11.2;49;1035;0.0
02/01/2015;22:00:00;0;2.7;30;61;22;103;0.1;11.2;43;1036;0.0
02/01/2015;23:00:00;0;0.4;6;81;14;95;0.1;11.8;45;1035;0.0
02/01/2015;0:00:00;1;0.2;11;71;11;98;0.1;11.4;48;1035;0.0
03/01/2015;1:00:00;1;0.7;41;39;23;96;0.1;10.9;51;1035;0.0
03/01/2015;2:00:00;1;0.1;35;42;18;96;0.1;11.2;53;1035;0.0
03/01/2015;3:00:00;0;0.5;32;43;18;101;0.1;10.8;59;1034;0.0
03/01/2015;4:00:00;2;0.6;39;36;11;97;0.1;10.8;62;1034;0.0
03/01/2015;5:00:00;6;3.1;36;44;12;94;0.1;11.2;62;1034;0.0
03/01/2015;6:00:00;3;0.1;16;68;13;89;0.1;11.7;52;1034;0.0
03/01/2015;7:00:00;3;0.4;20;63;13;84;0.1;13.0;56;1035;0.0
03/01/2015;8:00:00;2;3.8;24;54;13;58;0.2;16.1;57;1035;0.0
03/01/2015;9:00:00;3;4.1;19;64;11;58;0.1;18.6;52;1035;0.0
03/01/2015;10:00:00;2;3.5;21;66;12;49;0.2;19.5;41;1035;0.0
03/01/2015;11:00:00;1;1.4;11;79;12;57;0.2;20.5;31;1034;0.0
03/01/2015;12:00:00;2;1.1;11;77;18;57;0.2;19.8;45;1033;0.0
03/01/2015;13:00:00;1;0.3;6;81;15;60;0.2;19.5;47;1033;0.0
03/01/2015;14:00:00;1;0.5;6;79;18;72;0.1;18.0;52;1032;0.0
03/01/2015;15:00:00;1;0.3;7;82;19;69;0.2;16.4;51;1032;0.0
03/01/2015;16:00:00;1;0.1;8;81;16;90;0.2;15.0;57;1031;0.0
03/01/2015;17:00:00;1;0.2;15;74;17;96;0.2;14.0;61;1032;0.0
03/01/2015;18:00:00;1;0.0;8;80;23;89;0.2;14.4;64;1032;0.0
03/01/2015;19:00:00;1;0.5;21;64;34;102;0.1;13.4;74;1032;0.0
03/01/2015;20:00:00;1;0.0;19;59;30;108;0.2;12.6;79;1032;0.0
03/01/2015;21:00:00;1;0.3;27;46;36;113;0.2;11.3;73;1031;0.0
03/01/2015;22:00:00;1;0.1;21;51;22;111;0.2;11.1;69;1031;0.0
03/01/2015;23:00:00;1;0.0;15;59;29;110;0.2;11.3;70;1031;0.0
03/01/2015;0:00:00;1;0.8;24;49;28;100;0.1;12.5;82;1030;0.0
04/01/2015;1:00:00;1;0.5;31;41;28;107;0.2;11.4;86;1030;0.0
04/01/2015;2:00:00;1;0.2;18;51;31;110;0.2;11.5;87;1030;0.0
04/01/2015;3:00:00;1;0.0;15;56;23;93;0.1;11.9;81;1029;0.0
04/01/2015;4:00:00;1;0.1;23;41;28;101;0.1;11.4;77;1029;0.0
04/01/2015;5:00:00;2;1.3;33;37;15;97;0.1;13.3;52;1029;0.0
04/01/2015;6:00:00;5;3.9;23;49;15;103;0.2;14.1;41;1029;0.0
04/01/2015;7:00:00;2;0.3;7;58;11;76;0.3;15.2;39;1029;0.0
04/01/2015;8:00:00;2;3.2;25;33;18;73;0.2;14.9;54;1030;0.0
04/01/2015;9:00:00;3;3.9;24;46;13;53;0.2;16.9;53;1031;0.0
04/01/2015;10:00:00;1;1.6;11;67;18;49;0.2;17.4;60;1031;0.0
04/01/2015;11:00:00;2;0.8;8;75;14;51;0.2;17.8;63;1031;0.0
04/01/2015;12:00:00;2;0.9;7;79;17;53;0.3;17.7;66;1030;0.0
04/01/2015;13:00:00;2;0.3;4;84;23;58;0.2;17.9;63;1029;0.0
04/01/2015;14:00:00;2;0.1;4;89;34;62;0.2;17.7;57;1029;0.0
04/01/2015;15:00:00;2;0.2;5;90;19;79;0.1;16.4;52;1029;0.0
04/01/2015;16:00:00;2;0.1;10;85;19;98;0.1;14.7;64;1028;0.0
04/01/2015;17:00:00;1;0.2;13;75;24;112;0.1;13.6;70;1028;0.0
04/01/2015;18:00:00;1;0.6;21;51;23;109;0.1;12.0;75;1029;0.0
04/01/2015;19:00:00;1;0.2;23;44;34;113;0.1;11.5;80;1029;0.0
04/01/2015;20:00:00;1;0.1;23;43;32;116;0.1;11.2;80;1029;0.0
04/01/2015;21:00:00;1;0.2;19;48;28;103;0.2;11.4;75;1029;0.0
04/01/2015;22:00:00;2;0.1;18;58;21;110;0.2;11.7;72;1030;0.0
04/01/2015;0:00:00;1;0.0;10;60;18;110;0.1;11.3;78;1029;0.0
05/01/2015;1:00:00;2;0.1;11;62;20;109;0.1;11.8;78;1030;0.0
05/01/2015;2:00:00;2;0.0;12;57;16;108;0.2;11.2;81;1030;0.0
05/01/2015;3:00:00;2;0.1;10;61;19;105;0.2;11.4;84;1029;0.0
05/01/2015;4:00:00;1;0.2;6;71;20;107;0.2;11.8;83;1029;0.0
