Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;PM10;SO2;TOL
19/01/2015;null(null);0.1;null(null);12.0;20.0;39.0;49.0;7.7;1.0;null(null)
20/01/2015;null(null);0.1;null(null);2.4;6.9;11.0;66.0;2.8;1.1;null(null)
21/01/2015;null(null);0.1;null(null);1.8;2.5;5.0;79.0;5.9;1.0;null(null)
22/01/2015;null(null);0.12;null(null);2.1;15.0;18.0;66.0;2.6;1.0;null(null)
23/01/2015;null(null);0.11;null(null);11.0;28.0;44.0;31.0;5.4;1.2;null(null)
24/01/2015;null(null);0.1;null(null);6.9;18.0;29.0;35.0;4.4;1.1;null(null)
25/01/2015;null(null);0.1;null(null);2.0;8.8;12.0;61.0;9.8;1.0;null(null)
26/01/2015;null(null);0.15;null(null);7.6;27.0;38.0;28.0;11.0;1.2;null(null)
27/01/2015;null(null);0.11;null(null);23.0;23.0;58.0;34.0;9.4;1.0;null(null)
28/01/2015;null(null);0.12;null(null);2.2;12.0;15.0;52.0;3.3;1.0;null(null)
29/01/2015;null(null);0.1;null(null);2.0;5.7;8.7;62.0;2.9;1.0;null(null)
30/01/2015;null(null);0.1;null(null);1.8;1.6;4.0;69.0;4.8;1.0;null(null)
31/01/2015;null(null);0.1;null(null);1.7;1.3;3.5;78.0;5.6;1.0;null(null)
