Fecha;NO;NO2;NOX;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;9;48;36;;13;4;217;79;1016.1;1.9;99.1;18.9;0.11
30/09/2015;10;44;39;;13;3;102;78;1013.2;0.3;128.6;19.2;0.18
29/09/2015;11;36;41;;16;3;80;84;1014.2;0;111.5;17.3;0.08
28/09/2015;7;36;36;;12;3;120;81;1018.6;0;169.3;18.1;0.09
27/09/2015;4;32;23;;8;3;182;81;1018.3;0;147.3;17.8;0.11
26/09/2015;5;30;28;;9;3;71;82;1015.8;0;140.5;18.5;0.1
25/09/2015;14;41;45;;8;3;76;81;1016.9;0;149.1;17.7;0.1
24/09/2015;8;33;36;;5;3;98;77;1017.5;0;154.8;17.8;0.09
23/09/2015;4;46;26;;3;3;182;85;1014.9;2.6;55.3;17.4;0.06
22/09/2015;4;50;21;;4;3;255;84;1012.6;10.4;78.4;17.9;0.17
21/09/2015;8;38;32;;7;3;129;79;1014.6;0;165.6;18.3;0.09
20/09/2015;4;32;24;;4;3;104;78;1019.2;0;188.2;17.8;0.1
19/09/2015;3;25;20;;4;3;97;76;1021.7;0;174.1;18.2;0.16
18/09/2015;6;36;31;;5;3;137;73;1017.9;0;180.1;17.7;0.17
17/09/2015;5;44;31;;2;3;198;74;1007.9;0.1;41.4;17.5;0.28
16/09/2015;14;36;44;;;3;197;56;992.5;0.1;164.6;24.2;1.14
15/09/2015;22;54;69;;3;4;194;68;999.3;0.5;42.9;19.8;0.73
14/09/2015;3;43;22;;3;4;224;77;1009;1.3;73.1;18.1;0.16
13/09/2015;9;35;33;;7;3;173;77;1002.8;0.6;42;20.4;0.14
12/09/2015;3;26;19;;10;3;102;86;1008.1;0.1;15.1;20.8;0.11
11/09/2015;10;49;37;;6;3;57;79;1008.8;0;184.2;21.2;0.07
10/09/2015;4;46;31;;11;3;147;86;1011.7;1.4;22.2;19.9;0.15
09/09/2015;6;31;30;;8;3;95;75;1009.9;0;181.2;21.2;0.11
08/09/2015;6;40;36;;5;3;87;74;1014.1;0;209.3;18.3;0.14
07/09/2015;6;33;30;;4;3;77;75;1019.2;0;205.1;17.8;0.13
06/09/2015;3;30;21;;3;4;63;75;1020.3;0;192.5;18;0.14
05/09/2015;3;29;21;;5;3;133;76;1018.3;0.1;93;17.8;0.11
04/09/2015;4;42;23;;6;3;95;72;1015.2;0;107.6;18.6;0.15
03/09/2015;4;43;27;;8;3;183;81;1013.7;0.1;73.3;19.3;0.13
02/09/2015;5;34;28;;6;3;57;73;1013.8;7.3;179.7;20.1;0.07
01/09/2015;3;29;21;;7;3;25;81;1016;1;69.2;20.2;0.05
31/08/2015;6;47;32;;16;3;202;74;1009.4;7.7;73;25.1;0.23
30/08/2015;5;48;28;;11;3;147;61;1008.7;0;182.6;28.2;0.16
29/08/2015;4;26;19;;12;3;36;77;1010.6;0;214.1;25.4;0.21
28/08/2015;6;40;26;;6;4;65;80;1011.9;0;222.7;23.5;0.21
27/08/2015;12;46;49;;9;4;119;72;1007.1;0;131.2;24.8;0.19
26/08/2015;10;59;42;;7;4;185;62;1008.1;0;224.4;25.6;0.37
25/08/2015;7;35;32;;5;3;192;65;1013.5;0;228.7;21.9;0.14
24/08/2015;4;44;20;;6;3;184;64;1009.3;0;193.6;21.2;0.14
23/08/2015;2;26;14;;4;3;210;65;1002.7;0.8;202.4;23.2;0.22
22/08/2015;3;22;17;;17;3;47;85;1007.7;10.9;107.8;22.6;0.15
21/08/2015;5;38;26;;14;3;56;74;1013.8;0;236.1;24;0.16
20/08/2015;5;26;25;;11;3;67;77;1016.8;0;247;22.1;0.16
19/08/2015;4;28;23;;6;3;46;75;1016.3;0;245;20.4;0.11
18/08/2015;5;34;23;;8;3;62;75;1013.3;0;231.2;20.2;0.21
17/08/2015;4;24;20;;10;3;74;80;1011.7;0.2;191.7;20.4;0.14
16/08/2015;3;16;15;;9;3;76;78;1010.8;0.4;155.1;19.6;0.07
15/08/2015;3;25;17;;7;3;191;82;1013;1.2;160;19.5;0.1
14/08/2015;2;22;15;;7;3;253;71;1013.8;5.1;125.2;20.5;0.25
13/08/2015;3;31;18;;10;3;247;75;1011.6;2.7;191.6;23.2;0.16
12/08/2015;3;36;21;;20;3;48;77;1010.3;0.3;213.3;24.6;0.12
11/08/2015;5;30;23;;15;3;52;79;1008.7;0;186.1;23.2;0.19
10/08/2015;5;34;27;;11;4;56;77;1013.1;0;265.3;22.2;0.1
09/08/2015;3;23;17;;8;3;222;82;1019;2.8;112.6;20.5;0.16
08/08/2015;3;25;20;;5;3;198;91;1019.4;13.8;20.1;18.6;0.19
07/08/2015;2;34;17;;9;3;234;85;1014.7;14;42.4;21.9;0.18
06/08/2015;9;41;32;;17;3;48;81;1011.1;0;150.5;22.7;0.07
05/08/2015;5;37;26;;16;3;193;80;1009.9;0;174.6;23.3;0.05
04/08/2015;3;28;22;;8;3;65;86;1014.3;3.8;74.9;21.1;0.11
03/08/2015;3;24;17;;12;4;56;77;1011.5;0.8;189.1;23.3;0.12
02/08/2015;3;36;20;;9;3;160;63;1009.4;0;273.8;25.5;0.18
01/08/2015;2;46;23;;7;3;87;69;1013.2;0;187.5;20.7;0.02
31/07/2015;2;31;21;;8;3;181;79;1008.7;0.2;58.6;19.5;0.06
30/07/2015;4;35;27;;9;3;84;75;1012.9;0;112.3;19.5;0.12
29/07/2015;6;37;36;;7;3;78;85;1011.7;0.8;23.6;20.1;0.11
28/07/2015;5;37;25;;8;3;140;70;1011.5;0.1;258.9;23.4;0.03
27/07/2015;5;37;23;;11;3;211;78;1013.1;0.7;93.9;22.1;0.13
26/07/2015;4;30;19;;8;3;190;64;1010.8;0;232.5;23.5;0.03
25/07/2015;2;31;15;;8;4;240;77;1016.1;2.4;166.5;20.4;0.04
24/07/2015;4;29;23;;10;3;67;74;1009.3;3.8;225.8;23.8;0.04
23/07/2015;5;31;24;;8;3;41;76;1012.9;0;263;23.8;0.2
22/07/2015;4;30;23;;7;3;189;92;1015.5;8.3;21.3;22.3;0.09
21/07/2015;6;32;28;;13;3;211;84;1012.1;2.3;78.6;24.1;0.05
