Fecha;NO;NO2;NOX;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
20/07/2015;6;25;25;;12;3;48;74;1012.4;0;278.2;25.4;0.24
19/07/2015;3;20;17;;12;3;45;78;1012.8;0.1;252;24.5;0.21
18/07/2015;4;26;21;;16;3;90;81;1011.4;1.1;185.1;24.8;0.03
17/07/2015;;23;;;11;3;43;79;1013.5;0.9;209.2;23.6;0.19
16/07/2015;;0;;;;;;;;;;;
15/07/2015;;0;;;;;;;;;;;
14/07/2015;;0;;;11;3;45;73;1017.8;0;225;23.1;0.26
13/07/2015;;0;;;8;3;40;70;1019;0;236.2;22.8;0.16
12/07/2015;;0;;;6;3;35;69;1019.3;0;247.1;22.6;0.31
11/07/2015;;0;;;13;3;196;77;1019.8;0.2;46.1;21.8;0.02
10/07/2015;;0;;;16;4;216;68;1012.8;0;282.2;23.7;0.02
09/07/2015;;0;;;8;3;41;68;1017.5;0;257.2;21.3;0.3
08/07/2015;;0;;;7;3;45;75;1018.6;4.2;99.4;21.3;0.08
07/07/2015;;0;;;12;4;308;71;1014.7;0;254.9;24.4;0.13
06/07/2015;;0;;;13;4;37;73;1013.8;0;276.3;24.3;0.25
05/07/2015;;0;;;10;3;24;77;1016.5;0;115.5;23.3;0.06
04/07/2015;;0;;;14;3;29;75;1017.1;0;256.3;23.9;0.25
03/07/2015;;0;;;14;4;169;62;1013;0;251.8;28.4;0.31
02/07/2015;;0;;;9;3;219;84;1015.9;0.3;74.1;22.7;0.12
01/07/2015;;55;;;22;3;349;76;1009.8;0;238.1;24.2;0.15
30/06/2015;;21;;;18;3;205;67;1008.3;0;263.7;27.3;0.16
29/06/2015;;27;;;14;3;34;79;1015.4;0;209.6;23.1;0.19
28/06/2015;;16;;;10;3;5;80;1017.7;0;96.8;22;0.02
27/06/2015;;16;;;13;3;31;74;1018.1;0;264.4;22.7;0.18
26/06/2015;2;29;15;;23;3;35;81;1017.8;0;168.2;22;0.06
25/06/2015;2;29;16;;12;3;53;71;1016.5;0;299.4;22.6;0.14
24/06/2015;;21;;;18;3;47;72;1015.9;0;294.5;21;0.23
23/06/2015;;25;;;17;3;52;72;1013.2;0;294.1;21.2;0.24
22/06/2015;1;29;14;;;3;48;77;1011.7;0;286.7;21.7;0.2
21/06/2015;2;25;10;;;3;52;76;1016.4;0;281.7;20.1;0.24
20/06/2015;;18;;;;3;50;78;1019.2;0;286.7;19.3;0.18
19/06/2015;;75;;;;3;217;86;1019.5;0;76.4;18.6;0.09
18/06/2015;2;142;26;;;3;211;79;1021.3;0;154.4;19;0.03
17/06/2015;6;46;21;;;3;230;79;1022.5;0;137.1;19;0.13
16/06/2015;;20;;;;3;265;85;1020.9;0.1;13.5;17.3;0.16
15/06/2015;;33;;;;3;239;83;1015.2;0;105.9;18.4;0.13
14/06/2015;;10;;;;3;56;80;1009.5;0;207.4;18.7;0.11
13/06/2015;2;14;12;;;3;113;89;1007.2;0;72.9;18.8;0.08
12/06/2015;3;29;13;;;3;57;84;1007.6;0;164.6;19.5;0.23
11/06/2015;4;61;19;;;3;188;77;1006.3;0.1;44.9;21.5;0.21
10/06/2015;3;42;21;;;3;154;83;1009.6;0.1;62.8;18.9;0.22
09/06/2015;3;55;18;;;3;235;75;1014.6;0;168;19.6;0.15
08/06/2015;5;28;18;;;3;54;77;1016.7;0.1;287.4;21.1;0.08
07/06/2015;2;10;7;;;3;37;81;1019.4;0;183.6;20.2;0.09
06/06/2015;2;12;7;;;3;22;83;1021;0.4;70.6;19.3;0.18
05/06/2015;3;33;15;;;3;228;80;1016.3;0.7;173.6;21.2;0.16
04/06/2015;7;69;30;;;3;174;61;1014.1;0;285.1;26;0.21
03/06/2015;2;33;13;;;3;24;82;1018.9;0.2;85.4;20;0.29
02/06/2015;3;28;14;;;3;25;81;1016.3;0.2;142.5;20.5;0.22
01/06/2015;4;40;19;;;3;53;81;1015.3;0;98.1;19.8;0.13
31/05/2015;1;19;9;;;3;55;69;1015.1;0;294.2;19.4;0.18
30/05/2015;2;27;16;;;3;35;74;1015.9;0;253.8;16.8;0.09
29/05/2015;2;38;15;;;3;22;77;1014.5;0;111.8;17.1;0.18
28/05/2015;5;50;20;;;3;26;76;1016.3;0;201.6;18.2;0.24
27/05/2015;2;26;11;;;3;38;76;1019.5;0.1;289.1;18.4;0.27
26/05/2015;2;23;12;;;3;285;78;1020.1;0.1;92.1;16.7;0.06
25/05/2015;2;27;11;;;3;300;80;1018.8;0.1;127.3;17.3;0.11
24/05/2015;2;8;6;;;3;336;85;1017.4;0.2;35.2;17.2;0.11
23/05/2015;2;32;8;;;3;298;77;1019.7;0.4;95.1;16;0.07
22/05/2015;5;48;19;;;3;22;72;1024;0.7;206.2;15.5;0.1
21/05/2015;3;46;18;;;3;4;78;1025.7;1.8;112.9;14.2;0.01
20/05/2015;2;27;12;;;3;253;82;1019.8;4.7;120.2;13.8;0.2
19/05/2015;2;30;13;;;3;255;81;1015.3;6.3;112.9;14.5;0.15
18/05/2015;4;32;19;;;3;278;76;1013.7;0.6;200.7;16;0.09
17/05/2015;2;14;7;;;3;19;84;1022.8;0;157.2;16.5;0.28
16/05/2015;2;13;8;;;3;327;86;1027.5;6.3;76.6;15.6;0.1
15/05/2015;2;19;10;;;3;283;80;1021.5;7.1;70.9;14.9;0.32
14/05/2015;2;27;13;;;3;263;79;1015.9;2.3;54.5;16.4;0.19
13/05/2015;8;61;31;;;3;33;84;1015.8;0;78.5;17.7;0.11
12/05/2015;2;19;12;;;3;13;81;1016.4;0;198.1;17.9;0.22
11/05/2015;1;23;13;;21;3;10;82;1016.8;0;158.3;18.1;0.34
10/05/2015;2;53;21;;11;3;46;65;1016.7;0;282;22.3;0.13
09/05/2015;3;37;18;;8;3;39;78;1022.5;0;85.7;17.3;0.18
08/05/2015;6;86;25;;7;3;13;51;1013.9;0;258;22;0.22
07/05/2015;9;70;50;;9;4;145;57;1010.1;0;268.1;21.2;0.14
06/05/2015;4;32;19;;7;3;50;73;1016.5;0;185.7;15.3;0.25
05/05/2015;2;26;15;;7;3;250;68;1009;1.2;187.1;17.2;0.14
04/05/2015;23;59;65;;8;4;194;53;997.2;0;119.3;25.2;0.73
03/05/2015;6;44;25;;6;4;206;62;1004.1;0.9;109.3;22.5;0.26
02/05/2015;12;29;32;;5;3;172;72;1005.6;0;120.9;21.5;0.14
01/05/2015;8;25;26;;5;3;212;70;1009;0.8;41.3;20.5;0.44
30/04/2015;7;47;40;;9;3;195;59;1012.5;0;190.1;18.6;0.26
29/04/2015;6;40;30;;7;3;106;74;1016.1;0;147.5;14;0.05
28/04/2015;2;34;15;;5;3;27;61;1017.7;0;246.2;14.8;0.33
27/04/2015;2;19;10;;6;3;275;81;1008.9;4.4;90.7;15.1;0.26
26/04/2015;3;36;15;;4;3;201;82;1001.9;20.1;49;17;0.22
25/04/2015;7;41;31;;10;3;211;58;1006.7;0;184.2;21;0.47
24/04/2015;13;62;51;;13;4;52;74;1009.4;0.2;159.8;17;0.19
23/04/2015;2;27;18;;7;3;40;73;1015.6;0.1;182.6;16.3;0.2
22/04/2015;8;49;38;;7;3;191;49;1014.6;0;113.1;19.7;0.54
21/04/2015;9;54;44;;13;3;58;71;1017.1;0;220.5;17.7;0.15
20/04/2015;4;39;23;;12;3;7;73;1018;0;250.1;15.4;0.03
19/04/2015;2;21;13;;7;3;232;79;1013.1;0.4;123.2;14.4;0.23
18/04/2015;4;39;24;;16;3;209;88;1009.6;5.2;70.6;14.5;0.06
17/04/2015;4;45;29;;12;3;47;82;1014;2.6;71.1;15.6;0.11
16/04/2015;2;51;27;;15;3;42;67;1010;0;73.7;17;0.03
15/04/2015;11;73;52;;8;6;208;24;1010.5;0;49;22.9;0.84
14/04/2015;5;88;38;;12;3;154;45;1017;0;233.9;22.4;0.17
13/04/2015;7;62;44;;14;4;258;54;1022.2;0;229.6;20.4;0.05
12/04/2015;3;44;22;;14;3;47;68;1022.1;0;230;17.6;0.14
11/04/2015;2;31;16;;14;3;42;82;1022.6;0.2;103.4;15.1;0.18
10/04/2015;9;65;45;;11;5;201;54;1017.4;0.7;83.9;17;0.71
09/04/2015;15;85;62;;9;13;200;23;1017.9;0;122.9;19.9;1.01
08/04/2015;2;34;10;;6;6;192;31;1020.3;0;239.3;18.5;0.73
07/04/2015;5;42;28;;11;2;46;67;1020.8;0;227.8;13.1;0.11
06/04/2015;4;30;18;;10;2;30;71;1016.7;0;224.4;11.3;0.16
05/04/2015;2;20;10;;11;2;25;78;1013.3;1.4;163.1;12.6;0.19
04/04/2015;2;10;7;;3;2;294;87;1015.6;3.4;67.2;12.4;0.07
03/04/2015;3;28;16;;10;3;358;76;1018.9;0.1;169.5;12.2;0.11
02/04/2015;3;26;16;;10;2;36;74;1025;0;209.9;11.3;0.12
01/04/2015;2;38;15;;12;2;27;76;1029.7;0.5;132.6;12.7;0.23
31/03/2015;2;17;11;;9;2;282;85;1027.5;1.6;52.8;14.5;0.22
30/03/2015;2;43;20;;9;2;265;79;1024;0.5;36.2;14.8;0.16
29/03/2015;2;35;16;;9;2;195;78;1023.2;0.8;121.3;15.1;0.03
28/03/2015;2;28;13;;9;3;268;85;1026.1;1.3;63.1;14.3;0.1
27/03/2015;4;58;20;;7;2;247;86;1024.1;2.9;38;13.1;0.2
26/03/2015;4;54;23;;5;2;247;90;1014.1;3.8;35.2;11.1;0.38
25/03/2015;2;39;15;;3;3;15;71;1010.2;2.4;125.8;9.9;0.4
24/03/2015;6;52;38;;15;3;242;90;1006.9;8.6;13.1;10;0.06
23/03/2015;8;67;50;;14;3;204;92;1007.3;9;19;8.3;0.09
22/03/2015;2;38;17;;21;2;358;83;1010.4;2.9;10.1;10.4;0.22
21/03/2015;2;41;29;;30;2;193;93;1011.1;3;1.5;9.9;0.04
20/03/2015;3;43;25;;44;2;239;83;1014.9;0.7;3.8;11.2;0.08
19/03/2015;4;39;30;;20;2;87;84;1016.6;0.5;78.6;12.3;0.1
18/03/2015;6;64;44;;11;3;63;64;1016.2;0;75.7;13.9;0.13
17/03/2015;14;63;59;;15;4;209;44;1012.9;0;177.8;15.1;0.86
16/03/2015;9;62;47;;37;3;169;79;1014.5;0.4;56.8;9.9;0.07
15/03/2015;2;35;16;;29;2;201;82;1016.4;3.9;48.9;8.8;0.24
14/03/2015;2;23;14;;15;2;253;82;1019.9;10.2;39.6;9.7;0.14
13/03/2015;2;22;12;;12;3;272;74;1022.5;6.1;84.4;12;0.26
12/03/2015;6;46;28;;29;3;136;77;1019.4;0;153.8;12.4;0.05
11/03/2015;11;55;45;;31;3;186;85;1023;0;20.2;12;0.15
10/03/2015;8;51;40;;22;2;73;82;1022.4;0;164.6;11.2;0.14
09/03/2015;6;51;39;;18;3;116;75;1022.4;0;164.6;11.5;0.05
08/03/2015;3;51;28;;17;2;162;76;1022.7;0;168;11.6;0.08
07/03/2015;6;51;38;;18;2;188;68;1024.1;0;173.1;12.1;0.03
06/03/2015;16;55;56;;14;3;143;76;1028.1;0;169.9;9.1;0.07
05/03/2015;3;54;21;;11;2;37;74;1034.4;0;160;8.8;0.24
04/03/2015;3;57;19;;4;2;12;81;1031.2;11.3;60.9;10.4;0.34
03/03/2015;11;56;51;;11;2;9;91;1021.4;1.9;42;12.7;0.08
02/03/2015;10;51;41;;9;3;148;94;1019.5;4.6;13;13.8;0.04
01/03/2015;3;33;22;;7;2;216;84;1016;1.4;29.4;16;0.25
28/02/2015;5;58;31;;8;2;211;91;1018.4;5.1;16.6;11.1;0.3
27/02/2015;2;35;18;;6;2;354;72;1022;2.8;109.2;11;0.16
26/02/2015;2;28;11;;3;2;277;93;1020.5;17.1;9.3;13;0.3
25/02/2015;2;10;7;;6;2;277;90;1022.8;22;0;12.3;0.52
24/02/2015;2;29;12;;6;3;268;83;1019.1;13.8;21.2;8.9;0.34
23/02/2015;8;55;32;;6;3;243;88;1009.1;9.9;21.1;11.4;0.3
22/02/2015;2;15;10;;6;2;327;79;1011.1;4.6;49.4;10.8;0.09
21/02/2015;2;9;7;;4;2;260;78;1006.1;12;44;10.3;0.31
20/02/2015;6;60;32;;12;2;217;69;1013.3;4.1;45.3;10.9;0.92
19/02/2015;18;61;66;;15;3;192;74;1025.5;0;147.4;8.9;0.16
18/02/2015;6;52;32;;14;2;37;70;1032;0;87.9;8.9;0.2
17/02/2015;1;35;17;;10;2;14;75;1029;2;3.8;10.8;0.69
16/02/2015;5;57;31;;9;2;234;91;1016.2;11;18.7;10.4;0.23
15/02/2015;3;28;21;;7;3;220;91;1008.2;2.8;8.9;11;0.12
14/02/2015;3;30;17;;5;2;211;80;1008.8;4.2;4.2;10.7;0.74
13/02/2015;7;52;27;;13;3;216;60;1013.1;0;89.2;12.5;0.91
12/02/2015;4;61;26;;12;3;199;55;1015;0;133.2;13.2;0.63
11/02/2015;14;70;54;;19;3;204;61;1016.7;0;64.4;9.4;0.42
10/02/2015;18;76;70;;25;4;159;68;1019.7;0;135.2;7.7;0.11
09/02/2015;15;58;51;;18;2;51;73;1025.1;0;137.5;5.4;0.12
08/02/2015;3;42;22;;28;2;7;67;1025.7;0;88.2;6.6;0.15
07/02/2015;3;28;25;;27;3;104;73;1018.3;0.2;62.3;4.5;0.09
06/02/2015;8;51;38;;21;3;133;79;1011.3;0.5;16.6;2.7;0.11
05/02/2015;2;28;18;;10;2;18;65;1013.5;0.6;47.2;5.7;0.67
04/02/2015;7;44;29;;16;2;23;75;1005.9;0;64.9;4;0.57
03/02/2015;5;59;29;;6;2;302;76;997.7;6.2;63.9;6.7;0.11
02/02/2015;9;56;44;;5;3;213;77;1001.8;1.5;49.3;8.5;0.64
01/02/2015;2;16;8;;5;2;321;79;1006.3;12.2;13;7.6;0.25
31/01/2015;2;16;8;;4;2;271;80;992.6;7.9;26.2;9;0.38
30/01/2015;2;45;18;;7;3;261;88;991.7;30.6;0;10.6;0.53
29/01/2015;10;63;38;;7;4;249;75;1003.8;5.3;19.4;13.4;0.62
28/01/2015;11;77;55;;10;3;227;89;1020.6;0.9;21.5;10.9;0.25
27/01/2015;3;49;27;;9;2;3;83;1026.7;3;8.6;11.2;0.18
26/01/2015;21;69;77;;16;4;187;76;1028.7;0.3;23.7;9.1;0.24
25/01/2015;4;50;23;;10;3;58;79;1029.8;0;101.3;6.8;0.16
24/01/2015;5;40;30;;15;2;278;76;1026.3;1.8;36.5;9.2;0.07
23/01/2015;23;54;66;;23;3;122;85;1022.3;0;37.5;6.9;0.1
22/01/2015;8;63;43;;6;2;218;84;1010.5;5.8;22.8;8.1;0.28
21/01/2015;6;60;39;;6;3;224;86;1003.4;11.5;30.9;7.5;0.69
20/01/2015;9;52;48;;11;3;197;80;1006.6;0;28.8;6.8;0.39
19/01/2015;4;56;27;;5;3;248;72;1009;2.5;38.4;9;0.23
18/01/2015;18;49;55;;7;4;191;66;1006.7;2.3;36.8;8.7;0.63
17/01/2015;6;48;34;;7;3;214;81;1016.6;6.2;33.2;8.7;0.23
16/01/2015;7;69;39;;4;2;235;82;1007.9;8.8;21.1;9.7;0.36
15/01/2015;30;55;81;;8;6;215;49;1006.1;1.3;0;15.4;1.6
14/01/2015;26;59;73;;13;4;203;69;1018.5;0;91.3;12.6;0.33
13/01/2015;29;62;80;;8;4;222;48;1016.9;0;54.2;16.2;1.04
12/01/2015;28;69;81;;8;5;203;56;1023.8;0.1;100;12.6;0.48
11/01/2015;3;36;19;;10;2;46;85;1030.4;2.8;28.8;11;0.07
10/01/2015;17;42;53;;21;3;212;85;1030.8;0;29.6;12;0.21
09/01/2015;35;53;92;;16;4;204;81;1037.3;0;73.6;12.7;0.23
08/01/2015;29;56;85;;16;4;207;79;1033.4;0.4;60.7;11;0.35
07/01/2015;28;44;77;;17;5;202;86;1027.2;0.1;75.6;10.5;0.13
06/01/2015;22;45;66;;24;3;209;88;1023.8;0.4;0;10.8;0.29
05/01/2015;26;49;68;;13;3;217;87;1023.8;0;79.7;9.9;0.13
04/01/2015;12;44;49;;18;3;225;90;1031.9;0.4;10.3;12.4;0.21
03/01/2015;20;66;71;;17;5;195;76;1032.9;0;91.6;9.6;0.13
02/01/2015;33;59;91;;14;6;199;73;1034.2;0;81.9;6.9;0.24
01/01/2015;13;52;48;;13;3;194;72;1032.2;0;95.7;4.9;0.21
