Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
20/10/2015;3:00:00;3;1;0.45;32;67;;;;;;;;
20/10/2015;2:00:00;3;1;0.45;40;67;;;;;;;;
20/10/2015;1:00:00;3;2;0.44;35;68;;;;;;;;
20/10/2015;0:00:00;4;1;0.45;38;70;;;;;;;;
19/10/2015;23:00:00;3;1;0.44;13;70;;;;;;;;
19/10/2015;22:00:00;4;2;0.46;37;66;;;;;;;;
19/10/2015;21:00:00;3;1;0.45;38;64;;;;;;;;
19/10/2015;20:00:00;3;3;0.47;15;58;;;;;;;;
19/10/2015;19:00:00;3;4;0.5;31;52;;;;;;;;
19/10/2015;18:00:00;4;4;0.47;45;52;;;;;;;;
19/10/2015;17:00:00;3;4;0.48;17;48;;;;;;;;
19/10/2015;16:00:00;3;4;0.51;27;45;;;;;;;;
19/10/2015;15:00:00;3;4;0.51;27;42;;;;;;;;
19/10/2015;14:00:00;3;5;0.53;46;38;;;;;;;;
19/10/2015;13:00:00;3;3;0.5;27;41;;;;;;;;
19/10/2015;12:00:00;3;5;0.5;41;42;;;;;;;;
19/10/2015;11:00:00;3;5;0.51;14;42;;;;;;;;
19/10/2015;10:00:00;2;3;0.48;35;43;;;;;;;;
19/10/2015;9:00:00;2;5;0.5;40;45;;;;;;;;
19/10/2015;8:00:00;2;7;0.52;46;40;;;;;;;;
19/10/2015;7:00:00;2;4;0.5;8;41;;;;;;;;
19/10/2015;6:00:00;2;2;0.5;15;39;;;;;;;;
19/10/2015;5:00:00;2;1;0.43;17;50;;;;;;;;
19/10/2015;4:00:00;2;1;0.43;30;55;;;;;;;;
19/10/2015;3:00:00;2;1;0.44;33;40;;;;;;;;
19/10/2015;2:00:00;2;1;0.44;43;42;;;;;;;;
19/10/2015;1:00:00;2;1;0.44;31;44;;;;;;;;
19/10/2015;0:00:00;2;2;0.47;28;41;;;;;;;;
18/10/2015;23:00:00;2;4;0.53;22;30;;;;;;;;
18/10/2015;22:00:00;2;4;0.61;33;37;;;;;;;;
18/10/2015;21:00:00;2;6;0.64;30;34;;;;;;;;
18/10/2015;20:00:00;2;4;0.58;50;41;;;;;;;;
18/10/2015;19:00:00;3;7;0.61;50;33;;;;;;;;
18/10/2015;18:00:00;2;6;0.61;62;33;;;;;;;;
18/10/2015;17:00:00;3;5;0.55;53;37;;;;;;;;
18/10/2015;16:00:00;3;6;0.54;57;42;;;;;;;;
18/10/2015;15:00:00;3;4;0.56;42;47;;;;;;;;
18/10/2015;14:00:00;3;4;0.56;47;53;;;;;;;;
18/10/2015;13:00:00;3;3;0.52;33;58;;;;;;;;
18/10/2015;12:00:00;4;9;0.56;47;40;;;;;;;;
18/10/2015;11:00:00;6;15;0.63;30;24;;;;;;;;
18/10/2015;10:00:00;4;9;0.57;7;21;;;;;;;;
18/10/2015;9:00:00;4;9;0.58;21;13;;;;;;;;
18/10/2015;8:00:00;3;11;0.61;13;10;;;;;;;;
18/10/2015;7:00:00;4;5;0.51;13;18;;;;;;;;
18/10/2015;6:00:00;4;5;0.52;16;21;;;;;;;;
18/10/2015;5:00:00;5;6;0.58;31;14;;;;;;;;
18/10/2015;4:00:00;5;3;0.85;28;11;;;;;;;;
18/10/2015;3:00:00;5;5;1;30;6;;;;;;;;
18/10/2015;2:00:00;3;5;0.7;14;5;;;;;;;;
18/10/2015;1:00:00;2;3;0.61;35;6;;;;;;;;
18/10/2015;0:00:00;3;5;0.62;28;7;;;;;;;;
17/10/2015;23:00:00;4;13;0.67;24;3;;;;;;;;
17/10/2015;22:00:00;3;3;0.52;22;40;;;;;;;;
17/10/2015;21:00:00;3;5;0.57;20;36;;;;;;;;
17/10/2015;20:00:00;4;5;0.53;16;46;;;;;;;;
17/10/2015;19:00:00;3;2;0.46;16;54;;;;;;;;
17/10/2015;18:00:00;4;2;0.47;12;53;;;;;;;;
17/10/2015;17:00:00;4;2;0.46;24;58;;;;;;;;
17/10/2015;16:00:00;5;2;0.44;8;63;;;;;;;;
17/10/2015;15:00:00;5;2;0.47;30;62;;;;;;;;
17/10/2015;14:00:00;5;3;0.48;21;57;;;;;;;;
17/10/2015;13:00:00;6;6;0.5;17;48;;;;;;;;
17/10/2015;12:00:00;5;6;0.49;17;42;;;;;;;;
17/10/2015;11:00:00;3;14;0.58;10;22;;;;;;;;
17/10/2015;10:00:00;2;20;0.55;11;13;;;;;;;;
17/10/2015;9:00:00;2;22;0.55;21;10;;;;;;;;
17/10/2015;8:00:00;2;39;0.6;16;2;;;;;;;;
17/10/2015;7:00:00;2;11;0.51;22;2;;;;;;;;
17/10/2015;6:00:00;2;7;0.53;19;7;;;;;;;;
17/10/2015;5:00:00;2;2;0.46;18;9;;;;;;;;
17/10/2015;4:00:00;2;2;0.46;21;15;;;;;;;;
17/10/2015;3:00:00;2;2;0.45;24;19;;;;;;;;
17/10/2015;2:00:00;2;3;0.49;10;14;;;;;;;;
17/10/2015;1:00:00;2;3;0.48;15;22;;;;;;;;
17/10/2015;0:00:00;2;3;0.55;15;25;;;;;;;;
16/10/2015;23:00:00;2;7;0.58;18;27;;;;;;;;
16/10/2015;22:00:00;2;1;0.5;19;59;;;;;;;;
16/10/2015;21:00:00;2;3;0.51;25;57;;;;;;;;
16/10/2015;20:00:00;2;5;0.57;34;54;;;;;;;;
16/10/2015;19:00:00;2;9;0.52;21;54;;;;;;;;
16/10/2015;18:00:00;2;5;0.48;14;69;;;;;;;;
16/10/2015;17:00:00;2;5;0.49;4;70;;;;;;;;
16/10/2015;16:00:00;2;5;0.47;8;76;;;;;;;;
16/10/2015;15:00:00;2;4;0.45;6;72;;;;;;;;
