Fecha;NO;NO2;PM25;PM10
15/01/2015;74;67;-;20
15/02/2015;12;37;8;12
15/03/2015;22;44;11;18
15/04/2015;6;29;9;17
15/05/2015;6;28;9;18
15/06/2015;4;25;11;19
15/07/2015;4;30;12;24
15/08/2015;5;28;10;21
15/09/2015;11;35;8;15
15/10/2015;28;31;10;17
15/11/2015;78;50;16;25
