Fecha;Hora;SO2;NO2;NO;O3;BEN;TOL;XIL
05/08/2015;7:00:00;5;16;2;86;0;0;0
05/08/2015;8:00:00;4;36;7;66;0;0;0
05/08/2015;9:00:00;5;31;3;64;0;0;0
05/08/2015;10:00:00;5;43;6;63;0;0;0
05/08/2015;11:00:00;6;38;3;80;0;0;0
05/08/2015;12:00:00;6;40;4;96;0;0;0
05/08/2015;13:00:00;6;32;4;102;0;0;0
05/08/2015;14:00:00;5;25;2;106;0;0;0
05/08/2015;15:00:00;6;22;3;111;0;0;0
05/08/2015;16:00:00;4;12;2;122;0;0;0
05/08/2015;17:00:00;5;9;2;124;0;0;0
05/08/2015;18:00:00;4;5;2;127;0;0;0
05/08/2015;19:00:00;0;0;0;0;0;0;0
05/08/2015;20:00:00;0;0;0;0;0;0;0
05/08/2015;21:00:00;5;17;2;79;0;0;0
05/08/2015;22:00:00;5;15;2;81;0;0;0
05/08/2015;23:00:00;6;25;2;63;0;0;0
05/08/2015;0:00:00;5;15;2;75;0;0;0
06/08/2015;1:00:00;5;13;2;77;0;0;0
06/08/2015;2:00:00;5;11;2;83;0;0;0
06/08/2015;3:00:00;4;12;2;69;0;0;0
06/08/2015;4:00:00;4;18;2;49;0;0;0
06/08/2015;5:00:00;4;14;2;51;0;0;0
06/08/2015;6:00:00;4;12;2;48;0;0;0
06/08/2015;7:00:00;4;26;2;36;0;0;0
06/08/2015;8:00:00;5;24;2;58;0;0;0
06/08/2015;9:00:00;5;33;3;45;0;0;0
06/08/2015;10:00:00;5;42;4;46;0;0;0
06/08/2015;11:00:00;0;0;0;0;0;0;0
06/08/2015;12:00:00;0;0;0;0;0;0;0
06/08/2015;13:00:00;0;0;0;0;0;0;0
06/08/2015;14:00:00;0;0;0;0;0;0;0
06/08/2015;15:00:00;3;21;3;72;0;0;0
06/08/2015;16:00:00;2;17;3;71;0;0;0
06/08/2015;17:00:00;2;12;2;67;0;0;0
06/08/2015;18:00:00;3;12;3;73;0;0;0
06/08/2015;19:00:00;3;10;2;68;0;0;0
06/08/2015;20:00:00;3;12;3;76;0;0;0
06/08/2015;21:00:00;3;18;3;82;0;0;0
06/08/2015;22:00:00;3;23;4;74;0;0;0
06/08/2015;23:00:00;3;32;3;68;0;0;0
06/08/2015;0:00:00;3;25;2;66;0;0;0
07/08/2015;1:00:00;3;22;2;72;0;0;0
07/08/2015;2:00:00;5;22;3;74;0;0;0
07/08/2015;3:00:00;5;16;2;83;0;0;0
07/08/2015;4:00:00;6;12;2;83;0;0;0
07/08/2015;5:00:00;5;12;2;72;0;0;0
07/08/2015;6:00:00;5;13;2;65;0;0;0
07/08/2015;7:00:00;6;14;2;85;0;0;0
07/08/2015;8:00:00;5;21;4;63;0;0;0
07/08/2015;9:00:00;6;40;5;42;0;0;0
07/08/2015;10:00:00;5;36;6;42;0;0;0
07/08/2015;11:00:00;5;40;8;45;0;0;0
07/08/2015;12:00:00;6;41;8;51;0;0;0
07/08/2015;13:00:00;6;34;6;60;0;0;0
07/08/2015;14:00:00;5;55;13;43;0;0;0
07/08/2015;15:00:00;5;35;6;56;0;0;0
07/08/2015;16:00:00;5;23;3;64;0;0;0
07/08/2015;17:00:00;4;13;2;69;0;0;0
07/08/2015;18:00:00;5;13;2;69;0;0;0
07/08/2015;19:00:00;5;21;3;60;0;0;0
07/08/2015;20:00:00;5;18;3;62;0;0;0
07/08/2015;21:00:00;4;17;2;65;0;0;0
07/08/2015;22:00:00;12;35;8;47;0;0;0
07/08/2015;23:00:00;40;39;5;34;0;0;0
07/08/2015;0:00:00;31;31;3;38;0;0;0
08/08/2015;1:00:00;18;20;3;52;0;0;0
08/08/2015;2:00:00;5;14;2;75;0;0;0
08/08/2015;3:00:00;4;22;3;59;0;0;0
08/08/2015;4:00:00;5;19;2;45;0;0;0
08/08/2015;5:00:00;5;14;2;44;0;0;0
08/08/2015;6:00:00;3;11;2;49;0;0;0
08/08/2015;7:00:00;2;14;2;46;0;0;0
08/08/2015;8:00:00;8;20;2;44;0;0;0
08/08/2015;9:00:00;7;12;2;52;0;0;0
08/08/2015;10:00:00;6;11;3;56;0;0;0
08/08/2015;11:00:00;5;15;3;52;0;0;0
08/08/2015;12:00:00;4;25;5;44;0;0;0
08/08/2015;13:00:00;3;34;6;35;0;0;0
08/08/2015;14:00:00;4;45;14;35;0;0;0
08/08/2015;15:00:00;5;32;7;44;0;0;0
08/08/2015;16:00:00;10;21;4;54;0;0;0
08/08/2015;17:00:00;10;17;3;57;0;0;0
08/08/2015;18:00:00;8;15;3;60;0;0;0
08/08/2015;19:00:00;7;19;4;58;0;0;0
08/08/2015;20:00:00;7;21;5;56;0;0;0
08/08/2015;21:00:00;6;22;3;56;0;0;0
08/08/2015;22:00:00;5;26;4;52;0;0;0
08/08/2015;23:00:00;6;30;3;47;0;0;0
08/08/2015;0:00:00;5;26;3;49;0;0;0
09/08/2015;1:00:00;6;33;3;39;0;0;0
09/08/2015;2:00:00;4;25;3;42;0;0;0
09/08/2015;3:00:00;2;23;3;38;0;0;0
09/08/2015;4:00:00;3;21;2;39;0;0;0
09/08/2015;5:00:00;3;23;2;32;0;0;0
09/08/2015;6:00:00;3;25;2;29;0;0;0
09/08/2015;7:00:00;5;27;3;26;0;0;0
09/08/2015;8:00:00;9;19;2;35;0;0;0
09/08/2015;9:00:00;9;17;3;39;0;0;0
09/08/2015;10:00:00;8;15;3;40;0;0;0
09/08/2015;11:00:00;5;18;3;41;0;0;0
09/08/2015;12:00:00;6;22;4;49;0;0;0
09/08/2015;13:00:00;13;35;5;63;0;0;0
09/08/2015;14:00:00;24;31;4;80;0;0;0
09/08/2015;15:00:00;22;29;4;74;0;0;0
09/08/2015;16:00:00;19;16;2;68;0;0;0
09/08/2015;17:00:00;11;12;2;66;0;0;0
09/08/2015;18:00:00;8;10;2;67;0;0;0
09/08/2015;19:00:00;7;11;2;64;0;0;0
09/08/2015;20:00:00;6;13;4;57;0;0;0
09/08/2015;21:00:00;4;13;2;56;0;0;0
09/08/2015;22:00:00;4;24;4;49;0;0;0
09/08/2015;23:00:00;4;28;4;39;0;0;0
09/08/2015;0:00:00;5;19;2;48;0;0;0
10/08/2015;1:00:00;4;21;3;45;0;0;0
10/08/2015;2:00:00;5;18;2;44;0;0;0
10/08/2015;3:00:00;5;14;3;45;0;0;0
10/08/2015;4:00:00;5;12;3;50;0;0;0
10/08/2015;5:00:00;5;13;2;49;0;0;0
10/08/2015;6:00:00;5;14;2;42;0;0;0
10/08/2015;7:00:00;5;20;4;42;0;0;0
10/08/2015;8:00:00;6;24;4;38;0;0;0
10/08/2015;9:00:00;6;39;8;26;0;0;0
10/08/2015;10:00:00;6;35;7;35;0;0;0
10/08/2015;11:00:00;6;30;4;58;0;0;0
10/08/2015;12:00:00;6;21;3;78;0;0;0
10/08/2015;13:00:00;6;17;3;73;0;0;0
10/08/2015;14:00:00;6;24;6;70;0;0;0
10/08/2015;15:00:00;5;19;3;66;0;0;0
10/08/2015;16:00:00;5;15;2;69;0;0;0
10/08/2015;17:00:00;4;10;3;72;0;0;0
10/08/2015;18:00:00;4;10;2;73;0;0;0
10/08/2015;19:00:00;5;17;3;69;0;0;0
10/08/2015;20:00:00;4;16;3;73;0;0;0
10/08/2015;21:00:00;5;24;3;67;0;0;0
10/08/2015;22:00:00;4;40;7;51;0;0;0
10/08/2015;23:00:00;4;35;5;49;0;0;0
10/08/2015;0:00:00;4;18;2;65;0;0;0
11/08/2015;1:00:00;4;15;2;67;0;0;0
11/08/2015;2:00:00;5;14;3;61;0;0;0
11/08/2015;3:00:00;4;12;2;56;0;0;0
11/08/2015;4:00:00;4;13;2;50;0;0;0
11/08/2015;5:00:00;4;10;2;48;0;0;0
11/08/2015;6:00:00;5;12;2;48;0;0;0
11/08/2015;7:00:00;4;16;3;43;0;0;0
11/08/2015;8:00:00;5;23;4;38;0;0;0
11/08/2015;9:00:00;4;28;5;36;0;0;0
11/08/2015;10:00:00;4;25;5;46;0;0;0
11/08/2015;11:00:00;4;26;5;50;0;0;0
11/08/2015;12:00:00;5;26;6;51;0;0;0
11/08/2015;13:00:00;6;19;4;53;0;0;0
11/08/2015;14:00:00;5;20;5;54;0;0;0
11/08/2015;15:00:00;5;15;4;53;0;0;0
11/08/2015;16:00:00;5;12;2;61;0;0;0
11/08/2015;17:00:00;5;10;3;63;0;0;0
11/08/2015;18:00:00;5;10;2;68;0;0;0
11/08/2015;19:00:00;5;12;3;72;0;0;0
11/08/2015;20:00:00;5;14;3;71;0;0;0
11/08/2015;21:00:00;4;20;3;67;0;0;0
11/08/2015;22:00:00;5;23;3;61;0;0;0
11/08/2015;23:00:00;5;23;3;58;0;0;0
11/08/2015;0:00:00;5;17;2;61;0;0;0
12/08/2015;1:00:00;5;14;2;62;0;0;0
12/08/2015;2:00:00;3;15;2;60;0;0;0
12/08/2015;3:00:00;2;12;2;61;0;0;0
12/08/2015;4:00:00;3;12;2;58;0;0;0
12/08/2015;5:00:00;3;12;2;58;0;0;0
12/08/2015;6:00:00;2;14;2;54;0;0;0
12/08/2015;7:00:00;2;21;3;44;0;0;0
12/08/2015;8:00:00;3;28;4;43;0;0;0
12/08/2015;9:00:00;3;31;4;42;0;0;0
12/08/2015;10:00:00;4;46;10;33;0;0;0
12/08/2015;11:00:00;4;38;8;53;0;0;0
12/08/2015;12:00:00;5;48;15;59;0;0;0
12/08/2015;13:00:00;4;42;8;71;0;0;0
12/08/2015;14:00:00;5;26;4;87;0;0;0
12/08/2015;15:00:00;4;20;3;84;0;0;0
