Fecha;SO2;NO;NO2;PM10;PM25
02/06/2015;3;3;16;16;Sense dades
03/06/2015;4;4;18;19;15
04/06/2015;4;5;25;17;Sense dades
05/06/2015;3;3;22;Sense dades;17
06/06/2015;3;2;18;Sense dades;Sense dades
07/06/2015;5;2;19;Sense dades;14
08/06/2015;6;4;25;21;Sense dades
09/06/2015;3;3;18;14;14
10/06/2015;2;2;14;Sense dades;Sense dades
11/06/2015;2;2;16;14;12
12/06/2015;2;3;16;18;Sense dades
13/06/2015;2;1;8;Sense dades;11
14/06/2015;1;1;10;Sense dades;Sense dades
15/06/2015;1;2;19;15;11
16/06/2015;1;2;19;8;Sense dades
17/06/2015;1;2;9;11;9
18/06/2015;1;1;10;Sense dades;Sense dades
19/06/2015;3;2;12;13;11
20/06/2015;3;2;7;Sense dades;Sense dades
21/06/2015;2;1;6;14;12
22/06/2015;1;2;7;16;Sense dades
23/06/2015;1;1;11;15;13
24/06/2015;2;1;8;Sense dades;Sense dades
25/06/2015;2;3;8;Sense dades;11
26/06/2015;2;3;9;Sense dades;Sense dades
27/06/2015;2;1;6;Sense dades;13
28/06/2015;2;1;5;Sense dades;Sense dades
29/06/2015;4;2;12;15;15
30/06/2015;4;2;15;18;Sense dades
01/07/2015;3;2;16;Sense dades;19
02/07/2015;2;2;17;23;Sense dades
03/07/2015;4;3;18;21;16
04/07/2015;6;1;13;Sense dades;Sense dades
05/07/2015;6;1;9;Sense dades;22
06/07/2015;5;2;13;20;Sense dades
07/07/2015;2;3;16;20;16
08/07/2015;2;2;9;20;Sense dades
09/07/2015;1;2;8;24;14
10/07/2015;2;3;12;Sense dades;Sense dades
11/07/2015;1;1;5;Sense dades;12
12/07/2015;2;1;5;Sense dades;Sense dades
13/07/2015;2;2;7;21;16
14/07/2015;2;2;8;21;Sense dades
15/07/2015;3;3;12;19;19
16/07/2015;3;5;17;Sense dades;Sense dades
17/07/2015;4;2;15;Sense dades;19
18/07/2015;1;1;13;Sense dades;Sense dades
19/07/2015;2;1;12;Sense dades;16
20/07/2015;1;2;10;19;Sense dades
21/07/2015;3;3;12;13;19
22/07/2015;2;1;12;12;Sense dades
23/07/2015;1;2;11;16;12
24/07/2015;1;1;3;16;Sense dades
25/07/2015;2;2;9;Sense dades;12
26/07/2015;2;2;9;Sense dades;Sense dades
27/07/2015;1;2;7;17;12
28/07/2015;2;2;13;Sense dades;Sense dades
29/07/2015;1;1;5;15;10
30/07/2015;1;1;8;16;Sense dades
31/07/2015;1;2;18;13;10
01/08/2015;1;2;11;Sense dades;Sense dades
02/08/2015;2;1;10;Sense dades;Sense dades
03/08/2015;2;3;13;Sense dades;Sense dades
04/08/2015;2;3;15;Sense dades;Sense dades
05/08/2015;2;2;11;Sense dades;Sense dades
06/08/2015;2;2;12;Sense dades;Sense dades
07/08/2015;2;2;13;Sense dades;Sense dades
08/08/2015;1;2;17;Sense dades;Sense dades
09/08/2015;1;1;10;Sense dades;Sense dades
10/08/2015;1;3;15;Sense dades;Sense dades
11/08/2015;2;3;15;Sense dades;Sense dades
12/08/2015;1;1;4;Sense dades;Sense dades
13/08/2015;1;1;11;Sense dades;Sense dades
14/08/2015;1;2;18;Sense dades;Sense dades
15/08/2015;1;2;14;Sense dades;Sense dades
16/08/2015;2;2;12;Sense dades;Sense dades
17/08/2015;1;2;10;Sense dades;Sense dades
18/08/2015;1;3;18;Sense dades;Sense dades
19/08/2015;2;3;13;Sense dades;Sense dades
20/08/2015;3;2;21;Sense dades;Sense dades
21/08/2015;1;1;2;Sense dades;Sense dades
22/08/2015;1;1;3;Sense dades;Sense dades
23/08/2015;2;1;10;Sense dades;Sense dades
24/08/2015;1;3;25;Sense dades;Sense dades
25/08/2015;2;3;14;Sense dades;Sense dades
26/08/2015;3;3;13;Sense dades;Sense dades
27/08/2015;1;1;9;Sense dades;Sense dades
28/08/2015;2;4;16;Sense dades;Sense dades
29/08/2015;2;1;8;Sense dades;Sense dades
30/08/2015;3;1;8;Sense dades;Sense dades
31/08/2015;2;4;17;Sense dades;Sense dades
01/09/2015;1;2;15;Sense dades;Sense dades
02/09/2015;1;3;17;Sense dades;Sense dades
03/09/2015;1;2;16;Sense dades;Sense dades
04/09/2015;1;6;30;Sense dades;Sense dades
05/09/2015;1;2;18;Sense dades;Sense dades
06/09/2015;2;2;14;Sense dades;Sense dades
07/09/2015;2;4;22;Sense dades;Sense dades
08/09/2015;2;4;23;Sense dades;Sense dades
09/09/2015;3;4;21;Sense dades;Sense dades
10/09/2015;3;6;29;Sense dades;Sense dades
11/09/2015;1;2;13;Sense dades;Sense dades
12/09/2015;2;1;13;Sense dades;Sense dades
