Fecha;NO;NO2;O3;PM10;SO2
6/05/15;0.84;3.5;80.0;17.0;1.4
7/05/15;1.6;8.3;65.0;16.0;16.0
8/05/15;0.9;4.7;75.0;13.0;1.6
9/05/15;1.2;5.6;64.0;12.0;6.0
10/05/15;1.1;4.5;56.0;18.0;7.1
11/05/15;0.93;5.3;63.0;16.0;7.2
12/05/15;0.87;6.2;52.0;25.0;2.2
13/05/15;2.4;9.6;53.0;26.0;12.0
14/05/15;0.83;3.5;76.0;18.0;1.4
15/05/15;0.85;2.9;77.0;23.0;1.1
16/05/15;0.9;4.0;60.0;11.0;4.2
17/05/15;0.8;0.99;60.0;11.0;1.1
18/05/15;0.8;1.3;71.0;12.0;1.1
19/05/15;0.96;4.0;68.0;15.0;1.1
20/05/15;1.2;3.8;74.0;17.0;1.1
21/05/15;0.81;1.8;84.0;13.0;2.4
22/05/15;0.8;1.6;90.0;16.0;8.6
23/05/15;0.83;2.3;60.0;10.0;4.2
24/05/15;0.8;1.4;56.0;9.5;3.2
25/05/15;0.83;1.7;68.0;11.0;2.5
26/05/15;1.3;5.0;56.0;12.0;5.0
27/05/15;0.83;2.2;81.0;15.0;1.3
28/05/15;0.8;3.0;87.0;16.0;1.7
29/05/15;1.2;5.1;64.0;10.0;2.2
30/05/15;0.83;2.8;40.0;9.6;1.1
31/05/15;0.82;2.7;42.0;9.7;2.3
1/06/15;0.82;4.1;64.0;13.0;5.7
2/06/15;1.8;5.8;44.0;20.0;11.0
3/06/15;0.83;3.4;44.0;14.0;2.0
4/06/15;0.9;5.5;51.0;28.0;13.0
5/06/15;0.8;1.9;64.0;12.0;1.2
6/06/15;0.8;3.2;68.0;16.0;4.2
7/06/15;0.8;1.3;73.0;20.0;1.2
8/06/15;0.8;2.5;89.0;28.0;1.1
9/06/15;0.8;3.7;92.0;32.0;1.3
10/06/15;0.8;4.6;82.0;24.0;3.2
11/06/15;2.2;8.0;62.0;14.0;3.5
12/06/15;0.82;6.9;68.0;13.0;2.4
13/06/15;0.85;4.9;50.0;13.0;2.8
14/06/15;0.81;4.1;57.0;14.0;2.4
15/06/15;0.9;3.6;72.0;11.0;1.4
16/06/15;1.1;4.7;57.0;9.1;1.1
17/06/15;0.8;2.8;87.0;15.0;1.9
18/06/15;0.8;3.2;81.0;12.0;1.8
19/06/15;0.82;2.3;49.0;8.3;1.3
20/06/15;0.8;1.5;65.0;14.0;1.2
21/06/15;0.8;1.5;74.0;15.0;1.2
22/06/15;0.97;5.7;49.0;18.0;9.9
23/06/15;0.8;2.8;49.0;12.0;1.4
24/06/15;1.2;5.4;40.0;14.0;5.0
25/06/15;2.5;5.7;48.0;18.0;2.2
26/06/15;1.1;5.0;40.0;17.0;9.5
27/06/15;0.94;2.9;47.0;11.0;3.4
28/06/15;0.82;3.1;51.0;13.0;2.2
29/06/15;0.97;3.9;50.0;17.0;2.7
30/06/15;1.1;4.8;50.0;21.0;15.0
1/07/15;0.87;4.1;47.0;16.0;4.4
2/07/15;1.3;5.1;45.0;11.0;3.6
3/07/15;1.7;7.8;43.0;16.0;6.5
4/07/15;0.84;4.0;46.0;11.0;2.9
5/07/15;0.8;3.0;48.0;11.0;1.4
6/07/15;1.0;5.4;44.0;15.0;8.8
7/07/15;1.1;4.1;32.0;11.0;1.5
8/07/15;0.84;3.2;59.0;9.8;4.6
9/07/15;0.8;2.4;62.0;15.0;1.7
10/07/15;3.1;6.8;42.0;18.0;2.0
11/07/15;1.1;5.0;38.0;11.0;8.1
12/07/15;0.8;1.5;51.0;8.6;1.5
13/07/15;0.8;2.5;49.0;9.1;3.7
14/07/15;0.8;2.4;48.0;8.0;1.4
15/07/15;0.8;1.9;45.0;30.0;1.8
16/07/15;1.9;6.4;33.0;35.0;4.2
17/07/15;1.2;4.4;30.0;13.0;2.5
18/07/15;0.86;6.2;32.0;14.0;6.6
19/07/15;0.83;7.3;41.0;12.0;9.8
20/07/15;1.5;5.6;22.0;10.0;3.6
21/07/15;2.1;5.3;25.0;18.0;17.0
22/07/15;2.0;4.9;38.0;9.6;2.1
23/07/15;1.4;6.9;43.0;14.0;11.0
24/07/15;0.82;3.5;46.0;13.0;2.4
25/07/15;0.85;4.5;48.0;15.0;3.7
26/07/15;0.81;3.9;31.0;9.9;2.2
27/07/15;0.81;3.5;53.0;15.0;2.1
28/07/15;1.1;5.7;26.0;13.0;3.1
29/07/15;0.8;2.5;57.0;8.1;2.7
30/07/15;0.8;2.6;70.0;15.0;2.2
31/07/15;0.8;3.0;81.0;16.0;4.6
1/08/15;0.84;3.4;64.0;15.0;2.8
2/08/15;1.4;7.1;48.0;21.0;11.0
3/08/15;2.2;8.1;33.0;12.0;5.4
4/08/15;1.6;5.0;47.0;14.0;3.3
5/08/15;2.4;6.6;43.0;12.0;3.5
6/08/15;0.83;4.5;46.0;12.0;4.0
7/08/15;1.0;4.2;51.0;17.0;1.9
8/08/15;0.8;2.0;61.0;15.0;1.5
9/08/15;0.8;2.2;67.0;14.0;2.7
10/08/15;1.5;6.8;51.0;21.0;4.5
11/08/15;0.8;2.4;64.0;20.0;3.7
12/08/15;0.81;4.5;51.0;20.0;2.2
13/08/15;0.8;3.4;52.0;8.3;2.0
14/08/15;0.83;3.6;40.0;9.5;2.0
15/08/15;0.81;3.4;31.0;13.0;2.5
16/08/15;0.83;3.9;23.0;13.0;2.2
17/08/15;1.4;5.7;29.0;11.0;2.1
18/08/15;1.8;4.3;30.0;10.0;2.7
19/08/15;1.1;5.0;41.0;11.0;5.3
20/08/15;1.7;7.7;39.0;19.0;12.0
21/08/15;2.1;6.1;31.0;13.0;2.3
22/08/15;0.9;4.8;34.0;11.0;2.7
23/08/15;0.8;1.9;51.0;10.0;2.5
24/08/15;0.95;3.7;54.0;12.0;2.5
25/08/15;0.88;4.0;40.0;8.4;4.2
26/08/15;0.84;2.7;45.0;8.4;2.1
27/08/15;0.85;3.1;40.0;10.0;2.2
28/08/15;0.92;4.5;38.0;10.0;2.1
29/08/15;2.3;6.3;22.0;19.0;11.0
30/08/15;1.4;4.9;45.0;24.0;8.4
31/08/15;0.83;2.8;49.0;13.0;2.3
1/09/15;0.83;3.0;63.0;15.0;2.9
2/09/15;0.8;2.6;72.0;13.0;13.0
3/09/15;0.82;2.8;66.0;10.0;4.1
4/09/15;0.81;2.7;63.0;10.0;8.8
5/09/15;0.8;2.3;74.0;10.0;4.3
6/09/15;0.8;3.8;69.0;13.0;3.7
7/09/15;0.86;5.4;72.0;17.0;3.9
8/09/15;2.7;10.0;44.0;23.0;11.0
9/09/15;2.2;9.8;37.0;18.0;3.4
10/09/15;0.86;4.5;56.0;13.0;2.3
11/09/15;3.7;9.5;30.0;18.0;8.6
12/09/15;0.85;3.1;52.0;14.0;2.5
13/09/15;0.82;2.4;56.0;9.7;2.7
14/09/15;2.4;6.8;63.0;15.0;3.0
15/09/15;0.98;3.5;51.0;7.0;2.8
16/09/15;1.1;3.2;70.0;11.0;3.0
17/09/15;0.98;4.3;64.0;12.0;2.6
18/09/15;1.1;5.7;60.0;12.0;2.4
19/09/15;3.1;5.2;47.0;12.0;3.1
20/09/15;1.2;6.0;43.0;17.0;7.5
21/09/15;1.6;6.5;48.0;13.0;2.6
22/09/15;0.92;3.5;57.0;11.0;2.3
23/09/15;0.96;4.9;46.0;12.0;2.4
24/09/15;1.3;5.4;53.0;14.0;2.5
25/09/15;0.8;2.0;66.0;15.0;2.4
26/09/15;0.8;1.4;66.0;18.0;2.6
27/09/15;0.8;1.6;70.0;17.0;2.4
28/09/15;0.8;4.5;75.0;20.0;3.4
29/09/15;0.87;5.9;63.0;23.0;3.6
30/09/15;3.0;11.0;50.0;19.0;4.3
01/10/2015;3.8;11.0;48.0;25.0;3.4
02/10/2015;1.3;8.8;55.0;16.0;2.6
03/10/2015;1.1;7.5;42.0;16.0;3.3
04/10/2015;0.8;2.8;39.0;11.0;2.8
05/10/2015;1.0;2.8;52.0;9.8;2.7
