Fecha;NO;NO2;PM10
04/08/2015;15;41;Sense dades
05/08/2015;12;36;Sense dades
06/08/2015;17;46;Sense dades
07/08/2015;16;47;Sense dades
08/08/2015;12;35;Sense dades
09/08/2015;6;25;Sense dades
10/08/2015;11;35;Sense dades
11/08/2015;12;35;Sense dades
12/08/2015;7;36;Sense dades
13/08/2015;13;44;Sense dades
14/08/2015;10;29;Sense dades
15/08/2015;6;31;Sense dades
16/08/2015;7;27;Sense dades
17/08/2015;12;38;Sense dades
18/08/2015;10;41;Sense dades
19/08/2015;13;36;Sense dades
20/08/2015;13;29;Sense dades
21/08/2015;9;29;Sense dades
22/08/2015;9;32;Sense dades
23/08/2015;6;22;Sense dades
24/08/2015;12;30;Sense dades
25/08/2015;13;31;Sense dades
26/08/2015;15;28;Sense dades
27/08/2015;16;31;Sense dades
28/08/2015;18;36;Sense dades
29/08/2015;13;31;Sense dades
30/08/2015;7;31;Sense dades
31/08/2015;17;38;Sense dades
01/09/2015;15;34;Sense dades
02/09/2015;13;36;Sense dades
03/09/2015;9;33;Sense dades
04/09/2015;16;49;Sense dades
05/09/2015;8;29;Sense dades
06/09/2015;7;25;Sense dades
07/09/2015;19;33;Sense dades
08/09/2015;22;44;Sense dades
09/09/2015;22;49;Sense dades
10/09/2015;30;60;Sense dades
11/09/2015;16;37;Sense dades
12/09/2015;17;36;Sense dades
13/09/2015;8;24;Sense dades
14/09/2015;22;36;Sense dades
15/09/2015;25;45;Sense dades
16/09/2015;35;42;Sense dades
17/09/2015;7;30;Sense dades
18/09/2015;17;40;Sense dades
19/09/2015;16;26;Sense dades
20/09/2015;7;32;Sense dades
21/09/2015;16;45;Sense dades
22/09/2015;22;43;Sense dades
23/09/2015;10;31;Sense dades
24/09/2015;11;36;Sense dades
25/09/2015;33;52;Sense dades
26/09/2015;15;34;Sense dades
27/09/2015;6;30;Sense dades
28/09/2015;25;46;Sense dades
29/09/2015;24;45;Sense dades
30/09/2015;21;52;Sense dades
01/10/2015;24;46;Sense dades
02/10/2015;26;48;Sense dades
03/10/2015;13;46;Sense dades
04/10/2015;6;29;Sense dades
05/10/2015;41;48;Sense dades
06/10/2015;32;37;Sense dades
07/10/2015;36;41;Sense dades
08/10/2015;17;40;Sense dades
09/10/2015;33;43;Sense dades
10/10/2015;19;28;Sense dades
11/10/2015;12;36;Sense dades
12/10/2015;11;37;Sense dades
13/10/2015;38;42;Sense dades
14/10/2015;15;37;Sense dades
15/10/2015;23;44;Sense dades
16/10/2015;48;50;Sense dades
17/10/2015;23;39;Sense dades
18/10/2015;12;39;Sense dades
19/10/2015;52;54;Sense dades
20/10/2015;38;55;Sense dades
21/10/2015;18;40;Sense dades
22/10/2015;31;44;Sense dades
23/10/2015;34;51;Sense dades
24/10/2015;43;45;Sense dades
25/10/2015;14;37;Sense dades
26/10/2015;45;54;Sense dades
27/10/2015;38;53;Sense dades
28/10/2015;31;39;Sense dades
29/10/2015;66;52;Sense dades
30/10/2015;55;53;Sense dades
31/10/2015;39;45;Sense dades
01/11/2015;15;37;Sense dades
02/11/2015;7;27;Sense dades
03/11/2015;32;51;Sense dades
04/11/2015;40;45;Sense dades
05/11/2015;74;55;Sense dades
06/11/2015;59;54;Sense dades
07/11/2015;64;34;Sense dades
