Fecha;PM10;SO2;NO2;NO;O3;dd;vv;TMP;HR;PRB;RS;LL
01/01/2015;7;;0;0;71;181;1.5;7.2;37.1;951;67;0
02/01/2015;8;;1;0;69;199;1.5;7.4;36.8;953;61;0
03/01/2015;9;1;2;0;60;203;1.6;7.6;57.5;953;65;0
04/01/2015;13;0;1;0;50;176;1.3;5.7;86.7;951;64;0
05/01/2015;14;1;3;0;60;246;2.3;8.6;48.3;944;69;0
06/01/2015;20;2;2;0;50;160;1.3;5;83.2;944;55;0
07/01/2015;12;3;1;0;60;178;1.6;5.5;72.3;946;72;0
08/01/2015;13;5;3;0;56;176;1.8;6.2;67.4;953;47;0
09/01/2015;9;3;1;0;60;181;1.7;9.6;57.8;957;74;0
10/01/2015;16;3;3;0;48;181;1.8;8.8;68.8;950;76;0
11/01/2015;21;3;2;0;58;156;1.5;4.9;89.1;950;23;5.2
12/01/2015;9;4;1;0;69;156;2;8;37.5;944;81;0
13/01/2015;14;4;2;0;60;157;2.5;8.4;56.7;937;42;0
14/01/2015;13;1;5;0;58;179;2.7;5.8;60.1;938;82;0
15/01/2015;11;0;7;1;78;137;3;7.3;65.1;927;16;4.6
16/01/2015;9;0;2;0;75;274;3.2;1.2;86.7;930;38;5
17/01/2015;13;0;3;0;72;178;2.6;1.3;66.3;936;88;5.4
18/01/2015;9;0;4;0;75;296;5.1;3.8;70.9;926;56;28.2
19/01/2015;12;0;2;0;79;291;5.4;-0.3;86.9;931;34;15.2
20/01/2015;11;0;2;0;78;293;3.5;0.2;90.1;926;31;22.2
21/01/2015;12;0;2;0;83;288;4.5;0.4;84.7;925;25;16.2
22/01/2015;14;0;2;0;78;291;5.4;0.9;91;933;17;46.8
23/01/2015;10;0;3;0;73;266;2.5;1.1;88.8;942;35;3.4
24/01/2015;10;0;3;0;74;292;4.2;2.6;85.7;946;39;4.6
25/01/2015;16;0;3;0;78;246;2.1;2.5;85.9;949;67;1.4
26/01/2015;17;0;2;1;73;154;1.4;1.7;81.2;948;66;0
27/01/2015;9;0;1;1;73;269;2.4;3.9;93.6;947;25;5.8
28/01/2015;11;0;1;0;66;130;1.5;4.5;92;941;43;0.2
29/01/2015;8;1;3;1;71;292;7.4;7.5;70.1;927;28;0
