Fecha;CO;NO;NO2;PM10;SO2
25/10/2015;0.4;12;29;25;4
26/10/2015;0.4;12;34;26;5
27/10/2015;0.2;10;18;16;2
28/10/2015;0.3;16;28;15;3
29/10/2015;0.3;13;26;14;2
30/10/2015;0.4;18;38;23;6
31/10/2015;0.4;16;37;27;6
01/11/2015;0.3;8;21;24;3
02/11/2015;0.3;3;15;15;3
03/11/2015;0.3;15;30;18;3
04/11/2015;0.3;14;33;18;3
05/11/2015;;;;;
