Fecha;BEN;CO;EBN;NO;NO2;NOX;OXL;PM10;PM25;TOL
06/07/2015;0.08;0.26;0.4;5;36;25;1.27;24;11;1.18
05/07/2015;0.05;0.19;0.08;3;13;13;0.16;9;5;0.38
04/07/2015;0.05;0.23;0.09;3;14;16;0.25;23;9;0.51
03/07/2015;0.06;0.18;0.25;4;44;21;0.53;27;11;0.88
02/07/2015;0.07;0.26;0.15;6;37;24;0.71;14;7;0.74
01/07/2015;0.15;0.27;0.21;7;74;33;0.9;31;15;1.51
30/06/2015;0.26;0.33;0.52;6;84;38;4.88;28;14;3.11
29/06/2015;0.12;0.32;0.2;6;46;34;0.7;21;13;1.19
28/06/2015;0.09;0.25;0.21;5;23;21;0.56;17;9;0.93
27/06/2015;0.06;0.25;0.16;5;25;22;0.36;22;14;0.65
26/06/2015;0.41;0.39;0.68;16;112;61;1.94;39;21;3.99
25/06/2015;0.29;0.3;0.74;14;81;56;2.31;23;12;2.71
24/06/2015;0.23;0.24;0.44;8;32;33;1.19;18;10;1.43
23/06/2015;0.16;0.22;0.25;7;28;29;0.4;13;8;0.76
22/06/2015;0.25;0.36;0.67;15;56;51;1.83;29;14;2.7
21/06/2015;0.15;0.25;0.21;7;38;32;0.68;15;8;1.33
20/06/2015;0.12;0.18;0.11;5;29;23;0.57;13;7;0.85
19/06/2015;0.15;0.21;0.14;5;24;23;1.27;10;5;0.88
18/06/2015;0.25;0.23;0.32;6;54;35;2.19;18;10;1.59
17/06/2015;0.15;0.19;0.12;4;29;23;0.45;16;8;0.7
16/06/2015;;0.18;;7;26;;;13;7;
15/06/2015;;0.2;;10;50;;;14;7;
14/06/2015;0.12;0.19;0.1;4;27;20;0.41;11;6;0.66
13/06/2015;0.13;0.2;0.14;4;44;24;1.04;13;7;1
12/06/2015;0.17;0.2;0.11;5;35;26;0.61;16;8;1.01
11/06/2015;0.11;0.2;0.24;4;42;26;0.88;12;7;1.13
10/06/2015;0.18;0.25;0.54;5;54;32;1.67;13;6;1.17
09/06/2015;0.23;0.24;0.29;5;55;32;0.64;31;16;1.11
08/06/2015;;0.26;;5;31;28;;24;12;
07/06/2015;;0.26;;4;25;18;;13;;
06/06/2015;;0.19;;5;25;18;;8;4;
05/06/2015;;0.25;;7;74;35;;20;9;
04/06/2015;;0.25;;6;49;37;;27;12;
03/06/2015;0.1;0.27;0.14;6;36;26;0.39;17;9;1.2
02/06/2015;0.04;0.24;0.18;4;34;21;0.44;14;7;1.22
01/06/2015;0.1;0.25;0.07;8;46;30;0.3;12;7;0.56
31/05/2015;0.27;0.26;0.22;9;52;34;0.78;13;7;1.13
30/05/2015;0.21;0.26;0.38;8;42;36;1.55;15;8;2.05
29/05/2015;0.11;0.22;0.16;6;34;33;0.65;11;6;0.81
28/05/2015;0.18;0.25;0.33;10;76;39;1.42;18;9;1.25
27/05/2015;;0.23;;8;49;36;;15;7;
26/05/2015;;0.22;;8;57;31;;12;5;
25/05/2015;;0.2;;9;46;35;;11;6;
24/05/2015;;0.18;;6;27;22;;9;5;
23/05/2015;;0.18;;5;23;23;;14;6;
22/05/2015;0.09;0.21;0.1;7;49;33;0.37;13;5;0.57
21/05/2015;0.08;0.19;0.09;6;31;27;0.36;12;4;0.5
20/05/2015;;0.21;;4;36;22;;6;2;
19/05/2015;;0.19;;6;34;29;;9;4;
18/05/2015;;0.27;;17;70;54;;14;7;
17/05/2015;;0.19;;6;28;23;;7;;
16/05/2015;0.03;0.21;0.32;6;28;25;0.05;8;3;0.07
15/05/2015;0.06;0.18;0.09;3;22;15;0.28;6;2;0.71
14/05/2015;0.22;0.3;0.42;8;50;39;1.21;22;10;1
13/05/2015;0.39;0.34;0.91;9;71;49;2.99;44;20;3.56
12/05/2015;0.27;0.3;0.74;7;89;45;2.56;31;14;2.61
11/05/2015;0.32;0.28;1.58;8;79;49;6.63;28;13;2.93
10/05/2015;0.26;0.25;0.43;6;52;32;1.32;15;8;1.96
09/05/2015;0.16;0.21;0.26;5;36;27;0.72;14;6;1.05
08/05/2015;0.09;0.22;0.26;3;26;17;0.65;13;5;0.95
07/05/2015;0.41;0.28;1.31;10;63;47;5.81;23;10;3.89
06/05/2015;0.16;0.2;0.46;7;41;31;1.58;13;5;0.88
05/05/2015;0.1;0.2;0.15;4;31;18;0.5;10;3;0.43
04/05/2015;0.18;0.29;0.25;11;71;37;1;18;8;1.09
03/05/2015;0.05;0.2;0.09;2;23;13;0.23;18;6;0.37
02/05/2015;0.11;0.23;0.17;4;40;18;0.54;7;4;0.86
01/05/2015;0.08;0.2;0.11;4;45;16;0.29;8;4;0.62
30/04/2015;0.24;0.29;0.36;11;48;36;1.16;13;8;1.44
29/04/2015;0.28;0.26;0.3;12;47;49;0.9;14;7;1.3
28/04/2015;0.16;0.21;0.12;6;45;31;0.36;12;5;0.45
27/04/2015;0.15;0.2;0.27;4;39;24;1.01;5;2;0.49
26/04/2015;0.1;0.22;0.1;3;24;15;0.27;5;3;0.54
25/04/2015;0.1;0.24;0.15;3;23;13;0.35;7;3;0.5
24/04/2015;0.52;0.4;1.55;17;73;66;5.36;21;10;4.27
23/04/2015;0.24;0.24;0.31;6;57;37;0.87;13;7;0.9
22/04/2015;0.17;0.22;0.17;4;42;23;0.83;13;5;0.63
21/04/2015;0.34;0.4;0.77;20;61;60;3.16;18;8;2.99
20/04/2015;0.35;0.35;0.52;20;71;70;1.88;14;7;1.98
19/04/2015;0.19;0.23;0.2;5;44;29;0.97;9;4;0.67
18/04/2015;0.3;0.26;0.58;8;42;35;2.17;16;7;1.61
17/04/2015;0.49;0.42;0.76;20;63;68;2.83;19;10;2.4
