Fecha;NO;NO2;O3
15/01/2015;9;27;27
15/02/2015;3;13;56
15/03/2015;2;13;58
15/04/2015;2;10;72
15/05/2015;2;12;80
15/06/2015;2;15;87
15/07/2015;2;18;88
15/08/2015;2;13;80
15/09/2015;3;19;66
15/10/2015;7;22;34
15/11/2015;13;24;30
