Fecha;CH4;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
01/10/2015;1.63;8;58;33;92;21;4;179;81;1012.5;16.9;0.25
30/09/2015;1.63;9;60;43;62;22;4;173;82;1008.7;17.2;0.66
29/09/2015;1.64;7;38;31;68;20;4;166;89;1010.2;14.9;0.61
28/09/2015;1.56;6;42;32;67;16;4;172;84;1014.2;16.2;0.88
27/09/2015;1.44;4;24;19;72;14;3;154;87;1014.5;15.7;0.45
26/09/2015;1.46;5;29;25;65;18;3;73;86;1011.7;17.1;0.08
25/09/2015;1.67;9;33;36;65;17;4;169;85;1012.6;16.7;0.23
24/09/2015;1.5;10;43;40;50;15;4;185;88;1013.1;16.9;0.36
23/09/2015;1.37;4;42;27;57;9;5;203;94;1011.3;15;0.36
22/09/2015;1.29;4;14;15;75;10;6;349;82;1008.9;16.4;0.24
21/09/2015;1.55;8;55;31;79;15;6;135;86;1010.6;15.9;0.44
20/09/2015;1.81;4;44;25;81;10;6;166;80;1014.9;16.2;0.78
19/09/2015;1.65;5;20;21;77;11;5;123;81;1017.6;16;0.22
18/09/2015;1.4;6;35;26;76;13;6;171;79;1013.9;15.3;1.03
17/09/2015;1.39;4;16;16;67;9;5;193;76;1004.2;15.6;0.99
16/09/2015;1.27;4;31;17;69;11;4;185;61;987.6;22.5;1.89
15/09/2015;1.35;7;37;27;63;11;4;185;75;994.4;18;3.03
14/09/2015;1.33;4;20;19;69;13;5;240;79;1004.9;16.4;0.1
13/09/2015;1.77;5;22;19;63;11;5;195;83;999;18.2;0.83
12/09/2015;1.34;5;21;20;77;18;6;358;87;1004.2;18.9;0.45
11/09/2015;1.54;7;33;27;83;17;5;150;84;1004.9;18.8;0.42
10/09/2015;1.37;6;41;28;73;18;6;33;87;1007.9;18.4;0.34
09/09/2015;1.55;7;38;33;77;25;5;154;84;1006.3;17.9;0.79
08/09/2015;1.69;7;38;34;76;16;5;168;79;1010.1;16.1;1.24
07/09/2015;1.54;7;29;28;70;14;4;165;80;1015.4;15.3;0.79
06/09/2015;1.43;5;33;19;84;9;4;170;80;1016;15.4;0.56
05/09/2015;1.38;5;19;18;74;9;4;168;83;1014.6;15.9;0.52
04/09/2015;1.43;5;34;23;61;11;4;194;89;1011.7;15.6;0.01
03/09/2015;1.39;5;32;22;64;10;5;212;88;1010.4;16.5;0.21
02/09/2015;1.37;6;28;25;68;14;5;144;85;1010.1;16.4;0.28
01/09/2015;1.34;4;24;18;59;11;4;341;88;1012.6;17.5;0.12
31/08/2015;1.34;6;30;26;58;28;4;23;88;1006.1;21.5;0.43
30/08/2015;1.4;5;42;24;73;29;4;191;73;1004.7;25.4;0.2
29/08/2015;1.42;5;24;20;65;20;4;47;85;1007;22.3;0.38
28/08/2015;1.44;7;26;32;47;18;5;33;84;1008;21.6;0.75
27/08/2015;1.46;5;35;24;58;11;5;195;63;1002.9;25.2;0.98
26/08/2015;1.68;7;50;39;64;12;7;121;70;1004.1;22.3;0.3
25/08/2015;1.63;5;24;23;67;11;4;183;70;1009.3;20.5;0.62
24/08/2015;1.36;5;32;18;67;21;4;343;65;1005.6;18.9;0.14
23/08/2015;1.29;4;12;14;65;6;4;185;66;998.7;21.7;1.23
22/08/2015;1.35;5;25;21;60;27;4;20;91;1004.1;20;0.53
21/08/2015;1.46;6;45;32;82;28;5;90;84;1010.2;20.7;0.54
20/08/2015;1.48;7;38;35;79;20;5;134;75;1012.8;19.9;0.51
19/08/2015;1.47;6;25;24;73;12;5;76;76;1012.2;18.8;0.2
18/08/2015;1.34;5;21;20;78;15;5;80;80;1009.5;18.7;0.15
17/08/2015;1.34;6;20;20;75;16;5;43;81;1008;18.5;0.22
16/08/2015;1.39;6;16;21;51;14;4;162;84;1006.8;17;0.49
15/08/2015;1.29;4;17;15;54;11;4;196;85;1009.3;17.4;0.24
14/08/2015;1.27;4;12;14;69;12;4;357;70;1010.2;19.2;0.43
13/08/2015;1.45;5;24;19;61;16;4;67;81;1008.1;20.3;0.34
12/08/2015;1.5;7;54;34;70;31;4;59;86;1006.7;21.7;0.39
11/08/2015;1.41;7;53;32;88;29;4;37;86;1005.3;21.1;0.61
10/08/2015;1.52;5;23;23;99;16;4;161;74;1008.6;21.7;0.61
09/08/2015;1.32;4;19;15;70;17;5;256;75;1015.2;19.5;0.05
08/08/2015;1.33;4;12;15;64;14;5;333;84;1015.9;17.8;0.08
07/08/2015;1.29;5;30;19;54;11;6;301;91;1011.5;18.9;0.09
06/08/2015;1.3;6;41;24;74;21;6;28;80;1007.4;21.1;0.36
05/08/2015;1.61;6;22;24;67;19;6;53;83;1006.3;20.4;0.34
04/08/2015;1.35;5;28;22;43;13;6;33;92;1010.6;18.6;0.18
03/08/2015;1.45;6;40;27;75;20;6;37;80;1007.9;20.4;0.38
02/08/2015;1.62;4;36;21;108;17;5;188;68;1005.5;23.5;0.95
01/08/2015;1.34;4;16;16;91;14;6;165;78;1009.4;18;0.5
31/07/2015;1.39;4;24;18;69;14;5;195;90;1005.5;16.4;0.27
30/07/2015;1.41;5;23;21;62;13;6;360;84;1009.1;17;0.16
29/07/2015;1.35;5;26;25;56;15;5;188;93;1008.1;17.8;0.22
28/07/2015;1.31;5;25;22;73;14;5;116;74;1007.6;21.7;0.2
27/07/2015;1.28;5;18;16;47;15;5;3;82;1009.4;20;0.23
26/07/2015;1.54;5;21;17;82;17;5;123;73;1006.9;20.8;0.4
25/07/2015;1.3;4;14;13;74;15;5;20;73;1012.5;18.8;0.45
24/07/2015;1.43;7;41;25;53;16;5;102;83;1005.8;20.3;0.37
23/07/2015;1.36;6;28;25;51;16;6;55;82;1009;21.4;0.11
22/07/2015;1.28;7;24;21;35;19;6;215;93;1012.3;20.1;0.01
21/07/2015;1.3;8;27;26;40;21;6;349;93;1008.8;21.3;0.09
20/07/2015;1.43;7;35;24;68;19;6;48;77;1008.5;23.8;0.31
19/07/2015;1.72;5;23;19;57;20;6;91;82;1008.9;23;0.18
18/07/2015;1.34;5;25;20;46;19;6;88;86;1007.8;22;0.15
17/07/2015;1.48;7;32;27;53;22;5;78;85;1009.8;21.2;0.33
16/07/2015;1.38;4;27;21;38;19;4;25;89;1007.4;21.1;0.66
15/07/2015;1.33;9;25;26;54;24;3;18;86;1010.3;21;0.79
14/07/2015;1.23;15;21;35;70;14;7;26;81;1014;20.7;0.37
13/07/2015;1.3;16;26;35;61;11;8;68;81;1015.4;19.3;0.14
12/07/2015;1.26;13;15;28;58;9;7;360;84;1015.8;19.5;0.49
11/07/2015;1.26;7;13;18;78;16;7;7;80;1016.3;19.8;0.4
10/07/2015;1.36;17;42;41;102;23;8;76;71;1008.8;21.7;0.38
09/07/2015;1.36;8;25;24;67;12;6;341;74;1013.7;19.6;0.29
08/07/2015;1.24;7;19;20;61;11;6;13;82;1015.3;18.9;0.8
07/07/2015;1.28;11;22;29;62;18;9;27;81;1011.3;21;0.95
06/07/2015;1.25;20;28;50;69;26;;26;82;1010.2;22.1;0.75
05/07/2015;1.28;6;21;19;42;13;;29;93;1013.2;19.7;0.43
04/07/2015;1.34;9;20;22;64;16;;18;78;1013.3;21.4;0.67
03/07/2015;1.21;26;28;59;98;24;;143;72;1009.1;24.9;0.62
02/07/2015;1.27;9;33;35;48;16;7;27;89;1012.5;19.6;0.8
01/07/2015;1.25;8;44;27;72;29;7;20;85;1006.4;20.8;0.65
30/06/2015;1.43;7;42;34;100;30;9;88;75;1004.5;24.4;0.25
29/06/2015;1.32;7;58;37;69;19;6;13;80;1011.2;22.6;0.37
28/06/2015;1.34;5;19;19;52;15;7;36;86;1014;19.5;0.4
27/06/2015;1.37;6;32;24;74;25;6;20;81;1014.1;20.3;0.56
26/06/2015;1.4;7;47;29;82;28;6;19;87;1014.3;19;0.45
25/06/2015;1.37;8;55;40;101;21;9;154;73;1012.4;21.4;0.5
24/06/2015;1.31;7;29;25;66;17;5;123;78;1011.9;18.8;0.22
23/06/2015;1.35;6;22;23;58;15;5;12;77;1009.3;19.1;0.56
22/06/2015;1.41;7;43;29;58;;5;66;84;1007.8;19.1;0.48
21/06/2015;1.4;3;27;18;84;17;5;68;78;1012.2;18.6;0.3
20/06/2015;1.53;4;21;17;77;14;5;44;81;1015.1;17.7;0.26
19/06/2015;1.3;5;35;23;56;15;4;165;90;1016;16.2;0.08
18/06/2015;1.34;4;23;20;95;18;4;90;81;1017.6;17;0.24
17/06/2015;1.33;4;39;20;95;17;4;18;83;1019.1;16.3;0.5
16/06/2015;1.32;3;31;16;81;12;3;348;81;1017.7;15.3;0.31
15/06/2015;1.31;4;40;20;84;14;4;343;87;1012;15.8;0.27
14/06/2015;1.62;5;23;18;96;11;6;31;82;1005.8;16.1;0.4
13/06/2015;1.34;4;22;20;77;14;5;19;90;1003.5;16.9;0.37
12/06/2015;1.39;5;48;25;79;21;4;5;90;1003.8;16.7;0.65
11/06/2015;1.36;6;50;31;76;16;3;357;87;1002.5;18;0.18
10/06/2015;1.47;8;49;43;52;20;4;263;94;1005.5;15.7;0.09
09/06/2015;;5;35;23;93;21;4;38;88;1011.2;15.9;0.23
08/06/2015;;7;28;26;94;25;6;25;86;1013.4;18.4;0.76
07/06/2015;;5;20;18;73;16;4;11;85;1015.7;18.4;0.53
06/06/2015;1.34;4;15;17;60;13;4;4;94;1017.4;15.9;0.27
05/06/2015;1.54;7;43;30;64;24;4;55;86;1012.7;18.1;0.41
04/06/2015;1.5;8;44;32;109;24;5;181;67;1010;24.3;0.53
03/06/2015;1.33;4;30;22;67;29;4;9;85;1014.8;17.8;0.4
02/06/2015;1.34;7;30;27;58;18;4;30;85;1012.3;17.9;0.57
01/06/2015;1.4;5;35;24;53;15;5;19;89;1011.5;17;0.51
31/05/2015;1.37;4;16;15;70;14;6;81;77;1011.1;17;0.47
30/05/2015;1.34;4;20;17;90;13;5;108;79;1011.8;15;0.29
29/05/2015;1.32;3;29;18;83;13;3;25;78;1010.6;15.6;0.89
28/05/2015;1.44;5;33;20;87;16;3;75;84;1012.3;15.2;0.35
27/05/2015;1.36;4;32;20;76;16;3;20;86;1015.8;15.1;0.48
26/05/2015;1.3;4;33;19;62;15;4;20;88;1016.6;14.1;0.7
25/05/2015;1.29;3;19;16;56;13;4;15;89;1015.1;14.6;0.97
24/05/2015;1.31;3;11;13;59;9;4;17;89;1013.9;14.6;0.85
23/05/2015;1.31;3;18;13;83;13;4;23;79;1016.1;13.6;0.89
22/05/2015;1.33;4;37;20;87;15;4;22;81;1020.5;12.5;0.76
21/05/2015;1.34;4;33;18;81;11;4;22;82;1022.4;11.8;0.66
20/05/2015;1.29;3;19;14;78;12;4;341;86;1016.4;11.5;0.23
19/05/2015;1.29;3;19;13;79;13;6;4;83;1011.9;12;0.62
18/05/2015;1.52;6;31;24;76;16;7;89;86;1009.8;12.4;0.36
17/05/2015;1.36;3;23;14;65;11;4;17;88;1018.9;14.1;0.64
16/05/2015;1.3;3;19;15;72;14;4;25;88;1023.9;13.4;0.49
15/05/2015;1.3;3;18;13;81;9;4;27;88;1018.4;12;0.76
14/05/2015;1.38;3;33;21;81;20;6;32;80;1012.3;14.2;0.54
13/05/2015;1.41;5;51;35;63;32;6;25;86;1011.8;16;0.77
12/05/2015;1.37;6;49;35;72;38;7;24;86;1012.2;16;1.05
11/05/2015;;4;44;28;80;41;5;21;88;1012.7;15.6;1.03
10/05/2015;;5;45;23;92;22;7;128;71;1012.5;20.3;0.46
09/05/2015;;4;30;20;74;18;5;19;85;1018.2;15.4;0.6
08/05/2015;;4;59;22;94;19;5;8;63;1010;18.6;0.41
07/05/2015;1.44;4;42;27;98;17;4;178;59;1005.5;19.1;1.49
06/05/2015;1.43;5;38;24;96;17;5;28;75;1012.3;13;0.59
05/05/2015;1.38;3;25;16;86;15;4;29;73;1004.8;14.8;0.57
04/05/2015;1.28;6;35;23;75;18;3;187;63;992.9;22.3;1.53
03/05/2015;1.25;3;38;16;72;14;3;174;70;1000;20.2;0.32
02/05/2015;1.3;4;28;17;49;12;3;185;72;1000.9;21.7;0.98
01/05/2015;1.26;2;17;11;67;9;4;183;75;1004.9;18.5;0.61
30/04/2015;1.6;5;80;29;65;18;7;182;65;1008;17.7;1.13
29/04/2015;1.75;6;42;31;70;19;5;109;82;1012.1;12;0.25
28/04/2015;1.36;4;37;21;76;17;4;13;70;1013.5;12.6;0.32
27/04/2015;1.29;2;30;16;72;12;4;339;85;1005.7;12.8;0.15
26/04/2015;1.27;2;17;11;77;7;3;201;79;998.1;15.4;0.38
25/04/2015;1.41;3;40;19;83;12;3;190;64;1002.3;18.7;1.43
24/04/2015;1.64;7;63;43;45;27;4;158;84;1005.5;14.4;0.74
23/04/2015;1.46;4;49;26;75;14;3;88;85;1011.4;13.9;0.23
22/04/2015;1.35;3;48;22;87;21;4;177;62;1010.1;18;0.43
21/04/2015;1.45;6;41;32;90;15;4;171;67;1012.4;16.5;1.23
20/04/2015;1.49;6;37;29;86;16;4;127;78;1013.7;12.6;0.44
19/04/2015;1.5;3;23;16;88;11;4;61;81;1009;12.2;0.31
18/04/2015;1.41;5;34;26;76;18;3;41;88;1005.7;12.9;0.39
17/04/2015;1.47;6;45;32;73;16;3;170;90;1009.7;13.2;0.31
16/04/2015;1.43;7;55;41;77;27;3;172;80;1006.2;13.9;0.43
15/04/2015;1.34;3;55;23;98;23;5;167;31;1006.1;21;0.6
14/04/2015;1.55;5;74;29;105;28;4;167;38;1012.3;22.2;1.33
13/04/2015;1.67;3;70;28;106;32;4;178;47;1017.6;20;0.93
12/04/2015;1.55;3;43;20;99;20;5;170;64;1017.5;16.6;1.41
11/04/2015;1.54;3;28;22;83;14;4;1;82;1018.2;13.6;0.11
10/04/2015;1.42;3;60;31;80;18;5;158;71;1013;14.7;0.59
09/04/2015;1.34;2;40;19;96;16;5;183;41;1013.4;16.8;1.31
08/04/2015;1.63;3;32;19;97;12;5;177;38;1015.1;16.9;1.83
07/04/2015;1.65;7;52;37;84;16;6;142;68;1016.4;11.2;0.45
06/04/2015;1.55;4;30;20;85;11;4;45;73;1012.7;9.3;0.3
05/04/2015;1.44;3;18;15;76;9;5;351;81;1009.5;10.4;0.17
04/04/2015;1.32;3;16;14;77;9;6;7;86;1011.9;10.2;0.37
03/04/2015;1.5;5;38;22;76;16;9;89;80;1014.9;10.3;0.48
02/04/2015;1.6;5;56;29;76;18;10;151;72;1020.6;9.7;0.82
01/04/2015;1.38;3;33;19;84;26;6;18;77;1025.9;10.8;0.69
31/03/2015;1.35;3;44;21;65;16;6;19;84;1023.5;12.9;1.08
30/03/2015;1.46;4;45;31;59;21;7;33;75;1019.8;13.6;0.9
29/03/2015;1.48;4;56;27;65;17;7;112;81;1019;13.1;0.27
28/03/2015;1.56;4;35;26;58;17;5;46;90;1022;11.7;0.27
27/03/2015;1.46;4;56;31;75;10;4;29;93;1020.2;11.2;0.32
26/03/2015;1.47;3;36;20;71;7;5;208;89;1010.6;9.2;0.67
25/03/2015;1.46;3;22;17;79;9;5;2;75;1007.1;7.5;0.93
24/03/2015;1.44;5;56;31;75;10;4;351;91;1003.9;7.5;0.3
23/03/2015;1.39;5;56;37;58;7;4;185;92;1003.4;5.9;0.95
22/03/2015;1.29;3;12;14;70;14;4;9;84;1007.2;8.6;1.43
21/03/2015;1.46;4;39;25;48;18;4;45;93;1007.4;8.2;0.22
20/03/2015;1.36;3;35;24;69;33;5;19;85;1011.2;9.3;0.6
19/03/2015;1.45;4;33;26;73;17;4;118;87;1012.7;10.9;0.24
18/03/2015;1.57;8;79;48;72;19;5;155;72;1012.1;11.1;0.39
17/03/2015;1.43;3;57;26;85;14;4;190;56;1008.3;12.7;1.51
16/03/2015;1.52;7;54;36;63;20;5;174;79;1010.4;7.4;1.83
15/03/2015;1.57;3;33;18;68;18;4;196;86;1013.1;6.2;1.29
14/03/2015;1.3;3;31;14;84;14;4;214;84;1017.1;7.2;1.09
13/03/2015;1.28;3;18;14;82;26;4;5;80;1019.2;9.4;0.48
12/03/2015;1.74;9;53;43;70;37;6;68;85;1015.4;9.9;0.28
11/03/2015;1.57;11;61;53;58;34;5;164;91;1019.2;9.3;0.29
10/03/2015;1.53;12;76;65;48;27;10;126;75;1018.3;9.8;0.39
09/03/2015;1.53;11;90;62;57;24;9;161;70;1018.3;9.5;1.26
08/03/2015;1.77;7;56;40;58;23;8;152;79;1018.9;9.5;0.5
07/03/2015;1.82;7;64;43;56;17;7;166;69;1020.2;10.9;1.19
06/03/2015;1.82;12;71;58;41;23;8;171;74;1023.9;8;1.22
05/03/2015;1.45;7;63;35;79;13;4;10;74;1030.6;7.1;0.47
04/03/2015;1.31;3;34;20;78;13;4;4;85;1028.1;8.1;0.95
03/03/2015;1.64;9;57;43;46;13;4;74;91;1017.4;10.7;0.08
02/03/2015;1.55;13;62;55;46;15;5;51;96;1015.5;11.8;0.08
01/03/2015;1.39;4;45;21;51;8;4;188;84;1011.8;14.4;0.93
28/02/2015;1.39;4;42;24;59;7;4;193;92;1014.4;9.6;1.81
27/02/2015;1.3;3;24;16;86;13;4;356;81;1018.7;8.4;0.62
26/02/2015;1.27;3;47;20;71;6;4;18;93;1017.2;11.2;0.81
25/02/2015;1.27;3;12;10;81;7;3;34;86;1019.8;10.5;0.91
24/02/2015;1.29;3;14;12;81;9;3;213;83;1016.3;7.2;0.6
23/02/2015;1.31;4;36;21;79;9;4;197;86;1005.5;9.4;0.54
22/02/2015;1.28;3;18;14;83;9;4;215;86;1007.7;8.6;0.41
21/02/2015;1.27;3;11;12;82;10;4;355;83;1003.4;8.2;0.84
20/02/2015;1.41;4;40;23;72;11;4;194;72;1009.2;9.4;2.15
19/02/2015;1.93;9;70;47;50;14;7;180;72;1021.5;7.5;1.59
18/02/2015;1.58;8;54;41;54;15;4;161;80;1028.3;6.5;0.5
17/02/2015;1.34;4;35;24;80;19;4;19;76;1026.3;8.5;1.86
16/02/2015;1.44;5;66;25;72;10;4;319;87;1012.9;9.5;0.15
15/02/2015;1.3;3;27;16;67;8;5;208;94;1004.7;9.6;0.41
14/02/2015;1.3;3;22;15;66;6;4;196;84;1005.2;8.1;1.5
13/02/2015;1.32;4;50;23;77;12;3;193;70;1009.4;9.2;1.71
12/02/2015;1.35;4;72;29;69;17;4;184;68;1011;8.6;1.95
11/02/2015;1.5;6;43;30;69;18;5;187;72;1012.7;5.6;2.76
10/02/2015;2.01;7;57;39;65;17;4;178;71;1015.6;5.3;2.4
09/02/2015;1.53;7;61;39;64;29;4;23;74;1021.1;5.2;0.41
08/02/2015;1.5;4;33;26;50;19;4;137;84;1022.5;4;0.4
07/02/2015;1.71;5;36;34;19;18;3;182;94;1014.6;1.9;0.69
06/02/2015;1.61;13;63;59;59;11;3;198;93;1007.7;1.1;0.31
05/02/2015;1.33;4;46;25;62;11;4;21;76;1010.4;4;1.52
04/02/2015;1.35;6;57;33;56;10;4;20;86;1003;2.3;0.88
03/02/2015;1.32;4;52;29;68;8;4;69;87;994.4;4.8;0.21
02/02/2015;1.3;4;49;22;76;4;4;198;81;997.7;6.6;1.68
01/02/2015;1.3;3;7;10;81;11;4;243;77;1003.8;6;0.61
31/01/2015;1.28;3;7;9;81;8;4;223;81;990.4;6.7;1.11
30/01/2015;1.29;4;72;25;77;9;4;352;91;988.3;9.4;0.63
29/01/2015;1.3;5;36;22;62;9;4;192;79;1000.5;10.9;1.18
28/01/2015;1.34;4;26;22;56;10;4;203;89;1017.1;9;1.57
27/01/2015;1.36;4;56;27;64;14;4;210;91;1023.6;8.7;0.28
