Fecha;SO2;NO;NO2;PM10;NOX;O3
09/02/2015;3;17;28;;53;35
10/02/2015;3;51;42;;120;40
11/02/2015;3;5;22;;29;37
12/02/2015;3;25;47;26;85;23
13/02/2015;3;26;34;;74;26
14/02/2015;3;11;15;10;32;50
15/02/2015;3;9;17;;31;47
16/02/2015;3;19;36;;65;34
17/02/2015;3;10;34;14;48;39
18/02/2015;3;24;35;;71;42
19/02/2015;3;22;45;32;79;35
20/02/2015;3;13;38;29;58;44
21/02/2015;3;9;14;14;27;53
22/02/2015;3;12;17;;35;67
23/02/2015;3;6;17;;26;39
24/02/2015;3;8;14;11;26;60
25/02/2015;3;5;21;10;29;55
26/02/2015;4;10;19;10;34;51
27/02/2015;3;13;16;21;35;61
28/02/2015;3;8;34;22;46;49
01/03/2015;3;4;16;13;22;42
02/03/2015;4;9;17;19;31;35
03/03/2015;3;15;35;26;57;33
04/03/2015;3;8;27;28;39;47
05/03/2015;3;21;35;18;66;54
06/03/2015;3;25;46;25;84;36
07/03/2015;4;14;36;33;58;43
08/03/2015;3;11;34;33;51;47
09/03/2015;3;18;47;;74;36
10/03/2015;3;32;54;45;102;35
11/03/2015;3;36;61;59;116;24
12/03/2015;4;24;43;48;80;48
13/03/2015;3;7;29;43;39;64
14/03/2015;3;12;27;27;45;46
15/03/2015;3;10;16;16;30;62
16/03/2015;3;18;29;19;57;46
17/03/2015;3;20;27;24;57;50
18/03/2015;3;8;26;25;38;60
19/03/2015;3;3;12;38;16;80
20/03/2015;3;3;10;28;15;77
21/03/2015;3;5;14;23;20;61
22/03/2015;;;;9;;
23/03/2015;3;10;32;;47;48
24/03/2015;3;6;21;33;29;57
25/03/2015;3;7;15;9;26;63
26/03/2015;3;17;31;17;56;53
27/03/2015;3;7;19;12;29;43
28/03/2015;4;11;25;21;42;38
29/03/2015;4;6;26;22;35;35
30/03/2015;4;15;34;23;56;31
31/03/2015;5;24;48;33;85;30
01/04/2015;5;25;37;35;75;36
02/04/2015;4;19;34;35;63;37
03/04/2015;3;8;21;34;32;48
04/04/2015;3;3;12;22;15;58
05/04/2015;3;5;15;;22;50
06/04/2015;3;3;11;;15;72
07/04/2015;3;6;18;;26;71
08/04/2015;3;7;21;17;31;77
09/04/2015;3;5;21;17;28;74
10/04/2015;3;6;29;21;37;59
11/04/2015;3;6;27;28;35;50
12/04/2015;3;3;11;27;14;74
13/04/2015;3;5;20;22;26;67
14/04/2015;4;20;38;27;68;42
15/04/2015;3;20;39;37;69;37
16/04/2015;3;12;24;27;41;45
17/04/2015;5;8;26;24;37;51
18/04/2015;3;6;26;29;34;54
19/04/2015;3;3;12;16;14;71
20/04/2015;5;9;27;;41;53
21/04/2015;4;11;25;20;42;53
22/04/2015;4;12;28;24;46;50
23/04/2015;;;;35;;
24/04/2015;;;;40;;
25/04/2015;3;6;19;33;27;45
26/04/2015;3;2;7;18;9;58
27/04/2015;4;3;7;11;12;71
28/04/2015;3;5;16;20;24;55
29/04/2015;3;5;18;27;25;52
30/04/2015;3;7;20;30;30;52
01/05/2015;3;3;14;26;18;46
02/05/2015;6;6;17;30;25;51
03/05/2015;3;4;19;36;24;51
04/05/2015;4;3;16;;20;74
05/05/2015;3;3;12;27;16;52
06/05/2015;4;5;25;28;32;56
07/05/2015;3;22;46;29;79;56
08/05/2015;4;15;53;36;75;48
