Fecha;PM10;BEN
13/08/2015;Sense dades;Sense dades
14/08/2015;Sense dades;Sense dades
15/08/2015;Sense dades;Sense dades
16/08/2015;Sense dades;Sense dades
17/08/2015;Sense dades;Sense dades
18/08/2015;Sense dades;Sense dades
19/08/2015;Sense dades;Sense dades
20/08/2015;Sense dades;Sense dades
21/08/2015;Sense dades;Sense dades
22/08/2015;Sense dades;Sense dades
23/08/2015;Sense dades;Sense dades
24/08/2015;Sense dades;Sense dades
25/08/2015;Sense dades;Sense dades
26/08/2015;Sense dades;Sense dades
27/08/2015;Sense dades;Sense dades
28/08/2015;Sense dades;Sense dades
29/08/2015;Sense dades;Sense dades
30/08/2015;Sense dades;Sense dades
31/08/2015;Sense dades;Sense dades
01/09/2015;Sense dades;Sense dades
02/09/2015;Sense dades;Sense dades
03/09/2015;Sense dades;Sense dades
04/09/2015;Sense dades;Sense dades
05/09/2015;Sense dades;Sense dades
06/09/2015;Sense dades;Sense dades
07/09/2015;Sense dades;Sense dades
08/09/2015;Sense dades;Sense dades
09/09/2015;Sense dades;Sense dades
10/09/2015;Sense dades;Sense dades
11/09/2015;Sense dades;Sense dades
12/09/2015;Sense dades;Sense dades
13/09/2015;Sense dades;Sense dades
14/09/2015;Sense dades;Sense dades
15/09/2015;Sense dades;Sense dades
16/09/2015;Sense dades;Sense dades
17/09/2015;Sense dades;Sense dades
18/09/2015;Sense dades;Sense dades
19/09/2015;Sense dades;Sense dades
20/09/2015;Sense dades;Sense dades
21/09/2015;Sense dades;Sense dades
22/09/2015;Sense dades;Sense dades
23/09/2015;Sense dades;Sense dades
24/09/2015;Sense dades;Sense dades
25/09/2015;Sense dades;Sense dades
26/09/2015;Sense dades;Sense dades
27/09/2015;Sense dades;Sense dades
28/09/2015;Sense dades;Sense dades
29/09/2015;Sense dades;Sense dades
30/09/2015;Sense dades;Sense dades
01/10/2015;Sense dades;Sense dades
02/10/2015;Sense dades;Sense dades
03/10/2015;Sense dades;Sense dades
04/10/2015;Sense dades;Sense dades
05/10/2015;Sense dades;Sense dades
06/10/2015;Sense dades;Sense dades
07/10/2015;Sense dades;Sense dades
08/10/2015;Sense dades;Sense dades
09/10/2015;Sense dades;Sense dades
10/10/2015;Sense dades;Sense dades
11/10/2015;Sense dades;Sense dades
12/10/2015;Sense dades;Sense dades
13/10/2015;Sense dades;Sense dades
14/10/2015;Sense dades;Sense dades
15/10/2015;Sense dades;Sense dades
16/10/2015;Sense dades;Sense dades
17/10/2015;Sense dades;Sense dades
18/10/2015;Sense dades;Sense dades
19/10/2015;Sense dades;Sense dades
20/10/2015;Sense dades;Sense dades
21/10/2015;Sense dades;Sense dades
22/10/2015;Sense dades;Sense dades
23/10/2015;Sense dades;Sense dades
24/10/2015;Sense dades;Sense dades
25/10/2015;Sense dades;Sense dades
26/10/2015;Sense dades;Sense dades
27/10/2015;Sense dades;Sense dades
28/10/2015;Sense dades;Sense dades
29/10/2015;Sense dades;Sense dades
30/10/2015;Sense dades;Sense dades
31/10/2015;Sense dades;Sense dades
01/11/2015;Sense dades;Sense dades
02/11/2015;Sense dades;Sense dades
03/11/2015;Sense dades;Sense dades
04/11/2015;Sense dades;Sense dades
05/11/2015;Sense dades;Sense dades
