Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
13/05/2015;;7;0.3;5;20;28;26;65
14/05/2015;;6;0.2;16;21;50;45;43
15/05/2015;;8;0.1;3;7;17;10;85
16/05/2015;10;4;0.1;2;8;12;10;85
17/05/2015;;4;0.2;2;7;10;9;76
18/05/2015;;6;0.1;6;13;19;20;69
19/05/2015;8;3;0.2;2;9;11;11;53
20/05/2015;7;3;0.1;3;10;11;13;60
21/05/2015;;5;0.1;3;11;13;15;66
22/05/2015;;3;0.1;3;11;10;14;71
23/05/2015;10;3;0.2;2;10;14;13;76
24/05/2015;;5;0.1;3;11;13;14;70
25/05/2015;20;5;0.2;2;10;30;13;75
26/05/2015;17;5;0.1;4;12;48;16;57
27/05/2015;13;5;0.1;5;13;39;18;64
28/05/2015;11;5;0.1;3;10;34;13;79
29/05/2015;10;6;0.1;3;11;34;15;81
30/05/2015;12;5;0.1;3;10;32;12;70
31/05/2015;10;4;0.2;2;7;27;9;69
01/06/2015;11;6;0.1;2;11;31;13;67
02/06/2015;11;4;0.1;3;10;37;13;63
03/06/2015;11;7;0.1;4;12;37;17;68
04/06/2015;13;17;0.1;4;16;37;21;70
05/06/2015;16;7;0.2;3;12;38;16;79
07/06/2015;11;6;0.2;3;11;28;13;84
08/06/2015;17;8;0.1;4;14;43;19;86
09/06/2015;16;5;0.2;3;12;41;15;107
10/06/2015;11;3;0.3;2;7;31;9;98
11/06/2015;11;3;0.2;2;8;28;10;71
12/06/2015;9;4;0.2;3;11;;13;69
13/06/2015;7;3;0.1;2;6;20;7;70
14/06/2015;7;4;0.1;2;9;20;10;69
15/06/2015;8;5;0.1;3;11;21;14;60
16/06/2015;5;3;0.1;2;8;17;10;71
17/06/2015;7;5;0.1;3;11;20;15;66
18/06/2015;12;5;0.1;5;13;33;19;72
19/06/2015;11;8;0.1;3;14;31;17;77
20/06/2015;8;5;0.2;2;8;;10;71
21/06/2015;9;4;0.1;3;10;;12;70
22/06/2015;;5;0.2;;;;;79
23/06/2015;3;6;0.1;;;21;;78
24/06/2015;2;5;0.1;;;26;;72
25/06/2015;4;4;0.1;;;26;;71
