Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
05/06/2015;0.5;5;17;93;;;5
06/06/2015;0.5;3;16;95;;;4
07/06/2015;0.5;3;14;99;;;4
08/06/2015;0.5;6;20;99;;;4
09/06/2015;0.6;3;19;91;;;4
10/06/2015;0.6;2;13;101;;;4
11/06/2015;0.6;3;16;79;;;4
12/06/2015;0.6;5;16;79;;;4
13/06/2015;0.6;2;13;71;;;4
14/06/2015;0.7;2;10;75;;;4
15/06/2015;0.7;4;15;71;;;6
16/06/2015;0.8;2;10;90;;;4
17/06/2015;0.8;3;11;91;;;4
18/06/2015;0.8;3;12;92;;;4
19/06/2015;0.6;4;13;64;;;4
20/06/2015;0.7;2;10;85;;;4
21/06/2015;0.8;3;11;92;;;4
22/06/2015;0.8;3;16;85;;;4
23/06/2015;0.8;3;13;84;;;4
24/06/2015;0.8;4;13;79;;;4
25/06/2015;0.8;3;12;97;;;5
26/06/2015;0.7;3;14;107;;;5
27/06/2015;0.7;2;12;110;;;5
28/06/2015;0.7;3;12;110;;;5
29/06/2015;0.8;3;13;103;;;6
30/06/2015;0.7;3;13;116;;;6
01/07/2015;0.7;3;12;111;;;6
02/07/2015;0.7;3;13;106;;;6
03/07/2015;;;;;;;
04/07/2015;0.6;2;9;114;;;5
05/07/2015;0.6;2;9;106;;;5
06/07/2015;0.6;4;15;84;;;6
07/07/2015;0.6;3;19;76;;;5
08/07/2015;0.6;3;15;90;;;4
09/07/2015;0.7;3;15;87;;;5
10/07/2015;0.7;2;14;97;;;4
11/07/2015;0.7;2;13;91;;;4
12/07/2015;0.7;3;14;91;;;5
13/07/2015;0.6;2;12;109;;;5
14/07/2015;0.6;2;14;105;;;5
15/07/2015;0.7;3;13;101;;;5
16/07/2015;0.6;2;13;107;;;5
17/07/2015;0.7;4;14;95;;;5
18/07/2015;0.7;2;11;86;;;5
19/07/2015;0.7;3;12;70;;;5
20/07/2015;0.7;4;13;78;;;5
21/07/2015;0.8;3;16;69;;;5
22/07/2015;0.8;3;13;91;;;5
23/07/2015;0.7;3;13;76;;;5
24/07/2015;0.7;3;13;88;;;5
25/07/2015;0.7;2;8;88;;;5
26/07/2015;0.7;2;8;94;;;5
27/07/2015;0.7;4;13;80;;;5
