Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;1.2;39;7.4;69;992;115;0;9;3;2;4;12;6;51
02/01/2015;0.5;74;8.9;38;994;123;0;5;3;2;4;12;6;57
03/01/2015;1.5;252;12.3;33;993;123;0;4;3;2;4;12;6;58
04/01/2015;0.8;67;12.4;43;991;120;0;8;3;2;4;12;6;55
05/01/2015;0.7;65;8.4;66;990;119;0;15;3;2;4;21;6;45
06/01/2015;0.5;64;8.2;74;988;108;0;21;3;2;4;25;6;49
07/01/2015;0.6;105;7.5;77;991;88;0;24;3;2;4;29;6;41
08/01/2015;1;56;7.4;68;994;121;0.1;16;3;2;4;24;6;43
09/01/2015;1;116;10.3;52;996;126;0;6;3;2;4;16;6;52
10/01/2015;2;208;14.1;31;992;128;0;5;3;2;4;18;6;59
11/01/2015;2.5;326;12.5;38;990;118;0;4;3;2;4;7;6;62
12/01/2015;0.7;74;9.4;71;992;106;0;14;3;2;4;22;6;45
13/01/2015;2;258;11.9;55;988;120;0;11;3;2;4;18;6;53
14/01/2015;2.4;292;11.8;53;987;125;0;12;3;;;22;;55
15/01/2015;3.3;254;11.6;53;984;117;0;12;3;;;19;;63
16/01/2015;7.8;269;10.4;50;981;93;0;5;3;;;9;;73
17/01/2015;3.2;289;7.6;41;985;135;0;5;3;;;10;;70
18/01/2015;0.7;223;4.3;61;982;51;0.5;8;3;;;11;;58
19/01/2015;1.4;244;5.5;75;978;25;2.6;4;3;2;4;5;6;51
20/01/2015;2.2;318;4.9;52;979;104;0;3;3;2;4;5;6;64
21/01/2015;5.4;269;6.4;57;978;120;0;3;3;2;4;4;6;65
22/01/2015;5.8;296;6.8;47;980;89;0;2;3;2;4;3;6;74
23/01/2015;4.8;292;8.5;34;984;141;0;2;3;2;4;4;6;79
24/01/2015;4.7;264;9.4;34;986;114;0;4;3;3;4;5;7;78
25/01/2015;4.9;277;10.3;28;986;141;0;2;3;2;4;4;6;79
26/01/2015;0.7;42;7.5;41;988;136;0;8;3;2;4;22;6;57
27/01/2015;4.2;306;10.3;47;987;129;0;6;3;2;4;13;6;61
28/01/2015;1.3;102;9.4;52;985;146;0;6;3;2;4;12;6;68
29/01/2015;10.5;272;12.5;49;979;105;29.3;6;3;2;4;15;6;68
30/01/2015;12.8;267;14.5;66;972;94;20.1;1;3;2;4;2;6;58
31/01/2015;8.1;285;10;57;971;123;4.2;1;3;2;4;1;6;76
01/02/2015;7.1;281;7.1;39;979;113;4.5;1;3;2;4;1;6;79
02/02/2015;5.3;270;6.9;58;979;92;0;3;3;2;4;4;6;65
03/02/2015;8.8;275;8.7;58;974;142;1.8;1;3;2;4;1;6;73
04/02/2015;6.7;291;4.2;48;973;102;5;3;3;2;4;3;6;80
05/02/2015;7.4;288;4.5;31;977;137;6.3;4;3;2;4;11;6;77
06/02/2015;6.7;304;3.8;39;978;153;2.6;2;3;2;4;3;6;74
07/02/2015;0.7;26;3;59;983;62;0;9;3;;;11;;45
08/02/2015;3;264;4.9;53;985;162;0;12;3;;;13;;60
09/02/2015;1.2;54;4.3;62;987;76;0;14;3;;;22;;60
10/02/2015;0.7;100;6.6;70;987;75;0;13;3;;;20;;64
11/02/2015;0.2;263;7.2;87;986;25;1.4;14;3;;;18;;53
12/02/2015;0.3;279;7.3;90;985;26;3.3;10;3;;;13;;53
13/02/2015;3.9;271;10.2;61;985;130;0.3;6;3;2;4;9;6;65
14/02/2015;6.4;279;11.7;56;982;74;0.1;5;3;2;4;5;6;73
15/02/2015;5.5;283;13.8;53;980;141;0;1;3;2;4;1;6;68
16/02/2015;3.6;309;12.5;60;983;151;0;6;3;2;4;8;6;63
17/02/2015;2.1;48;10.1;65;987;59;0.7;12;3;2;4;14;6;64
18/02/2015;1.3;175;8.6;61;990;97;0;8;3;2;4;12;6;62
19/02/2015;1.2;164;6.6;70;990;108;0;18;3;2;4;23;6;70
20/02/2015;1.1;88;7.1;71;985;176;0;21;3;2;4;26;6;69
21/02/2015;5.7;292;9.1;55;978;102;1.1;8;3;2;4;9;6;76
22/02/2015;6.1;283;11.3;39;980;188;0;1;3;2;4;2;6;83
23/02/2015;10.4;276;13.9;51;981;148;10.7;3;3;2;4;4;6;65
24/02/2015;9.1;289;10.3;38;985;166;8.4;1;3;2;4;3;6;81
25/02/2015;10.4;303;11.9;43;986;56;13.1;1;3;2;4;4;6;82
26/02/2015;6.8;316;16.1;41;985;151;12.3;2;3;2;4;7;6;72
27/02/2015;6;291;12.2;39;984;170;1;1;3;2;4;4;6;82
28/02/2015;1.6;2;11.6;45;985;153;0;4;3;2;4;9;6;72
01/03/2015;3.1;270;17.1;46;986;148;0;2;3;2;4;5;6;64
02/03/2015;5;268;19.5;43;986;138;0;3;3;2;4;5;6;57
03/03/2015;1.4;91;15.1;65;987;180;0;12;3;2;4;19;6;49
04/03/2015;3.6;342;12.3;54;988;192;0.1;8;3;2;4;16;6;61
05/03/2015;3.8;292;10.2;27;990;209;0;3;3;2;4;6;6;84
06/03/2015;1;88;9.2;41;990;207;0;7;3;2;4;21;6;69
07/03/2015;0.8;80;13.4;40;989;212;0;9;3;2;4;23;6;73
08/03/2015;1;92;10;57;987;167;0;13;3;2;4;22;6;75
09/03/2015;0.9;94;11.9;52;987;168;0;14;3;2;4;28;6;71
10/03/2015;0.9;95;12.2;50;987;205;0;19;3;2;5;36;6;73
11/03/2015;1;83;15.1;41;987;210;0;15;3;2;5;34;6;77
12/03/2015;1.4;91;15.4;44;985;209;0;20;3;2;4;37;6;90
13/03/2015;1.3;114;10.9;70;985;171;0;39;3;2;4;51;6;80
14/03/2015;3.5;314;10.4;43;985;200;0;7;3;2;4;17;6;77
15/03/2015;1.7;31;8.4;47;983;139;0.1;11;3;2;4;14;6;84
16/03/2015;1.7;171;7.4;63;984;224;0.1;14;3;2;4;17;6;68
17/03/2015;1.8;104;6.9;63;985;255;0;20;3;2;4;26;6;74
20/03/2015;;;;;;;0.3;;;;;;;
21/03/2015;1.5;225;10.5;83;979;71;21;4;3;2;4;6;6;73
22/03/2015;0.6;117;9.6;;980;56;8.5;2;3;2;4;3;6;74
23/03/2015;1.2;51;9.6;;979;26;41.8;7;3;2;4;7;6;84
24/03/2015;1;349;9.7;;976;32;13.4;4;3;2;4;5;6;75
25/03/2015;5.3;303;8.8;45;977;233;1.9;1;3;2;4;2;6;87
26/03/2015;5.5;311;11.7;41;982;223;0;1;3;2;4;2;6;78
27/03/2015;3.7;312;16.7;45;986;237;0;1;3;2;4;5;6;66
28/03/2015;1.8;306;18.9;45;987;247;0;3;3;2;4;5;6;66
29/03/2015;2.4;219;19;43;987;214;0;5;3;2;4;8;6;74
30/03/2015;5.4;280;21.1;30;987;114;0;2;3;2;4;5;6;83
31/03/2015;1.6;33;21;43;987;245;0;4;3;2;4;12;6;77
01/04/2015;2;127;15.2;52;988;251;0;7;3;2;4;14;6;76
02/04/2015;0.8;83;13.5;61;987;249;0;10;3;2;4;19;6;70
03/04/2015;1;83;14.9;54;984;241;0;9;3;2;4;16;6;68
04/04/2015;1.3;91;12.6;70;982;172;0;14;3;2;4;22;6;64
