Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
04/04/2015;2.2;71;14.6;76;937;236;0;9;3;0.1;2;4;18;7;80
05/04/2015;3.2;47;14.7;;936;243;0.2;7;3;0.1;2;4;12;6;80
06/04/2015;2.5;74;11.6;85;942;46;0.8;4;3;0.1;2;4;10;6;85
07/04/2015;;;9.9;61;;;1.6;;;;;;10;;
08/04/2015;;;8.7;61;;;;;;;;;15;;
09/04/2015;;;9.1;72;;;;;;;;;14;;
10/04/2015;;;10.1;72;;;;;;;;;18;;
11/04/2015;;;9.3;78;;;;;;;;;14;;
12/04/2015;;;11.3;75;;;;;;;;;23;;
13/04/2015;;;12.5;59;;;;;;;;;29;;
14/04/2015;;;13.2;50;;;;;;;;;33;;
15/04/2015;;;11.5;78;;;;;;;;;25;;88
16/04/2015;;;14.1;63;;;;;;;;;6;;89
17/04/2015;;;14.9;58;;;;;;;;;10;;88
18/04/2015;;;13.7;61;;;;;;;;;12;;85
19/04/2015;;;13.4;51;;;;;;;;;9;;87
20/04/2015;;;12.2;62;;;;;;;;;12;;87
21/04/2015;;;11.8;66;;;;;;;;;9;;88
22/04/2015;;;13.6;66;;;;;;;;;13;;92
23/04/2015;;;15.7;58;;;;;;;;;22;;88
24/04/2015;;;15.9;59;;;;;;;;;32;;92
25/04/2015;;;17.6;46;;;;;;;;;16;;84
26/04/2015;;;14.9;62;;;;;;;;;5;;74
27/04/2015;;;13.4;53;;;;;;;;;5;;92
28/04/2015;;;14.4;56;;;;;;;;;6;;90
29/04/2015;;;15.2;55;;;;;;;;;13;;80
30/04/2015;;;16.2;53;;;;;;;;;14;;88
01/05/2015;;;19.9;44;;;;;;;;;11;;84
02/05/2015;;;22.1;37;;;;;;;;;12;;84
03/05/2015;;;22.3;37;;;;;;;;;16;;91
04/05/2015;;;22.8;33;;;;;;;;;31;;104
05/05/2015;;;20.3;41;;;;;;;;;15;;82
06/05/2015;;;17.7;43;;;;;;;;;15;;96
07/05/2015;;;16.6;53;;;;;;;;;18;;89
08/05/2015;;;19.4;39;;;;;;;;;16;;90
09/05/2015;;;20.2;41;;;;;;;;;19;;95
10/05/2015;;;17.5;42;;;;;;;;;12;;92
11/05/2015;;;17.7;37;;;;;;;;;13;;98
12/05/2015;;;20;31;;;;;;;;;17;;98
13/05/2015;;;24;28;;;;;;;;;32;;108
14/05/2015;;;28.5;16;;;;;;;;;65;;87
15/05/2015;;;19.7;36;;;;;;;;;22;;94
16/05/2015;;;16;46;;;;;;;;;13;;91
17/05/2015;;;17;43;;;;;;;;;14;;96
18/05/2015;;;17;45;;;;;;;;;18;;91
19/05/2015;;;17.2;65;;;;;;;;;20;;89
20/05/2015;;;13.7;66;;;;;;;;;9;;79
21/05/2015;;;13.2;65;;;;;;;;;11;;81
22/05/2015;;;12.5;65;;;;;;;;;12;;80
23/05/2015;;;13.4;56;;;;;;;;;11;;88
24/05/2015;;;12.7;51;;;;;;;;;10;;92
25/05/2015;;;15.2;50;;;;;;;;;14;;97
26/05/2015;;;17.5;50;;;;;;;;;25;;95
27/05/2015;;;16.5;62;;;;;;;;;20;;105
28/05/2015;;;16.9;52;;;;;;;;;17;;98
29/05/2015;;;17.6;40;;;;;;;;;17;;97
30/05/2015;;;18.3;61;;;;;;;;;16;;93
31/05/2015;;;17.6;68;;;;;;;;;11;;86
01/06/2015;;;18.6;67;;;;;;;;;13;;83
02/06/2015;;;;;;;0.2;;;;;;17;;
03/06/2015;2.8;115;20.5;42;946;332;0;8;3;0.1;2;4;12;6;98
04/06/2015;3;69;19.9;46;945;336;0;10;5;0.2;2;4;16;6;92
05/06/2015;3.6;108;20.7;42;944;341;0;10;4;0.1;2;4;16;6;98
06/06/2015;2.7;124;20.7;38;946;341;0;8;4;0.1;2;4;12;6;93
07/06/2015;2.1;98;20.4;37;945;344;0;8;3;0.1;2;4;13;6;92
08/06/2015;2.6;72;21.5;38;943;300;0.2;10;3;0.1;2;4;15;6;98
09/06/2015;;;;;;;0;12;;;;;18;;
10/06/2015;;;;;;;0;14;;;;;18;;
11/06/2015;;;;;;;1.8;13;;;;;16;;
12/06/2015;2.7;320;21.1;59;936;216;0;13;4;0.1;2;4;18;6;68
13/06/2015;3.4;8;20.3;58;935;198;7.2;10;3;0.1;2;4;16;6;70
14/06/2015;3.2;349;19.1;49;937;253;0.2;8;3;0.1;2;4;12;6;78
15/06/2015;;;;;;;0;;;;;;8;;
16/06/2015;;;;;;;;4;;;;;5;;
17/06/2015;;;;;;;0;7;;;;;8;;
18/06/2015;1.4;133;20;67;944;285;0.1;9;4;0.1;2;4;11;6;92
19/06/2015;2;123;22.3;53;942;336;0;10;5;0.1;2;4;13;6;96
20/06/2015;2.3;145;22.2;55;943;334;0;9;3;0.1;2;4;13;6;91
21/06/2015;2.7;165;22.7;50;944;326;0.2;9;3;0.1;2;4;12;6;95
22/06/2015;1.7;168;25.1;38;941;304;0.2;13;3;;2;4;17;6;95
23/06/2015;2.6;358;21.2;58;938;143;3.8;18;3;;;;15;;94
24/06/2015;3.2;29;20.7;70;942;307;0;9;3;;;;12;;94
25/06/2015;1.6;168;22.3;58;946;320;0;9;4;;;;13;;94
26/06/2015;1.8;194;24.6;52;946;326;0;11;4;;;;16;;99
27/06/2015;2.1;181;26.6;39;945;331;0.2;12;4;;;;15;;100
28/06/2015;2;178;28.4;33;944;330;0;12;3;;;;15;;101
29/06/2015;3.1;154;28.1;30;945;325;0;14;3;;;;16;;108
30/06/2015;;;26.3;33;;;0;;;;;;18;;105
01/07/2015;;;25.7;34;;;;;;;;;16;;105
02/07/2015;;;25.7;48;;;;;;;;;19;;111
03/07/2015;;;25;46;;;;;;;;;20;;100
04/07/2015;;;25.9;40;;;;;;;;;17;;
05/07/2015;;;27.6;31;;;;;;;;;18;;
06/07/2015;;;28;26;;;;;;;;;21;;
07/07/2015;;;26.7;21;;;;;;;;;34;;
08/07/2015;;;27.9;35;;;;;;;;;45;;
09/07/2015;;;24.2;65;;;;;;;;;30;;
10/07/2015;;;25.1;59;;;;;;;;;30;;76
11/07/2015;;;24.4;60;;;;;;;;;31;;84
12/07/2015;;;25.2;53;;;;;;;;;26;;83
13/07/2015;;;25.5;50;;;;;;;;;29;;84
14/07/2015;;;25.6;45;;;;;;;;;29;;83
15/07/2015;;;25.1;45;;;;;;;;;28;;89
16/07/2015;;;25.9;36;;;;;;;;;23;;100
17/07/2015;;;25.6;48;;;;;;;;;21;;87
18/07/2015;;;25.2;52;;;;;;;;;20;;83
19/07/2015;;;25.9;51;;;;;;;;;23;;83
20/07/2015;;;25.8;57;;;;;;;;;31;;82
21/07/2015;;;26.2;49;;;;;;;;;28;;84
22/07/2015;;;25.2;54;;;;;;;;;32;;80
23/07/2015;;;25.3;60;;;;;;;;;20;;88
24/07/2015;;;27.9;45;;;;;;;;;25;;83
25/07/2015;;;25.7;57;;;;;;;;;22;;81
26/07/2015;;;25.4;68;;;;;;;;;23;;71
27/07/2015;;;28.5;41;;;;;;;;;23;;93
28/07/2015;;;25.7;61;;;;;;;;;26;;78
29/07/2015;;;25.5;64;;;;;;;;;29;;70
30/07/2015;;;24;71;;;;;;;;;17;;69
31/07/2015;;;23.5;76;;;;;;;;;17;;72
01/08/2015;;;23;68;;;;;;;;;13;;82
02/08/2015;;;23.4;67;;;;;;;;;15;;88
03/08/2015;;;24.8;46;;;;;;;;;27;;76
04/08/2015;;;25.8;48;;;;;;;;;20;;86
05/08/2015;;;26.3;65;;;;;;;;;22;;81
06/08/2015;;;27.1;61;;;;;;;;;32;;75
07/08/2015;;;27.5;50;;;;;;;;;74;;70
08/08/2015;;;23.6;64;;;;;;;;;50;;59
09/08/2015;;;24.1;72;;;;;;;;;25;;74
10/08/2015;;;26.2;;;;;;;;;;33;;79
11/08/2015;;;25.1;67;;;;;;;;;31;;77
12/08/2015;;;;;;;;;;;;;35;;
13/08/2015;;;;;;;;;;;;;22;;
14/08/2015;;;23.9;30;;;;;;;;;;;88
16/08/2015;;;21.4;64;;;;;;;;;12;;78
17/08/2015;;;23.5;63;;;;;;;;;17;;80
18/08/2015;;;22.5;68;;;;;;;;;15;;72
19/08/2015;;;;;;;;;;;;;11;;
20/08/2015;;;24.8;;;;;;;;;;11;;83
21/08/2015;;;23;47;;;;;;;;;14;;76
22/08/2015;;;23;59;;;;;;;;;13;;70
23/08/2015;;;23.9;44;;;;;;;;;15;;65
24/08/2015;;;23.5;38;;;;;;;;;16;;72
25/08/2015;;;22.1;50;;;;;;;;;18;;81
26/08/2015;;;22.1;65;;;;;;;;;15;;72
27/08/2015;;;23.2;57;;;;;;;;;14;;73
28/08/2015;;;23.4;49;;;;;;;;;22;;74
29/08/2015;;;22.7;64;;;;;;;;;16;;70
30/08/2015;;;23.1;71;;;;;;;;;32;;70
31/08/2015;;;24.4;72;;;;;;;;;38;;73
