Fecha;NO;NO2;NOX;PM10;PM25;O3;dd;HR;PRB;LL;RS;TMP;vv
17/07/2015;14;46;40;23;;;298;82;1016.3;0;220.1;22.2;1.03
16/07/2015;4;32;20;16;;;327;86;1014.2;0;156.3;22;1.29
15/07/2015;8;45;28;;11;;287;87;1016.7;0;127.8;21.9;0.85
14/07/2015;6;40;23;;7;;46;78;1020.3;0;269.5;22;0.78
13/07/2015;13;35;35;12;;;360;76;1021.7;0;288.6;20.6;0.54
12/07/2015;3;30;14;;;;35;80;1022.1;0.4;145.3;20.6;0.72
11/07/2015;3;20;12;17;;;358;80;1022.6;0;116.7;20.9;0.62
10/07/2015;7;39;30;24;11;;317;71;1015.6;0;335;22.3;2.05
09/07/2015;8;47;29;;6;;93;71;1020.1;0;265.5;20.6;1.61
08/07/2015;4;47;16;10;2;;332;76;1021.7;0.8;136;20;1.42
07/07/2015;6;40;20;18;8;;324;78;1017.7;0.2;329.1;22.1;2.08
06/07/2015;;33;;20;9;;306;80;1016.7;0.2;323.7;22.4;0.8
05/07/2015;5;14;17;20;6;;314;92;1019.3;1.9;66.6;20.3;0.87
04/07/2015;4;34;19;18;9;;78;78;1019.7;0.1;257.7;22.3;1.37
03/07/2015;6;32;24;28;10;;135;71;1015.7;0.1;280.4;25.3;0.96
02/07/2015;4;29;19;14;;;316;90;1018.9;0;133.4;20;1.72
01/07/2015;4;38;19;32;17;;316;86;1012.8;2.1;222;21.7;1.33
30/06/2015;6;54;31;31;14;;318;75;1011.1;0.2;299.2;24.7;1.05
29/06/2015;4;46;25;17;7;;27;80;1017.7;0;283.4;23.1;0.15
28/06/2015;4;24;18;14;;;9;85;1020.6;0;156.7;20.7;0.88
27/06/2015;5;33;20;;14;;314;76;1020.6;0;324.6;21.9;1.07
26/06/2015;7;48;29;;18;;319;88;1020.6;0;173.6;20.2;1.21
25/06/2015;9;58;43;26;12;;287;71;1018.9;0;326.9;22.4;0.25
24/06/2015;10;40;33;29;;;30;73;1018.4;0;313.2;20.6;0.55
23/06/2015;10;46;31;;21;;350;72;1015.8;0;315;20.3;0.94
22/06/2015;10;39;34;20;9;;298;82;1014.4;0;305.9;20.3;1.11
21/06/2015;5;39;27;20;9;;288;74;1018.7;0;328.1;20;0.66
20/06/2015;7;29;27;17;9;;347;76;1021.6;0;319.8;18.7;0.32
19/06/2015;8;53;34;20;8;;323;89;1022.6;0.6;114.3;17.4;0.73
18/06/2015;11;50;39;21;10;;317;79;1024.1;0;268.9;18.1;0.85
17/06/2015;3;62;26;20;9;;311;83;1025.6;0;237.2;17.7;1.95
16/06/2015;4;51;21;16;6;;309;78;1024.2;1.2;234.7;17.1;2.79
15/06/2015;5;62;27;17;7;;303;84;1018.6;3.2;145.8;17.2;1.95
14/06/2015;3;30;16;13;5;;329;81;1012.6;0;237.2;17.2;0.79
