Fecha;NO;NO2;PM10;NOX;O3
13/07/2015;5;12;29;18;71
14/07/2015;3;10;28;14;71
15/07/2015;2;10;27;13;78
16/07/2015;2;16;26;19;86
17/07/2015;3;20;27;25;80
18/07/2015;3;12;20;15;73
19/07/2015;2;10;30;13;71
20/07/2015;3;6;30;9;76
21/07/2015;3;13;34;17;70
22/07/2015;3;8;22;12;95
23/07/2015;3;11;;15;79
24/07/2015;4;17;;23;83
25/07/2015;2;7;;10;80
26/07/2015;2;5;;8;70
27/07/2015;4;11;;18;69
28/07/2015;2;10;;13;76
29/07/2015;3;8;;12;71
30/07/2015;2;8;;10;
31/07/2015;3;12;;16;
01/08/2015;2;11;15;14;72
02/08/2015;2;11;;14;66
03/08/2015;3;16;;21;56
04/08/2015;3;10;;14;57
05/08/2015;2;8;;12;60
06/08/2015;3;11;22;15;48
07/08/2015;4;11;31;16;46
08/08/2015;3;8;40;12;46
09/08/2015;3;5;29;9;49
10/08/2015;3;8;28;12;58
11/08/2015;4;14;34;20;42
12/08/2015;3;12;;17;49
13/08/2015;4;11;32;16;55
14/08/2015;3;6;;9;73
15/08/2015;2;10;;14;55
16/08/2015;3;6;;10;62
17/08/2015;3;10;;14;53
18/08/2015;3;11;;15;57
19/08/2015;3;9;17;12;64
20/08/2015;4;17;;23;50
21/08/2015;4;15;22;20;53
22/08/2015;3;8;16;12;62
23/08/2015;3;5;16;8;54
24/08/2015;2;8;16;11;66
25/08/2015;3;9;29;13;68
26/08/2015;3;8;25;12;58
27/08/2015;3;11;25;16;52
28/08/2015;3;9;;13;56
29/08/2015;3;8;19;12;55
30/08/2015;3;7;25;10;54
31/08/2015;3;12;39;17;46
