Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
03/05/2015;23:00:00;6;46.25;3.75;22.25;121;0;50.125;0;935.5;18.425
03/05/2015;0:00:00;6;45.5;6.25;16.25;121;0.2;58.525;0;935.75;17.575
04/05/2015;1:00:00;6;44;4;14;88;0.1;61.7;0;935;16.9
04/05/2015;2:00:00;6;35;3;10;45;0;68.4;0;935;16.2
04/05/2015;3:00:00;6;26;3;15;49;0.3;70;0;934;15.9
04/05/2015;4:00:00;6;16;2;24;354;0.8;74.8;0;933;15.3
04/05/2015;5:00:00;6;14;2;23;66;0.8;80.7;0;932;14.6
04/05/2015;6:00:00;6;18;4;18;18;0.6;82.4;0;932;14.3
04/05/2015;7:00:00;7;32;11;3;58;0.2;83.5;0;932;14.1
04/05/2015;8:00:00;8;36;22;2;116;0.1;83.5;0;932;14.1
04/05/2015;9:00:00;7;34;23;5;20;0.2;86.4;0;932;14
04/05/2015;10:00:00;7;33;20;9;320;0.3;78.6;0;932;15.5
04/05/2015;11:00:00;7;30;20;15;219;0.3;67.8;0;931;17.6
04/05/2015;12:00:00;7;25;15;48;246;0.9;44.5;0;932;21.3
04/05/2015;13:00:00;8;12;5;86;205;2.3;28.4;0;931;23.1
04/05/2015;14:00:00;7;11;5;86;205;3;25.9;0;931;23.3
04/05/2015;15:00:00;7;10;5;94;207;2.7;22.7;0;930;24.9
04/05/2015;16:00:00;7;6;3;98;209;3.2;20.6;0;929;26.3
04/05/2015;17:00:00;7;6;3;103;229;3.7;16.6;0;929;26.7
04/05/2015;18:00:00;7;11;4;93;232;3.3;17;0;929;25.5
04/05/2015;19:00:00;7;10;3;87;235;3.5;17.5;0;929;23.9
04/05/2015;20:00:00;7;16;4;82;229;3;19.4;0;929;22.8
04/05/2015;21:00:00;7;13;3;79;219;3.3;24.3;0;929;21.8
04/05/2015;22:00:00;7;8;3;81;217;3.6;29.9;0;930;20.6
04/05/2015;23:00:00;6;11;2;69;222;3.2;38.5;0;931;19.7
04/05/2015;0:00:00;6;5;2;63;246;3.4;58;0;932;18.1
05/05/2015;1:00:00;6;3;2;68;250;3.2;75.7;0.37;933;15.6
05/05/2015;2:00:00;6;4;2;75;234;2.2;69.9;0;933;14.5
05/05/2015;3:00:00;6;4;2;79;234;2;66.8;0;934;14
05/05/2015;4:00:00;6;2;2;83;258;1.8;68;0;934;12.9
05/05/2015;5:00:00;6;2;2;84;255;1.7;67.9;0;934;12.4
05/05/2015;6:00:00;6;5;2;79;245;1.8;70.4;0;934;12
05/05/2015;7:00:00;6;10;2;74;225;1.9;75.1;0;935;11.5
05/05/2015;8:00:00;6;23;3;65;231;1.8;75.1;0;936;11.1
05/05/2015;9:00:00;6;27;6;63;233;1.6;76.5;0;936;10.9
05/05/2015;10:00:00;6;36;10;57;228;1.7;71.4;0;937;12
05/05/2015;11:00:00;6;31;11;65;227;1.6;62.9;0;937;13.5
05/05/2015;12:00:00;6;28;11;70;266;1.4;52.7;0;937;15.6
05/05/2015;13:00:00;6;21;9;78;297;1.3;45.3;0;937;17.1
05/05/2015;14:00:00;6;12;5;91;252;1.9;39.7;0;937;18.5
05/05/2015;15:00:00;6;7;4;106;243;2.2;33.9;0;937;19.2
05/05/2015;16:00:00;6;5;3;113;229;2.7;31.1;0;937;19.6
05/05/2015;17:00:00;6;6;3;113;228;2.7;27.7;0;937;20
05/05/2015;18:00:00;6;8;5;107;248;2.8;26.7;0;936;19.9
05/05/2015;19:00:00;6;8;3;105;249;2.6;27.6;0;936;19.8
05/05/2015;20:00:00;6;11;4;100;242;2.3;28.9;0;936;19.3
05/05/2015;21:00:00;6;14;3;90;264;2;36.5;0;937;17.8
05/05/2015;22:00:00;6;18;2;78;266;0.8;44.1;0;937;15.3
05/05/2015;23:00:00;6;24;3;68;253;0.6;46.7;0;938;14.2
05/05/2015;0:00:00;6;31;2;46;342;0.3;54.4;0;938;12.3
06/05/2015;1:00:00;6;26;2;35;358;0;59;0;939;11
06/05/2015;2:00:00;6;20;2;29;240;0;62.9;0;939;9.9
06/05/2015;3:00:00;6;21;3;29;69;0.2;67.6;0;939;9
06/05/2015;4:00:00;6;16;2;29;23;0.1;73.1;0;939;8.1
06/05/2015;5:00:00;6;16;3;25;47;0.2;78.9;0;939;7.2
06/05/2015;6:00:00;6;10;2;28;43;0.3;81.9;0;940;6.3
06/05/2015;7:00:00;6;16;4;22;39;0.4;83.6;0;940;5.8
