Fecha;NO;NO2;NOX;O3;PM10;PM25;SO2
30/04/2015;8;56;35;64;18;;11
29/04/2015;15;46;54;69;20;8;13
28/04/2015;8;58;33;75;14;;7
27/04/2015;2;39;19;71;10;4;6
26/04/2015;1;25;16;67;6;;8
25/04/2015;4;47;25;78;16;;8
24/04/2015;17;56;65;45;26;12;13
23/04/2015;9;60;44;70;18;13;8
22/04/2015;3;59;29;86;13;;7
21/04/2015;14;59;55;88;26;;14
20/04/2015;12;51;51;74;23;20;14
19/04/2015;2;36;23;86;13;11;10
18/04/2015;5;48;31;75;18;9;9
17/04/2015;11;47;44;68;22;16;8
16/04/2015;14;82;62;82;28;15;11
15/04/2015;2;36;21;95;17;4;7
14/04/2015;10;92;51;92;31;17;24
13/04/2015;6;83;48;102;35;;16
12/04/2015;5;65;36;90;22;;13
11/04/2015;3;43;26;82;17;13;7
10/04/2015;2;54;29;72;12;5;6
09/04/2015;2;51;26;92;14;4;6
08/04/2015;2;52;19;94;14;;7
07/04/2015;12;75;54;89;20;;14
06/04/2015;6;56;34;87;16;;11
05/04/2015;2;38;17;76;9;;5
04/04/2015;2;40;17;78;7;;6
03/04/2015;8;41;33;73;16;;15
02/04/2015;6;37;33;84;16;;10
01/04/2015;2;36;18;85;19;7;6
31/03/2015;3;39;23;61;16;6;9
30/03/2015;10;47;41;65;20;10;13
29/03/2015;9;67;46;71;20;;12
28/03/2015;3;54;29;62;16;8;7
27/03/2015;6;74;40;70;11;5;7
26/03/2015;11;67;56;56;11;;6
25/03/2015;3;54;29;73;8;5;6
24/03/2015;13;64;55;62;16;13;6
23/03/2015;21;74;82;43;15;11;6
22/03/2015;;42;15;68;18;11;5
21/03/2015;;40;31;49;24;19;5
20/03/2015;1;35;21;67;40;31;5
19/03/2015;6;62;41;63;23;12;8
18/03/2015;24;98;92;71;28;17;21
17/03/2015;10;92;63;80;28;;17
16/03/2015;17;75;69;61;35;29;11
15/03/2015;4;61;38;64;26;18;6
14/03/2015;1;52;26;75;16;13;5
13/03/2015;2;57;28;71;18;9;7
12/03/2015;17;58;64;73;39;27;8
11/03/2015;19;69;74;66;45;33;12
10/03/2015;27;79;101;50;37;22;20
09/03/2015;19;80;86;58;33;18;15
08/03/2015;9;67;52;78;23;;18
07/03/2015;19;93;78;62;23;;22
06/03/2015;26;98;93;45;28;;15
05/03/2015;3;79;32;84;12;;5
04/03/2015;2;62;24;79;7;2;5
03/03/2015;12;67;55;47;14;8;6
02/03/2015;15;64;58;58;10;6;5
01/03/2015;7;53;36;49;10;;7
28/02/2015;17;71;73;31;15;;8
27/02/2015;2;75;27;87;11;4;6
26/02/2015;4;73;33;67;5;4;5
25/02/2015;;36;23;72;7;5;6
24/02/2015;2;40;25;79;7;5;5
23/02/2015;8;59;49;61;9;8;7
22/02/2015;2;50;28;84;10;7;5
21/02/2015;1;21;16;79;7;3;5
20/02/2015;8;72;48;61;16;13;12
19/02/2015;25;97;88;50;21;;10
18/02/2015;27;73;86;61;19;14;6
17/02/2015;1;32;19;80;14;6;5
16/02/2015;3;75;34;61;10;6;6
15/02/2015;2;43;33;53;9;;6
14/02/2015;4;58;47;42;12;11;13
13/02/2015;7;77;46;79;20;;8
12/02/2015;12;80;58;69;27;16;8
11/02/2015;20;78;83;49;34;23;18
10/02/2015;28;82;94;64;32;15;17
09/02/2015;10;79;51;62;23;14;7
08/02/2015;7;72;46;51;27;22;8
07/02/2015;10;56;56;20;24;19;6
06/02/2015;10;73;55;53;13;10;6
05/02/2015;4;76;31;66;9;3;5
04/02/2015;10;83;56;53;11;;5
03/02/2015;5;82;40;70;7;3;6
02/02/2015;7;74;47;56;9;;8
01/02/2015;2;43;19;80;11;4;6
31/01/2015;1;34;18;77;8;2;6
30/01/2015;3;75;35;76;12;4;5
29/01/2015;12;69;52;43;12;8;7
28/01/2015;17;73;79;23;21;16;7
27/01/2015;7;82;62;42;18;10;7
26/01/2015;35;77;110;19;31;19;13
25/01/2015;9;72;47;64;19;9;6
24/01/2015;17;64;60;54;25;17;13
23/01/2015;25;73;83;45;21;16;8
22/01/2015;5;78;46;57;12;7;6
21/01/2015;4;69;38;58;9;6;6
20/01/2015;10;60;55;37;13;11;10
19/01/2015;3;53;27;69;12;6;6
18/01/2015;2;39;16;69;9;;5
17/01/2015;5;54;35;56;14;7;9
16/01/2015;7;69;40;64;9;;6
15/01/2015;3;76;18;76;7;4;5
14/01/2015;17;58;51;70;19;13;11
13/01/2015;2;44;17;67;12;6;6
12/01/2015;6;64;37;58;12;;10
11/01/2015;4;49;34;64;21;11;7
10/01/2015;33;60;89;17;36;23;15
09/01/2015;58;88;141;10;35;19;23
08/01/2015;55;91;138;8;34;23;15
07/01/2015;41;78;107;15;28;17;12
06/01/2015;33;66;95;6;32;26;24
05/01/2015;46;84;114;14;28;14;15
04/01/2015;30;58;86;15;31;29;22
03/01/2015;27;69;84;26;26;;23
02/01/2015;41;94;115;10;21;10;12
01/01/2015;9;48;47;29;19;;10
