Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
29/04/2015;;;0;;59;23;10
28/04/2015;;;0;;81;17;4
27/04/2015;;;0;;82;12;5
26/04/2015;;;26;;78;8;5
25/04/2015;;16;59;67;78;15;6
24/04/2015;;51;94;143;33;35;9
23/04/2015;;25;86;100;68;19;6
22/04/2015;;17;101;88;69;19;6
21/04/2015;;51;104;146;75;30;9
20/04/2015;;33;77;111;76;25;9
19/04/2015;;12;72;66;87;15;6
18/04/2015;;17;90;78;70;19;6
17/04/2015;;29;82;103;63;21;5
16/04/2015;;;83;;34;35;
15/04/2015;;;77;;90;28;5
14/04/2015;;31;120;112;86;36;8
13/04/2015;;22;105;105;92;37;7
12/04/2015;;27;103;95;92;28;8
11/04/2015;;15;89;76;79;17;6
10/04/2015;;11;95;72;84;21;5
09/04/2015;;11;90;68;74;21;4
08/04/2015;;5;60;47;92;16;4
07/04/2015;;44;89;131;67;25;9
06/04/2015;;19;79;74;80;19;8
05/04/2015;;8;71;48;70;11;5
04/04/2015;;6;60;46;72;10;6
03/04/2015;;19;56;69;70;20;13
02/04/2015;;17;69;73;76;24;15
01/04/2015;;15;76;76;68;27;5
31/03/2015;;14;74;73;48;22;8
30/03/2015;;30;82;107;43;30;10
29/03/2015;;31;91;102;58;24;10
28/03/2015;;25;84;93;50;22;7
27/03/2015;;38;109;129;69;16;8
26/03/2015;;36;93;117;52;14;9
25/03/2015;;16;84;79;72;12;5
24/03/2015;;42;100;130;36;16;5
23/03/2015;;43;96;135;37;11;5
22/03/2015;;9;67;60;63;15;5
21/03/2015;;18;75;86;40;18;5
20/03/2015;;17;82;84;57;29;5
19/03/2015;;21;69;90;59;25;8
18/03/2015;;61;119;181;43;30;10
17/03/2015;;21;94;95;68;22;7
16/03/2015;;52;91;140;46;28;8
15/03/2015;;22;76;88;60;19;5
14/03/2015;;14;79;69;80;15;5
13/03/2015;;13;77;75;61;26;6
12/03/2015;;32;87;111;50;46;7
11/03/2015;;37;96;133;37;51;12
10/03/2015;;57;102;166;47;20;22
09/03/2015;;49;114;154;36;38;14
08/03/2015;;36;106;120;48;32;15
07/03/2015;;72;105;178;40;33;14
06/03/2015;;81;108;195;24;37;12
05/03/2015;;39;121;123;65;18;5
04/03/2015;;18;96;85;74;13;5
03/03/2015;;41;98;128;31;18;7
02/03/2015;;46;99;142;28;16;6
01/03/2015;;39;72;107;37;15;6
28/02/2015;;64;95;165;20;20;7
27/02/2015;;19;83;87;85;17;6
26/02/2015;;25;87;93;67;9;5
25/02/2015;;7;61;51;78;9;4
24/02/2015;;12;75;63;82;12;4
23/02/2015;;32;87;107;59;13;5
22/02/2015;;15;79;73;80;14;5
21/02/2015;;5;49;44;71;12;4
20/02/2015;;46;95;127;60;18;6
19/02/2015;;86;108;202;27;27;10
18/02/2015;;44;90;130;49;19;4
17/02/2015;;18;89;81;76;22;4
16/02/2015;;22;96;93;61;14;5
15/02/2015;;18;84;88;39;13;4
14/02/2015;;21;85;90;40;10;5
13/02/2015;;30;94;102;64;18;4
12/02/2015;;58;94;158;42;25;4
11/02/2015;;71;101;179;32;37;9
10/02/2015;;94;103;216;8;35;8
09/02/2015;;35;92;110;50;29;5
08/02/2015;;30;89;101;33;24;4
07/02/2015;;32;71;96;24;23;3
06/02/2015;;52;82;140;30;15;4
05/02/2015;;27;91;96;63;14;3
04/02/2015;;35;90;111;41;14;4
03/02/2015;;20;87;82;67;12;4
02/02/2015;;31;83;97;55;9;4
01/02/2015;;6;59;41;78;14;5
31/01/2015;;6;50;42;78;11;5
30/01/2015;;21;86;87;73;11;5
29/01/2015;;20;79;78;46;9;4
28/01/2015;;43;74;128;27;15;3
27/01/2015;;36;86;123;24;17;4
26/01/2015;;65;83;162;18;28;4
25/01/2015;;32;78;102;39;20;3
24/01/2015;;48;70;124;30;23;3
23/01/2015;;67;82;166;26;25;3
22/01/2015;;30;83;102;63;16;3
21/01/2015;;19;73;75;53;6;3
20/01/2015;;43;80;122;21;13;5
19/01/2015;;18;81;74;62;13;4
18/01/2015;;9;57;40;72;8;3
17/01/2015;;22;84;82;52;11;6
16/01/2015;;22;73;85;58;8;4
15/01/2015;;14;84;53;80;10;3
14/01/2015;;54;81;133;58;18;6
13/01/2015;;14;58;59;70;14;4
12/01/2015;;66;97;160;41;14;6
11/01/2015;;25;75;89;44;16;5
10/01/2015;;67;77;155;14;29;12
09/01/2015;;158;107;316;7;37;11
08/01/2015;;144;102;291;6;37;10
07/01/2015;;128;101;262;7;32;8
06/01/2015;;90;93;201;6;31;13
05/01/2015;;127;101;261;7;29;9
04/01/2015;;97;88;209;7;34;11
03/01/2015;;118;106;249;7;35;12
02/01/2015;;152;110;307;6;31;9
01/01/2015;;89;91;192;8;33;8
