Fecha;dd;vv;TMP;HR;PRB;RS;LL
30/05/2015;6;1.2;18;71.6;1019;342;0
31/05/2015;247;1.4;19.3;69.7;1018;348;0
01/06/2015;6;0.9;17.5;92.6;1018;88;1
02/06/2015;6;1.3;20;73.7;1020;374;0
03/06/2015;6;1.4;18.4;81.3;1021;143;0
04/06/2015;7;0.7;21.3;80.7;1018;243;0
05/06/2015;316;1.4;18.3;85.8;1020;60;0.6
06/06/2015;6;1;17.3;87;1024;67;0
07/06/2015;6;1.1;19.8;79.2;1023;242;0
08/06/2015;6;1.3;20.6;79.6;1021;326;0
09/06/2015;6;1.4;17.7;82;1018;121;0
10/06/2015;7;0.9;17.2;80.5;1012;128;3
11/06/2015;245;1.6;16.6;92.8;1009;68;4.2
12/06/2015;249;0.9;15.5;94.3;1010;37;3.6
13/06/2015;6;1.2;16.9;91.4;1010;163;18.8
14/06/2015;87;1.1;16.7;84.9;1013;249;1
15/06/2015;335;1.8;17.7;81;1019;282;9
16/06/2015;251;1.7;17.5;75.7;1025;208;0
17/06/2015;289;1.3;19.1;75.1;1027;350;0
18/06/2015;6;1.6;19.7;74.7;1025;496;0
19/06/2015;6;1.2;20.1;77.4;1023;280;0.2
20/06/2015;6;0.7;19;78.6;1021;2;0.2
21/06/2015;6;1.4;20.9;74.3;1019;384;0
22/06/2015;6;0.9;20.8;81.2;1015;263;0.2
23/06/2015;6;1.7;21.6;73;1017;367;0
24/06/2015;6;1.5;20.5;71;1019;385;0.6
25/06/2015;86;1.1;23.4;69.8;1020;377;0
26/06/2015;7;1.4;20.6;84;1022;167;0
27/06/2015;6;1.4;22;76.7;1022;357;0
28/06/2015;6;1;21.6;81.6;1021;171;0
29/06/2015;6;1.3;23.1;79.1;1019;364;0
30/06/2015;87;1.4;24.1;76.4;1012;357;0.2
01/07/2015;251;1.2;21.2;81.6;1014;143;0
02/07/2015;7;0.5;19;87.8;1020;80;0.2
03/07/2015;6;0.7;23.3;70.7;1017;297;0
04/07/2015;6;1.8;21.9;73.6;1020;266;0.4
05/07/2015;7;0.8;19.3;92.2;1020;66;0.4
06/07/2015;6;1.2;22.9;77.2;1018;359;0
07/07/2015;249;2;21.8;77.6;1019;333;1
08/07/2015;6;0.8;19.7;82.3;1022;127;2.8
09/07/2015;23;1.9;21;71;1020;328;0
10/07/2015;86;2;20.8;73.4;1017;311;0
11/07/2015;6;1.3;21.7;72.4;1023;245;0
12/07/2015;6;1;21.4;75.6;1022;150;0
13/07/2015;6;1.6;22.2;71.5;1022;370;0
14/07/2015;6;1.4;22.1;75.8;1021;341;0
15/07/2015;6;0.8;22;83;1017;76;0
16/07/2015;6;0.7;23.4;77.9;1015;281;0
17/07/2015;6;1;22.4;80.3;1017;182;0.2
18/07/2015;293;1.3;23.8;75.6;1016;260;0
19/07/2015;7;1.3;25.7;67.2;1017;322;0
20/07/2015;6;1;25.6;70.5;1017;342;0
21/07/2015;6;0.5;23;91.2;1016;72;8.2
22/07/2015;161;0.7;20.3;95.9;1020;72;1.6
23/07/2015;6;1.2;23;78.1;1017;328;0
24/07/2015;68;1.6;21.3;78.6;1013;212;3.2
25/07/2015;7;1.4;20;66.5;1020;250;0
26/07/2015;271;1.9;22.1;71.4;1014;286;0.2
27/07/2015;271;2.8;20.8;77.3;1017;118;0.6
28/07/2015;6;1.2;23.6;70.7;1015;350;0
29/07/2015;6;0.8;19.3;91.7;1015;50;6.8
30/07/2015;6;0.7;19.1;72.1;1016;113;0.4
31/07/2015;6;0.8;17.5;86.2;1013;121;14.6
01/08/2015;6;1.5;19.7;70.8;1016;327;0
02/08/2015;86;0.7;24.2;65.5;1013;347;0
03/08/2015;6;1.3;22;72.4;1016;238;0
04/08/2015;6;1.1;20.1;84;1018;107;0.2
05/08/2015;6;0.4;22.1;74.3;1014;330;0
06/08/2015;6;1.3;21.5;79.2;1015;206;0
07/08/2015;291;1.2;18.1;92.5;1019;57;2.8
08/08/2015;242;2.1;19.8;72.2;1023;256;0
09/08/2015;6;1.3;21;71.8;1022;283;0.2
10/08/2015;6;1.2;24.1;67.7;1016;321;0
11/08/2015;86;1.2;22.1;82.6;1013;165;0
12/08/2015;6;0.8;22.4;83.7;1015;184;0
13/08/2015;316;4.1;21.2;80.6;1016;232;7.2
14/08/2015;317;3;19.8;67;1018;222;3
15/08/2015;6;1;19.6;79.4;1016;243;4.6
16/08/2015;6;0.5;19.5;78.3;1014;179;0.4
17/08/2015;6;1;20.9;74.2;1016;280;0
18/08/2015;6;1.3;20.5;75.1;1017;226;0
19/08/2015;6;1.6;20.6;72.5;1019;313;0
20/08/2015;7;0.7;22;74.9;1020;309;0
21/08/2015;318;1.5;21.3;82.9;1018;224;0.8
22/08/2015;6;0.6;21;89.6;1011;80;5.8
23/08/2015;184;4.2;21.5;68.3;1006;267;1.4
24/08/2015;250;2;20.1;62.7;1013;235;0
25/08/2015;6;1.9;21.9;65.3;1016;300;0
26/08/2015;6;1.7;22.6;69.1;1012;233;0
27/08/2015;7;0.6;25.5;66.9;1010;172;0
28/08/2015;6;0.9;23.7;82.5;1016;201;0
29/08/2015;7;0.5;22.1;90.1;1015;173;0
30/08/2015;7;0.7;24;84.1;1012;165;4.4
31/08/2015;312;1.3;21.3;93.8;1014;59;7
01/09/2015;265;1.6;18.7;84.1;1020;76;2.6
02/09/2015;341;0.6;18.4;84.3;1017;116;8.6
03/09/2015;267;1.6;16.1;93.7;1017;65;13
04/09/2015;294;1.3;15.6;92;1018;73;6
05/09/2015;88;0.9;17.9;77.8;1022;225;0
06/09/2015;23;2.1;17.6;73.8;1022;252;0
07/09/2015;24;2.3;17.8;74.4;1022;251;0
08/09/2015;288;0.4;18.4;75.2;1017;274;0
09/09/2015;273;2.5;18.7;82.4;1013;174;0
10/09/2015;338;1;19.2;82;1015;111;0
11/09/2015;251;0.8;19.6;83;1012;198;0
12/09/2015;270;1.3;18.5;86;1011;69;0.4
13/09/2015;183;3.3;20.2;79.3;1006;168;0.4
14/09/2015;271;2.9;18.3;65.7;1012;180;0
15/09/2015;178;3.8;18.8;71.8;999;68;6.8
16/09/2015;252;2.5;21.9;61;994;184;1.8
17/09/2015;264;2.3;17;75;1011;128;7.4
18/09/2015;292;0.6;17.1;77.7;1021;155;0
19/09/2015;335;0.4;17.9;75.5;1024;204;0
20/09/2015;337;0.5;18.1;79;1022;248;0
21/09/2015;271;1.5;17.3;84;1018;145;0
22/09/2015;269;2.3;17;82.3;1016;151;7.4
23/09/2015;292;2.5;17.5;83.6;1018;92;0.4
24/09/2015;6;0.9;18.8;83.1;1020;193;0
25/09/2015;89;0.5;18.9;81;1019;132;0
26/09/2015;19;1.5;19.1;83;1019;158;0
27/09/2015;341;0.6;17.6;85.3;1021;204;0
28/09/2015;20;1.5;17.8;79.8;1021;225;0
29/09/2015;6;1.2;16.3;85.9;1017;102;0
30/09/2015;290;0.8;16.8;83.2;1015;197;0
01/10/2015;266;2.8;16.9;84.7;1020;165;0
02/10/2015;252;1.3;15.3;83.7;1016;89;13.4
03/10/2015;177;1.2;15;75.7;1015;201;0
04/10/2015;162;3.9;19.7;73.9;1008;87;0.6
05/10/2015;179;2.2;24.3;62.2;1005;87;6.2
06/10/2015;271;3.7;18.4;72.8;1010;50;4
07/10/2015;340;0.6;15.5;79;1019;129;0
08/10/2015;23;1.5;15.9;76.4;1018;165;0
09/10/2015;22;1.7;15.7;74.7;1013;197;0
10/10/2015;294;1.2;18.1;74.3;1006;182;0
11/10/2015;252;1;19.4;80.9;1005;143;0
12/10/2015;338;0.7;16.7;95;1011;14;5.4
13/10/2015;266;1.8;16.3;77.4;1017;100;0
14/10/2015;23;2;13.3;74.1;1017;92;0
15/10/2015;21;2.1;11.9;71.4;1016;189;0
16/10/2015;321;0.5;12;79.7;1014;152;0
17/10/2015;251;0.8;15.4;79.5;1008;110;0
18/10/2015;248;0.8;19.2;80.8;1009;105;0
19/10/2015;7;1.1;16.8;100;1011;21;19.6
20/10/2015;269;1.1;14.8;87.3;1022;68;1.8
21/10/2015;314;1;14.5;81;1022;89;0
22/10/2015;89;0.9;14.9;80.3;1023;120;0
23/10/2015;249;0.6;14.2;83;1017;142;0
24/10/2015;337;0.7;16.8;85.3;1017;99;0
25/10/2015;342;0.4;17.7;87.7;1018;103;1
26/10/2015;178;4.1;20.5;59.7;1007;86;0
27/10/2015;177;1.3;15.9;75.4;1007;115;2.6
28/10/2015;244;1;16.8;60.7;1010;118;0
29/10/2015;179;2.2;21.5;57.4;1013;127;0
30/10/2015;181;3.1;23.5;47.6;1012;123;0
31/10/2015;176;3.9;23;51.3;1014;126;0
01/11/2015;113;2.4;18.3;69.4;1019;134;0
02/11/2015;156;3.5;18;60.6;1010;38;0.2
03/11/2015;177;3.6;16.5;72.9;1010;32;0
04/11/2015;180;2.5;17.5;70.6;1014;69;0
05/11/2015;176;2.3;18.3;69.6;1017;45;0
06/11/2015;273;1.9;20.3;68.8;1022;115;0
07/11/2015;250;1.5;18.5;73.8;1023;125;0
08/11/2015;248;1.1;20.5;64.7;1023;121;0
09/11/2015;;;;;;;
