Fecha;dd;vv;TMP;HR;PRB;RS;LL
01/01/2015;226;0.8;7.3;74;1033;91;0
02/01/2015;49;0.9;7.9;72.8;1035;73;0
03/01/2015;295;1.3;9.8;77.5;1034;79;0
04/01/2015;6;1.4;11.6;82.6;1033;42;0
05/01/2015;320;1;9.1;86.6;1025;91;0
06/01/2015;6;1;10.6;82.3;1025;62;0
07/01/2015;243;1;8.9;82.6;1028;90;0
08/01/2015;270;1.4;9.5;78.9;1034;52;0
09/01/2015;7;1.2;11.1;79.8;1039;93;0
10/01/2015;222;1.4;10.2;90.3;1032;32;0
11/01/2015;7;1;10.7;86;1031;30;4.4
12/01/2015;201;2.4;10.8;60;1024;100;0
13/01/2015;179;3.9;11.7;67.6;1015;67;1.4
14/01/2015;157;1.4;10.8;66.6;1019;95;0.2
15/01/2015;182;4.6;12.9;63.5;1006;15;9.2
16/01/2015;251;5.4;7.7;78.2;1010;43;8.2
17/01/2015;217;1.9;8.4;70;1017;82;0.2
18/01/2015;181;2.8;9.8;65.8;1007;46;13.4
19/01/2015;315;3.9;7.6;71.8;1013;57;6
20/01/2015;177;2.2;6;84.2;1007;45;3.2
21/01/2015;251;4.2;7.2;79.6;1006;70;12
22/01/2015;318;4.7;9;74.2;1014;66;2.4
23/01/2015;133;1.3;7.4;85.8;1024;57;9.4
24/01/2015;90;1.1;7.1;87.6;1028;46;0.8
25/01/2015;244;0.8;8.7;80.6;1031;66;0
26/01/2015;312;0.9;7.8;77.3;1030;50;0
27/01/2015;291;1.6;9.9;87.4;1029;32;5.2
28/01/2015;179;1.8;11;84.3;1023;45;0.6
29/01/2015;294;8.3;12.1;78.2;1006;21;0.8
30/01/2015;293;8.1;10.9;94.4;995;7;31.6
31/01/2015;294;5.5;8.1;75.1;997;38;7
01/02/2015;268;4.5;7.3;73.3;1010;45;17.6
02/02/2015;227;1.4;8.5;77.7;1002;49;7.4
03/02/2015;6;2.9;5.7;85;1000;28;24.2
04/02/2015;7;3.8;4;81.7;1009;29;23.4
05/02/2015;159;2.9;5.8;73.7;1016;55;11
06/02/2015;89;1.4;3.4;91.7;1013;21;20.4
07/02/2015;7;1.3;5.1;85.1;1019;13;0.4
08/02/2015;156;0.8;5.7;85.5;1028;35;0.4
09/02/2015;41;2.1;6.1;80;1026;101;0
10/02/2015;221;1.4;6.8;72.2;1019;151;0
11/02/2015;180;2.4;8.1;65.1;1016;107;0
12/02/2015;183;2.6;10;64.6;1016;109;0
13/02/2015;248;2.3;9;74;1014;68;3
14/02/2015;181;2.6;9.1;83.5;1010;24;7.6
15/02/2015;290;4.5;10.5;97.1;1010;22;20.4
16/02/2015;309;3.7;10.9;83.2;1019;47;12.8
17/02/2015;6;3.4;9.3;70.8;1032;74;1.6
18/02/2015;246;1.6;7.5;79;1033;94;0.4
19/02/2015;230;1;8.5;69.1;1027;165;0
20/02/2015;136;1.7;10.7;69.9;1014;57;6.8
21/02/2015;309;5.1;9.2;81.8;1010;64;10.8
22/02/2015;292;2.9;10;85.2;1013;54;6
23/02/2015;292;5.9;9.8;84.8;1011;57;4.8
24/02/2015;270;5.4;8;82.1;1022;43;23.8
25/02/2015;294;6;11;84.4;1026;63;8
26/02/2015;311;5.4;11.4;100;1026;0;2.2
27/02/2015;179;1.6;10.3;70.4;1025;161;0.4
28/02/2015;294;2.6;12.1;87.5;1020;60;2.8
01/03/2015;8;1.9;15.6;80.8;1018;115;2.2
02/03/2015;87;0.7;12.6;97.4;1021;32;11.8
03/03/2015;6;1.7;11.4;95.1;1023;71;10.4
04/03/2015;244;2.5;9.5;78;1034;138;9.2
05/03/2015;44;3;8.9;71.5;1035;208;0
06/03/2015;5;2.7;10.2;67.6;1028;218;0
07/03/2015;7;1.8;12.5;65.4;1026;220;0
08/03/2015;85;1.6;12.1;69.5;1025;219;0
09/03/2015;6;1.9;11;80.4;1024;212;0
10/03/2015;85;1.7;10.6;90.3;1024;161;0
11/03/2015;245;1.6;11.2;90.3;1024;39;0
12/03/2015;307;3.1;11.6;84.9;1021;139;0
13/03/2015;309;4.1;10;77.2;1025;78;7
14/03/2015;290;4.4;8.1;76.7;1023;43;6.2
15/03/2015;318;2;8.2;76.8;1018;25;2.8
16/03/2015;88;3.2;9.3;72.8;1015;227;0
17/03/2015;6;2;12.9;60.3;1014;209;0
18/03/2015;87;1.4;12.3;79.2;1018;125;0
19/03/2015;7;2.3;11.9;89.4;1018;109;3.2
20/03/2015;7;2.2;10.5;80.6;1017;36;0.4
21/03/2015;151;0.8;8.9;94.8;1013;23;12
22/03/2015;7;2.6;9.9;80.9;1013;85;2.4
23/03/2015;246;1.1;7.4;91;1009;55;11.6
24/03/2015;171;0.8;8.6;90.4;1010;42;29
25/03/2015;222;3.5;8.6;75.1;1013;144;2.8
26/03/2015;297;6.6;10.6;90.7;1016;44;15.8
27/03/2015;294;4;12.4;95.5;1026;66;22.6
28/03/2015;313;1.8;12.9;88.4;1028;118;0
29/03/2015;222;1.9;15.3;72;1025;210;0
30/03/2015;295;3.2;13.8;78.9;1026;133;0
31/03/2015;296;4.7;13.6;83.5;1030;106;0
01/04/2015;6;2.7;12.6;74.5;1032;197;0.2
02/04/2015;6;2.6;12;70.8;1027;368;0
03/04/2015;;;;;;;
04/04/2015;6;2.1;12.3;79.8;1017;56;0
05/04/2015;45;3;12.4;74.2;1015;234;0
06/04/2015;19;4.1;10.9;70.1;1018;291;0
07/04/2015;7;2.8;12.7;67.6;1022;291;0
08/04/2015;156;5.4;19.8;32.9;1020;297;0
09/04/2015;5;1.9;15.5;65.8;1020;158;0.2
10/04/2015;6;2;14.6;80.8;1019;211;1.2
11/04/2015;295;1.2;12.3;95;1022;1;0
12/04/2015;;;;;;;
13/04/2015;43;2.8;23.6;42.8;1023;351;0
14/04/2015;130;3.7;23.9;36.8;1018;245;0
15/04/2015;179;4.3;21;44;1012;63;0.2
16/04/2015;6;2.1;15.7;78.5;1013;205;0.6
17/04/2015;6;2;14.6;88.1;1015;119;12.2
18/04/2015;272;2.5;13.8;81.3;1012;172;0
19/04/2015;294;2.7;12.6;79.1;1015;220;0
20/04/2015;6;2.5;14.4;75.7;1020;312;0
21/04/2015;6;0.5;10.1;92.2;1018;3;0
22/04/2015;178;4.7;18.5;65.1;1017;193;1.2
23/04/2015;6;2.5;15.7;77.7;1018;259;0
24/04/2015;311;1.5;15.1;82.4;1012;133;0
25/04/2015;6;1.3;18.7;67.6;1009;283;0
26/04/2015;87;1;14.9;86.5;1005;103;7.6
27/04/2015;315;3.2;13.8;82.4;1012;142;6.8
28/04/2015;5;1.8;14.2;65;1020;286;0
29/04/2015;132;1.4;13.4;77.7;1018;103;1.8
30/04/2015;6;1.7;19;58.7;1014;252;0
01/05/2015;251;1.1;18.5;77.8;1011;133;0.2
02/05/2015;6;1.2;19.8;76.8;1007;143;0
03/05/2015;6;1.5;18.9;79.1;1007;160;0
04/05/2015;84;0.9;16;91.1;1003;2;0
05/05/2015;;;;;;;
06/05/2015;6;1.1;16.1;56.7;1020;417;0.2
07/05/2015;6;1.2;18.1;67.1;1012;329;0
08/05/2015;6;1.6;19.4;63.2;1017;323;0
09/05/2015;6;1.2;16.7;83.3;1024;108;0.8
10/05/2015;6;1.1;18.4;80;1020;336;0
11/05/2015;87;0.8;15.5;87.9;1019;77;0
12/05/2015;6;1.2;16.9;85.3;1019;222;0.2
13/05/2015;6;1.3;17.6;80.4;1019;178;0
14/05/2015;244;2.2;14.6;77.8;1019;58;0.2
15/05/2015;314;3.8;13.3;78.4;1025;123;0.4
16/05/2015;6;1.1;15.8;72.8;1031;244;0
17/05/2015;6;1.4;16.6;78.8;1025;228;0
18/05/2015;250;1.4;13.7;85.6;1016;143;1.4
19/05/2015;316;2.8;12.6;83.2;1018;136;8.2
20/05/2015;245;2.9;12.6;82.4;1023;159;9.2
21/05/2015;171;1.4;14.1;72;1029;290;1.2
22/05/2015;89;1.3;14.2;71.9;1027;231;0
23/05/2015;6;1.7;15.4;71.3;1023;318;0
24/05/2015;6;1.1;16.2;82.3;1021;175;0.4
25/05/2015;315;1.6;16.2;84.2;1022;178;0.8
26/05/2015;250;1.1;15.7;86.1;1023;163;0.4
27/05/2015;6;2;17.3;77.7;1023;305;0
28/05/2015;6;1.5;16.8;82.9;1019;271;0
29/05/2015;6;1.1;17.9;71.6;1018;290;0
