Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
15/04/2014;;3;15;79;17;;;;1
16/04/2014;;5;17;57;20;;;;2
17/04/2014;;2;12;69;16;;;;2
18/04/2014;;2;10;75;14;;;;1
19/04/2014;;3;6;66;23;;;;2
20/04/2014;;2;5;71;8;;;;2
21/04/2014;;4;8;66;8;;;;2
22/04/2014;;5;12;74;14;;;;2
23/04/2014;;2;4;70;11;;;;1
24/04/2014;;5;9;78;16;;;;1
25/04/2014;;5;10;80;17;;;;2
26/04/2014;;3;5;77;11;;;;2
27/04/2014;;3;5;78;12;;;;2
28/04/2014;;5;7;61;14;;;;2
29/04/2014;;4;9;59;14;;;;2
30/04/2014;;4;9;57;7;;;;1
01/05/2014;;2;6;63;9;;;;2
02/05/2014;;3;9;68;13;;;;2
03/05/2014;;1;7;78;12;;;;1
04/05/2014;;2;12;69;14;;;;2
05/05/2014;;7;21;54;23;;;;3
06/05/2014;;4;13;84;15;;;;2
07/05/2014;;3;10;72;15;;;;2
08/05/2014;;3;10;72;23;;;;1
09/05/2014;;3;9;70;15;;;;1
10/05/2014;;3;6;58;16;;;;1
11/05/2014;;2;5;68;10;;;;1
12/05/2014;;3;6;66;23;;;;1
13/05/2014;;2;7;79;18;;;;2
14/05/2014;;2;8;83;17;;;;2
15/05/2014;;2;8;88;21;;;;2
16/05/2014;;2;8;102;26;;;;2
17/05/2014;;1;6;103;21;;;;2
18/05/2014;;2;7;102;18;;;;2
19/05/2014;;3;8;100;36;;;;2
20/05/2014;;3;8;72;11;;;;2
21/05/2014;;3;6;83;7;;;;2
22/05/2014;;4;6;82;11;;;;1
23/05/2014;;5;7;82;8;;;;1
24/05/2014;;2;6;75;10;;;;2
25/05/2014;;2;5;85;9;;;;3
26/05/2014;;3;10;77;10;;;;2
27/05/2014;;3;7;79;13;;;;2
28/05/2014;;4;7;71;9;;;;2
29/05/2014;;4;7;65;9;;;;2
30/05/2014;;2;8;69;9;;;;3
31/05/2014;;1;4;83;11;;;;3
01/06/2014;;1;4;84;11;;;;2
02/06/2014;;2;12;78;15;;;;2
03/06/2014;;4;11;75;16;;;;1
04/06/2014;;4;8;71;8;;;;1
05/06/2014;;3;11;77;15;;;;1
06/06/2014;;5;13;62;17;;;;1
07/06/2014;;2;7;75;11;;;;1
08/06/2014;;2;7;59;9;;;;1
09/06/2014;;2;7;67;11;;;;1
10/06/2014;;3;11;70;12;;;;2
11/06/2014;;2;12;71;17;;;;1
12/06/2014;;2;11;77;20;;;;2
13/06/2014;;3;13;81;23;;;;1
14/06/2014;;1;6;99;17;;;;2
15/06/2014;;1;6;92;20;;;;1
16/06/2014;;2;9;87;17;;;;1
17/06/2014;;2;11;96;17;;;;2
