Fecha;dd;HR;LL;TMP;vv
28/07/2015;327;66;0;22.5;1.06
27/07/2015;311;75;0.2;20.7;2.73
26/07/2015;314;66;0.2;21.5;1.85
25/07/2015;307;65;0.1;19.6;2.4
24/07/2015;308;75;0.1;21.3;2.44
23/07/2015;306;73;0;22.5;1.24
22/07/2015;299;85;2.8;21.3;2.56
21/07/2015;299;87;6.9;22.5;1.94
20/07/2015;303;69;0;25;1.99
19/07/2015;319;75;0;24;1.35
18/07/2015;318;80;2.9;23.1;1.49
17/07/2015;314;77;0;22.2;1.63
16/07/2015;322;82;0;22;2.16
15/07/2015;301;80;0;21.8;2.63
14/07/2015;317;72;0;21.9;1.49
13/07/2015;295;71;0;20.7;1.5
12/07/2015;335;76;0.4;20.6;1.08
11/07/2015;308;72;0;20.7;1.78
10/07/2015;317;64;0.2;22.3;3.08
09/07/2015;36;63;0;20.9;1
08/07/2015;317;75;1.3;19.5;2.62
07/07/2015;315;75;1;21.7;3.14
06/07/2015;322;76;0.1;22.4;2.02
05/07/2015;321;86;0.6;20.3;1.73
04/07/2015;36;70;0;22.6;1.31
03/07/2015;83;66;0.1;25.6;0.71
02/07/2015;328;84;0.2;20.1;2.49
01/07/2015;318;79;1.3;21.3;2.21
30/06/2015;317;69;1.2;24.8;1.52
29/06/2015;325;72;0;23.6;0.94
28/06/2015;344;78;0;20.9;1.22
27/06/2015;302;72;0;21.6;2.47
26/06/2015;316;80;0.2;20.4;2.28
25/06/2015;312;62;0;22.9;0.81
24/06/2015;304;67;0;20.5;1.9
23/06/2015;309;66;0;20.4;2.52
22/06/2015;316;76;0;20.2;1.84
21/06/2015;304;68;0;19.9;1.72
20/06/2015;307;73;0;18.9;1.66
19/06/2015;313;82;0.4;17.4;1.48
18/06/2015;321;73;0;18.2;1.73
17/06/2015;312;74;0;17.5;3.23
16/06/2015;308;71;0;16.4;3.95
15/06/2015;306;79;13.5;16.8;3.52
14/06/2015;310;74;0.9;16.9;1.65
13/06/2015;317;83;4.7;17.7;1.24
12/06/2015;309;83;4;17.6;1.62
11/06/2015;331;80;7.5;18.9;0.81
10/06/2015;144;85;8.5;16.9;0.21
09/06/2015;316;79;0.6;17.3;1.64
08/06/2015;311;79;0;19.4;2.75
07/06/2015;311;79;0;19;2.31
06/06/2015;307;86;0;16.9;1.63
05/06/2015;330;79;0;18.7;2.44
04/06/2015;103;62;0;24.9;0.91
03/06/2015;1;78;0;19;0.96
02/06/2015;302;78;0;18.9;2.75
01/06/2015;311;81;0;18;1.7
31/05/2015;319;69;0;17.9;1.64
30/05/2015;302;70;0;16.3;1.42
29/05/2015;316;70;0;16.4;2.31
28/05/2015;302;77;0;16.3;2.27
27/05/2015;304;78;0;16;3.14
26/05/2015;314;79;0.1;15;3.63
25/05/2015;312;83;0.5;15.2;4.32
24/05/2015;311;83;0.4;15.3;3.77
23/05/2015;312;71;0;14.3;2.83
22/05/2015;306;72;1.5;13.4;2.78
21/05/2015;311;73;1.3;12.7;3.12
20/05/2015;303;80;18.7;12.1;3.8
19/05/2015;304;77;7.3;12.6;4.09
18/05/2015;310;81;0.3;13.2;1.88
17/05/2015;305;82;2.4;15;2.74
16/05/2015;307;82;0.2;14;3.17
15/05/2015;298;84;12.2;12.5;7.33
14/05/2015;300;73;0;15;4.88
13/05/2015;311;80;0;16.8;2.21
12/05/2015;311;82;0;16.4;2.5
11/05/2015;327;85;0;15.9;2.28
10/05/2015;41;64;0;20.6;0.54
09/05/2015;310;77;0;16.6;1.43
08/05/2015;309;53;0;19.8;2.47
07/05/2015;133;49;0;20.7;1.87
06/05/2015;315;65;0;14.2;1.97
05/05/2015;313;66;2;15.5;1.96
04/05/2015;173;51;0;24;2.67
03/05/2015;250;60;3.8;21.3;1.48
02/05/2015;162;60;0;23.1;2.03
01/05/2015;225;64;0.5;19.6;1.05
30/04/2015;196;56;0;18.7;0.96
29/04/2015;303;71;0.4;13.1;0.84
28/04/2015;23;59;0;13.5;1
27/04/2015;306;76;6.1;13.6;4.69
26/04/2015;270;69;10.2;16.5;1.17
25/04/2015;175;56;0.3;20;1.96
24/04/2015;358;76;0;15.4;0.25
23/04/2015;301;75;0.1;15.2;1.52
22/04/2015;134;52;20.4;19.1;0.63
21/04/2015;109;56;0;18.5;1.2
20/04/2015;292;71;0;13.8;1.48
19/04/2015;323;72;0.3;13.4;2.34
18/04/2015;319;79;9.9;13.8;1.64
17/04/2015;91;80;12;14.4;0.56
16/04/2015;294;69;2.2;15.7;1.05
15/04/2015;131;23;0;22.4;2.92
14/04/2015;130;28;0;24;3.3
13/04/2015;117;34;0;22.1;1.99
12/04/2015;119;53;0;18.4;2.11
11/04/2015;49;70;0.4;15;0.66
10/04/2015;177;63;5.4;15.3;0.77
09/04/2015;128;32;0;17.9;2.42
08/04/2015;133;31;0;17.7;4.35
07/04/2015;65;56;0;13;0.28
06/04/2015;52;63;0;10.8;0.72
05/04/2015;14;74;0;11.4;0.85
04/04/2015;311;80;3.1;10.9;2.46
03/04/2015;313;73;0;11.1;1.9
02/04/2015;321;64;0;11.1;0.58
01/04/2015;314;70;0.1;11.8;2.74
31/03/2015;307;79;1.3;13.4;4.62
30/03/2015;325;72;0;14.1;2.74
29/03/2015;320;73;0.1;14.5;0.31
28/03/2015;309;84;0;12.9;1.66
27/03/2015;305;90;9.6;11.8;2.47
26/03/2015;286;84;11.5;10;2.29
25/03/2015;308;69;8.1;8;4.84
24/03/2015;306;86;13.8;8.4;2.48
23/03/2015;216;88;28.4;7;0.28
22/03/2015;322;79;7.8;9.2;2.6
21/03/2015;307;87;8.3;9;1.41
20/03/2015;322;79;0.1;9.9;2.48
19/03/2015;305;81;3.7;11.8;1.68
18/03/2015;303;57;0;13.1;1.11
17/03/2015;121;44;0;14.1;2.1
16/03/2015;117;71;0;9;1.49
15/03/2015;294;77;8.5;7.4;0.62
14/03/2015;294;78;17.8;8;3.48
13/03/2015;298;73;5.5;10.1;5.45
12/03/2015;317;79;0;11;1.23
11/03/2015;315;86;0;11;0.69
10/03/2015;289;68;0;11.5;0.69
09/03/2015;300;65;0;11.2;0.24
08/03/2015;247;68;0;11.2;0.36
07/03/2015;159;58;0;12.6;0.61
06/03/2015;140;63;0;9.8;0.48
05/03/2015;16;61;0.1;8.8;0.78
04/03/2015;314;78;13.8;8.9;3.77
03/03/2015;304;87;6.1;11.6;0.83
02/03/2015;312;92;4.2;12.7;1.3
01/03/2015;162;79;0.3;15.2;1.12
28/02/2015;138;89;5.1;10.4;1.45
27/02/2015;311;73;3.3;9.3;4.34
26/02/2015;303;90;24.3;11.8;5.72
25/02/2015;297;83;15.2;11;8.68
24/02/2015;291;78;34.3;7.8;5.92
23/02/2015;285;80;14.8;10.3;2.77
22/02/2015;300;81;6.5;9.3;1.9
21/02/2015;299;77;23.4;8.8;7.11
20/02/2015;177;61;4.6;10.6;2.1
19/02/2015;121;64;0;8.9;0.64
18/02/2015;203;68;0;8.1;0.07
17/02/2015;323;69;5.3;9.3;4.33
16/02/2015;299;80;15.9;10.3;3.55
15/02/2015;289;87;22.9;10.6;1.18
14/02/2015;183;74;9.6;9.4;1.48
13/02/2015;206;58;0;11;1.59
12/02/2015;194;57;0;10.4;0.6
11/02/2015;147;62;0;7.5;1.47
10/02/2015;132;63;0;6.8;1.34
09/02/2015;345;64;0;6.3;0.88
08/02/2015;317;75;0.1;5.2;1.46
07/02/2015;155;84;1.4;3.2;0.27
06/02/2015;299;89;12;2.3;1.03
05/02/2015;318;70;8.8;4.8;2.85
04/02/2015;309;83;19.4;2.9;2.58
03/02/2015;322;83;17;5.4;1.14
02/02/2015;169;75;7.3;7.4;1.55
01/02/2015;296;70;15.8;6.6;5.2
31/01/2015;291;74;26.6;7.5;6.49
30/01/2015;297;89;88.5;9.8;6.56
29/01/2015;280;71;9;12;3.29
28/01/2015;194;82;0.2;10.2;0.79
27/01/2015;294;86;8.9;9.4;1.84
26/01/2015;164;75;0.2;8.3;0.26
25/01/2015;338;74;0;8.1;0.37
24/01/2015;114;84;3.3;6.3;0.49
23/01/2015;320;78;1;7.4;0.65
22/01/2015;299;79;13.4;7.3;2.47
21/01/2015;251;78;23.7;6.6;1.98
20/01/2015;160;78;1.9;6.3;1.04
19/01/2015;310;65;5.5;7.7;4.39
18/01/2015;175;57;8.7;9.4;3.46
17/01/2015;192;62;0.9;8.7;1.08
16/01/2015;258;74;6.3;8.3;1.33
15/01/2015;190;53;9;14;4.16
14/01/2015;176;57;0;12.4;2.28
13/01/2015;203;50;0;13.9;2.5
12/01/2015;156;56;0;11.4;2.05
11/01/2015;238;80;2.1;10.9;0.41
10/01/2015;195;83;0;10.3;0.42
09/01/2015;139;72;0;11.6;1.18
08/01/2015;140;73;0;9.7;1.43
07/01/2015;138;77;0;9.5;1.4
06/01/2015;143;75;0;9.8;0.85
05/01/2015;141;76;0;9.5;0.73
04/01/2015;144;78;0;11.3;0.76
03/01/2015;144;71;0;8.5;1.59
02/01/2015;136;65;0;7.1;1.94
01/01/2015;133;66;0;5.8;2.55
