Fecha;dd;HR;LL;TMP;vv
01/10/2015;305;75;61.1;17.8;1.83
30/09/2015;173;71;0;19.2;0.21
29/09/2015;322;81;0;16.2;0.49
28/09/2015;102;74;0;18;0.26
27/09/2015;320;78;0;17.1;0.7
26/09/2015;338;77;0;18.5;0.61
25/09/2015;75;77;0;17.7;0.65
24/09/2015;99;77;0;18.3;0.8
23/09/2015;290;89;15.7;15.9;1.27
22/09/2015;298;76;2.6;17;4.39
21/09/2015;319;77;0;17;1.31
20/09/2015;127;71;0;17.5;0.26
19/09/2015;338;72;0;17.4;0.44
18/09/2015;339;71;0.2;16.2;0.57
17/09/2015;273;67;1.6;16.7;1.31
16/09/2015;197;51;0;23.6;2.77
15/09/2015;170;64;4.9;19.5;4.33
14/09/2015;316;69;7.5;17.5;1.75
13/09/2015;221;72;2.3;20;0.95
12/09/2015;327;79;0;20;0.88
11/09/2015;319;77;0;19.5;1.23
10/09/2015;307;79;0;19.7;1.95
09/09/2015;321;76;0;18.8;0.87
08/09/2015;117;69;0;17.6;0.11
07/09/2015;47;70;0;17;0.43
06/09/2015;83;69;0;17.1;0.97
05/09/2015;325;73;0.1;17.3;0.57
04/09/2015;312;80;2;16.6;1.21
03/09/2015;304;80;3;17.5;2.11
02/09/2015;341;75;4.4;18.1;0.82
01/09/2015;299;78;6.1;18.7;2.62
31/08/2015;319;79;14;22.7;2.64
30/08/2015;175;64;1.4;26.7;0.43
29/08/2015;314;79;0;23;1.67
28/08/2015;301;77;0;22.9;2.78
27/08/2015;186;54;0.3;26.8;0.91
26/08/2015;298;59;0;23.8;1.16
25/08/2015;42;60;0;21.9;0.13
24/08/2015;308;55;0;20;2.23
23/08/2015;194;58;0.4;22.6;1.45
22/08/2015;307;85;12.5;20.9;1.53
21/08/2015;335;78;0.1;21.5;1.34
20/08/2015;320;67;0;21.2;0.73
19/08/2015;301;67;0;20.2;1.21
18/08/2015;328;71;0;20;1.14
17/08/2015;305;73;0;19.7;1.52
16/08/2015;324;75;0.6;18.1;0.22
15/08/2015;306;77;0.7;18.6;1.36
14/08/2015;304;64;4;19.5;4.91
13/08/2015;303;73;0.9;21.3;3.17
12/08/2015;318;80;0.1;22.5;1.25
11/08/2015;319;78;0;22.1;1.86
10/08/2015;86;66;0;22.7;1.43
09/08/2015;302;67;0;20.7;2.11
08/08/2015;309;76;0.9;18.6;2.56
07/08/2015;297;83;0.3;19.8;2.78
06/08/2015;304;74;0.2;21.6;1.09
05/08/2015;328;77;0;21.4;1.71
04/08/2015;306;85;2.3;19.5;1.38
03/08/2015;313;72;0;21.8;1.37
02/08/2015;3;60;0;24.5;0.17
01/08/2015;70;69;0;19.5;0.79
31/07/2015;315;80;9.2;17.6;0.54
30/07/2015;337;72;1.2;18.5;1.02
29/07/2015;360;85;3.3;18.9;0.58
