Fecha;NO;NO2;PM10;PM25;SO2
14/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;39;16;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
15/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;34;15;5
16/04/2015;8;16;15;10;4
17/04/2015;11;26;20;12;4
18/04/2015;6;13;10;9;5
19/04/2015;5;13;5;6;5
20/04/2015;16;22;12;11;5
21/04/2015;9;19;12;10;5
22/04/2015;19;28;18;13;4
23/04/2015;11;19;14;11;5
24/04/2015;13;21;13;11;5
25/04/2015;4;6;5;7;5
26/04/2015;2;4;4;4;5
27/04/2015;10;18;4;6;5
28/04/2015;7;13;6;6;4
29/04/2015;9;17;10;9;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
30/04/2015;9;17;11;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
01/05/2015;4;5;7;5;1
02/05/2015;7;7;10;7;2
03/05/2015;4;7;19;10;2
04/05/2015;11;10;19;11;4
05/05/2015;7;13;10;7;3
06/05/2015;8;18;9;6;3
07/05/2015;14;23;15;10;3
08/05/2015;7;12;13;9;2
09/05/2015;6;17;11;8;2
10/05/2015;6;22;19;14;3
11/05/2015;12;30;27;15;3
12/05/2015;9;29;29;17;3
13/05/2015;5;18;35;19;2
14/05/2015;4;12;24;15;2
15/05/2015;6;8;13;9;2
16/05/2015;3;4;11;8;1
17/05/2015;3;4;9;5;2
18/05/2015;16;27;20;12;3
19/05/2015;5;8;10;7;2
20/05/2015;7;11;12;9;2
21/05/2015;6;10;12;8;2
22/05/2015;4;8;14;9;3
23/05/2015;2;2;12;8;3
24/05/2015;2;4;9;8;3
25/05/2015;9;15;14;8;2
26/05/2015;6;6;8;5;2
27/05/2015;7;11;14;8;2
28/05/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
29/05/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;4
30/05/2015;7;21;14;11;3
31/05/2015;4;13;11;10;3
01/06/2015;10;21;15;12;3
02/06/2015;13;29;21;15;3
03/06/2015;12;30;26;17;3
04/06/2015;9;24;24;15;3
05/06/2015;10;21;18;14;3
06/06/2015;6;15;15;15;2
07/06/2015;6;16;15;14;4
08/06/2015;12;17;18;16;4
09/06/2015;10;16;19;15;5
10/06/2015;8;13;10;9;7
11/06/2015;8;14;13;11;10
12/06/2015;11;20;17;12;8
13/06/2015;7;14;12;10;5
14/06/2015;4;7;7;7;5
15/06/2015;12;20;10;10;5
16/06/2015;10;15;13;10;4
17/06/2015;8;11;13;10;4
18/06/2015;8;12;14;12;4
19/06/2015;12;16;12;10;4
20/06/2015;10;21;10;9;5
21/06/2015;8;28;12;12;6
22/06/2015;15;27;22;17;7
23/06/2015;9;18;18;14;7
24/06/2015;13;26;17;14;8
25/06/2015;13;37;19;16;6
26/06/2015;6;26;23;16;6
27/06/2015;7;27;20;16;6
28/06/2015;5;21;18;13;6
29/06/2015;16;45;29;23;7
30/06/2015;6;26;33;22;8
01/07/2015;6;21;28;18;7
02/07/2015;6;15;17;11;6
03/07/2015;11;22;26;15;7
04/07/2015;5;24;21;9;6
05/07/2015;4;14;24;13;7
06/07/2015;12;28;31;17;7
07/07/2015;6;21;24;15;6
08/07/2015;10;14;16;12;5
09/07/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;17;11;6
10/07/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;30;18;6
11/07/2015;4;18;20;15;6
12/07/2015;7;23;18;15;6
13/07/2015;13;31;20;16;6
14/07/2015;10;29;22;16;7
15/07/2015;13;34;36;19;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
16/07/2015;7;28;36;20;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
17/07/2015;10;36;34;19;3
18/07/2015;3;7;16;11;2
19/07/2015;2;3;11;10;2
20/07/2015;9;19;20;16;3
21/07/2015;6;12;24;18;4
22/07/2015;8;11;14;13;5
23/07/2015;8;12;13;11;5
24/07/2015;7;8;16;13;4
25/07/2015;3;6;12;9;3
26/07/2015;3;5;18;12;4
27/07/2015;8;11;15;12;3
28/07/2015;9;12;17;11;4
29/07/2015;8;10;16;12;3
30/07/2015;8;10;12;10;3
31/07/2015;6;9;13;11;5
01/08/2015;3;7;9;9;3
02/08/2015;3;15;17;13;3
03/08/2015;5;16;24;18;4
04/08/2015;9;24;21;15;4
05/08/2015;4;22;20;14;4
06/08/2015;8;24;23;15;4
07/08/2015;5;10;16;13;4
08/08/2015;2;3;7;7;3
09/08/2015;2;3;9;8;3
10/08/2015;16;27;28;16;4
11/08/2015;9;23;50;25;5
12/08/2015;5;12;32;29;4
13/08/2015;4;4;9;9;3
14/08/2015;7;8;7;8;3
15/08/2015;3;5;9;9;3
16/08/2015;2;4;9;10;3
17/08/2015;9;13;13;10;4
18/08/2015;7;11;12;11;4
19/08/2015;10;19;15;12;3
20/08/2015;11;30;25;15;4
21/08/2015;8;20;29;19;4
22/08/2015;2;5;17;17;4
23/08/2015;2;2;11;10;4
24/08/2015;7;9;11;8;3
25/08/2015;10;20;16;11;3
26/08/2015;8;18;17;11;4
27/08/2015;7;7;11;9;3
28/08/2015;21;28;19;11;4
29/08/2015;8;18;37;17;5
30/08/2015;4;10;37;16;4
31/08/2015;8;15;26;14;4
01/09/2015;6;7;10;10;4
02/09/2015;11;17;14;11;5
03/09/2015;6;11;11;10;4
04/09/2015;7;8;8;8;4
05/09/2015;4;6;8;9;4
06/09/2015;3;4;10;9;5
07/09/2015;7;13;13;11;7
08/09/2015;23;25;27;15;9
09/09/2015;12;24;26;15;8
10/09/2015;13;22;19;11;7
11/09/2015;20;34;28;17;7
12/09/2015;9;17;19;12;7
13/09/2015;4;3;11;10;7
14/09/2015;10;10;10;7;6
15/09/2015;3;4;9;8;7
16/09/2015;7;7;7;8;8
17/09/2015;9;15;7;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
18/09/2015;15;22;12;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
19/09/2015;11;23;16;13;1
20/09/2015;17;26;18;15;1
21/09/2015;13;24;15;13;2
22/09/2015;8;17;16;11;2
23/09/2015;23;19;17;12;1
24/09/2015;29;33;21;12;2
25/09/2015;52;41;29;18;4
26/09/2015;15;26;25;16;2
27/09/2015;5;5;11;11;1
28/09/2015;14;14;15;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
29/09/2015;15;14;18;12;
30/09/2015;4;10;16;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
01/10/2015;12;17;14;13;2
02/10/2015;14;21;18;14;2
03/10/2015;26;29;25;22;3
04/10/2015;2;5;18;16;2
05/10/2015;2;1;21;12;2
06/10/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;7;8;4
07/10/2015;;;12;13;3
08/10/2015;;;10;12;3
09/10/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;18;17;4
10/10/2015;16;37;20;19;5
11/10/2015;6;20;8;11;3
12/10/2015;6;19;7;10;4
13/10/2015;8;26;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
14/10/2015;15;32;16;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5
15/10/2015;27;51;17;18;7
16/10/2015;39;54;23;24;7
17/10/2015;16;33;16;17;6
18/10/2015;10;32;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
19/10/2015;17;31;10;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
20/10/2015;5;20;9;13;
21/10/2015;12;29;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
22/10/2015;35;45;21;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;6
23/10/2015;65;56;33;28;7
24/10/2015;19;41;18;18;6
25/10/2015;5;21;16;16;6
26/10/2015;19;38;14;15;7
27/10/2015;15;34;9;9;7
28/10/2015;16;31;9;8;7
29/10/2015;14;28;8;7;6
30/10/2015;46;42;15;15;7
31/10/2015;22;35;17;16;8
01/11/2015;5;16;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;7
02/11/2015;2;11;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;7
03/11/2015;10;27;7;9;7
