Fecha;PM25;PM10
01/01/2015;;17
02/01/2015;;22
03/01/2015;;19
04/01/2015;;19
05/01/2015;;22
06/01/2015;;25
07/01/2015;;25
08/01/2015;;37
09/01/2015;;37
10/01/2015;;33
11/01/2015;;26
12/01/2015;;27
13/01/2015;;43
14/01/2015;;34
17/01/2015;10;
18/01/2015;12;
19/01/2015;9;
20/01/2015;16;
21/01/2015;14;
22/01/2015;13;
24/01/2015;;15
25/01/2015;;14
26/01/2015;;25
27/01/2015;;26
28/01/2015;;20
29/01/2015;;17
30/01/2015;;12
31/01/2015;;6
01/02/2015;;5
02/02/2015;;6
03/02/2015;;10
06/02/2015;;11
07/02/2015;;19
08/02/2015;;16
09/02/2015;;26
10/02/2015;;31
11/02/2015;;35
21/02/2015;;24
22/02/2015;;5
23/02/2015;;12
24/02/2015;;7
25/02/2015;;7
26/02/2015;;11
27/02/2015;;12
28/02/2015;;13
01/03/2015;;17
02/03/2015;;17
03/03/2015;;26
04/03/2015;;32
05/03/2015;;21
06/03/2015;;34
07/03/2015;;28
08/03/2015;;23
09/03/2015;;31
10/03/2015;;38
11/03/2015;;43
14/03/2015;21;
01/05/2015;;35
08/05/2015;26;
15/05/2015;;36
22/05/2015;;19
23/05/2015;;26
24/05/2015;;23
25/05/2015;;26
26/05/2015;;25
27/05/2015;;27
28/05/2015;;29
29/05/2015;;22
30/05/2015;;20
01/06/2015;;17
03/06/2015;;34
05/06/2015;15;
06/06/2015;25;20
07/06/2015;14;
08/06/2015;21;
09/06/2015;22;
10/06/2015;15;
12/06/2015;;27
14/06/2015;;23
15/06/2015;;21
17/06/2015;;19
18/06/2015;;23
19/06/2015;;27
21/06/2015;;25
22/06/2015;;28
23/06/2015;;24
24/06/2015;;24
27/06/2015;;26
04/07/2015;17;
05/07/2015;21;
06/07/2015;24;
07/07/2015;21;
10/07/2015;;45
11/07/2015;;27
12/07/2015;;25
13/07/2015;;31
14/07/2015;;29
15/07/2015;;28
17/07/2015;;31
18/07/2015;;27
19/07/2015;;26
20/07/2015;;37
21/07/2015;;30
22/07/2015;;29
23/07/2015;;26
24/07/2015;;33
25/07/2015;;33
28/07/2015;;33
22/08/2015;;23
