Fecha;NO;NO2;NOX;PM10;PM25;SO2;dd;vv
28/05/2015;14;50;53;20;13;3;323;1.15
27/05/2015;8;55;37;16;8;3;316;1.9
26/05/2015;9;49;44;15;7;3;316;3.04
25/05/2015;11;54;41;11;6;3;320;3.28
24/05/2015;3;16;14;6;4;3;316;3.01
23/05/2015;3;22;15;9;5;3;320;2.74
22/05/2015;8;56;38;12;8;3;326;2.69
21/05/2015;11;69;48;13;5;3;323;3.42
20/05/2015;8;53;37;11;4;3;309;3.61
19/05/2015;10;55;43;13;5;3;312;3.34
18/05/2015;25;44;66;19;12;4;303;0.93
17/05/2015;2;23;13;10;5;4;325;1.78
16/05/2015;3;21;15;11;3;3;315;2.42
15/05/2015;6;48;26;10;5;4;307;5.16
14/05/2015;8;46;36;20;18;4;310;3.14
13/05/2015;16;67;60;30;42;6;316;1.77
12/05/2015;10;60;49;29;24;13;325;1.39
11/05/2015;8;56;45;29;21;4;327;1.85
10/05/2015;7;48;42;20;16;5;164;0.63
09/05/2015;4;44;22;15;6;3;313;0.97
08/05/2015;8;66;42;17;8;7;316;1.6
07/05/2015;29;142;111;33;20;6;171;0.63
06/05/2015;7;66;36;14;6;4;338;0.96
05/05/2015;8;65;35;14;4;4;314;1.51
04/05/2015;22;53;62;18;12;4;150;1.94
03/05/2015;3;37;16;8;5;3;279;0.6
02/05/2015;6;44;27;10;5;3;144;1.14
01/05/2015;3;32;17;8;3;3;323;0.39
30/04/2015;17;79;73;21;13;6;236;0.38
29/04/2015;17;67;68;20;12;6;319;0.51
28/04/2015;10;67;41;15;5;4;348;1.11
27/04/2015;8;55;35;12;;4;311;4.32
26/04/2015;3;24;14;7;;4;295;1.42
25/04/2015;6;53;30;17;;5;153;1.27
24/04/2015;35;74;101;34;21;6;225;0.4
23/04/2015;13;64;54;15;9;7;302;1.1
22/04/2015;8;73;46;17;9;5;163;1.04
21/04/2015;33;84;102;35;26;7;157;1.48
20/04/2015;17;68;63;21;13;7;280;0.77
19/04/2015;3;30;18;11;5;5;309;2.41
18/04/2015;5;39;25;17;8;5;296;0.91
17/04/2015;13;62;53;20;12;5;102;0.79
16/04/2015;23;87;89;32;17;7;294;0.57
15/04/2015;4;53;35;26;13;5;136;2.69
14/04/2015;4;68;36;34;16;7;135;3.98
13/04/2015;6;71;45;36;18;7;136;2.24
12/04/2015;6;52;42;24;15;7;153;1.72
11/04/2015;6;44;35;21;13;6;186;0.24
10/04/2015;6;51;40;15;8;4;319;0.11
