Fecha;CO;NH3;NO;NO2;PM10;PM25;SO2
16/05/2015;0.19;3;3;28;11;4;6
15/05/2015;0.2;3;6;34;12;6;7
14/05/2015;0.17;3;6;37;17;8;7
13/05/2015;0.6;3;9;51;27;18;7
12/05/2015;0.27;3;8;54;33;20;11
11/05/2015;0.31;4;6;38;27;11;6
10/05/2015;0.37;4;6;37;20;12;8
09/05/2015;0.94;5;6;52;17;8;6
08/05/2015;0.64;4;14;119;19;8;8
07/05/2015;0.32;3;14;72;24;10;10
06/05/2015;0.24;3;13;73;14;6;7
05/05/2015;0.26;3;7;69;13;4;6
04/05/2015;0.53;4;21;72;13;;6
03/05/2015;0.3;4;4;37;13;5;6
02/05/2015;0.43;4;8;42;12;4;6
01/05/2015;0.24;4;3;12;7;3;6
30/04/2015;0.34;4;9;80;20;12;10
29/04/2015;0.37;4;28;69;22;12;10
28/04/2015;0.28;3;18;83;15;8;6
27/04/2015;0.19;4;6;46;8;5;7
26/04/2015;0.37;5;4;29;7;4;6
25/04/2015;0.94;6;7;41;;10;7
24/04/2015;0.86;7;26;73;37;19;8
23/04/2015;0.31;5;15;69;16;10;8
22/04/2015;0.43;7;8;83;18;9;7
21/04/2015;0.57;5;29;79;35;19;11
20/04/2015;0.31;5;19;67;24;14;12
19/04/2015;0.57;5;5;62;11;7;7
18/04/2015;0.43;7;6;58;15;11;7
17/04/2015;0.65;8;24;69;31;20;6
16/04/2015;0.33;8;23;90;33;14;8
15/04/2015;0.23;5;6;79;24;9;5
14/04/2015;0.53;6;11;110;32;12;8
13/04/2015;0.5;7;9;92;35;13;8
12/04/2015;0.44;6;10;86;23;13;9
11/04/2015;0.51;6;9;82;12;9;5
10/04/2015;0.37;6;8;83;16;9;5
09/04/2015;0.25;6;6;77;17;8;5
08/04/2015;0.3;4;5;63;11;7;5
07/04/2015;1.15;5;31;112;23;14;8
06/04/2015;0.59;5;10;83;14;11;6
05/04/2015;0.29;3;4;58;7;6;5
04/04/2015;0.19;3;3;45;7;2;5
03/04/2015;0.58;4;8;49;16;9;10
02/04/2015;0.41;3;8;51;21;9;8
01/04/2015;0.19;3;6;86;24;8;4
31/03/2015;0.19;4;6;47;20;8;5
30/03/2015;1.29;5;10;62;22;8;8
29/03/2015;0.95;4;10;84;20;11;8
28/03/2015;0.41;3;9;79;16;9;6
27/03/2015;0.23;4;13;93;14;8;8
26/03/2015;0.26;4;12;84;19;12;7
25/03/2015;0.18;4;5;43;11;6;5
24/03/2015;0.33;5;18;87;12;8;5
23/03/2015;0.44;5;28;92;11;9;5
22/03/2015;0.29;6;2;31;11;8;4
21/03/2015;0.35;7;6;56;18;13;5
20/03/2015;0.32;7;6;76;35;22;4
19/03/2015;0.45;7;12;58;19;14;6
18/03/2015;0.36;9;26;104;26;14;10
17/03/2015;0.37;7;12;114;18;12;6
16/03/2015;0.41;6;30;101;28;21;6
15/03/2015;0.4;4;8;75;20;13;6
14/03/2015;0.29;3;3;37;15;9;6
13/03/2015;0.27;4;6;61;30;12;6
12/03/2015;0.58;6;22;67;45;30;7
11/03/2015;0.4;6;29;98;39;26;11
10/03/2015;0.44;5;32;88;32;18;13
09/03/2015;0.35;5;23;79;31;18;12
08/03/2015;1.29;8;18;64;40;22;11
07/03/2015;0.8;6;37;96;37;22;15
06/03/2015;0.75;6;56;103;44;22;9
05/03/2015;0.27;3;28;100;18;10;8
04/03/2015;0.16;3;6;44;8;5;4
03/03/2015;0.43;5;23;76;17;10;5
02/03/2015;0.56;5;24;76;12;8;4
01/03/2015;0.94;6;14;52;17;13;5
28/02/2015;0.66;3;26;82;17;10;5
27/02/2015;0.19;3;7;84;13;7;5
26/02/2015;0.3;7;6;54;7;6;5
25/02/2015;0.25;5;6;41;13;8;6
24/02/2015;0.22;5;5;46;10;5;7
23/02/2015;0.39;6;13;75;11;7;6
22/02/2015;0.3;6;5;73;10;5;5
21/02/2015;0.19;7;3;24;8;3;5
20/02/2015;0.63;9;15;86;16;11;9
19/02/2015;0.5;8;57;115;26;15;12
18/02/2015;0.31;6;28;106;19;12;13
17/02/2015;0.18;5;7;36;15;7;5
16/02/2015;0.21;6;8;74;11;6;7
15/02/2015;0.3;8;4;41;7;4;5
14/02/2015;0.21;6;4;22;4;2;5
13/02/2015;0.56;7;9;63;14;9;6
12/02/2015;0.43;6;11;80;17;12;6
11/02/2015;0.3;6;16;60;26;18;13
10/02/2015;0.31;6;23;73;28;17;11
09/02/2015;0.31;;;60;31;15;7
08/02/2015;0.52;;;29;21;16;9
07/02/2015;0.47;6;20;39;26;17;7
06/02/2015;0.42;14;21;61;16;11;6
05/02/2015;0.23;3;6;32;;;4
04/02/2015;0.3;3;6;42;10;8;5
03/02/2015;0.66;3;12;71;10;6;5
02/02/2015;0.25;2;8;58;4;4;5
01/02/2015;0.16;3;3;22;10;5;5
31/01/2015;0.26;4;2;29;9;4;7
30/01/2015;0.58;;;63;14;7;6
29/01/2015;0.38;4;11;51;13;7;8
28/01/2015;0.4;4;16;68;17;10;8
27/01/2015;0.29;5;6;53;16;8;6
26/01/2015;0.86;5;42;63;46;19;9
25/01/2015;0.7;5;11;55;25;13;5
24/01/2015;0.73;5;20;54;32;17;6
