Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;1;2;65;6;;;;1
02/01/2014;;2;11;66;6;;;;3
03/01/2014;;1;6;71;8;;;;2
04/01/2014;;1;2;82;7;;;;2
05/01/2014;;1;5;68;11;;;;2
06/01/2014;;1;6;69;14;;;;2
07/01/2014;;1;13;48;9;;;;3
08/01/2014;;14;33;27;19;;;;9
09/01/2014;;29;38;18;27;;;;13
10/01/2014;;33;29;11;26;;;;12
11/01/2014;;21;26;13;30;;;;11
12/01/2014;;9;17;30;25;;;;7
13/01/2014;;1;5;72;6;;;;2
14/01/2014;;1;5;70;6;;;;2
15/01/2014;;1;8;60;10;;;;2
16/01/2014;;1;4;74;4;;;;1
17/01/2014;;2;17;51;8;;;;3
18/01/2014;;1;10;59;5;;;;2
19/01/2014;;1;6;60;7;;;;2
20/01/2014;;1;7;68;4;;;;2
21/01/2014;;2;15;50;8;;;;2
22/01/2014;;1;9;57;8;;;;2
23/01/2014;;10;21;41;10;;;;5
24/01/2014;;2;10;52;11;;;;3
25/01/2014;;2;9;49;8;;;;4
26/01/2014;;4;11;36;11;;;;4
27/01/2014;;1;3;75;5;;;;2
28/01/2014;;1;2;77;3;;;;2
29/01/2014;;1;7;69;4;;;;2
30/01/2014;;1;6;66;3;;;;2
31/01/2014;;1;4;69;3;;;;2
01/02/2014;;1;3;76;3;;;;2
02/02/2014;;1;10;59;6;;;;2
03/02/2014;;1;9;63;5;;;;2
04/02/2014;;1;5;75;5;;;;2
05/02/2014;;1;5;81;11;;;;2
06/02/2014;;1;3;75;6;;;;2
07/02/2014;;1;3;75;4;;;;2
08/02/2014;;1;1;84;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
09/02/2014;;1;6;73;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;3
10/02/2014;;1;4;83;3;;;;2
11/02/2014;;3;16;53;6;;;;4
12/02/2014;;2;15;46;11;;;;3
13/02/2014;;1;2;75;7;;;;2
14/02/2014;;1;3;60;6;;;;2
15/02/2014;;1;3;78;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
16/02/2014;;2;13;53;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;3
17/02/2014;;7;26;41;17;;;;6
18/02/2014;;1;14;60;8;;;;2
19/02/2014;;8;44;47;14;;;;2
20/02/2014;;1;26;65;14;;;;1
21/02/2014;;1;23;84;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
22/02/2014;;2;28;66;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
23/02/2014;;2;38;58;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
24/02/2014;;2;30;73;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
25/02/2014;;1;18;85;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
26/02/2014;;1;20;81;;;;;2
27/02/2014;;1;17;76;;;;;3
28/02/2014;;1;15;88;;;;;2
01/03/2014;;1;14;72;;;;;2
02/03/2014;;1;11;65;;;;;2
03/03/2014;;1;9;86;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
04/03/2014;;1;2;76;26;;;;1
05/03/2014;;2;8;63;28;;;;2
06/03/2014;;14;23;40;35;;;;6
07/03/2014;;12;27;46;41;;;;8
08/03/2014;;4;27;58;44;;;;7
09/03/2014;;2;16;79;34;;;;2
10/03/2014;;4;12;82;37;;;;2
11/03/2014;;2;10;105;35;;;;1
12/03/2014;;2;18;91;44;;;;2
13/03/2014;;4;27;76;40;;;;4
14/03/2014;;10;18;73;38;;;;4
15/03/2014;;1;5;108;;;;;1
16/03/2014;;1;3;99;;;;;1
17/03/2014;;7;27;53;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;4
18/03/2014;;10;17;61;42;;;;5
19/03/2014;;3;13;77;27;;;;4
20/03/2014;;9;16;63;37;;;;5
21/03/2014;;1;6;82;25;;;;1
22/03/2014;;1;5;83;10;;;;1
23/03/2014;;1;10;77;11;;;;1
24/03/2014;;2;12;67;14;;;;1
25/03/2014;;1;5;82;16;;;;1
26/03/2014;;1;11;76;13;;;;13
27/03/2014;;8;27;54;26;;;;29
28/03/2014;;2;27;56;30;;;;48
29/03/2014;;1;10;80;23;;;;14
30/03/2014;;1;11;75;17;;;;2
31/03/2014;;1;17;73;11;;;;3
01/04/2014;;1;19;72;12;;;;12
02/04/2014;;3;25;62;10;;;;16
03/04/2014;;1;13;80;8;;;;7
04/04/2014;;1;13;71;9;;;;8
05/04/2014;;1;12;64;7;;;;10
06/04/2014;;2;21;54;14;;;;30
07/04/2014;;7;21;49;13;;;;20
08/04/2014;;1;10;69;15;;;;72
09/04/2014;;1;14;71;20;;;;27
10/04/2014;;3;19;65;26;;;;29
11/04/2014;;2;9;79;21;;;;69
12/04/2014;;1;6;97;22;;;;54
13/04/2014;;1;7;93;27;;;;33
14/04/2014;;1;11;93;26;;;;41
15/04/2014;;1;21;77;25;;;;10
16/04/2014;;3;21;77;26;;;;17
17/04/2014;;1;9;97;18;;;;43
18/04/2014;;1;9;88;17;;;;14
19/04/2014;;1;10;88;17;;;;21
20/04/2014;;1;9;76;11;;;;4
21/04/2014;;1;11;58;11;;;;9
22/04/2014;;1;9;71;13;;;;3
23/04/2014;;1;6;72;19;;;;1
24/04/2014;;1;7;81;23;;;;1
25/04/2014;;1;4;89;21;;;;1
26/04/2014;;1;3;83;19;;;;1
27/04/2014;;1;4;84;23;;;;1
28/04/2014;;1;7;63;22;;;;1
29/04/2014;;2;11;55;25;;;;1
30/04/2014;;2;10;63;23;;;;1
01/05/2014;;1;3;70;24;;;;1
02/05/2014;;1;4;78;20;;;;1
03/05/2014;;1;2;90;21;;;;1
04/05/2014;;1;12;93;26;;;;1
05/05/2014;;6;19;68;30;;;;2
06/05/2014;;2;13;78;32;;;;2
07/05/2014;;1;8;81;36;;;;2
08/05/2014;;1;8;92;34;;;;3
09/05/2014;;1;7;83;24;;;;2
10/05/2014;;1;7;70;26;;;;1
11/05/2014;;1;4;80;20;;;;2
12/05/2014;;1;5;79;32;;;;2
13/05/2014;;1;7;87;25;;;;2
14/05/2014;;1;8;92;22;;;;2
15/05/2014;;1;8;99;37;;;;2
16/05/2014;;1;7;111;40;;;;2
17/05/2014;;1;4;111;26;;;;1
18/05/2014;;1;6;105;20;;;;1
19/05/2014;;1;9;109;38;;;;1
20/05/2014;;1;8;87;14;;;;1
21/05/2014;;1;8;90;13;;;;1
22/05/2014;;1;4;88;10;;;;1
23/05/2014;;1;6;90;9;;;;1
24/05/2014;;2;8;82;18;;;;1
25/05/2014;;1;3;80;14;;;;1
26/05/2014;;2;5;87;12;;;;1
27/05/2014;;1;5;84;14;;;;1
28/05/2014;;2;4;69;9;;;;1
29/05/2014;;2;8;67;10;;;;1
30/05/2014;;1;3;84;10;;;;1
31/05/2014;;1;1;91;10;;;;1
01/06/2014;;1;2;98;11;;;;1
02/06/2014;;1;6;90;16;;;;1
03/06/2014;;2;9;86;20;;;;1
04/06/2014;;1;4;77;13;;;;2
05/06/2014;;2;9;81;20;;;;1
06/06/2014;;2;11;81;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
07/06/2014;;1;5;83;15;;;;1
08/06/2014;;2;9;71;19;;;;1
09/06/2014;;2;8;70;20;;;;1
10/06/2014;;3;7;78;31;;;;2
11/06/2014;;2;6;94;27;;;;2
12/06/2014;;2;9;94;30;;;;1
13/06/2014;;2;6;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;29;;;;2
14/06/2014;;1;1;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
