Fecha;NO;NO2;O3;PM10;PM25;SO2
24/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
25/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
26/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
27/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
28/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
29/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
30/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
01/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
02/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
03/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
04/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
05/05/2015;;;;;;
06/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
07/05/2015;;;;;;
08/05/2015;;;;;;
09/05/2015;3;7;88;;;
10/05/2015;3;7;87;;;
11/05/2015;4;7;103;;;
12/05/2015;3;7;111;;;
13/05/2015;3;7;100;;;
14/05/2015;3;7;90;;;8
15/05/2015;3;8;95;;;7
16/05/2015;3;7;108;;;6
17/05/2015;3;7;87;;;6
18/05/2015;;;83;;;6
19/05/2015;;;61;;;6
20/05/2015;;;73;;;6
21/05/2015;;;93;;;6
22/05/2015;;;92;;;5
23/05/2015;;;90;;;5
24/05/2015;;;89;;;5
25/05/2015;;;82;;;5
26/05/2015;;;84;;;5
27/05/2015;;;87;;;5
28/05/2015;;;94;;;6
29/05/2015;;;99;;;5
30/05/2015;;;88;;;4
31/05/2015;;;81;;;4
01/06/2015;;;81;;;5
02/06/2015;;;92;;;7
03/06/2015;;;83;;;6
04/06/2015;;;86;;;6
05/06/2015;;;99;;;7
06/06/2015;;;96;;;6
07/06/2015;;;97;;;6
08/06/2015;;;91;;;6
09/06/2015;;;84;;;6
10/06/2015;;;83;;;6
11/06/2015;;;87;;;6
12/06/2015;;;85;;;6
13/06/2015;;;67;;;6
14/06/2015;;;74;;;6
15/06/2015;;;71;;;7
16/06/2015;;;75;;;6
17/06/2015;;;85;;;6
18/06/2015;;;;;;5
19/06/2015;;;;;;4
20/06/2015;;;82;;;4
21/06/2015;;;87;;;4
22/06/2015;18;8;90;;;4
23/06/2015;18;9;78;;;4
24/06/2015;19;10;78;;;4
25/06/2015;17;9;89;;;4
26/06/2015;6;9;97;;;5
27/06/2015;2;8;103;;;5
28/06/2015;1;7;90;;;5
29/06/2015;1;8;96;;;5
30/06/2015;1;8;109;;;6
01/07/2015;1;8;116;;;6
02/07/2015;1;9;104;;;5
03/07/2015;1;7;98;;;5
04/07/2015;1;7;93;;;5
05/07/2015;1;7;90;;;5
06/07/2015;1;8;96;;;6
07/07/2015;1;8;96;;;5
08/07/2015;1;8;85;;;5
09/07/2015;1;9;76;;;5
10/07/2015;1;9;100;;;6
11/07/2015;1;9;95;;;6
12/07/2015;1;9;89;;;5
13/07/2015;1;9;99;;;6
14/07/2015;1;8;104;;;5
15/07/2015;1;9;104;;;6
16/07/2015;1;9;107;;;6
17/07/2015;1;9;99;;;5
18/07/2015;1;9;92;;;5
19/07/2015;1;9;83;;;5
20/07/2015;1;9;84;;;5
21/07/2015;1;8;77;;;5
22/07/2015;1;7;80;;;5
23/07/2015;;;;;;
24/07/2015;1;8;86;;;5
25/07/2015;1;7;75;;;5
26/07/2015;1;7;77;;;5
27/07/2015;1;7;86;;;5
28/07/2015;2;8;80;;;5
29/07/2015;2;8;69;;;5
30/07/2015;2;10;42;;;6
31/07/2015;2;9;50;;;6
01/08/2015;2;8;63;;;5
02/08/2015;2;9;80;;;6
03/08/2015;2;8;92;;;6
04/08/2015;2;8;79;;;6
05/08/2015;2;9;92;;;6
06/08/2015;2;9;98;;;6
07/08/2015;2;9;90;;;6
08/08/2015;2;10;54;;;6
09/08/2015;2;8;57;;;6
10/08/2015;2;9;80;;;6
11/08/2015;2;8;75;;;6
12/08/2015;2;8;79;;;6
13/08/2015;2;8;67;;;6
14/08/2015;2;8;61;;;6
15/08/2015;2;9;54;;;6
16/08/2015;2;9;53;;;6
17/08/2015;2;8;56;;;6
18/08/2015;2;9;69;;;6
19/08/2015;2;8;68;;;6
20/08/2015;3;11;74;;;6
21/08/2015;4;12;79;;;6
22/08/2015;4;11;62;;;6
23/08/2015;3;11;61;;;6
24/08/2015;3;11;73;;;6
25/08/2015;4;11;70;;;5
26/08/2015;4;11;80;;;6
27/08/2015;3;11;83;;;6
28/08/2015;4;11;91;;;6
29/08/2015;4;11;92;;;6
30/08/2015;3;12;83;;;6
31/08/2015;3;12;76;;;6
01/09/2015;4;11;56;;;6
02/09/2015;4;11;63;;;6
03/09/2015;3;11;75;;;6
04/09/2015;3;11;56;;;6
05/09/2015;4;11;54;;;6
06/09/2015;4;11;59;;;7
07/09/2015;4;11;61;;;7
08/09/2015;3;11;68;;;6
09/09/2015;3;11;73;;;7
10/09/2015;4;10;63;;;6
11/09/2015;4;10;61;;;7
12/09/2015;4;10;75;;;6
13/09/2015;3;11;67;;;6
14/09/2015;4;10;64;;;6
15/09/2015;4;10;63;;;6
16/09/2015;4;10;60;;;6
17/09/2015;4;10;65;;;6
18/09/2015;4;10;51;;;6
19/09/2015;4;10;60;;;6
20/09/2015;4;10;67;;;6
21/09/2015;4;10;65;;;6
22/09/2015;4;11;71;;;6
23/09/2015;3;11;70;;;6
24/09/2015;4;10;71;;;6
25/09/2015;3;10;80;;;6
26/09/2015;;;74;;;6
27/09/2015;;;63;;;6
28/09/2015;;;64;;;6
29/09/2015;;;69;;;6
30/09/2015;;;59;;;6
01/10/2015;;;54;;;6
02/10/2015;;;75;;;7
03/10/2015;;;86;;;6
04/10/2015;;;59;;;6
05/10/2015;;;43;;;6
06/10/2015;;;51;;;6
07/10/2015;;;50;;;7
08/10/2015;;;51;;;7
09/10/2015;4;18;50;;;7
10/10/2015;4;18;52;;;7
11/10/2015;4;18;59;;;7
12/10/2015;4;17;50;;;7
13/10/2015;4;17;39;;;7
14/10/2015;4;17;51;;;7
15/10/2015;4;18;61;;;7
16/10/2015;4;19;59;;;7
17/10/2015;4;19;61;;;8
18/10/2015;4;18;43;;;7
19/10/2015;4;18;41;;;6
20/10/2015;4;18;38;;;7
21/10/2015;4;17;74;;;6
22/10/2015;4;18;68;;;6
23/10/2015;4;18;45;;;6
24/10/2015;4;17;41;;;7
25/10/2015;4;18;54;;;7
26/10/2015;4;19;66;;;7
