Fecha;CO;NO;NO2;NOX;PM10;PM25
02/05/2015;0.38;23;46;61;12;4
01/05/2015;0.36;11;35;42;12;3
30/04/2015;0.4;27;87;86;18;9
29/04/2015;0.37;29;62;80;16;6
28/04/2015;0.27;16;53;51;15;4
27/04/2015;0.26;10;41;37;14;3
26/04/2015;0.29;13;60;53;12;4
25/04/2015;0.37;20;55;68;16;8
24/04/2015;0.44;31;79;94;25;10
23/04/2015;0.33;14;49;50;14;6
22/04/2015;0.48;25;146;83;16;6
21/04/2015;0.37;28;85;86;20;9
20/04/2015;0.36;22;55;69;16;8
19/04/2015;0.36;14;58;52;13;4
18/04/2015;0.41;27;55;82;24;10
17/04/2015;0.46;35;65;91;21;8
16/04/2015;0.42;34;97;97;37;10
15/04/2015;0.39;29;92;99;25;7
14/04/2015;0.73;63;133;149;36;12
13/04/2015;0.55;34;95;96;31;11
12/04/2015;0.41;19;70;61;22;10
11/04/2015;0.39;18;47;54;15;8
10/04/2015;0.37;16;57;58;21;7
09/04/2015;0.28;20;72;74;18;6
08/04/2015;0.35;14;65;55;17;6
07/04/2015;0.37;29;82;86;20;9
06/04/2015;0.36;20;85;63;17;7
05/04/2015;0.36;15;53;50;16;5
04/04/2015;0.29;10;30;33;14;2
03/04/2015;0.32;16;37;50;22;7
02/04/2015;0.32;15;42;48;28;6
01/04/2015;0.36;19;46;57;40;8
31/03/2015;0.32;16;38;52;32;5
30/03/2015;0.34;20;60;66;37;7
29/03/2015;0.38;15;46;52;22;6
28/03/2015;0.37;21;65;63;21;5
27/03/2015;0.38;29;68;78;24;4
26/03/2015;0.4;35;75;92;17;4
25/03/2015;0.27;21;64;58;11;2
24/03/2015;0.46;27;54;75;26;10
23/03/2015;0.41;37;73;99;14;7
22/03/2015;0.41;13;76;44;;13
21/03/2015;0.43;27;59;79;;20
20/03/2015;0.52;15;65;48;61;36
19/03/2015;0.5;22;59;68;29;13
18/03/2015;0.47;33;93;89;25;9
17/03/2015;0.57;25;78;77;24;11
16/03/2015;0.55;29;66;85;44;24
15/03/2015;0.36;15;52;52;35;18
14/03/2015;0.34;12;34;41;25;8
13/03/2015;0.44;11;36;40;34;8
12/03/2015;0.51;27;64;77;35;19
11/03/2015;0.6;41;83;104;43;18
10/03/2015;0.55;43;62;104;35;14
09/03/2015;0.48;32;64;89;30;11
08/03/2015;0.65;28;60;78;35;12
07/03/2015;0.74;44;84;109;36;13
06/03/2015;0.72;49;72;116;30;10
05/03/2015;0.47;33;76;89;33;9
04/03/2015;0.34;17;61;52;18;4
03/03/2015;0.49;36;64;91;23;7
02/03/2015;0.62;47;78;107;22;
01/03/2015;0.43;22;34;57;;
28/02/2015;0.42;25;52;72;21;5
27/02/2015;0.32;17;49;46;23;4
26/02/2015;0.32;16;38;44;20;2
25/02/2015;0.25;13;23;34;40;6
24/02/2015;0.23;15;40;39;31;5
23/02/2015;0.48;39;57;89;21;6
22/02/2015;0.32;16;47;45;24;4
21/02/2015;0.25;12;22;31;19;3
20/02/2015;0.66;28;65;78;22;9
19/02/2015;0.75;74;62;151;33;14
18/02/2015;0.37;34;55;80;26;10
17/02/2015;0.31;28;41;64;24;7
16/02/2015;0.43;36;72;92;22;7
15/02/2015;0.43;23;43;61;15;4
14/02/2015;0.37;20;42;59;14;3
13/02/2015;0.4;;50;;;
12/02/2015;0.41;29;73;84;31;9
11/02/2015;1.05;96;68;194;41;16
10/02/2015;0.77;98;87;199;45;19
09/02/2015;0.52;52;67;116;38;13
08/02/2015;0.5;18;65;54;35;22
07/02/2015;0.5;32;48;82;32;20
06/02/2015;0.59;50;58;120;29;17
