Fecha;NO;NO2;NOX;O3;dd;vv
03/05/2015;4;23;17;59;244;1.44
02/05/2015;4;20;15;47;183;1.3
01/05/2015;4;7;11;58;223;2.04
30/04/2015;9;34;30;70;208;1.39
29/04/2015;13;39;36;74;321;0.41
28/04/2015;5;27;15;71;47;1.14
27/04/2015;4;34;17;71;301;1.26
26/04/2015;4;15;14;70;224;1.05
25/04/2015;5;26;19;81;198;1.6
24/04/2015;11;40;38;55;284;0.24
23/04/2015;4;32;17;76;33;0.88
22/04/2015;4;33;19;93;160;2.08
21/04/2015;11;48;32;98;88;1.28
20/04/2015;11;40;31;87;31;0.73
19/04/2015;4;14;13;88;320;0.83
18/04/2015;5;24;20;74;307;0.53
17/04/2015;10;39;33;71;90;0.46
16/04/2015;10;70;38;85;296;0.2
15/04/2015;3;18;14;98;159;4.04
14/04/2015;3;30;19;101;111;1.97
13/04/2015;3;49;19;110;95;1.53
12/04/2015;3;20;14;93;127;0.97
11/04/2015;3;29;15;83;48;1.22
10/04/2015;3;28;18;88;178;1.97
09/04/2015;5;33;23;98;164;3.58
08/04/2015;2;13;12;99;151;4.82
07/04/2015;8;43;28;91;51;1.24
06/04/2015;4;19;16;81;41;1.33
05/04/2015;2;14;10;71;38;1.05
04/04/2015;2;21;11;72;310;0.69
03/04/2015;3;21;15;73;292;0.89
02/04/2015;5;26;20;79;304;0.31
01/04/2015;3;25;11;78;341;0.89
31/03/2015;3;14;13;65;301;1.51
30/03/2015;5;25;19;67;311;1.02
29/03/2015;4;23;20;65;294;0.37
28/03/2015;4;47;22;60;288;0.81
27/03/2015;3;43;19;63;305;0.67
26/03/2015;6;51;29;57;268;0.6
25/03/2015;3;32;13;75;351;1.12
24/03/2015;6;50;32;72;324;0.49
23/03/2015;10;71;50;37;79;0.09
22/03/2015;2;19;10;66;359;1.46
21/03/2015;3;29;23;45;309;0.42
20/03/2015;2;20;14;66;338;0.73
19/03/2015;5;37;25;74;29;0.58
18/03/2015;5;50;27;84;45;0.92
17/03/2015;3;35;22;83;166;2.36
16/03/2015;7;39;32;61;98;0.97
15/03/2015;3;29;20;44;168;0.43
14/03/2015;3;30;18;81;303;0.62
13/03/2015;3;37;16;79;302;1.54
12/03/2015;12;53;37;80;300;0.53
11/03/2015;16;63;55;71;263;0.11
10/03/2015;17;58;62;70;283;0.4
09/03/2015;15;70;65;67;270;0.34
08/03/2015;5;38;28;73;289;0.53
07/03/2015;8;38;35;62;28;0.31
06/03/2015;14;67;45;56;65;0.55
05/03/2015;11;55;36;78;48;1.03
04/03/2015;2;32;13;76;330;1.1
03/03/2015;5;43;27;55;16;0.36
02/03/2015;9;41;31;65;302;0.51
01/03/2015;6;26;25;41;197;0.57
28/02/2015;7;52;36;39;137;0.33
27/02/2015;3;45;13;83;337;1.17
26/02/2015;2;50;14;69;303;1.83
25/02/2015;2;26;13;72;296;2.32
24/02/2015;3;27;16;73;282;1.95
23/02/2015;5;46;31;65;282;0.95
22/02/2015;2;49;17;80;283;0.29
21/02/2015;2;9;9;80;309;1.64
20/02/2015;17;57;47;56;193;1.92
19/02/2015;22;65;64;49;150;0.44
18/02/2015;13;48;45;59;121;0.29
17/02/2015;2;10;9;71;340;1.32
16/02/2015;4;55;23;60;296;0.91
15/02/2015;3;33;21;63;325;0.41
14/02/2015;3;33;24;49;170;0.78
13/02/2015;8;42;33;73;210;1.82
12/02/2015;14;70;50;68;184;1
11/02/2015;22;73;65;59;162;1.35
10/02/2015;25;59;73;62;145;0.92
09/02/2015;6;46;28;67;45;0.84
08/02/2015;5;34;26;38;12;0.27
07/02/2015;5;32;29;26;81;0.26
06/02/2015;12;58;50;61;308;0.32
05/02/2015;4;24;15;69;352;1.88
04/02/2015;6;59;30;64;339;1.17
03/02/2015;4;39;23;67;359;0.2
02/02/2015;10;72;45;55;182;1.38
01/02/2015;3;21;12;76;306;0.97
31/01/2015;3;13;11;71;288;1.78
30/01/2015;2;47;18;76;292;2.07
29/01/2015;12;44;41;47;252;1.7
28/01/2015;8;55;44;28;147;0.42
27/01/2015;7;72;44;43;317;0.34
26/01/2015;24;56;77;14;106;0.15
25/01/2015;6;43;23;53;33;0.41
24/01/2015;9;42;36;49;48;0.88
23/01/2015;8;42;32;47;29;0.41
22/01/2015;4;54;23;62;301;0.57
21/01/2015;5;61;28;57;225;1.45
20/01/2015;14;52;54;21;104;0.88
19/01/2015;3;51;22;71;325;0.99
18/01/2015;2;36;14;64;172;2.29
17/01/2015;5;35;26;47;107;0.48
16/01/2015;8;51;35;59;238;0.79
15/01/2015;3;41;17;71;204;2.75
14/01/2015;19;51;50;58;200;1.38
13/01/2015;5;27;22;63;206;2.38
12/01/2015;9;38;35;49;196;1.62
11/01/2015;5;30;22;64;33;0.48
10/01/2015;23;33;60;16;283;0.17
09/01/2015;42;53;97;12;97;0.28
08/01/2015;40;48;93;7;90;0.49
07/01/2015;24;49;62;25;93;0.55
06/01/2015;11;38;41;16;120;0.25
05/01/2015;25;45;61;26;116;0.57
04/01/2015;17;29;45;24;73;0.26
03/01/2015;22;37;56;30;57;0.12
02/01/2015;25;46;68;17;79;0.32
01/01/2015;10;30;37;29;109;0.46
