Fecha;NO;NO2;NOX;O3;SO2;dd;vv
16/05/2015;2;35;17;67;6;314;1.85
15/05/2015;3;22;17;74;5;308;4.18
14/05/2015;3;41;23;71;6;314;2.39
13/05/2015;13;53;41;60;5;328;1.18
12/05/2015;5;42;25;67;5;360;1.44
11/05/2015;4;31;20;74;5;329;1.66
10/05/2015;4;23;20;96;8;19;0.58
09/05/2015;4;35;24;68;6;27;1.03
08/05/2015;9;83;40;86;7;359;1.33
07/05/2015;15;52;55;89;9;154;0.72
06/05/2015;11;45;38;87;6;17;1.02
05/05/2015;3;36;17;81;5;6;0.79
04/05/2015;13;41;36;74;5;191;1.72
03/05/2015;2;22;12;65;5;244;0.79
02/05/2015;4;25;17;46;4;230;0.25
01/05/2015;3;12;10;56;4;252;0.88
30/04/2015;24;55;59;69;6;228;0.7
29/04/2015;21;56;59;64;8;342;0.51
28/04/2015;15;48;43;69;5;48;0.9
27/04/2015;3;50;28;61;5;312;2.47
26/04/2015;1;24;13;69;5;271;0.88
25/04/2015;5;32;22;81;6;195;1.36
24/04/2015;25;69;73;45;8;306;0.9
23/04/2015;8;50;35;73;5;13;1.03
22/04/2015;4;74;33;84;6;129;1.42
21/04/2015;32;61;85;83;7;119;0.91
20/04/2015;20;54;58;83;5;24;0.94
19/04/2015;3;37;22;84;5;330;1.1
18/04/2015;6;48;30;71;5;303;0.59
17/04/2015;17;43;54;58;6;141;0.54
16/04/2015;24;89;75;86;7;316;1.07
15/04/2015;7;43;31;94;8;147;3.78
14/04/2015;33;85;89;90;8;137;1.81
13/04/2015;25;99;80;100;7;118;1.17
12/04/2015;10;60;38;89;7;135;1.43
11/04/2015;8;34;30;81;6;60;0.74
10/04/2015;8;38;33;84;6;142;1.62
09/04/2015;8;32;31;92;6;140;4.05
08/04/2015;5;38;25;94;6;134;4.77
07/04/2015;38;69;94;82;6;57;0.92
06/04/2015;8;56;32;82;5;36;1.41
05/04/2015;5;36;18;69;5;25;1.15
04/04/2015;5;30;19;71;5;319;1.53
03/04/2015;7;29;26;70;4;313;1.49
02/04/2015;7;27;25;83;4;73;0.42
01/04/2015;8;58;32;79;4;347;1.53
31/03/2015;7;31;30;58;5;324;3.22
30/03/2015;28;54;69;62;5;320;2.21
29/03/2015;10;56;39;70;6;326;1.04
28/03/2015;7;45;30;60;5;314;1.36
27/03/2015;10;68;45;58;6;318;2.21
26/03/2015;23;66;73;49;6;305;1.47
25/03/2015;9;68;45;71;4;326;1.95
24/03/2015;12;53;56;52;4;320;1.86
23/03/2015;16;71;67;29;4;344;0.24
22/03/2015;4;49;19;69;3;338;1.79
21/03/2015;4;39;28;40;3;297;0.73
20/03/2015;6;51;36;60;4;336;1
19/03/2015;8;47;41;72;5;31;0.52
18/03/2015;55;101;132;77;6;47;0.51
17/03/2015;10;72;50;80;6;136;2.33
16/03/2015;25;67;78;47;8;140;0.71
15/03/2015;6;53;35;41;6;314;0.81
14/03/2015;6;66;39;71;5;307;1.73
13/03/2015;;23;;69;4;309;3.02
12/03/2015;;62;;74;7;310;1.12
11/03/2015;24;62;83;52;8;309;0.66
10/03/2015;40;77;106;77;8;13;0.61
09/03/2015;22;90;84;71;6;189;0.22
08/03/2015;13;73;53;80;7;308;1.08
07/03/2015;29;77;81;69;8;349;0.29
06/03/2015;30;67;84;60;7;46;0.5
05/03/2015;27;76;74;80;4;22;1
04/03/2015;9;72;40;70;3;321;2.61
03/03/2015;16;58;55;53;4;352;0.77
02/03/2015;29;56;79;47;4;309;0.9
01/03/2015;11;41;38;43;5;201;0.66
28/02/2015;17;61;62;34;5;172;0.83
27/02/2015;10;74;39;80;3;321;1.93
