Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
08/04/2014;;9;14;62;15;;5;;1
09/04/2014;;6;21;52;23;;7;;1
10/04/2014;;3;10;68;24;;9;;1
11/04/2014;;6;13;67;12;;3;;2
12/04/2014;;3;10;67;16;;7;;3
13/04/2014;;4;14;62;20;;8;;5
14/04/2014;;5;15;63;23;;9;;3
15/04/2014;;4;12;77;24;;9;;2
16/04/2014;;4;9;79;20;;6;;3
17/04/2014;;3;9;77;17;;8;;2
18/04/2014;;4;12;71;22;;10;;3
19/04/2014;;3;10;75;19;;8;;4
20/04/2014;;3;5;72;8;;2;;3
21/04/2014;;5;13;56;9;;2;;4
22/04/2014;;3;9;78;14;;3;;2
23/04/2014;;3;9;75;12;;4;;2
24/04/2014;;2;5;79;13;;5;;2
25/04/2014;;1;7;82;10;;3;;2
26/04/2014;;1;4;78;12;;3;;2
27/04/2014;;1;3;81;15;;3;;2
28/04/2014;;1;4;67;12;;4;;2
29/04/2014;;3;10;53;15;;6;;3
30/04/2014;;3;12;53;11;;3;;4
01/05/2014;;2;8;63;12;;4;;3
02/05/2014;;3;12;71;14;;5;;3
03/05/2014;;2;7;68;16;;5;;3
04/05/2014;;1;10;66;17;;6;;2
05/05/2014;;3;14;69;24;;5;;3
06/05/2014;;3;13;65;25;;9;;6
07/05/2014;;2;10;74;24;;8;;4
08/05/2014;;3;13;68;23;;8;;4
09/05/2014;;4;16;58;25;;9;;3
10/05/2014;;2;9;54;21;;6;;4
11/05/2014;;1;4;80;18;;5;;3
12/05/2014;;3;10;62;23;;6;;4
13/05/2014;;1;5;82;17;;3;;1
14/05/2014;;2;7;74;16;;3;;4
15/05/2014;;2;10;79;20;;4;;5
16/05/2014;;2;10;89;23;;5;;3
17/05/2014;;2;8;95;20;;4;;4
18/05/2014;;1;7;95;19;;5;;5
19/05/2014;;1;12;83;31;;8;;4
20/05/2014;;1;9;71;15;;3;;5
21/05/2014;;2;8;74;11;;2;;3
22/05/2014;;1;8;69;17;;3;;2
23/05/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
24/05/2014;;1;6;72;;;;;
25/05/2014;;1;6;75;;;;;
26/05/2014;;3;10;65;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
27/05/2014;;2;11;55;16;;4;;5
28/05/2014;;2;12;51;10;;2;;4
29/05/2014;;2;15;43;14;;1;;4
30/05/2014;;2;11;68;13;;4;;4
31/05/2014;;2;7;73;14;;4;;3
01/06/2014;;2;6;76;15;;3;;4
02/06/2014;;2;10;75;20;;5;;5
03/06/2014;;3;9;67;21;;7;;4
04/06/2014;;1;6;74;15;;3;;4
05/06/2014;;3;10;63;22;;3;;4
06/06/2014;;2;10;62;22;;3;;2
07/06/2014;;1;8;68;12;;2;;3
08/06/2014;;1;7;56;15;;3;;3
09/06/2014;;2;9;60;18;;2;;1
10/06/2014;;2;11;67;16;;3;;2
11/06/2014;;2;11;69;20;;4;;4
12/06/2014;;2;11;74;24;;6;;2
13/06/2014;;2;12;83;25;;5;;6
14/06/2014;;1;6;79;21;;6;;3
15/06/2014;;1;6;81;17;;2;;3
16/06/2014;;1;5;86;18;;2;;4
17/06/2014;;1;5;93;19;;3;;2
18/06/2014;;1;8;80;25;;3;;2
19/06/2014;;2;8;85;23;;4;;3
20/06/2014;;3;16;80;43;;9;;4
21/06/2014;;1;9;69;22;;5;;3
22/06/2014;;1;6;76;22;;5;;5
23/06/2014;;2;11;69;21;;7;;5
24/06/2014;;2;16;48;15;;5;;2
25/06/2014;;4;24;56;28;;11;;8
26/06/2014;;3;20;56;19;;5;;8
27/06/2014;;2;12;57;22;;9;;2
28/06/2014;;2;13;42;14;;2;;5
29/06/2014;;1;6;55;13;;2;;2
30/06/2014;;2;10;52;17;;4;;4
01/07/2014;;2;11;48;13;;2;;4
02/07/2014;;1;6;56;12;;2;;2
03/07/2014;;1;9;58;14;;3;;3
04/07/2014;;3;13;49;19;;4;;4
05/07/2014;;5;14;26;12;;2;;13
06/07/2014;;1;6;37;8;;2;;2
07/07/2014;;2;10;59;16;;3;;4
08/07/2014;;2;10;55;16;;3;;3
09/07/2014;;1;5;61;16;;3;;1
10/07/2014;;2;7;56;16;;3;;2
11/07/2014;;2;9;53;19;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;3
12/07/2014;;2;6;56;18;;;;4
13/07/2014;;1;7;63;17;;;;5
14/07/2014;;2;10;66;26;;;;5
15/07/2014;;2;12;67;26;;;;4
16/07/2014;;2;16;87;34;;;;4
17/07/2014;;1;18;76;51;;;;5
