Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
01/01/2015;1:00:00;0;2.5;1;18;85;3.0;10.3;59
01/01/2015;2:00:00;0;1.1;4;19;65;2.5;9.5;55
01/01/2015;3:00:00;0;0.9;2;18;53;3.0;10.3;55
01/01/2015;4:00:00;0;1.3;1;17;57;3.3;9.9;56
01/01/2015;5:00:00;0;0.6;1;17;61;2.9;9.8;54
01/01/2015;6:00:00;0;0.5;0;16;63;3.0;10.4;56
01/01/2015;7:00:00;0;0.6;0;16;67;3.2;10.6;55
01/01/2015;8:00:00;0;0.7;1;16;95;2.6;10.1;55
01/01/2015;9:00:00;0;3.4;1;16;93;2.1;9.7;56
01/01/2015;10:00:00;0;12.2;3;15;61;2.2;10.7;56
01/01/2015;11:00:00;0;13.2;3;15;56;2.0;11.5;55
01/01/2015;12:00:00;0;12.9;4;15;108;1.6;11.9;57
01/01/2015;13:00:00;0;10.5;5;17;95;1.1;11.9;58
01/01/2015;14:00:00;0;11.4;6;18;235;1.2;11.4;55
01/01/2015;15:00:00;0;13.5;3;18;299;1.4;11.3;55
01/01/2015;16:00:00;0;11.5;2;18;291;1.8;11.7;63
01/01/2015;17:00:00;0;11.9;5;17;311;1.8;11.0;67
01/01/2015;18:00:00;0;11.3;3;17;316;0.9;9.7;58
01/01/2015;19:00:00;0;11.4;6;18;318;0.3;7.9;46
01/01/2015;20:00:00;0;12.4;4;19;318;0.3;7.0;45
01/01/2015;21:00:00;0;11.0;7;19;318;0.2;6.8;46
01/01/2015;22:00:00;0;12.5;2;19;318;0.2;6.8;49
01/01/2015;23:00:00;0;12.0;1;18;318;0.3;7.1;52
01/01/2015;0:00:00;0;10.4;3;17;318;0.3;7.0;52
02/01/2015;1:00:00;0;11.8;1;18;318;0.8;7.8;57
02/01/2015;2:00:00;0;11.5;2;19;318;0.4;7.6;52
02/01/2015;3:00:00;0;11.4;2;19;318;0.1;6.9;47
02/01/2015;4:00:00;0;8.8;3;19;318;0.3;7.2;45
02/01/2015;5:00:00;0;11.1;2;19;318;0.5;7.7;48
02/01/2015;6:00:00;0;11.8;2;18;318;0.1;7.6;44
02/01/2015;7:00:00;0;11.8;6;17;318;0.0;7.5;36
02/01/2015;8:00:00;0;11.3;14;17;318;0.0;6.7;25
02/01/2015;9:00:00;0;12.9;13;18;318;0.0;6.7;18
02/01/2015;10:00:00;0;2.0;24;17;318;0.5;9.0;25
02/01/2015;11:00:00;0;2.4;19;13;318;0.9;11.8;39
02/01/2015;12:00:00;0;2.1;14;12;306;1.7;13.4;53
02/01/2015;13:00:00;0;1.0;14;11;302;2.0;14.4;61
02/01/2015;14:00:00;0;2.6;11;11;307;1.7;15.0;67
02/01/2015;15:00:00;0;1.2;14;11;303;2.1;15.2;71
02/01/2015;16:00:00;0;0.8;15;11;304;2.0;14.8;72
02/01/2015;17:00:00;0;1.4;15;12;293;1.5;14.0;69
02/01/2015;18:00:00;0;1.0;15;13;269;0.5;12.2;56
