Fecha;NO;NO2;PM10;PM25
18/06/2015;4;23;Sense dades;15
19/06/2015;4;31;26;Sense dades
20/06/2015;3;25;Sense dades;17
21/06/2015;8;34;Sense dades;Sense dades
22/06/2015;4;26;27;16
23/06/2015;6;37;88;Sense dades
24/06/2015;2;17;Sense dades;36
25/06/2015;4;31;29;Sense dades
26/06/2015;5;29;30;17
27/06/2015;3;24;Sense dades;Sense dades
28/06/2015;3;27;Sense dades;16
29/06/2015;10;42;29;Sense dades
30/06/2015;4;33;31;15
01/07/2015;12;50;25;Sense dades
02/07/2015;2;27;29;13
03/07/2015;8;52;Sense dades;Sense dades
04/07/2015;4;49;Sense dades;19
05/07/2015;3;36;Sense dades;Sense dades
06/07/2015;7;49;40;21
07/07/2015;12;43;37;Sense dades
08/07/2015;3;29;38;16
09/07/2015;4;23;39;Sense dades
10/07/2015;7;35;Sense dades;17
11/07/2015;3;19;Sense dades;Sense dades
12/07/2015;3;16;Sense dades;17
13/07/2015;4;25;38;Sense dades
14/07/2015;10;37;38;19
15/07/2015;10;37;38;Sense dades
16/07/2015;12;45;34;21
17/07/2015;7;38;Sense dades;Sense dades
18/07/2015;3;25;Sense dades;21
19/07/2015;3;22;Sense dades;Sense dades
20/07/2015;4;24;33;19
21/07/2015;6;28;28;Sense dades
22/07/2015;4;27;31;15
23/07/2015;4;24;31;Sense dades
24/07/2015;3;19;Sense dades;15
25/07/2015;3;19;Sense dades;Sense dades
26/07/2015;3;16;Sense dades;12
27/07/2015;5;24;28;Sense dades
28/07/2015;4;25;Sense dades;11
29/07/2015;5;25;Sense dades;Sense dades
30/07/2015;3;21;Sense dades;10
31/07/2015;3;31;30;Sense dades
01/08/2015;2;19;Sense dades;Sense dades
02/08/2015;2;22;Sense dades;Sense dades
03/08/2015;4;28;Sense dades;Sense dades
04/08/2015;3;35;Sense dades;Sense dades
05/08/2015;4;34;Sense dades;Sense dades
06/08/2015;7;32;Sense dades;Sense dades
07/08/2015;6;31;Sense dades;Sense dades
08/08/2015;2;25;Sense dades;Sense dades
09/08/2015;2;16;Sense dades;Sense dades
10/08/2015;3;20;Sense dades;Sense dades
11/08/2015;3;19;Sense dades;Sense dades
12/08/2015;2;20;Sense dades;Sense dades
13/08/2015;2;27;Sense dades;Sense dades
14/08/2015;3;20;Sense dades;Sense dades
15/08/2015;2;19;Sense dades;Sense dades
16/08/2015;4;28;Sense dades;Sense dades
17/08/2015;2;19;Sense dades;Sense dades
18/08/2015;4;31;Sense dades;Sense dades
19/08/2015;6;32;Sense dades;Sense dades
20/08/2015;5;29;Sense dades;Sense dades
21/08/2015;3;21;Sense dades;Sense dades
22/08/2015;2;19;Sense dades;Sense dades
23/08/2015;2;17;Sense dades;Sense dades
24/08/2015;3;20;Sense dades;Sense dades
25/08/2015;3;21;Sense dades;Sense dades
26/08/2015;3;18;Sense dades;Sense dades
27/08/2015;5;25;Sense dades;Sense dades
28/08/2015;3;30;Sense dades;Sense dades
29/08/2015;3;20;Sense dades;Sense dades
30/08/2015;4;29;Sense dades;Sense dades
31/08/2015;4;28;Sense dades;Sense dades
01/09/2015;5;26;Sense dades;Sense dades
02/09/2015;3;26;Sense dades;Sense dades
03/09/2015;2;17;Sense dades;Sense dades
04/09/2015;3;38;Sense dades;Sense dades
05/09/2015;2;21;Sense dades;Sense dades
06/09/2015;2;20;Sense dades;Sense dades
07/09/2015;8;35;Sense dades;Sense dades
08/09/2015;3;33;Sense dades;Sense dades
09/09/2015;13;46;Sense dades;Sense dades
10/09/2015;9;54;Sense dades;Sense dades
11/09/2015;3;44;Sense dades;Sense dades
12/09/2015;2;30;Sense dades;Sense dades
13/09/2015;Sense dades;Sense dades;Sense dades;Sense dades
14/09/2015;Sense dades;Sense dades;Sense dades;Sense dades
15/09/2015;4;34;Sense dades;Sense dades
16/09/2015;9;33;Sense dades;Sense dades
17/09/2015;3;19;Sense dades;Sense dades
18/09/2015;4;28;Sense dades;Sense dades
19/09/2015;4;26;Sense dades;Sense dades
20/09/2015;2;18;Sense dades;Sense dades
21/09/2015;12;49;Sense dades;Sense dades
22/09/2015;15;43;Sense dades;Sense dades
23/09/2015;4;21;Sense dades;Sense dades
24/09/2015;5;29;Sense dades;Sense dades
25/09/2015;22;50;Sense dades;Sense dades
26/09/2015;4;38;Sense dades;Sense dades
27/09/2015;4;38;Sense dades;Sense dades
28/09/2015;11;44;Sense dades;Sense dades
29/09/2015;3;31;Sense dades;Sense dades
30/09/2015;4;35;Sense dades;Sense dades
01/10/2015;10;45;Sense dades;Sense dades
02/10/2015;16;46;Sense dades;Sense dades
03/10/2015;16;49;Sense dades;Sense dades
04/10/2015;6;34;Sense dades;Sense dades
05/10/2015;27;56;Sense dades;Sense dades
06/10/2015;20;41;Sense dades;Sense dades
07/10/2015;8;32;Sense dades;Sense dades
08/10/2015;6;35;Sense dades;Sense dades
09/10/2015;13;51;Sense dades;Sense dades
10/10/2015;8;37;Sense dades;Sense dades
11/10/2015;7;38;Sense dades;Sense dades
12/10/2015;3;31;Sense dades;Sense dades
13/10/2015;7;44;Sense dades;Sense dades
14/10/2015;7;37;Sense dades;Sense dades
15/10/2015;4;30;Sense dades;Sense dades
16/10/2015;7;35;Sense dades;Sense dades
17/10/2015;25;36;Sense dades;Sense dades
18/10/2015;70;44;Sense dades;Sense dades
19/10/2015;8;35;Sense dades;Sense dades
20/10/2015;4;37;Sense dades;Sense dades
21/10/2015;4;30;Sense dades;Sense dades
22/10/2015;14;39;Sense dades;Sense dades
23/10/2015;14;42;Sense dades;Sense dades
24/10/2015;22;51;Sense dades;Sense dades
25/10/2015;5;32;Sense dades;Sense dades
26/10/2015;5;41;Sense dades;Sense dades
27/10/2015;19;46;Sense dades;Sense dades
28/10/2015;16;40;Sense dades;Sense dades
29/10/2015;28;53;Sense dades;Sense dades
30/10/2015;29;58;Sense dades;Sense dades
31/10/2015;11;35;Sense dades;Sense dades
01/11/2015;2;18;Sense dades;Sense dades
02/11/2015;1;19;Sense dades;Sense dades
03/11/2015;20;40;Sense dades;Sense dades
04/11/2015;13;45;Sense dades;Sense dades
05/11/2015;49;67;Sense dades;Sense dades
06/11/2015;49;63;Sense dades;Sense dades
07/11/2015;121;68;Sense dades;Sense dades
