Fecha;SO2;NO;NO2;O3;CO;PM10
01/01/2015;1;6;28;41;0.3;24
02/01/2015;9;24;45;28;0.4;27
03/01/2015;2;18;41;30;0.3;25
04/01/2015;1;9;35;36;0.3;21
05/01/2015;7;32;41;27;0.4;22
06/01/2015;2;8;30;34;0.2;17
07/01/2015;4;32;51;22;0.4;24
08/01/2015;3;14;40;19;0.2;23
09/01/2015;2;13;37;23;0.2;19
10/01/2015;4;34;44;22;0.3;25
11/01/2015;1;7;29;27;0.3;21
12/01/2015;6;8;37;27;0.2;18
13/01/2015;3;5;35;40;0.3;23
14/01/2015;3;18;34;43;0.3;24
15/01/2015;4;9;37;42;0.2;21
16/01/2015;2;11;39;28;0.2;25
17/01/2015;6;6;23;45;0.2;14
18/01/2015;2;2;17;54;0.2;13
19/01/2015;4;10;32;36;0.3;10
20/01/2015;2;11;31;26;0.4;15
21/01/2015;4;10;30;20;0.2;18
22/01/2015;4;11;31;41;0.3;17
23/01/2015;1;5;27;38;0.3;16
24/01/2015;2;2;18;56;0.2;13
25/01/2015;1;4;25;68;0.3;20
26/01/2015;2;16;44;30;0.3;27
27/01/2015;2;10;35;32;0.2;25
28/01/2015;2;12;36;32;0.3;23
29/01/2015;4;4;25;41;0.3;18
30/01/2015;5;6;26;51;0.2;15
31/01/2015;3;5;20;52;0.2;9
01/02/2015;5;1;8;67;0.2;7
02/02/2015;2;8;31;45;0.3;11
03/02/2015;1;7;26;36;0.3;10
04/02/2015;1;4;24;51;0.2;9
05/02/2015;3;11;35;37;0.3;15
06/02/2015;3;6;29;42;0.3;17
07/02/2015;1;6;28;37;0.3;19
08/02/2015;1;3;19;44;0.4;19
09/02/2015;2;14;39;41;0.3;25
10/02/2015;11;13;41;42;0.3;28
11/02/2015;2;16;53;41;0.5;23
12/02/2015;2;28;58;33;0.3;33
13/02/2015;3;19;54;32;0.3;39
14/02/2015;2;3;29;43;0.3;21
15/02/2015;2;4;21;49;0.2;13
16/02/2015;2;9;40;39;0.3;23
17/02/2015;2;3;22;57;0.2;12
18/02/2015;4;11;30;54;0.2;21
19/02/2015;3;6;27;66;0.3;23
20/02/2015;2;4;35;62;0.4;30
21/02/2015;2;3;26;63;0.5;19
22/02/2015;4;2;16;72;0.2;11
23/02/2015;7;8;30;45;0.3;18
24/02/2015;2;3;18;59;0.2;7
25/02/2015;2;6;25;63;0.2;17
26/02/2015;3;17;44;32;0.3;20
27/02/2015;2;13;37;40;0.3;17
28/02/2015;1;6;30;56;0.3;17
01/03/2015;4;6;35;45;0.3;24
02/03/2015;2;8;32;32;0.3;23
03/03/2015;3;3;25;53;0.2;14
04/03/2015;3;9;35;39;0.2;14
05/03/2015;1;5;19;72;0.3;14
06/03/2015;1;13;35;54;0.2;24
07/03/2015;3;7;33;50;0.3;23
08/03/2015;1;3;32;67;0.3;21
09/03/2015;2;8;42;63;0.3;27
10/03/2015;3;9;38;71;0.2;26
11/03/2015;4;26;66;45;0.5;40
12/03/2015;5;13;34;67;0.7;30
13/03/2015;2;3;23;91;0.6;26
14/03/2015;1;2;15;71;0.6;8
15/03/2015;1;2;17;64;0.7;8
16/03/2015;2;3;21;64;0.6;9
17/03/2015;4;3;16;69;0.8;9
18/03/2015;3;1;10;85;0.6;15
19/03/2015;Sense dades;1;11;93;Sense dades;21
20/03/2015;Sense dades;1;8;97;Sense dades;22
21/03/2015;Sense dades;1;7;88;Sense dades;45
22/03/2015;Sense dades;1;6;83;Sense dades;10
23/03/2015;Sense dades;1;10;88;Sense dades;27
24/03/2015;3;2;12;82;0.2;13
25/03/2015;4;5;27;50;0.2;11
26/03/2015;4;4;20;64;0.2;14
27/03/2015;4;11;35;43;0.2;19
28/03/2015;4;4;32;44;0.2;19
29/03/2015;2;2;20;53;0.2;16
30/03/2015;3;8;35;39;0.2;23
31/03/2015;3;3;19;69;0.2;15
01/04/2015;1;2;17;67;0.2;19
02/04/2015;3;2;19;67;0.2;25
03/04/2015;6;2;17;74;0.2;22
04/04/2015;2;1;13;66;0.2;21
05/04/2015;3;1;12;73;0.2;18
06/04/2015;3;1;11;81;0.2;21
07/04/2015;2;2;16;82;0.2;18
08/04/2015;1;3;22;89;0.2;17
09/04/2015;2;4;27;87;0.2;16
10/04/2015;2;8;27;89;0.2;18
11/04/2015;1;1;12;97;0.2;21
12/04/2015;3;1;20;92;0.2;19
13/04/2015;3;9;37;73;0.2;22
14/04/2015;3;12;48;59;0.4;27
