Fecha;Hora;SO2;NO;NO2;dd;vv;TMP;O3
01/01/2015;1:00:00;7;5.4;21;53;1.0;9.5;35
01/01/2015;2:00:00;9;3.3;22;52;1.6;9.4;38
01/01/2015;3:00:00;10;1.3;9;48;1.6;9.4;52
01/01/2015;4:00:00;12;1.0;9;50;1.3;9.3;55
01/01/2015;5:00:00;14;0.9;6;48;1.0;9.2;55
01/01/2015;6:00:00;9;1.0;7;53;1.0;9.0;54
01/01/2015;7:00:00;10;3.6;11;49;1.2;8.6;48
01/01/2015;8:00:00;12;1.6;6;54;1.6;9.0;55
01/01/2015;9:00:00;10;2.5;8;52;1.6;9.1;51
01/01/2015;10:00:00;10;5.1;11;52;1.4;9.7;50
01/01/2015;11:00:00;9;5.8;13;48;1.4;11.9;50
01/01/2015;12:00:00;8;1.0;2;66;1.2;13.0;69
01/01/2015;13:00:00;8;1.0;2;64;1.9;13.5;71
01/01/2015;14:00:00;8;1.2;2;67;2.4;13.9;74
01/01/2015;15:00:00;11;1.0;3;96;6.6;18.5;75
01/01/2015;16:00:00;8;1.2;2;63;1.4;13.8;76
01/01/2015;17:00:00;7;1.2;3;63;1.7;13.3;74
01/01/2015;18:00:00;6;0.9;5;115;4.1;12.3;68
01/01/2015;19:00:00;8;1.0;7;148;5.3;11.2;65
01/01/2015;20:00:00;4;1.2;8;49;4.4;9.4;54
01/01/2015;21:00:00;3;1.1;6;64;5.2;9.4;60
01/01/2015;22:00:00;6;2.0;16;239;5.5;9.8;47
01/01/2015;23:00:00;6;2.0;8;256;5.0;10.4;56
01/01/2015;0:00:00;5;1.6;5;174;5.7;9.1;57
02/01/2015;1:00:00;5;1.3;3;225;5.7;9.6;66
02/01/2015;2:00:00;6;1.2;2;205;0.3;9.3;65
02/01/2015;3:00:00;7;1.0;2;283;2.8;9.5;65
02/01/2015;4:00:00;7;1.5;2;177;2.1;9.9;65
02/01/2015;5:00:00;6;1.4;1;124;0.0;9.7;70
02/01/2015;6:00:00;5;1.3;2;166;0.0;9.2;68
02/01/2015;7:00:00;6;1.5;1;57;0.6;9.5;68
02/01/2015;8:00:00;4;1.4;3;57;2.4;9.6;64
02/01/2015;9:00:00;3;1.9;8;55;2.4;9.0;52
02/01/2015;10:00:00;1;6.9;7;74;0.5;9.8;51
02/01/2015;11:00:00;2;8.6;14;166;1.4;13.8;40
02/01/2015;12:00:00;6;2.8;5;182;2.6;15.7;55
02/01/2015;13:00:00;6;2.8;3;197;3.7;15.9;61
02/01/2015;14:00:00;7;2.3;3;204;3.5;16.5;65
02/01/2015;15:00:00;3;1.5;1;212;2.7;16.2;71
02/01/2015;16:00:00;4;1.3;1;206;3.1;16.6;71
02/01/2015;17:00:00;6;1.4;1;217;1.8;14.9;73
02/01/2015;18:00:00;2;1.2;9;156;5.4;13.9;59
02/01/2015;19:00:00;2;4.9;28;201;6.1;12.2;31
02/01/2015;20:00:00;1;3.7;24;148;6.2;10.8;33
02/01/2015;21:00:00;0;1.0;8;245;6.3;11.1;59
02/01/2015;22:00:00;0;1.7;19;248;5.0;11.0;48
02/01/2015;23:00:00;2;0.3;11;246;5.9;10.5;53
02/01/2015;0:00:00;1;0.3;4;241;5.9;10.9;63
03/01/2015;1:00:00;2;0.3;4;241;5.6;10.2;66
03/01/2015;2:00:00;2;0.3;5;273;5.7;10.6;67
03/01/2015;3:00:00;2;0.3;4;234;3.4;11.5;71
03/01/2015;4:00:00;3;0.3;4;242;1.7;11.7;63
03/01/2015;5:00:00;2;0.3;3;234;1.0;11.9;62
03/01/2015;6:00:00;3;0.3;2;218;0.9;11.7;59
03/01/2015;7:00:00;4;0.3;3;226;0.8;11.7;60
03/01/2015;8:00:00;3;0.3;5;234;0.7;11.8;55
03/01/2015;9:00:00;1;0.3;7;225;0.7;12.1;48
03/01/2015;10:00:00;1;0.3;5;221;1.0;13.0;57
03/01/2015;11:00:00;1;0.3;4;222;1.3;14.5;62
03/01/2015;12:00:00;1;0.3;4;226;1.3;15.3;65
03/01/2015;13:00:00;0;0.3;3;223;1.7;15.5;70
03/01/2015;14:00:00;1;0.3;4;226;2.0;15.6;74
03/01/2015;15:00:00;0;0.3;4;223;1.8;15.7;75
03/01/2015;16:00:00;2;0.3;3;226;1.6;15.7;81
03/01/2015;17:00:00;1;0.3;4;222;1.6;15.3;77
03/01/2015;18:00:00;1;0.3;4;220;1.2;14.6;75
03/01/2015;19:00:00;0;0.3;4;220;0.9;13.8;75
03/01/2015;20:00:00;2;0.3;4;220;1.1;13.7;79
03/01/2015;21:00:00;2;0.5;4;220;1.1;13.6;80
03/01/2015;22:00:00;1;1.6;7;224;1.0;13.6;80
03/01/2015;23:00:00;4;1.5;6;221;1.1;13.7;78
03/01/2015;0:00:00;5;1.5;9;222;1.0;13.5;67
04/01/2015;1:00:00;3;1.6;9;237;0.9;13.6;64
04/01/2015;2:00:00;5;1.1;9;230;0.7;13.4;62
04/01/2015;3:00:00;5;1.4;9;237;0.4;13.0;58
04/01/2015;4:00:00;5;1.5;17;114;0.6;12.7;46
04/01/2015;5:00:00;6;1.9;13;62;0.2;12.6;48
04/01/2015;6:00:00;4;1.5;10;55;0.1;12.4;48
04/01/2015;7:00:00;7;2.2;15;56;0.7;12.7;40
04/01/2015;8:00:00;8;3.4;14;66;1.4;12.9;39
04/01/2015;9:00:00;6;4.2;16;50;1.7;12.4;36
04/01/2015;10:00:00;5;4.1;13;51;1.9;13.1;42
04/01/2015;11:00:00;2;4.7;17;45;2.7;15.6;43
04/01/2015;12:00:00;4;3.6;13;62;2.8;16.9;47
04/01/2015;13:00:00;3;2.9;10;70;2.0;17.3;57
04/01/2015;14:00:00;2;2.4;6;61;1.1;17.1;65
04/01/2015;15:00:00;3;1.5;5;80;3.0;18.1;68
04/01/2015;16:00:00;4;1.5;5;194;4.0;18.7;72
04/01/2015;17:00:00;7;1.8;7;217;2.7;17.6;71
04/01/2015;18:00:00;3;1.5;15;236;5.9;16.2;59
04/01/2015;19:00:00;4;1.8;25;123;1.8;14.8;48
04/01/2015;20:00:00;2;2.8;18;50;3.6;13.5;51
04/01/2015;21:00:00;3;5.5;20;44;1.0;12.6;42
04/01/2015;22:00:00;1;4.1;17;44;0.9;12.9;47
04/01/2015;23:00:00;3;0.4;8;53;1.4;13.4;56
04/01/2015;0:00:00;3;1.0;10;50;1.0;12.8;54
05/01/2015;1:00:00;2;3.3;17;47;1.1;11.7;42
05/01/2015;2:00:00;4;1.2;6;52;1.1;11.1;50
05/01/2015;3:00:00;2;3.5;15;51;1.1;11.1;40
05/01/2015;4:00:00;5;5.6;17;49;1.2;11.1;35
05/01/2015;5:00:00;5;3.3;16;53;0.9;11.1;35
05/01/2015;6:00:00;4;2.2;19;56;0.8;11.8;37
05/01/2015;7:00:00;2;17.7;34;52;0.8;11.9;25
05/01/2015;8:00:00;1;5.4;27;52;0.6;12.0;34
05/01/2015;9:00:00;3;3.4;22;59;0.7;12.4;38
05/01/2015;10:00:00;3;4.6;26;53;0.7;12.6;30
05/01/2015;11:00:00;8;7.7;3;169;0.8;15.0;63
05/01/2015;12:00:00;12;0.6;3;228;0.7;15.6;69
05/01/2015;13:00:00;1;1.0;7;178;0.8;16.4;64
05/01/2015;14:00:00;0;0.9;6;171;0.9;17.5;67
05/01/2015;15:00:00;0;0.3;1;156;0.5;17.6;74
05/01/2015;16:00:00;0;0.3;2;184;1.2;17.3;74
05/01/2015;17:00:00;1;0.3;2;187;3.1;16.0;75
05/01/2015;18:00:00;0;0.3;2;190;3.0;14.7;74
05/01/2015;19:00:00;0;0.4;2;186;2.0;14.3;78
05/01/2015;20:00:00;1;0.3;3;192;1.7;14.1;79
05/01/2015;21:00:00;0;0.4;1;183;1.7;14.0;80
05/01/2015;22:00:00;0;0.3;2;191;1.4;13.7;79
05/01/2015;23:00:00;0;0.2;1;194;1.6;13.5;80
05/01/2015;0:00:00;0;0.3;1;192;1.4;13.5;87
06/01/2015;1:00:00;1;0.2;1;211;1.4;13.5;86
06/01/2015;2:00:00;0;0.2;1;208;1.5;13.6;85
06/01/2015;3:00:00;0;0.3;1;217;1.8;13.6;82
06/01/2015;4:00:00;0;0.3;1;217;1.9;13.6;80
06/01/2015;5:00:00;0;0.3;1;220;1.9;13.5;82
06/01/2015;6:00:00;0;0.3;1;220;1.7;13.4;81
06/01/2015;7:00:00;0;0.3;1;218;1.5;13.5;82
06/01/2015;8:00:00;0;0.3;1;217;2.2;13.5;80
06/01/2015;9:00:00;0;0.9;4;221;1.2;13.3;73
06/01/2015;10:00:00;0;0.3;3;227;0.3;13.5;67
06/01/2015;11:00:00;0;0.3;2;217;1.3;14.4;74
06/01/2015;12:00:00;0;0.3;1;214;1.6;15.1;79
06/01/2015;13:00:00;0;0.3;1;216;1.4;15.0;79
06/01/2015;14:00:00;0;0.3;2;214;4.8;23.3;78
06/01/2015;15:00:00;0;0.3;2;218;1.2;14.8;79
06/01/2015;16:00:00;0;0.3;1;223;1.3;14.5;81
06/01/2015;17:00:00;0;0.3;1;220;1.3;14.2;82
06/01/2015;18:00:00;0;0.3;1;221;1.1;14.0;83
06/01/2015;19:00:00;0;0.3;1;216;0.6;13.8;82
06/01/2015;20:00:00;1;0.3;2;209;1.1;13.7;80
06/01/2015;21:00:00;0;1.8;25;82;1.1;13.0;33
06/01/2015;22:00:00;1;10.0;33;75;0.9;12.2;23
06/01/2015;23:00:00;1;0.4;6;47;0.9;11.5;49
06/01/2015;0:00:00;0;0.3;6;49;0.4;10.9;49
07/01/2015;1:00:00;0;0.6;10;58;0.3;11.0;46
07/01/2015;2:00:00;1;1.5;11;55;0.3;10.9;41
07/01/2015;3:00:00;1;0.5;7;59;0.6;11.0;49
07/01/2015;4:00:00;1;0.3;2;60;1.3;11.0;58
07/01/2015;5:00:00;1;1.9;10;50;1.2;10.8;52
07/01/2015;6:00:00;0;0.3;2;51;1.5;10.5;60
07/01/2015;7:00:00;2;0.3;3;44;1.3;11.0;63
07/01/2015;8:00:00;0;0.4;16;51;1.2;11.1;46
07/01/2015;9:00:00;0;0.5;22;45;1.6;11.6;36
07/01/2015;10:00:00;0;12.1;40;46;1.5;11.8;17
07/01/2015;11:00:00;0;22.6;42;46;1.3;12.3;13
07/01/2015;12:00:00;0;4.2;18;59;1.5;12.7;29
07/01/2015;13:00:00;0;1.2;10;67;1.6;13.4;40
07/01/2015;14:00:00;1;0.4;6;65;1.2;14.2;52
07/01/2015;15:00:00;0;0.6;7;63;2.0;14.5;55
07/01/2015;16:00:00;0;0.3;4;61;4.1;14.6;61
07/01/2015;17:00:00;1;0.3;2;68;3.3;14.1;62
07/01/2015;18:00:00;0;0.3;10;59;4.2;13.1;51
07/01/2015;19:00:00;0;2.6;33;49;2.1;12.2;27
07/01/2015;20:00:00;2;1.4;33;54;2.1;11.7;25
07/01/2015;21:00:00;6;2.4;18;44;2.2;11.0;34
07/01/2015;22:00:00;6;5.0;18;49;2.0;10.1;31
07/01/2015;23:00:00;4;0.8;8;46;1.5;10.2;43
