Fecha;SO2;NO;NO2;PM10
10/07/2015;5;4;19;24
11/07/2015;4;2;12;Sense dades
12/07/2015;5;3;15;Sense dades
13/07/2015;5;2;15;27
14/07/2015;5;2;12;21
15/07/2015;5;2;13;21
16/07/2015;3;2;16;20
17/07/2015;1;2;18;Sense dades
18/07/2015;2;2;15;Sense dades
19/07/2015;3;2;15;Sense dades
20/07/2015;4;2;13;20
21/07/2015;5;4;15;16
22/07/2015;2;1;12;Sense dades
23/07/2015;1;2;10;18
24/07/2015;2;2;10;18
25/07/2015;3;1;9;Sense dades
26/07/2015;4;2;11;Sense dades
27/07/2015;2;2;10;21
28/07/2015;1;3;14;Sense dades
29/07/2015;1;3;13;16
30/07/2015;1;1;10;16
31/07/2015;1;2;21;15
01/08/2015;1;3;18;Sense dades
02/08/2015;1;3;18;Sense dades
03/08/2015;1;3;17;Sense dades
04/08/2015;1;4;19;Sense dades
05/08/2015;1;6;22;Sense dades
06/08/2015;1;3;19;Sense dades
07/08/2015;1;6;23;Sense dades
08/08/2015;1;3;20;Sense dades
09/08/2015;1;1;9;Sense dades
10/08/2015;1;5;25;Sense dades
11/08/2015;1;5;21;Sense dades
12/08/2015;1;10;20;Sense dades
13/08/2015;1;5;17;Sense dades
14/08/2015;1;1;9;Sense dades
15/08/2015;1;2;11;Sense dades
16/08/2015;1;2;14;Sense dades
17/08/2015;1;2;15;Sense dades
18/08/2015;1;3;21;Sense dades
19/08/2015;1;4;18;Sense dades
20/08/2015;1;4;16;Sense dades
21/08/2015;2;2;14;Sense dades
22/08/2015;2;2;12;Sense dades
23/08/2015;3;2;16;Sense dades
24/08/2015;3;1;12;Sense dades
25/08/2015;3;5;19;Sense dades
26/08/2015;3;6;17;Sense dades
27/08/2015;3;3;17;Sense dades
28/08/2015;3;3;20;Sense dades
29/08/2015;4;2;13;Sense dades
30/08/2015;4;2;11;Sense dades
31/08/2015;4;5;24;Sense dades
01/09/2015;4;2;18;Sense dades
02/09/2015;4;4;20;Sense dades
03/09/2015;4;2;18;Sense dades
04/09/2015;4;10;33;Sense dades
05/09/2015;3;2;15;Sense dades
06/09/2015;4;3;20;Sense dades
07/09/2015;4;4;22;Sense dades
08/09/2015;4;4;26;Sense dades
09/09/2015;5;5;24;Sense dades
10/09/2015;6;5;29;Sense dades
11/09/2015;5;2;17;Sense dades
12/09/2015;6;2;20;Sense dades
13/09/2015;7;2;20;Sense dades
14/09/2015;6;3;23;Sense dades
15/09/2015;8;4;25;Sense dades
16/09/2015;8;4;20;Sense dades
17/09/2015;6;1;12;Sense dades
18/09/2015;6;4;26;Sense dades
19/09/2015;5;3;14;Sense dades
20/09/2015;6;2;14;Sense dades
21/09/2015;7;5;27;Sense dades
22/09/2015;5;5;25;Sense dades
23/09/2015;3;1;9;Sense dades
24/09/2015;2;4;20;Sense dades
25/09/2015;2;7;36;Sense dades
26/09/2015;1;2;19;Sense dades
27/09/2015;1;2;22;Sense dades
28/09/2015;1;6;31;Sense dades
29/09/2015;1;6;33;Sense dades
30/09/2015;1;6;34;Sense dades
01/10/2015;2;8;29;Sense dades
02/10/2015;2;6;36;Sense dades
03/10/2015;4;4;27;Sense dades
04/10/2015;6;2;31;Sense dades
05/10/2015;5;22;41;Sense dades
06/10/2015;3;14;30;Sense dades
07/10/2015;2;5;23;Sense dades
08/10/2015;4;8;30;Sense dades
09/10/2015;3;10;29;Sense dades
10/10/2015;3;4;23;Sense dades
11/10/2015;4;3;26;Sense dades
12/10/2015;5;2;23;Sense dades
