Fecha;NO;NO2;O3;PM10;SO2
01/01/2014;2;3;52;18;23
02/01/2014;5;11;45;18;12
03/01/2014;4;10;49;21;16
04/01/2014;3;4;59;19;12
05/01/2014;4;10;41;18;14
06/01/2014;3;6;50;18;28
07/01/2014;4;8;44;18;32
08/01/2014;7;14;31;24;34
09/01/2014;11;15;24;30;12
10/01/2014;10;15;28;32;19
11/01/2014;6;10;29;29;17
12/01/2014;4;8;30;27;27
13/01/2014;7;10;44;19;16
14/01/2014;8;15;38;17;21
15/01/2014;5;10;40;18;23
16/01/2014;4;8;53;14;21
17/01/2014;6;17;42;20;53
18/01/2014;5;12;44;18;33
19/01/2014;3;5;52;14;10
20/01/2014;6;11;50;15;11
21/01/2014;6;13;40;20;12
22/01/2014;12;12;46;15;13
23/01/2014;5;11;52;20;16
24/01/2014;8;12;47;22;11
25/01/2014;6;6;47;15;7
26/01/2014;3;5;39;17;16
27/01/2014;5;7;57;13;7
28/01/2014;5;8;51;15;18
29/01/2014;5;7;54;18;10
30/01/2014;6;11;48;16;17
31/01/2014;7;16;38;19;19
01/02/2014;3;4;57;13;9
02/02/2014;4;7;46;21;27
03/02/2014;4;8;50;17;25
04/02/2014;5;9;50;23;29
05/02/2014;4;7;54;19;19
06/02/2014;3;6;49;14;29
07/02/2014;4;8;50;16;27
08/02/2014;3;4;56;15;15
09/02/2014;4;9;49;19;34
10/02/2014;5;7;57;15;8
11/02/2014;6;17;39;21;39
12/02/2014;7;15;40;19;16
13/02/2014;6;11;43;19;17
14/02/2014;5;6;42;17;24
15/02/2014;3;8;48;16;25
16/02/2014;3;6;42;18;19
17/02/2014;6;11;41;22;18
18/02/2014;5;9;46;18;8
19/02/2014;7;12;38;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;22
20/02/2014;8;9;33;24;15
21/02/2014;5;8;50;20;21
22/02/2014;3;6;42;18;7
23/02/2014;3;7;38;25;17
24/02/2014;8;15;36;21;29
25/02/2014;4;6;51;18;18
26/02/2014;6;7;51;19;7
27/02/2014;5;9;44;20;14
28/02/2014;4;5;54;17;7
01/03/2014;7;15;34;19;21
02/03/2014;3;6;33;17;14
03/03/2014;3;3;56;15;6
04/03/2014;4;7;49;16;10
05/03/2014;7;12;36;21;35
06/03/2014;4;8;40;21;15
07/03/2014;4;8;46;21;14
08/03/2014;2;7;47;24;16
09/03/2014;2;7;54;25;12
10/03/2014;6;11;59;24;13
11/03/2014;3;10;59;26;20
12/03/2014;4;10;54;29;16
13/03/2014;3;10;52;36;12
14/03/2014;2;12;54;39;15
15/03/2014;2;7;56;33;11
16/03/2014;2;7;50;25;21
17/03/2014;3;10;48;28;13
18/03/2014;2;7;50;40;11
19/03/2014;4;11;56;29;17
20/03/2014;3;9;64;31;10
21/03/2014;3;9;61;28;11
22/03/2014;2;3;75;16;9
23/03/2014;2;3;76;16;4
24/03/2014;4;7;65;18;4
25/03/2014;3;6;76;17;5
26/03/2014;4;7;77;16;7
27/03/2014;4;14;63;22;30
28/03/2014;5;15;67;25;31
29/03/2014;2;12;69;26;34
30/03/2014;2;8;72;24;27
31/03/2014;3;9;71;21;27
01/04/2014;2;12;72;20;33
02/04/2014;3;12;84;15;24
03/04/2014;5;7;82;15;5
04/04/2014;9;12;65;16;10
05/04/2014;3;6;63;17;9
06/04/2014;1;4;52;18;9
07/04/2014;15;12;52;21;20
08/04/2014;3;8;70;22;16
09/04/2014;4;7;74;23;8
10/04/2014;2;6;83;30;7
11/04/2014;5;8;83;19;5
12/04/2014;2;7;84;23;14
13/04/2014;1;5;81;26;13
14/04/2014;2;7;77;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;12
15/04/2014;3;7;87;9;5
16/04/2014;3;6;81;4;7
17/04/2014;2;6;79;5;7
18/04/2014;3;8;88;5;8
19/04/2014;2;8;87;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;10
