Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
19/10/2015;22:00:00;2;2;0.16;21;55;;;;;;;;
19/10/2015;21:00:00;2;2;0.16;24;52;;;;;;;;
19/10/2015;20:00:00;2;2;0.16;26;50;;;;;;;;
19/10/2015;19:00:00;2;3;0.16;31;48;;;;;;;;
19/10/2015;18:00:00;2;4;0.16;35;45;;;;;;;;
19/10/2015;17:00:00;2;5;0.16;27;41;;;;;;;;
19/10/2015;16:00:00;2;4;0.16;21;40;;;;;;;;
19/10/2015;15:00:00;2;6;0.15;16;33;;;;;;;;
19/10/2015;14:00:00;2;4;0.17;16;34;;;;;;;;
19/10/2015;13:00:00;2;5;0.16;26;35;;;;;;;;
19/10/2015;12:00:00;2;6;0.16;27;34;;;;;;;;
19/10/2015;11:00:00;2;6;0.16;29;32;;;;;;;;
19/10/2015;10:00:00;2;5;0.15;30;38;;;;;;;;
19/10/2015;9:00:00;2;5;0.16;31;37;;;;;;;;
19/10/2015;8:00:00;2;4;0.15;38;40;;;;;;;;
19/10/2015;7:00:00;2;4;0.15;31;39;;;;;;;;
19/10/2015;6:00:00;2;4;0.15;16;32;;;;;;;;
19/10/2015;5:00:00;2;1;0.15;26;47;;;;;;;;
19/10/2015;4:00:00;2;1;0.15;21;50;;;;;;;;
19/10/2015;3:00:00;2;1;0.15;25;41;;;;;;;;
19/10/2015;2:00:00;2;1;0.15;24;40;;;;;;;;
19/10/2015;1:00:00;2;1;0.15;18;42;;;;;;;;
19/10/2015;0:00:00;2;1;0.15;18;30;;;;;;;;
18/10/2015;23:00:00;2;6;0.15;21;41;;;;;;;;
18/10/2015;22:00:00;2;2;0.15;33;41;;;;;;;;
18/10/2015;21:00:00;2;3;0.15;36;37;;;;;;;;
18/10/2015;20:00:00;2;2;0.18;38;42;;;;;;;;
18/10/2015;19:00:00;2;3;0.15;35;44;;;;;;;;
18/10/2015;18:00:00;2;3;0.16;52;42;;;;;;;;
18/10/2015;17:00:00;2;3;0.16;39;45;;;;;;;;
18/10/2015;16:00:00;2;2;0.15;43;49;;;;;;;;
18/10/2015;15:00:00;2;2;0.15;40;52;;;;;;;;
18/10/2015;14:00:00;2;3;0.15;35;49;;;;;;;;
18/10/2015;13:00:00;2;4;0.16;34;46;;;;;;;;
18/10/2015;12:00:00;2;4;0.19;41;35;;;;;;;;
18/10/2015;11:00:00;5;11;0.31;47;23;;;;;;;;
18/10/2015;10:00:00;6;15;0.3;22;12;;;;;;;;
18/10/2015;9:00:00;4;10;0.32;21;13;;;;;;;;
18/10/2015;8:00:00;4;5;0.32;23;11;;;;;;;;
18/10/2015;7:00:00;4;3;0.24;20;18;;;;;;;;
18/10/2015;6:00:00;4;9;0.34;33;12;;;;;;;;
18/10/2015;5:00:00;4;7;0.17;25;18;;;;;;;;
18/10/2015;4:00:00;4;3;0.28;31;17;;;;;;;;
18/10/2015;3:00:00;4;2;0.61;52;14;;;;;;;;
18/10/2015;2:00:00;3;4;0.6;34;8;;;;;;;;
18/10/2015;1:00:00;3;4;0.89;40;8;;;;;;;;
18/10/2015;0:00:00;3;3;0.18;33;13;;;;;;;;
17/10/2015;23:00:00;4;4;0.16;37;21;;;;;;;;
17/10/2015;22:00:00;3;2;0.15;31;39;;;;;;;;
17/10/2015;21:00:00;3;2;0.15;34;39;;;;;;;;
17/10/2015;20:00:00;3;2;0.15;37;46;;;;;;;;
17/10/2015;19:00:00;3;3;0.15;31;51;;;;;;;;
17/10/2015;18:00:00;3;2;0.15;34;49;;;;;;;;
17/10/2015;17:00:00;4;3;0.15;28;50;;;;;;;;
17/10/2015;16:00:00;3;3;0.15;29;54;;;;;;;;
17/10/2015;15:00:00;4;3;0.15;30;54;;;;;;;;
17/10/2015;14:00:00;4;4;0.15;36;47;;;;;;;;
17/10/2015;13:00:00;4;6;0.16;32;40;;;;;;;;
17/10/2015;12:00:00;4;7;0.19;23;35;;;;;;;;
17/10/2015;11:00:00;4;14;0.28;31;21;;;;;;;;
17/10/2015;10:00:00;4;19;0.34;24;10;;;;;;;;
17/10/2015;9:00:00;4;28;0.44;21;6;;;;;;;;
17/10/2015;8:00:00;4;27;0.4;23;6;;;;;;;;
17/10/2015;7:00:00;4;16;0.38;26;4;;;;;;;;
17/10/2015;6:00:00;4;19;0.44;27;5;;;;;;;;
17/10/2015;5:00:00;4;9;0.28;27;5;;;;;;;;
17/10/2015;4:00:00;4;5;0.28;31;6;;;;;;;;
17/10/2015;3:00:00;4;3;0.31;26;8;;;;;;;;
17/10/2015;2:00:00;4;2;0.28;21;12;;;;;;;;
17/10/2015;1:00:00;3;2;0.28;19;16;;;;;;;;
17/10/2015;0:00:00;3;3;0.23;26;13;;;;;;;;
16/10/2015;23:00:00;4;3;0.33;31;15;;;;;;;;
16/10/2015;22:00:00;4;6;0.19;26;38;;;;;;;;
16/10/2015;21:00:00;4;6;0.18;23;43;;;;;;;;
16/10/2015;20:00:00;4;4;0.21;27;43;;;;;;;;
16/10/2015;19:00:00;4;6;0.27;23;47;;;;;;;;
16/10/2015;18:00:00;4;4;0.19;21;52;;;;;;;;
16/10/2015;17:00:00;4;5;0.17;21;57;;;;;;;;
16/10/2015;16:00:00;4;5;0.17;17;60;;;;;;;;
16/10/2015;15:00:00;4;5;0.17;25;56;;;;;;;;
16/10/2015;14:00:00;5;4;0.17;38;59;;;;;;;;
16/10/2015;13:00:00;5;5;0.17;27;56;;;;;;;;
16/10/2015;12:00:00;5;6;0.17;13;46;;;;;;;;
16/10/2015;11:00:00;10;44;0.31;37;14;;;;;;;;
16/10/2015;10:00:00;12;56;0.33;49;7;;;;;;;;
