Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
01/01/2015;0.4;4;13;48;;;3
02/01/2015;0.5;35;35;11;;;3
03/01/2015;0.5;23;27;17;;;3
04/01/2015;0.4;7;13;46;;;3
05/01/2015;0.5;22;24;15;;;3
06/01/2015;0.5;14;24;22;;;3
07/01/2015;0.5;22;28;15;;;3
08/01/2015;0.5;35;30;8;;;3
09/01/2015;0.5;39;35;10;;;3
10/01/2015;0.6;23;30;18;;;3
11/01/2015;0.5;9;17;44;;;3
12/01/2015;0.5;21;32;20;;;4
13/01/2015;0.6;18;32;9;;;3
14/01/2015;0.7;45;37;7;;;3
15/01/2015;0.6;13;34;13;;;4
16/01/2015;0.5;29;41;20;;;4
17/01/2015;0.5;11;23;43;;;3
18/01/2015;0.5;4;22;29;;;4
19/01/2015;0.5;16;19;48;;;3
20/01/2015;0.5;37;37;29;;;3
21/01/2015;0.5;30;37;28;;;3
22/01/2015;0.5;17;25;46;;;3
23/01/2015;0.5;12;13;63;;;3
24/01/2015;0.5;6;11;69;;;3
25/01/2015;0.5;5;7;77;;;3
26/01/2015;0.5;12;13;70;;;3
27/01/2015;0.5;13;14;64;;;3
28/01/2015;0.5;15;19;58;;;3
29/01/2015;0.6;26;31;33;;;4
30/01/2015;0.6;20;25;49;;;3
31/01/2015;0.6;8;15;65;;;3
01/02/2015;0.6;6;10;73;;;3
02/02/2015;0.7;10;27;43;;;3
03/02/2015;0.7;19;25;48;;;3
04/02/2015;0.6;12;13;69;;;3
05/02/2015;0.6;11;13;63;;;3
06/02/2015;0.6;14;16;49;;;3
07/02/2015;0.7;10;16;42;;;3
08/02/2015;0.7;5;11;56;;;3
09/02/2015;0.7;19;26;52;;;3
10/02/2015;0.8;28;37;26;;;6
11/02/2015;0.8;42;46;11;;;4
12/02/2015;0.8;30;33;17;;;4
13/02/2015;0.7;19;33;30;;;4
14/02/2015;0.7;17;33;27;;;3
15/02/2015;0.7;8;17;38;;;3
16/02/2015;0.7;17;26;53;;;3
17/02/2015;0.7;12;14;65;;;3
18/02/2015;0.7;19;24;52;;;3
19/02/2015;0.6;22;34;;;;4
20/02/2015;0.3;11;35;36;;;4
21/02/2015;0.2;9;15;57;;;3
22/02/2015;0.2;6;12;69;;;3
23/02/2015;0.2;24;29;38;;;3
24/02/2015;0.2;16;19;59;;;3
25/02/2015;0.2;13;16;62;;;3
26/02/2015;0.2;15;19;50;;;3
27/02/2015;0.1;12;15;69;;;3
28/02/2015;0.2;9;19;51;;;3
01/03/2015;0.4;11;22;24;;;3
02/03/2015;0.3;20;25;28;;;4
03/03/2015;0.2;27;33;27;;;4
04/03/2015;0.1;12;14;65;;;3
05/03/2015;0.1;10;13;72;;;3
06/03/2015;0.2;21;40;42;;;4
07/03/2015;0.4;13;28;33;;;4
08/03/2015;0.3;7;16;55;;;4
09/03/2015;0.3;22;43;47;;;4
10/03/2015;0.3;20;37;39;;;4
11/03/2015;0.3;31;39;40;;;4
12/03/2015;0.3;24;42;48;;;4
13/03/2015;0.3;12;16;65;;;3
14/03/2015;0.3;7;13;69;;;4
15/03/2015;0.8;6;14;62;;;5
16/03/2015;;16;37;31;;;4
17/03/2015;0.4;4;21;61;;;3
18/03/2015;0.4;27;36;30;;;3
19/03/2015;0.3;29;39;25;;No hay dato;3
20/03/2015;0.3;19;25;37;;No hay dato;3
21/03/2015;0.3;7;13;53;;;3
22/03/2015;0.2;6;12;55;;;3
23/03/2015;0.2;12;29;48;;No hay dato;3
24/03/2015;0.2;18;29;47;;;3
25/03/2015;0.1;10;14;76;;;3
26/03/2015;0.2;15;21;59;;;3
27/03/2015;0.2;12;17;60;;;3
28/03/2015;0.2;7;12;55;;;3
29/03/2015;0.2;7;15;55;;;3
30/03/2015;0.6;29;33;38;;;5
31/03/2015;0.4;22;26;45;;;4
01/04/2015;0.2;11;14;72;;;3
02/04/2015;0.1;9;16;63;;;3
03/04/2015;0.1;6;11;53;;;3
04/04/2015;0.1;5;8;72;;;3
05/04/2015;0.1;5;10;66;;;3
06/04/2015;0.2;8;17;58;;;4
07/04/2015;0.2;4;16;72;;;4
08/04/2015;0.2;4;18;78;;;4
09/04/2015;0.2;7;24;71;;;4
10/04/2015;0.2;5;22;64;;;4
11/04/2015;0.2;9;23;61;;;3
12/04/2015;0.2;4;13;69;;;3
13/04/2015;0.2;11;26;68;;;4
14/04/2015;0.1;4;17;73;;;4
15/04/2015;0.2;7;32;46;;;4
16/04/2015;0.1;14;30;35;;;4
17/04/2015;0.2;21;31;38;;;3
18/04/2015;0.1;5;16;51;;;4
19/04/2015;0.1;7;16;61;;;3
20/04/2015;0.2;18;34;46;;;3
21/04/2015;0.2;6;17;58;;;4
22/04/2015;0.2;5;24;60;;;4
23/04/2015;0.2;15;29;48;;;3
24/04/2015;0.1;17;27;48;;;4
25/04/2015;0.1;6;16;54;;;3
26/04/2015;0.1;7;17;42;;;3
27/04/2015;0.1;14;17;62;;;3
28/04/2015;0.1;15;23;61;;;3
29/04/2015;0.2;18;32;42;;;3
30/04/2015;0.3;14;26;47;;;3
01/05/2015;0.3;6;18;42;;;3
02/05/2015;0.3;5;13;27;;;3
03/05/2015;0.3;10;22;20;;;3
04/05/2015;0.2;5;16;50;;;3
05/05/2015;0.2;16;32;56;;;3
06/05/2015;0.2;19;32;49;;;3
07/05/2015;0.2;6;16;67;;;4
08/05/2015;0.2;13;27;57;;;4
09/05/2015;0.2;8;18;61;;;3
10/05/2015;0.2;3;12;68;;;4
11/05/2015;0.2;4;18;79;;;4
12/05/2015;0.2;4;19;83;;;4
13/05/2015;0.2;5;24;73;;;5
14/05/2015;0.2;16;25;59;;;4
15/05/2015;0.2;11;14;75;;;3
16/05/2015;0.2;5;8;79;;;3
17/05/2015;0.1;5;9;64;;;3
18/05/2015;0.1;15;26;59;;;4
19/05/2015;0.1;13;14;66;;;3
20/05/2015;0.1;12;15;71;;;3
21/05/2015;0.2;11;14;73;;;3
22/05/2015;0.3;11;15;77;;;3
23/05/2015;0.2;5;9;81;;;3
24/05/2015;0.3;6;9;64;;;3
25/05/2015;0.4;11;12;63;;;3
26/05/2015;0.5;11;11;76;;;3
27/05/2015;0.5;13;21;78;;;3
28/05/2015;0.4;15;31;71;;;4
29/05/2015;0.4;15;24;63;;;4
30/05/2015;0.4;7;15;68;;;4
31/05/2015;0.4;6;14;61;;;4
01/06/2015;0.4;10;15;68;;;4
02/06/2015;0.4;11;21;66;;;4
03/06/2015;0.4;5;20;80;;;5
04/06/2015;0.3;4;18;81;;;5
