Fecha;SO2;NO;NO2;PM10
15/07/2015;2;4;8;34
16/07/2015;2;2;8;37
17/07/2015;2;2;7;Sense dades
18/07/2015;2;1;6;23
19/07/2015;2;1;7;22
20/07/2015;2;3;7;30
21/07/2015;2;3;5;29
22/07/2015;2;2;9;18
23/07/2015;2;3;7;Sense dades
24/07/2015;2;3;5;Sense dades
25/07/2015;2;2;5;Sense dades
26/07/2015;2;3;5;Sense dades
27/07/2015;2;4;10;Sense dades
28/07/2015;2;2;10;Sense dades
29/07/2015;2;3;6;Sense dades
30/07/2015;2;2;8;Sense dades
31/07/2015;1;3;11;Sense dades
01/08/2015;2;3;6;Sense dades
02/08/2015;2;3;5;Sense dades
03/08/2015;2;3;7;Sense dades
04/08/2015;2;4;12;Sense dades
05/08/2015;2;4;7;Sense dades
06/08/2015;2;4;6;Sense dades
07/08/2015;1;6;10;Sense dades
08/08/2015;1;4;7;Sense dades
09/08/2015;1;3;2;Sense dades
10/08/2015;1;5;7;Sense dades
11/08/2015;1;6;4;Sense dades
12/08/2015;1;5;5;Sense dades
13/08/2015;2;4;2;Sense dades
14/08/2015;2;Sense dades;Sense dades;Sense dades
15/08/2015;1;Sense dades;Sense dades;Sense dades
16/08/2015;1;Sense dades;Sense dades;Sense dades
17/08/2015;1;Sense dades;Sense dades;Sense dades
18/08/2015;1;Sense dades;Sense dades;Sense dades
19/08/2015;1;Sense dades;Sense dades;Sense dades
20/08/2015;2;Sense dades;Sense dades;Sense dades
21/08/2015;2;Sense dades;Sense dades;Sense dades
22/08/2015;2;Sense dades;Sense dades;Sense dades
23/08/2015;2;Sense dades;Sense dades;Sense dades
24/08/2015;2;Sense dades;Sense dades;Sense dades
25/08/2015;2;Sense dades;Sense dades;Sense dades
26/08/2015;2;Sense dades;Sense dades;Sense dades
27/08/2015;2;Sense dades;Sense dades;Sense dades
28/08/2015;2;3;6;Sense dades
29/08/2015;2;2;10;Sense dades
30/08/2015;2;1;12;Sense dades
31/08/2015;2;2;12;Sense dades
01/09/2015;2;2;13;Sense dades
02/09/2015;2;3;14;Sense dades
03/09/2015;2;2;18;Sense dades
04/09/2015;2;5;30;Sense dades
05/09/2015;2;3;10;Sense dades
06/09/2015;2;2;9;Sense dades
07/09/2015;2;4;14;Sense dades
08/09/2015;2;2;14;Sense dades
09/09/2015;2;2;18;Sense dades
10/09/2015;2;4;28;Sense dades
11/09/2015;2;1;13;Sense dades
12/09/2015;2;1;9;Sense dades
13/09/2015;2;1;9;Sense dades
14/09/2015;2;2;14;Sense dades
15/09/2015;2;3;15;Sense dades
16/09/2015;2;4;11;Sense dades
17/09/2015;2;5;16;Sense dades
18/09/2015;2;3;13;Sense dades
19/09/2015;2;2;11;Sense dades
20/09/2015;2;2;8;Sense dades
21/09/2015;2;2;14;Sense dades
22/09/2015;2;3;14;Sense dades
23/09/2015;2;2;10;Sense dades
24/09/2015;2;3;12;Sense dades
25/09/2015;2;6;21;Sense dades
26/09/2015;2;4;8;Sense dades
27/09/2015;2;3;14;Sense dades
28/09/2015;2;3;15;Sense dades
29/09/2015;2;4;17;Sense dades
30/09/2015;2;5;17;Sense dades
01/10/2015;2;2;19;Sense dades
02/10/2015;2;3;13;Sense dades
03/10/2015;2;1;6;Sense dades
04/10/2015;Sense dades;Sense dades;Sense dades;Sense dades
05/10/2015;2;4;21;Sense dades
06/10/2015;3;7;17;Sense dades
07/10/2015;3;7;12;Sense dades
08/10/2015;3;Sense dades;Sense dades;Sense dades
09/10/2015;3;Sense dades;Sense dades;Sense dades
10/10/2015;3;Sense dades;Sense dades;Sense dades
11/10/2015;3;Sense dades;Sense dades;Sense dades
12/10/2015;3;Sense dades;Sense dades;Sense dades
13/10/2015;3;Sense dades;Sense dades;Sense dades
14/10/2015;3;Sense dades;Sense dades;Sense dades
15/10/2015;3;Sense dades;Sense dades;Sense dades
16/10/2015;3;Sense dades;Sense dades;Sense dades
17/10/2015;3;Sense dades;Sense dades;Sense dades
18/10/2015;3;Sense dades;Sense dades;Sense dades
19/10/2015;3;Sense dades;Sense dades;Sense dades
20/10/2015;3;Sense dades;Sense dades;Sense dades
21/10/2015;3;Sense dades;Sense dades;Sense dades
22/10/2015;3;Sense dades;Sense dades;Sense dades
23/10/2015;3;Sense dades;Sense dades;Sense dades
24/10/2015;3;Sense dades;Sense dades;Sense dades
25/10/2015;3;Sense dades;Sense dades;Sense dades
26/10/2015;3;Sense dades;Sense dades;Sense dades
27/10/2015;3;Sense dades;Sense dades;Sense dades
