Fecha;CO;NO;NO2;NOX;PM10
17/04/2015;0.39;11;47;49;10
16/04/2015;0.44;9;81;48;18
15/04/2015;0.24;4;32;25;23
14/04/2015;0.34;23;111;75;40
13/04/2015;0.45;23;103;80;37
12/04/2015;0.27;5;50;29;24
11/04/2015;0.35;5;39;30;13
10/04/2015;0.27;5;44;29;18
09/04/2015;0.21;4;54;26;18
08/04/2015;0.26;4;31;21;16
07/04/2015;0.37;12;70;48;20
06/04/2015;0.26;5;51;29;12
05/04/2015;0.25;4;31;21;7
04/04/2015;0.22;4;23;19;7
03/04/2015;0.24;5;29;23;10
02/04/2015;0.21;4;37;25;11
01/04/2015;0.27;6;46;29;18
31/03/2015;0.28;7;49;35;16
30/03/2015;0.46;16;59;54;24
29/03/2015;0.31;7;51;36;12
28/03/2015;0.25;7;48;36;15
27/03/2015;0.35;9;77;42;9
26/03/2015;0.36;16;72;64;9
25/03/2015;0.21;6;43;34;7
24/03/2015;0.47;16;59;64;9
23/03/2015;0.29;23;78;86;9
22/03/2015;0.32;5;41;27;10
21/03/2015;0.33;8;49;42;9
20/03/2015;0.27;8;50;43;20
19/03/2015;0.42;8;55;45;16
18/03/2015;0.74;30;107;106;27
17/03/2015;0.43;19;102;69;20
16/03/2015;0.39;20;55;70;23
15/03/2015;0.32;7;49;38;14
14/03/2015;0.27;6;55;36;7
13/03/2015;0.21;6;52;31;18
12/03/2015;0.47;13;46;49;36
11/03/2015;0.46;22;58;70;38
10/03/2015;0.47;30;108;98;33
09/03/2015;0.42;27;101;93;
08/03/2015;0.38;9;88;48;
07/03/2015;0.46;23;78;73;
06/03/2015;0.45;32;72;96;
05/03/2015;0.2;7;53;34;14
04/03/2015;0.19;7;73;29;8
03/03/2015;0.3;17;59;65;11
02/03/2015;0.42;29;55;81;12
01/03/2015;0.42;18;37;54;9
28/02/2015;0.42;19;62;66;10
27/02/2015;0.27;7;52;35;8
26/02/2015;0.32;10;79;41;6
25/02/2015;0.16;4;23;19;5
24/02/2015;0.16;11;63;43;7
23/02/2015;0.36;13;55;52;9
22/02/2015;0.28;5;62;32;8
21/02/2015;0.18;4;29;21;6
20/02/2015;0.46;39;93;103;21
19/02/2015;0.56;46;83;119;23
18/02/2015;0.27;21;72;71;14
17/02/2015;0.2;22;71;59;12
16/02/2015;0.29;13;76;57;11
15/02/2015;0.34;7;53;42;7
14/02/2015;0.27;8;53;44;8
13/02/2015;0.53;25;91;78;21
12/02/2015;0.55;41;97;111;27
11/02/2015;0.86;51;100;136;36
10/02/2015;0.5;29;77;95;26
09/02/2015;0.33;19;77;70;23
08/02/2015;0.32;6;49;35;18
07/02/2015;0.32;10;39;42;17
06/02/2015;0.34;21;64;71;9
05/02/2015;0.28;11;57;44;10
04/02/2015;0.38;12;66;49;10
03/02/2015;0.22;10;73;49;6
02/02/2015;0.38;15;64;60;8
01/02/2015;0.3;6;48;34;8
31/01/2015;0.23;4;32;24;6
30/01/2015;0.24;9;74;48;5
29/01/2015;0.31;21;68;68;10
28/01/2015;0.4;23;73;85;11
27/01/2015;0.36;15;72;60;13
26/01/2015;0.35;38;82;112;25
25/01/2015;0.22;10;62;46;13
24/01/2015;0.44;10;56;43;15
23/01/2015;0.43;26;78;83;14
22/01/2015;0.29;9;66;45;8
21/01/2015;0.43;15;71;63;8
20/01/2015;0.49;33;64;94;14
19/01/2015;0.28;8;55;41;10
18/01/2015;0.3;4;34;24;8
17/01/2015;0.31;11;48;48;11
16/01/2015;0.26;11;52;50;8
15/01/2015;0.26;12;65;49;14
14/01/2015;0.4;29;62;80;19
13/01/2015;0.37;15;59;57;23
12/01/2015;0.37;44;81;119;28
11/01/2015;0.33;10;43;42;15
10/01/2015;0.53;36;48;90;22
09/01/2015;0.5;80;82;172;29
08/01/2015;0.55;64;72;145;27
07/01/2015;0.44;45;73;113;21
06/01/2015;0.44;27;54;76;17
05/01/2015;0.55;35;64;92;12
04/01/2015;0.63;43;68;107;19
03/01/2015;0.62;45;84;116;30
02/01/2015;0.58;54;76;130;20
01/01/2015;0.49;20;57;65;16
